Historical Prices - MAZOR ROBOTICS - 01106855
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7144.0000,7144.0000,-0.17,7156.0000,7156.0000,7199.0000,7065.0000,48362970,3455051,17949970,252180,948,,,48092933.00,
28/05/2017,7156.0000,7156.0000,-2.77,7301.0000,7360.0000,7322.0000,7152.0000,48362970,3460854,6938188,96378,857,,,48092933.00,
25/05/2017,7360.0000,7360.0000,5.60,7092.0000,6970.0000,7375.0000,7050.0000,48354840,3558916,17811202,247004,1340,,,48092933.00,
24/05/2017,6970.0000,6970.0000,-6.34,7180.0000,7442.0000,7180.0000,6880.0000,48308877,3367129,26019269,370799,2204,,,48092933.00,
23/05/2017,7442.0000,7442.0000,-3.35,7600.0000,7700.0000,7600.0000,7430.0000,48216613,3588280,10959422,145828,1050,,,48092933.00,
22/05/2017,7700.0000,7700.0000,-0.13,7700.0000,7710.0000,7750.0000,7580.0000,48216613,3712679,10741187,139670,797,,,48092933.00,
21/05/2017,7710.0000,7710.0000,-3.93,7700.0000,8025.0000,7744.0000,7552.0000,48216613,3717501,8475920,110389,637,,,48092933.00,
18/05/2017,8025.0000,8025.0000,6.29,7686.0000,7550.0000,8099.0000,7459.0000,48096840,3859771,29943507,387753,1843,,,48092933.00,
17/05/2017,7550.0000,7550.0000,6.55,7386.0000,7086.0000,7550.0000,7250.0000,48096840,3631311,28791377,388484,1714,,,48092933.00,
16/05/2017,7086.0000,7086.0000,0.30,7050.0000,7065.0000,7114.0000,6910.0000,48096840,3408142,10882897,154250,801,,,48092933.00,
15/05/2017,7065.0000,7065.0000,0.45,6900.0000,7033.0000,7065.0000,6750.0000,48096840,3398042,26387184,380299,1823,,,48092933.00,
14/05/2017,7033.0000,7033.0000,-1.64,7170.0000,7150.0000,7180.0000,6982.0000,48096840,3382651,10397906,146693,721,,,48092933.00,
11/05/2017,7150.0000,7150.0000,-2.32,7530.0000,7320.0000,7570.0000,6950.0000,48096840,3438924,56325279,783182,3337,,,48092933.00,
10/05/2017,7320.0000,7320.0000,2.45,7255.0000,7145.0000,7332.0000,6706.0000,48096840,3520689,29824729,427953,2069,,,48092933.00,
09/05/2017,7145.0000,7145.0000,5.38,6900.0000,6780.0000,7169.0000,6900.0000,48092933,3436240,20346180,290456,1388,,,48092933.00,
08/05/2017,6780.0000,6780.0000,5.48,6425.0000,6428.0000,6815.0000,6403.0000,48092933,3260701,11964673,181194,1178,,,48092933.00,
07/05/2017,6428.0000,6428.0000,0.30,6409.0000,6409.0000,6493.0000,6350.0000,48092933,3091414,2587513,40243,294,,,48092933.00,
04/05/2017,6409.0000,6409.0000,-1.25,6400.0000,6490.0000,6436.0000,6330.0000,48092933,3082276,35749516,558368,705,,,47912986.00,
03/05/2017,6490.0000,6490.0000,2.53,6475.0000,6330.0000,6569.0000,6432.0000,48092933,3121231,10959002,168860,863,,,47912986.00,
30/04/2017,6330.0000,6330.0000,-2.07,6464.0000,6464.0000,6464.0000,6306.0000,48092933,3044283,7058388,110911,398,,,47912986.00,
27/04/2017,6464.0000,6464.0000,0.64,6416.0000,6423.0000,6464.0000,6315.0000,48092933,3108727,6289961,98775,615,,,47912986.00,
26/04/2017,6423.0000,6423.0000,6.39,6292.0000,6037.0000,6450.0000,6281.0000,48092933,3089009,9984205,156984,913,,,47912986.00,
25/04/2017,6037.0000,6037.0000,-3.72,6190.0000,6270.0000,6190.0000,5903.0000,48092933,2903370,14043505,232140,1267,,,47912986.00,
24/04/2017,6270.0000,6270.0000,-5.70,6640.0000,6649.0000,6640.0000,6133.0000,48092933,3015427,29868653,468008,2516,,,47912986.00,
23/04/2017,6649.0000,6649.0000,8.91,6500.0000,6105.0000,6650.0000,6476.0000,48092933,3197699,12152565,186246,891,,,47912986.00,
20/04/2017,6105.0000,6105.0000,1.75,6070.0000,6000.0000,6200.0000,5984.0000,48092933,2936074,13008608,214462,1040,,,47912986.00,
19/04/2017,6000.0000,6000.0000,5.73,5710.0000,5675.0000,6100.0000,5670.0000,48092933,2885576,11399658,194435,954,,,47912986.00,
18/04/2017,5675.0000,5675.0000,-0.70,5720.0000,5715.0000,5738.0000,5631.0000,48092933,2729274,4082739,71767,478,,,47912986.00,
13/04/2017,5715.0000,5715.0000,5.29,5720.0000,5428.0000,5726.0000,5662.0000,48092933,2748511,9374743,164636,828,,,47912986.00,
12/04/2017,5428.0000,5428.0000,6.12,5240.0000,5115.0000,5450.0000,5228.0000,48092933,2610484,7109911,132521,645,,,47912986.00,
09/04/2017,5115.0000,5115.0000,-3.42,5084.0000,5296.0000,5168.0000,5083.0000,48092933,2459954,4256364,83209,414,,,47912986.00,
06/04/2017,5296.0000,5296.0000,1.61,5228.0000,5212.0000,5410.0000,5228.0000,48092933,2547002,8119609,152673,530,,,47619596.00,
05/04/2017,5212.0000,5212.0000,-5.68,5491.0000,5526.0000,5689.0000,5126.0000,48092933,2506604,17850950,326018,1829,,,47619596.00,
04/04/2017,5526.0000,5526.0000,0.38,5505.0000,5505.0000,5670.0000,5505.0000,48092933,2657615,7634563,136142,705,,,47619596.00,
03/04/2017,5505.0000,5505.0000,-0.90,5555.0000,5555.0000,5555.0000,5481.0000,48092933,2647516,8802304,159276,825,,,47619596.00,
02/04/2017,5555.0000,5555.0000,3.85,5345.0000,5349.0000,5555.0000,5340.0000,48092933,2671562,4827576,88339,433,,,47619596.00,
30/03/2017,5349.0000,5349.0000,4.27,5228.0000,5130.0000,5349.0000,5144.0000,48092933,2572491,7845418,149643,784,,,47619596.00,
29/03/2017,5130.0000,5130.0000,-1.16,5243.0000,5190.0000,5250.0000,5115.0000,48092933,2467167,7149814,137387,682,,,47619596.00,
28/03/2017,5190.0000,5190.0000,6.51,5100.0000,4873.0000,5299.0000,5080.0000,48090744,2495910,15535922,301365,1249,,,47619596.00,
