Historical Prices - MEDITR TOWER - 01131523
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,622.9000,622.9000,-0.42,623.6000,625.5000,627.4000,619.4000,142506000,887670,303946,48773,98,,,142506000.00,
28/05/2017,625.5000,625.5000,-0.27,627.2000,627.2000,627.6000,620.0000,142506000,891375,234340,37530,71,,,142506000.00,
25/05/2017,627.2000,627.2000,-0.44,627.0000,630.0000,631.9000,621.9000,142506000,893798,443135,70628,88,,,142506000.00,
24/05/2017,630.0000,630.0000,-0.83,635.3000,635.3000,636.5000,624.0000,142506000,897788,398331,62931,108,,,142506000.00,
23/05/2017,635.3000,635.3000,0.75,632.5000,630.6000,635.4000,630.6000,142506000,905341,397553,62635,92,,,142506000.00,
22/05/2017,630.6000,630.6000,3.31,612.2000,610.4000,632.0000,610.5000,142506000,898643,251131,40048,87,,,142506000.00,
21/05/2017,610.4000,610.4000,1.16,605.2000,603.4000,615.2000,605.2000,142506000,869857,137635,22531,69,,,142506000.00,
18/05/2017,603.4000,603.4000,-3.19,625.0000,623.3000,625.0000,603.0000,142506000,859881,614616,101281,131,,,142506000.00,
17/05/2017,623.3000,623.3000,-2.26,639.0000,637.7000,639.0000,621.8000,142506000,888240,846137,134444,199,,,142506000.00,
16/05/2017,637.7000,637.7000,-0.02,639.7000,637.8000,639.7000,632.5000,142506000,908761,340110,53345,97,,,142506000.00,
15/05/2017,637.8000,637.8000,1.19,630.3000,630.3000,639.0000,630.3000,142506000,908903,920588,144474,268,,,142506000.00,
14/05/2017,630.3000,630.3000,-0.06,632.0000,630.7000,634.5000,630.0000,142506000,898215,708540,112317,202,,,142506000.00,
