Historical Prices - MEGA OR - 01104488
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3475.0000,3475.0000,-0.34,3487.0000,3487.0000,3519.0000,3348.0000,28536912,991658,769119,21994,106,,,28504123.00,
28/05/2017,3487.0000,3487.0000,-0.49,3506.0000,3504.0000,3526.0000,3400.0000,28535973,995049,595164,17056,101,,,28504123.00,
25/05/2017,3504.0000,3504.0000,-1.68,3548.0000,3564.0000,3599.0000,3476.0000,28530973,999725,732368,20652,133,,,28504123.00,
24/05/2017,3564.0000,3564.0000,-0.03,3578.0000,3565.0000,3620.0000,3540.0000,28507473,1016006,1034153,28828,102,,,28504123.00,
23/05/2017,3565.0000,3565.0000,1.83,3501.0000,3501.0000,3575.0000,3483.0000,28506349,1016251,817126,23017,124,,,28504123.00,
22/05/2017,3501.0000,3501.0000,3.21,3392.0000,3392.0000,3520.0000,3435.0000,28506172,998001,843874,24178,129,,,28504123.00,
21/05/2017,3392.0000,3392.0000,2.14,3321.0000,3321.0000,3469.0000,3323.0000,28506172,966929,244578,7180,90,,,28504123.00,
18/05/2017,3321.0000,3321.0000,0.39,3369.0000,3308.0000,3369.0000,3300.0000,28506172,946690,2958197,89028,165,,,28504123.00,
17/05/2017,3308.0000,3308.0000,-3.44,3436.0000,3426.0000,3463.0000,3285.0000,28506022,942979,1434756,42581,222,,,28504123.00,
16/05/2017,3426.0000,3426.0000,-2.11,3500.0000,3500.0000,3588.0000,3390.0000,28506022,976616,1201782,34485,174,,,28504123.00,
15/05/2017,3500.0000,3500.0000,-0.82,3530.0000,3529.0000,3530.0000,3486.0000,28505722,997700,18366390,524553,197,,,28504123.00,
14/05/2017,3529.0000,3529.0000,0.97,3546.0000,3495.0000,3564.0000,3526.0000,28505722,1005967,749933,21188,129,,,28504123.00,
11/05/2017,3495.0000,3495.0000,-0.77,3522.0000,3522.0000,3593.0000,3430.0000,28505663,996273,1428926,40440,154,,,28504123.00,
10/05/2017,3522.0000,3522.0000,0.63,3500.0000,3500.0000,3554.0000,3502.0000,28505663,1003969,883854,25010,133,,,28504123.00,
09/05/2017,3500.0000,3500.0000,-0.06,3502.0000,3502.0000,3535.0000,3492.0000,28505663,997698,612050,17465,122,,,28504123.00,
08/05/2017,3502.0000,3502.0000,-1.55,3557.0000,3557.0000,3557.0000,3481.0000,28505663,998268,1541403,43526,124,,,28504123.00,
07/05/2017,3557.0000,3557.0000,1.57,3505.0000,3502.0000,3565.0000,3490.0000,28505663,1013946,1184385,33450,158,,,28504123.00,
04/05/2017,3502.0000,3502.0000,2.31,3423.0000,3423.0000,3611.0000,3423.0000,28504123,998214,1561846,44418,188,,,28169870.00,
03/05/2017,3423.0000,3423.0000,0.18,3417.0000,3417.0000,3484.0000,3406.0000,28504123,975696,12649823,369869,125,,,28169870.00,
30/04/2017,3417.0000,3417.0000,-1.81,3480.0000,3480.0000,3491.0000,3414.0000,28504123,973986,558351,16308,76,,,28169870.00,
