Historical Prices - MENORA MIV HLD - 00566018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4423.0000,4423.0000,-0.47,4441.0000,4444.0000,4526.0000,4423.0000,63271931,2798518,987162,22144,153,,,63271931.00,
28/05/2017,4444.0000,4444.0000,0.18,4555.0000,4436.0000,4580.0000,4388.0000,63271931,2811805,956871,21280,137,,,63271931.00,
25/05/2017,4436.0000,4436.0000,-0.92,4480.0000,4477.0000,4530.0000,4396.0000,63271931,2806743,1080177,24165,175,,,63271931.00,
24/05/2017,4477.0000,4477.0000,2.75,4357.0000,4357.0000,4488.0000,4351.0000,63271931,2832684,4771854,107393,229,,,63271931.00,
23/05/2017,4357.0000,4357.0000,2.64,4245.0000,4245.0000,4390.0000,4215.0000,63271931,2756758,1155502,26733,151,,,63271931.00,
22/05/2017,4245.0000,4245.0000,3.31,4109.0000,4109.0000,4250.0000,4112.0000,63271931,2685893,1065248,25357,120,,,63271931.00,
21/05/2017,4109.0000,4109.0000,1.18,4064.0000,4061.0000,4151.0000,4064.0000,63271931,2599844,813361,19706,112,,,63271931.00,
18/05/2017,4061.0000,4061.0000,-1.72,4128.0000,4132.0000,4140.0000,3989.0000,63271931,2569473,2884524,71293,276,,,63271931.00,
17/05/2017,4132.0000,4132.0000,-3.35,4271.0000,4275.0000,4300.0000,4130.0000,63271931,2614396,1540393,36864,190,,,63271931.00,
16/05/2017,4275.0000,4275.0000,0.61,4249.0000,4249.0000,4295.0000,4211.0000,63271931,2704875,1171349,27534,173,,,63271931.00,
15/05/2017,4249.0000,4249.0000,-1.30,4321.0000,4305.0000,4326.0000,4175.0000,63271931,2688424,2555947,60428,231,,,63271931.00,
14/05/2017,4305.0000,4305.0000,0.94,4265.0000,4265.0000,4346.0000,4272.0000,63271931,2723857,627868,14617,95,,,63271931.00,
11/05/2017,4265.0000,4265.0000,-0.44,4284.0000,4284.0000,4356.0000,4251.0000,63271931,2698548,786223,18310,120,,,63271931.00,
10/05/2017,4284.0000,4284.0000,-1.65,4356.0000,4356.0000,4350.0000,4233.0000,63271931,2710570,2132165,49807,187,,,63271931.00,
09/05/2017,4356.0000,4356.0000,0.07,4353.0000,4353.0000,4381.0000,4305.0000,63271931,2756125,1733460,39953,213,,,63271931.00,
08/05/2017,4353.0000,4353.0000,0.62,4365.0000,4326.0000,4392.0000,4202.0000,63271931,2754227,2581578,60187,410,,,63271931.00,
07/05/2017,4326.0000,4326.0000,3.99,4157.0000,4160.0000,4345.0000,4157.0000,63271931,2737144,1051367,24482,151,,,63271931.00,
04/05/2017,4160.0000,4160.0000,-0.62,4186.0000,4186.0000,4187.0000,4140.0000,63271931,2632112,1139877,27389,132,,,63271931.00,
03/05/2017,4186.0000,4186.0000,1.18,4137.0000,4137.0000,4200.0000,4133.0000,63271931,2648563,1909248,45808,203,,,63271931.00,
30/04/2017,4137.0000,4137.0000,-1.03,4180.0000,4180.0000,4170.0000,4109.0000,63271931,2617560,1399544,33887,116,,,63271931.00,
27/04/2017,4180.0000,4180.0000,1.95,4150.0000,4100.0000,4190.0000,4079.0000,63271931,2644767,3256831,78456,185,,,63271931.00,
26/04/2017,4100.0000,4100.0000,0.17,4110.0000,4093.0000,4165.0000,4077.0000,63271931,2594149,1425854,34740,141,,,63271931.00,
25/04/2017,4093.0000,4093.0000,-0.10,4097.0000,4097.0000,4100.0000,4068.0000,63271931,2589720,1417767,34670,149,,,63271931.00,
24/04/2017,4097.0000,4097.0000,5.11,3988.0000,3898.0000,4141.0000,3955.0000,63271931,2592251,2552013,62720,289,,,63271931.00,
23/04/2017,3898.0000,3898.0000,0.26,3888.0000,3888.0000,3899.0000,3830.0000,63271931,2466340,907850,23538,97,,,63271931.00,
20/04/2017,3888.0000,3888.0000,0.91,3821.0000,3853.0000,3941.0000,3815.0000,63271931,2460013,1851740,47625,150,,,63271931.00,
19/04/2017,3853.0000,3853.0000,-1.10,3985.0000,3896.0000,3985.0000,3831.0000,63271931,2437868,1422349,36728,160,,,63271931.00,
18/04/2017,3896.0000,3896.0000,-2.16,4000.0000,3982.0000,4008.0000,3881.0000,63271931,2465074,2132322,54341,169,,,63271931.00,
13/04/2017,3982.0000,3982.0000,-0.85,4080.0000,4016.0000,4080.0000,3958.0000,63271931,2519488,510789,12760,79,,,63271931.00,
12/04/2017,4016.0000,4016.0000,0.00,4070.0000,4016.0000,4070.0000,3992.0000,63271931,2541001,346730,8639,66,,,63271931.00,
09/04/2017,4016.0000,4016.0000,0.20,4029.0000,4008.0000,4040.0000,3981.0000,63271931,2541001,129391,3224,36,,,63271931.00,
06/04/2017,4008.0000,4008.0000,0.07,4080.0000,4005.0000,4080.0000,3956.0000,63271931,2535939,1479493,37012,139,,,63271931.00,
05/04/2017,4005.0000,4005.0000,0.81,4000.0000,3973.0000,4038.0000,3980.0000,63271931,2534041,403280,10070,83,EX D,0.98050,63271931.00,
04/04/2017,3972.9860,4052.0000,0.32,4039.0000,4039.0000,4069.0000,3978.0000,63271931,2563779,339995,8408,74,,,63271931.00,
03/04/2017,3960.2395,4039.0000,-1.08,4083.0000,4083.0000,4091.0000,4031.0000,63271931,2555553,1777424,43701,212,,,63271931.00,
02/04/2017,4003.3815,4083.0000,0.64,4057.0000,4057.0000,4123.0000,4010.0000,63271931,2583393,776099,19030,76,,,63271931.00,
30/03/2017,3977.8885,4057.0000,-0.86,4179.0000,4092.0000,4179.0000,4054.0000,63271931,2566942,684476,16732,95,,,63271931.00,
29/03/2017,4012.2060,4092.0000,1.44,4037.0000,4034.0000,4148.0000,4037.0000,63271931,2589087,927412,22591,140,,,63271931.00,
28/03/2017,3955.3370,4034.0000,-0.88,4070.0000,4070.0000,4148.0000,4000.0000,63271931,2552390,971316,23989,110,,,63271931.00,
27/03/2017,3990.6350,4070.0000,-3.19,4184.0000,4204.0000,4184.0000,4070.0000,63271931,2575168,1352762,32978,164,,,63271931.00,
26/03/2017,4122.0220,4204.0000,-2.53,4313.0000,4313.0000,4398.0000,4185.0000,63271931,2659952,702327,16440,96,,,63271931.00,
23/03/2017,4228.8965,4313.0000,0.44,4294.0000,4294.0000,4351.0000,4271.0000,63271931,2728918,1786041,41448,152,,,63271931.00,
22/03/2017,4210.2670,4294.0000,-0.97,4250.0000,4336.0000,4342.0000,4249.0000,63271931,2716897,1033957,24120,101,,,63271931.00,
21/03/2017,4251.4480,4336.0000,0.60,4328.0000,4310.0000,4384.0000,4205.0000,63271931,2743471,1312040,30383,154,,,63271931.00,
20/03/2017,4225.9550,4310.0000,-0.48,4331.0000,4331.0000,4363.0000,4255.0000,63271931,2727020,1498825,34767,223,,,63271931.00,
19/03/2017,4246.5455,4331.0000,-0.80,4366.0000,4366.0000,4368.0000,4255.0000,63271931,2740307,1532209,35492,175,,,63271931.00,
16/03/2017,4280.8630,4366.0000,0.88,4328.0000,4328.0000,4371.0000,4270.0000,63271931,2762453,1091126,25203,110,,,63271931.00,
15/03/2017,4243.6040,4328.0000,-2.24,4427.0000,4427.0000,4492.0000,4300.0000,63271931,2738409,991028,22511,160,,,63271931.00,
14/03/2017,4340.6735,4427.0000,1.89,4356.0000,4345.0000,4467.0000,4356.0000,63271931,2801048,664988,15123,113,,,63271931.00,
13/03/2017,4260.2725,4345.0000,3.35,4204.0000,4204.0000,4351.0000,4204.0000,63271931,2749165,1317275,30678,230,,,63271931.00,
09/03/2017,4122.0220,4204.0000,0.72,4174.0000,4174.0000,4295.0000,4149.0000,63271931,2659952,1067558,25218,128,,,63271931.00,
08/03/2017,4092.6070,4174.0000,0.77,4184.0000,4142.0000,4245.0000,4082.0000,63271931,2640970,1743034,42030,152,,,63271931.00,
07/03/2017,4061.2310,4142.0000,-0.50,4163.0000,4163.0000,4197.0000,4118.0000,63271931,2620723,2423996,58323,153,,,63271931.00,
06/03/2017,4081.8215,4163.0000,1.76,4094.0000,4091.0000,4199.0000,4021.0000,63271931,2634010,1177003,28718,152,,,63271931.00,
05/03/2017,4011.2255,4091.0000,-0.90,4128.0000,4128.0000,4149.0000,4090.0000,63271931,2588455,363247,8848,72,,,63271931.00,
02/03/2017,4047.5040,4128.0000,1.52,4066.0000,4066.0000,4128.0000,3997.0000,63271931,2611865,2903352,70518,145,,,63271931.00,
01/03/2017,3986.7130,4066.0000,2.29,3931.0000,3975.0000,4080.0000,3931.0000,63271931,2572637,3176716,78246,200,,,63271931.00,
28/02/2017,3897.4875,3975.0000,1.27,3925.0000,3925.0000,4023.0000,3918.0000,63271931,2515059,1253957,31527,159,,,63271931.00,
27/02/2017,3848.4625,3925.0000,-1.53,3986.0000,3986.0000,4019.0000,3909.0000,63271931,2483423,1285249,32352,188,,,63271931.00,
26/02/2017,3908.2730,3986.0000,-0.15,3992.0000,3992.0000,4001.0000,3971.0000,63271931,2522019,534465,13378,58,,,63271931.00,
23/02/2017,3914.1560,3992.0000,1.42,3920.0000,3936.0000,3999.0000,3920.0000,63271931,2525815,1019949,25745,91,,,63271931.00,
22/02/2017,3859.2480,3936.0000,-0.35,3950.0000,3950.0000,3986.0000,3884.0000,63271931,2490383,590539,15000,116,,,63271931.00,
21/02/2017,3872.9750,3950.0000,0.87,3915.0000,3916.0000,3975.0000,3915.0000,63271931,2499241,5123361,129797,150,,,63271931.00,
20/02/2017,3839.6380,3916.0000,-0.79,3930.0000,3947.0000,3955.0000,3892.0000,63271931,2477729,657155,16802,103,,,63271931.00,
19/02/2017,3870.0335,3947.0000,0.10,3943.0000,3943.0000,3955.0000,3930.0000,63271931,2497343,432680,10977,62,,,63271931.00,
16/02/2017,3866.1115,3943.0000,1.57,3825.0000,3882.0000,3970.0000,3825.0000,63271931,2494812,1813189,46346,232,,,63271931.00,
15/02/2017,3806.3010,3882.0000,1.54,3820.0000,3823.0000,3920.0000,3809.0000,63271931,2456216,3896203,101771,246,,,63271931.00,
14/02/2017,3748.4515,3823.0000,1.78,3702.0000,3756.0000,3838.0000,3702.0000,63271931,2418886,1501255,39684,189,,,63271931.00,
13/02/2017,3682.7580,3756.0000,4.57,3592.0000,3592.0000,3765.0000,3592.0000,63271931,2376494,2342570,63784,229,,,63271931.00,
12/02/2017,3521.9560,3592.0000,1.18,3583.0000,3550.0000,3600.0000,3533.0000,63271931,2272728,1523605,42547,149,,,63271931.00,
09/02/2017,3480.7750,3550.0000,-0.89,3582.0000,3582.0000,3608.0000,3540.0000,63271931,2246154,12799608,360401,219,,,63271931.00,
08/02/2017,3512.1510,3582.0000,1.02,3500.0000,3546.0000,3611.0000,3500.0000,63271931,2266401,2897438,80890,334,,,63271931.00,
07/02/2017,3476.8530,3546.0000,3.02,3440.0000,3442.0000,3569.0000,3440.0000,63271931,2243623,2507077,71890,243,,,63271931.00,
06/02/2017,3374.8810,3442.0000,-0.35,3454.0000,3454.0000,3457.0000,3428.0000,63271931,2177820,1464336,42589,209,,,63271931.00,
05/02/2017,3386.6470,3454.0000,-0.60,3530.0000,3475.0000,3530.0000,3440.0000,63271931,2185413,771172,22330,196,,,63271931.00,
02/02/2017,3407.2375,3475.0000,-1.39,3524.0000,3524.0000,3513.0000,3429.0000,63271931,2198700,2497041,71880,269,,,63271931.00,
01/02/2017,3455.2820,3524.0000,0.74,3498.0000,3498.0000,3550.0000,3500.0000,63271931,2229703,2092497,59352,277,,,63271931.00,
31/01/2017,3429.7890,3498.0000,0.75,3490.0000,3472.0000,3535.0000,3475.0000,63271931,2213252,2103266,60028,225,,,63271931.00,
30/01/2017,3404.2960,3472.0000,-0.34,3477.0000,3484.0000,3530.0000,3465.0000,63271931,2196801,3274744,93755,251,,,63271931.00,
29/01/2017,3416.0620,3484.0000,4.56,3332.0000,3332.0000,3486.0000,3366.0000,63271931,2204394,2056158,59638,207,,,63271931.00,
26/01/2017,3267.0260,3332.0000,0.45,3317.0000,3317.0000,3378.0000,3307.0000,63271931,2108221,1403811,42225,190,,,63271931.00,
25/01/2017,3252.3185,3317.0000,1.97,3298.0000,3253.0000,3327.0000,3266.0000,63271931,2098730,1484634,45192,182,,,63271931.00,
24/01/2017,3189.5665,3253.0000,-0.21,3260.0000,3260.0000,3300.0000,3221.0000,63271931,2058236,1332565,40972,187,,,63271931.00,
23/01/2017,3196.4300,3260.0000,-1.36,3300.0000,3305.0000,3301.0000,3258.0000,63271931,2062665,2946880,89992,243,,,63271931.00,
22/01/2017,3240.5525,3305.0000,-0.96,3315.0000,3337.0000,3327.0000,3302.0000,63271931,2091137,734468,22182,89,,,63271931.00,
19/01/2017,3271.9285,3337.0000,0.00,3337.0000,3337.0000,3364.0000,3320.0000,63271931,2111384,2563957,76929,264,,,63271931.00,
18/01/2017,3271.9285,3337.0000,-0.57,3356.0000,3356.0000,3356.0000,3313.0000,63271931,2111384,986537,29538,156,,,63271931.00,
17/01/2017,3290.5580,3356.0000,-0.44,3334.0000,3371.0000,3379.0000,3334.0000,63271931,2123406,8507662,253069,246,,,63271931.00,
16/01/2017,3305.2655,3371.0000,1.20,3329.0000,3331.0000,3403.0000,3309.0000,63271931,2132897,2284204,68094,247,,,63271931.00,
15/01/2017,3266.0455,3331.0000,-0.09,3301.0000,3334.0000,3360.0000,3301.0000,63271931,2107588,888806,26701,160,,,63271931.00,
12/01/2017,3268.9870,3334.0000,0.12,3300.0000,3330.0000,3355.0000,3300.0000,63271931,2109486,1531235,46062,169,,,63271931.00,
11/01/2017,3265.0650,3330.0000,-1.19,3368.0000,3370.0000,3368.0000,3321.0000,63271931,2106955,2819422,84537,296,,,63271931.00,
10/01/2017,3304.2850,3370.0000,-0.71,3396.0000,3394.0000,3396.0000,3332.0000,63271931,2132264,2535014,75197,248,,,63271931.00,
09/01/2017,3327.8170,3394.0000,-0.67,3470.0000,3417.0000,3470.0000,3384.0000,63271931,2147449,810186,23853,133,,,63271931.00,
08/01/2017,3350.3685,3417.0000,-0.70,3420.0000,3441.0000,3470.0000,3400.0000,63271931,2162002,1145317,33525,101,,,63271931.00,
05/01/2017,3373.9005,3441.0000,-0.84,3470.0000,3470.0000,3476.0000,3438.0000,63271931,2177187,3577288,103802,168,,,63271931.00,
04/01/2017,3402.3350,3470.0000,-0.03,3471.0000,3471.0000,3489.0000,3439.0000,63271931,2195536,1028659,29711,164,,,63271931.00,
03/01/2017,3403.3155,3471.0000,-0.06,3471.0000,3473.0000,3487.0000,3459.0000,63271931,2196169,8278882,239022,154,,,63271931.00,
02/01/2017,3405.2765,3473.0000,-0.09,3476.0000,3476.0000,3529.0000,3455.0000,63271931,2197434,1041554,29899,119,,,63271931.00,
01/01/2017,3408.2180,3476.0000,-0.60,3497.0000,3497.0000,3520.0000,3465.0000,63271931,2199332,566305,16199,91,,,63271931.00,
29/12/2016,3428.8085,3497.0000,-0.09,3500.0000,3500.0000,3500.0000,3468.0000,63271931,2212619,1085745,31087,132,,,63271931.00,
28/12/2016,3431.7500,3500.0000,1.63,3444.0000,3444.0000,3506.0000,3444.0000,63271931,2214518,1207843,34694,171,,,63271931.00,
27/12/2016,3376.8420,3444.0000,-0.52,3462.0000,3462.0000,3456.0000,3411.0000,63271931,2179085,755559,22019,120,,,63271931.00,
26/12/2016,3394.4910,3462.0000,-0.66,3485.0000,3485.0000,3496.0000,3450.0000,63271931,2190474,395213,11419,59,,,63271931.00,
25/12/2016,3417.0425,3485.0000,-0.46,3528.0000,3501.0000,3528.0000,3468.0000,63271931,2205027,501733,14388,113,,,63271931.00,
