Historical Prices - MIGDAL INSUR. - 01081165
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,388.0000,388.0000,0.73,387.0000,385.2000,395.9000,386.1000,1053908234,4089164,3687733,948644,471,,,1053908234.00,
28/05/2017,385.2000,385.2000,1.16,384.2000,380.8000,393.8000,381.4000,1053908234,4059655,3524069,908748,490,,,1053908234.00,
25/05/2017,380.8000,380.8000,0.21,381.7000,380.0000,384.0000,373.2000,1053908234,4013283,3874852,1024225,366,,,1053908234.00,
24/05/2017,380.0000,380.0000,1.28,374.1000,375.2000,382.7000,374.1000,1053908234,4004851,2048179,540355,319,,,1053908234.00,
23/05/2017,375.2000,375.2000,2.74,368.0000,365.2000,378.7000,363.0000,1053908234,3954264,3104817,832832,380,,,1053908234.00,
22/05/2017,365.2000,365.2000,1.16,361.3000,361.0000,369.9000,361.3000,1053908234,3848873,2928058,801177,319,,,1053908234.00,
21/05/2017,361.0000,361.0000,0.00,362.1000,361.0000,372.0000,357.1000,1053908234,3804609,2525974,693863,321,,,1053908234.00,
18/05/2017,361.0000,361.0000,-2.56,370.5000,370.5000,370.1000,354.5000,1053908234,3804609,6473369,1782698,593,,,1053908234.00,
17/05/2017,370.5000,370.5000,-3.29,384.0000,383.1000,384.0000,368.5000,1053908234,3904730,4724901,1255024,525,,,1053908234.00,
16/05/2017,383.1000,383.1000,0.76,380.2000,380.2000,383.7000,380.5000,1053908234,4037522,2081250,544462,304,,,1053908234.00,
15/05/2017,380.2000,380.2000,0.42,380.0000,378.6000,384.2000,378.6000,1053908234,4006959,2560130,673010,311,,,1053908234.00,
14/05/2017,378.6000,378.6000,0.50,377.0000,376.7000,380.0000,376.9000,1053908234,3990097,1625769,430374,168,,,1053908234.00,
11/05/2017,376.7000,376.7000,0.37,375.0000,375.3000,378.1000,374.0000,1053908234,3970072,1612955,429230,219,,,1053908234.00,
10/05/2017,375.3000,375.3000,-0.19,376.0000,376.0000,376.0000,373.1000,1053908234,3955318,2125447,567676,242,,,1053908234.00,
09/05/2017,376.0000,376.0000,0.59,375.8000,373.8000,378.6000,371.1000,1053908234,3962695,6776453,1803687,524,,,1053908234.00,
08/05/2017,373.8000,373.8000,0.75,375.0000,371.0000,381.0000,370.1000,1053908234,3939509,4128461,1099117,502,,,1053908234.00,
07/05/2017,371.0000,371.0000,3.89,358.2000,357.1000,374.1000,358.2000,1053908234,3910000,6049931,1640951,438,,,1053908234.00,
04/05/2017,357.1000,357.1000,-0.92,360.4000,360.4000,363.0000,357.0000,1053908234,3763506,3576519,996020,278,,,1053908234.00,
03/05/2017,360.4000,360.4000,1.89,355.0000,353.7000,361.6000,354.7000,1053908234,3798285,2846741,793923,330,,,1053908234.00,
30/04/2017,353.7000,353.7000,-0.92,355.0000,357.0000,355.0000,352.1000,1053908234,3727673,842518,238248,130,,,1053908234.00,
27/04/2017,357.0000,357.0000,0.65,358.9000,354.7000,359.5000,351.0000,1053908234,3762452,4267304,1195961,383,,,1053908234.00,
26/04/2017,354.7000,354.7000,1.31,350.1000,350.1000,355.1000,350.1000,1053908234,3738213,3478549,980960,349,,,1053908234.00,
25/04/2017,350.1000,350.1000,0.34,348.2000,348.9000,355.0000,346.5000,1053908234,3689733,1916186,546553,247,,,1053908234.00,
24/04/2017,348.9000,348.9000,3.75,338.8000,336.3000,352.0000,338.8000,1053908234,3677086,3444648,991924,378,,,1053908234.00,
23/04/2017,336.3000,336.3000,-0.97,336.1000,339.6000,338.0000,334.6000,1053908234,3544293,2036671,605136,196,,,1053908234.00,
20/04/2017,339.6000,339.6000,-0.41,341.0000,341.0000,342.4000,334.8000,1053908234,3579072,1646779,485884,248,,,1053908234.00,
19/04/2017,341.0000,341.0000,-0.87,344.0000,344.0000,344.0000,336.4000,1053908234,3593827,5005306,1476918,401,,,1053908234.00,
18/04/2017,344.0000,344.0000,-0.58,347.0000,346.0000,349.0000,336.4000,1053908234,3625444,1762293,514234,267,,,1053908234.00,
13/04/2017,346.0000,346.0000,-1.68,350.0000,351.9000,351.8000,342.6000,1053908234,3646522,1982985,571096,196,,,1053908234.00,
12/04/2017,351.9000,351.9000,0.26,351.0000,351.0000,352.0000,349.2000,1053908234,3708703,1975995,563609,199,,,1053908234.00,
09/04/2017,351.0000,351.0000,-0.99,354.7000,354.5000,355.5000,347.2000,1053908234,3699218,2073274,590283,163,,,1053908234.00,
06/04/2017,354.5000,354.5000,-0.92,362.0000,357.8000,362.0000,350.4000,1053908234,3736105,3217200,908525,293,,,1053908234.00,
05/04/2017,357.8000,357.8000,-0.06,360.0000,358.0000,360.4000,353.0000,1053908234,3770884,2886231,809074,267,,,1053908234.00,
04/04/2017,358.0000,358.0000,2.46,348.4000,349.4000,358.0000,346.8000,1053908234,3772991,1973826,562191,240,,,1053908234.00,
03/04/2017,349.4000,349.4000,-1.05,353.1000,353.1000,357.0000,347.9000,1053908234,3682355,2377756,674304,306,,,1053908234.00,
02/04/2017,353.1000,353.1000,0.89,350.0000,350.0000,353.3000,349.6000,1053908234,3721350,603480,171110,91,,,1053908234.00,
30/03/2017,350.0000,350.0000,0.00,350.0000,350.0000,351.3000,344.1000,1053908234,3688679,1704369,489416,223,,,1053908234.00,
29/03/2017,350.0000,350.0000,-0.28,351.2000,351.0000,357.8000,347.8000,1053908234,3688679,2381136,674790,337,,,1053908234.00,
28/03/2017,351.0000,351.0000,-0.51,352.8000,352.8000,358.9000,340.7000,1053908234,3699218,4119396,1178435,449,,,1053908234.00,
27/03/2017,352.8000,352.8000,-2.73,355.8000,362.7000,360.0000,351.1000,1053908234,3718188,4148305,1167979,342,,,1053908234.00,
26/03/2017,362.7000,362.7000,-2.42,377.9000,371.7000,377.9000,357.9000,1053908234,3822525,4656825,1276737,399,EX D,0.97278,1053908234.00,
23/03/2017,371.6992,382.1000,2.17,375.1000,374.0000,385.6000,375.1000,1053908234,4026983,7129433,1860882,521,,,1053908234.00,
22/03/2017,363.8197,374.0000,-0.24,370.9000,374.9000,374.5000,368.5000,1053908234,3941617,2319868,622624,291,,,1053908234.00,
21/03/2017,364.6952,374.9000,1.05,370.7000,371.0000,379.5000,370.0000,1053908234,3951102,1878484,500593,262,,,1053908234.00,
20/03/2017,360.9014,371.0000,-0.64,375.0000,373.4000,375.0000,366.0000,1053908234,3910000,24027309,6535171,539,,,1053908234.00,
19/03/2017,363.2361,373.4000,-2.25,380.0000,382.0000,382.2000,370.0000,1053908234,3935293,5143494,1376841,388,,,1053908234.00,
16/03/2017,371.6020,382.0000,-2.43,391.5000,391.5000,393.0000,381.0000,1053908234,4025929,7245171,1870257,526,,,1053908234.00,
15/03/2017,380.8434,391.5000,-1.61,397.9000,397.9000,398.2000,390.7000,1053908234,4126051,4021458,1022702,343,,,1053908234.00,
14/03/2017,387.0692,397.9000,0.00,400.0000,397.9000,402.0000,395.1000,1053908234,4193501,2005917,504077,255,,,1053908234.00,
13/03/2017,387.0692,397.9000,0.99,394.6000,394.0000,397.9000,392.8000,1053908234,4193501,2179272,549902,280,,,1053908234.00,
09/03/2017,383.2753,394.0000,1.81,386.1000,387.0000,394.0000,386.1000,1053908234,4152398,4062478,1036931,359,,,1053908234.00,
08/03/2017,376.4659,387.0000,-0.03,387.1000,387.1000,388.1000,384.2000,1053908234,4078625,4153985,1075656,372,,,1053908234.00,
07/03/2017,376.5631,387.1000,1.34,380.2000,382.0000,395.0000,376.3000,1053908234,4079679,2909277,751944,308,,,1053908234.00,
06/03/2017,371.6020,382.0000,1.19,376.4000,377.5000,383.0000,371.5000,1053908234,4025929,4110431,1094163,356,,,1053908234.00,
05/03/2017,367.2245,377.5000,-0.66,380.0000,380.0000,381.0000,377.0000,1053908234,3978504,3909042,1034104,269,,,1053908234.00,
