Historical Prices - MINRAV      PRO - 01140243
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,455.6000,455.6000,-1.94,464.6000,464.6000,461.7000,453.9000,83872400,382123,444975,97437,75,,,83872400.00,
28/05/2017,464.6000,464.6000,0.54,464.0000,462.1000,466.8000,463.1000,83872400,389671,202917,43701,20,,,83872400.00,
25/05/2017,462.1000,462.1000,-2.14,474.3000,472.2000,474.3000,460.1000,83872400,387574,391041,84177,63,,,83872400.00,
24/05/2017,472.2000,472.2000,4.72,454.0000,450.9000,475.1000,454.0000,83872400,396045,2963828,630778,301,,,83872400.00,
23/05/2017,450.9000,450.9000,0.78,447.4000,447.4000,452.0000,447.4000,83872400,378181,129267,28690,16,,,83872400.00,
22/05/2017,447.4000,447.4000,-0.78,450.9000,450.9000,455.3000,441.4000,83872400,375245,370330,82405,54,,,83872400.00,
21/05/2017,450.9000,450.9000,-0.33,452.4000,452.4000,458.5000,448.0000,83872400,378181,174712,38615,33,,,83872400.00,
18/05/2017,452.4000,452.4000,-1.50,466.0000,459.3000,466.0000,451.8000,83872400,379439,289645,63921,29,,,83872400.00,
17/05/2017,459.3000,459.3000,-2.48,471.0000,471.0000,469.9000,458.0000,83872400,385226,361682,78271,55,,,83872400.00,
16/05/2017,471.0000,471.0000,-1.11,476.3000,476.3000,475.9000,468.0000,83872400,395039,303194,64250,53,,,83872400.00,
15/05/2017,476.3000,476.3000,0.76,479.0000,472.7000,479.0000,472.7000,83872400,399484,152919,32160,40,,,83872400.00,
14/05/2017,472.7000,472.7000,1.00,468.0000,468.0000,474.9000,463.0000,83872400,396465,388535,82742,70,,,83872400.00,
11/05/2017,468.0000,468.0000,-2.80,482.4000,481.5000,485.0000,468.0000,83872400,392523,1068776,224782,113,,,83872400.00,
10/05/2017,481.5000,481.5000,2.62,470.0000,469.2000,482.5000,469.0000,83872400,403846,1105411,231418,120,,,83872400.00,
09/05/2017,469.2000,469.2000,2.07,457.4000,459.7000,475.0000,457.4000,83872400,393529,737619,157126,96,,,83872400.00,
08/05/2017,459.7000,459.7000,3.03,448.9000,446.2000,462.0000,440.7000,83872400,385561,1317435,293673,173,,,83872400.00,
07/05/2017,446.2000,446.2000,-0.87,450.1000,450.1000,449.0000,444.9000,83872400,374239,848541,190054,191,,,83872400.00,
04/05/2017,450.1000,450.1000,-2.02,461.4000,459.4000,461.4000,450.1000,83872400,377510,2976835,654886,150,,,,
03/05/2017,459.4000,459.4000,-0.39,466.9000,461.2000,466.9000,459.0000,83872400,385310,523569,113184,42,,,,
30/04/2017,461.2000,461.2000,-0.13,460.7000,461.8000,463.7000,459.5000,83872400,386820,794065,172452,61,,,,
27/04/2017,461.8000,461.8000,-1.41,468.4000,468.4000,469.0000,461.8000,83872400,387323,636417,137422,58,,,,
26/04/2017,468.4000,468.4000,-0.28,469.7000,469.7000,470.3000,466.0000,83872400,392858,657746,140338,38,,,,
25/04/2017,469.7000,469.7000,-0.02,469.8000,469.8000,470.8000,465.9000,83872400,393949,634538,135130,47,,,,
24/04/2017,469.8000,469.8000,0.17,469.0000,469.0000,473.0000,469.3000,83872400,394033,890980,188901,65,,,,
23/04/2017,469.0000,469.0000,-0.09,473.9000,469.4000,473.9000,464.7000,83872400,393362,1161767,247745,89,,,,
20/04/2017,469.4000,469.4000,0.82,465.6000,465.6000,472.0000,465.0000,83872400,393697,337637,72092,33,,,,
