Historical Prices - MIRLAND - 01108638
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,302.8000,302.8000,-3.32,313.2000,313.2000,317.0000,295.3000,74990964,227073,627986,207490,95,,,74990964.00,
28/05/2017,313.2000,313.2000,-0.54,314.9000,314.9000,315.0000,307.0000,74990964,234872,393103,126106,76,,,74990964.00,
25/05/2017,314.9000,314.9000,1.06,316.0000,311.6000,317.1000,310.0000,74990964,236147,265560,84277,43,,,74990964.00,
24/05/2017,311.6000,311.6000,-2.96,320.9000,321.1000,321.3000,310.0000,74990964,233672,342680,108870,52,,,74990964.00,
23/05/2017,321.1000,321.1000,0.34,318.1000,320.0000,322.0000,317.5000,74990964,240796,828014,258837,44,,,74990964.00,
22/05/2017,320.0000,320.0000,0.25,319.2000,319.2000,320.0000,315.0000,74990964,239971,307536,96487,27,,,74990964.00,
21/05/2017,319.2000,319.2000,0.76,323.0000,316.8000,332.3000,313.4000,74990964,239371,545698,168906,80,,,74990964.00,
18/05/2017,316.8000,316.8000,-1.98,322.9000,323.2000,335.9000,310.0000,74990964,237571,527732,164933,69,,,74990964.00,
17/05/2017,323.2000,323.2000,1.51,322.5000,318.4000,347.0000,320.0000,74990964,242371,1783620,529536,233,,,74990964.00,
16/05/2017,318.4000,318.4000,-0.59,322.5000,320.3000,322.5000,316.0000,74990964,238771,376842,118096,56,,,74990964.00,
15/05/2017,320.3000,320.3000,1.78,314.7000,314.7000,322.5000,314.7000,74990964,240196,272717,85284,48,,,74990964.00,
14/05/2017,314.7000,314.7000,1.03,311.3000,311.5000,317.0000,300.3000,74990964,235997,198828,63673,49,,,74990964.00,
11/05/2017,311.5000,311.5000,3.83,292.0000,300.0000,312.3000,292.0000,74990964,233597,319643,103591,62,,,74990964.00,
10/05/2017,300.0000,300.0000,-3.19,309.9000,309.9000,308.0000,299.6000,74990964,224973,875709,290591,65,,,74990964.00,
09/05/2017,309.9000,309.9000,0.29,312.0000,309.0000,312.0000,302.0000,74990964,232397,709128,230447,98,,,74990964.00,
08/05/2017,309.0000,309.0000,-1.78,323.0000,314.6000,323.0000,302.1000,74990964,231722,1511283,488642,132,,,74990964.00,
07/05/2017,314.6000,314.6000,0.41,313.3000,313.3000,322.0000,311.0000,74990964,235922,405802,128893,62,,,74990964.00,
04/05/2017,313.3000,313.3000,-1.17,317.0000,317.0000,319.0000,309.0000,74990964,234947,727829,231813,60,,,74990964.00,
03/05/2017,317.0000,317.0000,1.44,315.0000,312.5000,318.0000,305.1000,74990964,237721,945376,299029,71,,,74990964.00,
30/04/2017,312.5000,312.5000,-2.13,319.3000,319.3000,321.9000,309.0000,74990964,234347,176683,56481,43,,,74990964.00,
27/04/2017,319.3000,319.3000,-0.22,320.0000,320.0000,322.9000,315.1000,74990964,239446,355662,111453,81,,,74990964.00,
26/04/2017,320.0000,320.0000,-2.82,329.3000,329.3000,327.7000,312.0000,74990964,239971,974337,306566,166,,,74990964.00,
25/04/2017,329.3000,329.3000,-1.14,333.1000,333.1000,335.0000,323.2000,74990964,246945,259851,79300,52,,,74990964.00,
24/04/2017,333.1000,333.1000,-3.17,356.0000,344.0000,356.0000,328.9000,74990964,249795,134534,39830,29,,,74990964.00,
23/04/2017,344.0000,344.0000,-0.20,344.7000,344.7000,358.0000,332.7000,74990964,257969,1319615,382420,149,,,74990964.00,
20/04/2017,344.7000,344.7000,4.61,329.5000,329.5000,351.0000,318.2000,74990964,258494,866580,259373,120,,,74990964.00,
19/04/2017,329.5000,329.5000,-0.81,332.0000,332.2000,336.1000,316.1000,74990964,247095,848433,258679,91,,,74990964.00,
18/04/2017,332.2000,332.2000,2.47,324.4000,324.2000,338.0000,324.4000,74990964,249120,582220,175197,82,,,74990964.00,
13/04/2017,324.2000,324.2000,-5.48,343.0000,343.0000,343.0000,323.0000,74990964,243121,441900,134415,71,,,74990964.00,
12/04/2017,343.0000,343.0000,-3.57,355.7000,355.7000,355.7000,341.0000,74990964,257219,260114,75589,55,,,74990964.00,
09/04/2017,355.7000,355.7000,-3.24,367.6000,367.6000,367.9000,352.0000,74990964,266743,368150,102100,79,,,74990964.00,
06/04/2017,367.6000,367.6000,1.77,360.8000,361.2000,367.6000,353.0000,74990964,275667,487594,133975,57,,,74990964.00,
05/04/2017,361.2000,361.2000,2.38,352.8000,352.8000,365.0000,350.0000,74990964,270867,547121,152712,81,,,74990964.00,
04/04/2017,352.8000,352.8000,-0.06,353.0000,353.0000,358.7000,343.0000,74990964,264568,276799,79443,50,,,74990964.00,
03/04/2017,353.0000,353.0000,-2.19,360.9000,360.9000,371.9000,344.0000,74990964,264718,882695,247489,128,,,74990964.00,
02/04/2017,360.9000,360.9000,1.66,365.0000,355.0000,365.2000,356.7000,74990964,270642,442957,122292,77,,,74990964.00,
30/03/2017,355.0000,355.0000,5.91,336.0000,335.2000,356.9000,336.0000,74990964,266218,4160263,1193935,149,,,74990964.00,
29/03/2017,335.2000,335.2000,3.58,329.6000,323.6000,340.0000,329.0000,74990964,251370,2391419,722497,63,,,74990964.00,
28/03/2017,323.6000,323.6000,-2.76,332.8000,332.8000,349.0000,322.0000,74990964,242671,3460775,1014068,172,,,74990964.00,
27/03/2017,332.8000,332.8000,-3.65,345.4000,345.4000,349.0000,329.9000,74990964,249570,2477904,730510,213,,,74990964.00,
26/03/2017,345.4000,345.4000,-0.80,352.8000,348.2000,352.8000,340.4000,74990964,259019,343467,99205,74,,,74990964.00,
23/03/2017,348.2000,348.2000,7.57,327.6000,323.7000,365.0000,327.5000,74990964,261119,742928,216082,129,,,74990964.00,
22/03/2017,323.7000,323.7000,0.72,315.8000,321.4000,326.9000,310.1000,74990964,242746,860071,266665,102,,,74990964.00,
21/03/2017,321.4000,321.4000,1.36,311.0000,317.1000,325.9000,311.0000,74990964,241021,1025153,320414,119,,,74990964.00,
20/03/2017,317.1000,317.1000,5.70,300.0000,300.0000,328.8000,293.2000,74990964,237796,2588928,839675,255,,,74990964.00,
19/03/2017,300.0000,300.0000,-2.66,308.2000,308.2000,310.0000,295.0000,74990964,224973,628656,209145,60,,,74990964.00,
16/03/2017,308.2000,308.2000,-0.36,312.4000,309.3000,320.1000,304.0000,74990964,231122,1301736,417713,176,,,74990964.00,
15/03/2017,309.3000,309.3000,-3.04,336.0000,319.0000,336.0000,309.0000,74990964,231947,3094719,964655,311,,,74990964.00,
14/03/2017,319.0000,319.0000,16.08,280.0000,274.8000,319.0000,280.0000,74990964,239221,15827641,5260673,278,,,74990964.00,
13/03/2017,274.8000,274.8000,-0.07,274.5000,275.0000,281.0000,273.0000,74990964,206075,1047648,379328,124,,,74990964.00,
09/03/2017,275.0000,275.0000,3.58,265.5000,265.5000,275.1000,265.0000,74990964,206225,914428,337415,89,,,74990964.00,
08/03/2017,265.5000,265.5000,0.42,266.6000,264.4000,267.0000,265.0000,74990964,199101,737081,277604,57,,,74990964.00,
07/03/2017,264.4000,264.4000,0.15,264.0000,264.0000,268.2000,260.5000,74990964,198276,863730,329032,66,,,74990964.00,
06/03/2017,264.0000,264.0000,-1.12,265.0000,267.0000,268.1000,260.0000,74990964,197976,2515533,952840,57,,,74990964.00,
05/03/2017,267.0000,267.0000,1.52,255.0000,263.0000,269.9000,255.0000,74990964,200226,612493,229290,62,,,74990964.00,
02/03/2017,263.0000,263.0000,0.00,255.0000,263.0000,268.0000,255.0000,74990964,197226,773000,292924,78,,,74990964.00,
01/03/2017,263.0000,263.0000,2.33,257.0000,257.0000,263.0000,255.0000,74990964,197226,658421,252542,63,,,74990964.00,
28/02/2017,257.0000,257.0000,0.71,253.5000,255.2000,259.2000,253.5000,74990964,192727,883417,345796,96,,,74990964.00,
27/02/2017,255.2000,255.2000,0.31,254.4000,254.4000,262.4000,254.4000,74990964,191377,334033,130973,57,,,74990964.00,
26/02/2017,254.4000,254.4000,-0.08,253.5000,254.6000,255.0000,253.5000,74990964,190777,104823,41193,23,,,74990964.00,
23/02/2017,254.6000,254.6000,-0.35,253.5000,255.5000,258.0000,253.5000,74990964,190927,205067,80467,40,,,74990964.00,
22/02/2017,255.5000,255.5000,-1.58,258.0000,259.6000,259.0000,254.7000,74990964,191602,567214,222269,71,,,74990964.00,
