Historical Prices - MISHORIM - 01105196
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,875.7000,875.7000,0.23,873.7000,873.7000,883.1000,858.6000,30401519,266226,180504,20705,27,,,30401519.00,
28/05/2017,873.7000,873.7000,1.43,861.4000,861.4000,875.8000,870.2000,30401519,265618,73466,8406,26,,,30401519.00,
25/05/2017,861.4000,861.4000,-2.18,890.0000,880.6000,890.0000,861.0000,30401519,261879,180115,20718,53,,,30401519.00,
24/05/2017,880.6000,880.6000,0.32,877.8000,877.8000,890.9000,876.5000,30401519,267716,125512,14214,34,,,30401519.00,
23/05/2017,877.8000,877.8000,0.39,874.4000,874.4000,880.0000,876.4000,30401519,266865,93372,10642,22,,,30401519.00,
22/05/2017,874.4000,874.4000,-0.55,887.6000,879.2000,895.5000,870.0000,30401519,265831,212675,24135,47,,,30401519.00,
21/05/2017,879.2000,879.2000,3.95,857.0000,845.8000,890.9000,857.0000,30401519,267290,435411,49610,87,,,30401519.00,
18/05/2017,845.8000,845.8000,-1.87,861.9000,861.9000,887.7000,841.0000,30401519,257136,504790,58827,78,,,30401519.00,
17/05/2017,861.9000,861.9000,-3.77,895.7000,895.7000,914.0000,859.8000,30401519,262031,949817,107701,109,,,30401519.00,
16/05/2017,895.7000,895.7000,2.53,873.6000,873.6000,949.9000,873.7000,30401519,272306,3627108,400831,399,,,30401519.00,
15/05/2017,873.6000,873.6000,-0.25,875.8000,875.8000,875.8000,871.2000,30401519,265588,251658,28749,15,,,30401519.00,
14/05/2017,875.8000,875.8000,-0.74,882.3000,882.3000,884.0000,873.9000,30401519,266257,462368,52708,69,,,30401519.00,
11/05/2017,882.3000,882.3000,-0.27,884.7000,884.7000,890.9000,879.0000,30401519,268233,2127135,240274,239,,,30401519.00,
10/05/2017,884.7000,884.7000,0.97,876.2000,876.2000,890.0000,879.9000,30401519,268962,462756,52243,70,,,30401519.00,
09/05/2017,876.2000,876.2000,-0.36,879.4000,879.4000,879.3000,873.7000,30401519,266378,136166,15545,42,,,30401519.00,
08/05/2017,879.4000,879.4000,0.59,885.0000,874.2000,889.0000,875.3000,30401519,267351,1705356,192825,146,,,30401519.00,
07/05/2017,874.2000,874.2000,3.31,847.2000,846.2000,877.2000,847.2000,30401519,265770,494443,57219,99,,,30401519.00,
04/05/2017,846.2000,846.2000,2.10,828.8000,828.8000,850.0000,830.0000,30401519,257258,198467,23645,59,,,30401519.00,
03/05/2017,828.8000,828.8000,-0.22,831.0000,830.6000,831.5000,827.0000,30401519,251968,238116,28730,60,,,30401519.00,
30/04/2017,830.6000,830.6000,-0.78,837.1000,837.1000,846.0000,825.0000,30401519,252515,479323,57392,74,,,30401519.00,
27/04/2017,837.1000,837.1000,0.20,835.4000,835.4000,837.1000,837.0000,30401519,254491,126012,15054,35,,,30401519.00,
26/04/2017,835.4000,835.4000,1.03,826.9000,826.9000,840.0000,834.0000,30401519,253974,182589,21815,50,,,30401519.00,
25/04/2017,826.9000,826.9000,-0.16,828.2000,828.2000,834.0000,823.0000,30401519,251390,41129,4974,11,,,30401519.00,
24/04/2017,828.2000,828.2000,0.77,821.9000,821.9000,830.0000,824.1000,30401519,251785,32266,3896,15,,,30401519.00,
23/04/2017,821.9000,821.9000,-1.07,830.8000,830.8000,830.1000,818.0000,30401519,249870,86197,10473,19,,,30401519.00,
20/04/2017,830.8000,830.8000,0.64,825.5000,825.5000,831.2000,828.0000,30401519,252576,19192,2310,8,,,30401519.00,
19/04/2017,825.5000,825.5000,0.17,824.1000,824.1000,825.8000,819.2000,30401519,250965,75300,9127,26,,,30401519.00,
18/04/2017,824.1000,824.1000,0.73,818.1000,818.1000,825.5000,818.1000,30401519,250539,28431,3450,9,,,30401519.00,
13/04/2017,818.1000,818.1000,-0.24,820.1000,820.1000,819.1000,816.5000,30401519,248715,10570,1292,7,,,30401519.00,
12/04/2017,820.1000,820.1000,0.06,819.6000,819.6000,823.4000,817.1000,30401519,249323,66100,8062,14,,,30401519.00,
09/04/2017,819.6000,819.6000,0.61,814.6000,814.6000,824.3000,818.0000,30401519,249171,89023,10838,23,,,30401519.00,
06/04/2017,814.6000,814.6000,-0.62,819.7000,819.7000,820.0000,804.0000,30401519,247651,257717,31745,53,,,30401519.00,
05/04/2017,819.7000,819.7000,0.97,811.8000,811.8000,820.0000,810.0000,30401519,249201,95035,11623,22,,,30401519.00,
04/04/2017,811.8000,811.8000,-0.89,819.1000,819.1000,819.0000,802.5000,30401519,246800,109561,13531,35,,,30401519.00,
03/04/2017,819.1000,819.1000,0.44,815.5000,815.5000,823.7000,817.0000,30401519,249019,38521,4700,11,,,30401519.00,
02/04/2017,815.5000,815.5000,-0.17,816.9000,816.9000,816.2000,809.0000,30401519,247924,91169,11197,17,,,30401519.00,
30/03/2017,816.9000,816.9000,1.08,808.2000,808.2000,820.3000,808.2000,30401519,248350,98186,12022,28,,,30401519.00,
29/03/2017,808.2000,808.2000,0.07,807.6000,807.6000,812.0000,805.0000,30401519,245705,48769,6034,12,,,30401519.00,
28/03/2017,807.6000,807.6000,3.29,781.9000,781.9000,809.0000,785.0000,30401519,245523,270430,33833,67,,,30401519.00,
27/03/2017,781.9000,781.9000,-2.51,800.0000,802.0000,800.0000,777.0000,30401519,237709,38295,4896,16,,,30401519.00,
26/03/2017,802.0000,802.0000,-1.01,810.2000,810.2000,805.1000,791.3000,30401519,243820,61119,7608,9,,,30401519.00,
23/03/2017,810.2000,810.2000,-0.30,812.6000,812.6000,813.1000,807.1000,30401519,246313,68691,8477,18,,,30401519.00,
22/03/2017,812.6000,812.6000,-0.72,818.5000,818.5000,812.8000,805.0000,30401519,247043,161794,20007,39,,,30401519.00,
21/03/2017,818.5000,818.5000,1.59,805.7000,805.7000,823.0000,803.6000,30401519,248836,106030,13029,27,,,30401519.00,
20/03/2017,805.7000,805.7000,-1.56,818.5000,818.5000,812.0000,800.6000,30401519,244945,158062,19617,48,,,30401519.00,
