Historical Prices - MIVTACH SHAMIR - 00127019
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,8022.0000,8022.0000,-0.05,8026.0000,8026.0000,8035.0000,7987.0000,9519696,763670,224586,2804,63,,,9519696.00,
28/05/2017,8026.0000,8026.0000,0.44,7991.0000,7991.0000,8060.0000,7989.0000,9519696,764051,211245,2638,83,,,9519696.00,
25/05/2017,7991.0000,7991.0000,-0.16,7975.0000,8004.0000,8022.0000,7938.0000,9519696,760719,422686,5294,104,,,9519696.00,
24/05/2017,8004.0000,8004.0000,-0.20,8020.0000,8020.0000,8025.0000,7986.0000,9519696,761956,239200,2990,66,,,9519696.00,
23/05/2017,8020.0000,8020.0000,0.55,7976.0000,7976.0000,8060.0000,7976.0000,9519696,763480,261976,3263,78,,,9519696.00,
22/05/2017,7976.0000,7976.0000,0.35,7954.0000,7948.0000,8056.0000,7928.0000,9519696,759291,382513,4796,113,,,9519696.00,
21/05/2017,7948.0000,7948.0000,2.03,7790.0000,7790.0000,8000.0000,7770.0000,9519696,756625,458555,5809,115,,,9519696.00,
18/05/2017,7790.0000,7790.0000,-1.27,7890.0000,7890.0000,7882.0000,7726.0000,9519696,741584,692058,8892,113,,,9519696.00,
17/05/2017,7890.0000,7890.0000,-1.39,8001.0000,8001.0000,8042.0000,7850.0000,9519696,751104,621969,7858,134,,,9519696.00,
16/05/2017,8001.0000,8001.0000,-0.46,8038.0000,8038.0000,8073.0000,7980.0000,9519696,761671,480194,5999,90,,,9519696.00,
15/05/2017,8038.0000,8038.0000,-0.01,8230.0000,8039.0000,8230.0000,8001.0000,9519696,765193,313761,3889,78,,,9519696.00,
14/05/2017,8039.0000,8039.0000,-0.02,8041.0000,8041.0000,8113.0000,8008.0000,9519696,765288,282918,3517,66,,,9519696.00,
11/05/2017,8041.0000,8041.0000,-0.95,7992.0000,8118.0000,8092.0000,7992.0000,9519696,765479,339746,4225,69,,,9519696.00,
10/05/2017,8118.0000,8118.0000,0.37,8088.0000,8088.0000,8192.0000,8092.0000,9519696,772809,327837,4027,74,,,9519696.00,
09/05/2017,8088.0000,8088.0000,0.70,8032.0000,8032.0000,8136.0000,7970.0000,9519696,769953,588980,7326,125,,,9519696.00,
08/05/2017,8032.0000,8032.0000,-1.16,8126.0000,8126.0000,8126.0000,7970.0000,9519696,764622,179470,2225,60,,,9519696.00,
07/05/2017,8126.0000,8126.0000,0.25,7944.0000,8106.0000,8149.0000,7944.0000,9519696,773571,402788,5020,65,,,9519696.00,
04/05/2017,8106.0000,8106.0000,-1.28,8211.0000,8211.0000,8257.0000,8106.0000,9519696,771667,659813,8079,124,,,9519696.00,
03/05/2017,8211.0000,8211.0000,2.53,8031.0000,8008.0000,8240.0000,8031.0000,9519696,781662,495299,6046,95,,,9519696.00,
30/04/2017,8008.0000,8008.0000,0.18,7994.0000,7994.0000,8058.0000,7896.0000,9519696,762337,323624,4049,67,,,9519696.00,
27/04/2017,7994.0000,7994.0000,0.43,8150.0000,7960.0000,8150.0000,7964.0000,9519696,761005,526623,6537,89,,,9519696.00,
26/04/2017,7960.0000,7960.0000,0.19,7945.0000,7945.0000,8076.0000,7939.0000,9519696,757768,186240,2325,63,,,9519696.00,
25/04/2017,7945.0000,7945.0000,0.94,7871.0000,7871.0000,7988.0000,7900.0000,9519696,756340,109900,1385,43,,,9519696.00,
24/04/2017,7871.0000,7871.0000,0.79,7809.0000,7809.0000,7921.0000,7809.0000,9519696,749295,234926,2983,79,,,9519696.00,
23/04/2017,7809.0000,7809.0000,-0.47,7846.0000,7846.0000,7865.0000,7790.0000,9519696,743393,117023,1496,39,,,9519696.00,
20/04/2017,7846.0000,7846.0000,0.09,7839.0000,7839.0000,7907.0000,7797.0000,9519696,746915,172822,2203,46,,,9519696.00,
19/04/2017,7839.0000,7839.0000,0.29,7922.0000,7816.0000,7922.0000,7756.0000,9519696,746249,305760,3920,53,,,9519696.00,
18/04/2017,7816.0000,7816.0000,-0.85,7883.0000,7883.0000,7914.0000,7780.0000,9519696,744059,713081,9086,85,,,9519696.00,
13/04/2017,7883.0000,7883.0000,-0.69,7938.0000,7938.0000,7950.0000,7881.0000,9519696,750438,140323,1776,50,,,9519696.00,
12/04/2017,7938.0000,7938.0000,0.10,7930.0000,7930.0000,7986.0000,7811.0000,9519696,755673,169197,2146,45,,,9519696.00,
09/04/2017,7930.0000,7930.0000,-0.59,7977.0000,7977.0000,7966.0000,7871.0000,9519696,754912,173802,2194,41,,,9519696.00,
06/04/2017,7977.0000,7977.0000,2.24,7802.0000,7802.0000,7977.0000,7812.0000,9519696,759386,652528,8247,110,,,9519696.00,
05/04/2017,7802.0000,7802.0000,2.05,7640.0000,7645.0000,7988.0000,7581.0000,9519696,742727,391468,5073,78,EX D,0.92164,9519696.00,
04/04/2017,7645.0038,8295.0000,1.34,8185.0000,8185.0000,8330.0000,8196.0000,9519696,789659,497899,6031,81,,,9519696.00,
03/04/2017,7543.6234,8185.0000,-0.09,8192.0000,8192.0000,8280.0000,8123.0000,9519696,779187,735345,8969,136,,,9519696.00,
02/04/2017,7550.0749,8192.0000,2.53,7990.0000,7990.0000,8250.0000,8067.0000,9519696,779854,258171,3156,55,,,9519696.00,
30/03/2017,7363.9036,7990.0000,0.35,7962.0000,7962.0000,8042.0000,7953.0000,9519696,760624,447640,5606,89,,,9519696.00,
29/03/2017,7338.0977,7962.0000,-0.82,8200.0000,8028.0000,8231.0000,7918.0000,9519696,757958,970331,11992,147,,,9519696.00,
28/03/2017,7398.9259,8028.0000,0.70,7972.0000,7972.0000,8096.0000,8003.0000,9519696,764241,573434,7143,96,,,9519696.00,
27/03/2017,7347.3141,7972.0000,-0.86,8041.0000,8041.0000,8061.0000,7900.0000,9519696,758910,529288,6620,145,,,9519696.00,
26/03/2017,7410.9072,8041.0000,-0.73,8100.0000,8100.0000,8146.0000,8011.0000,9519696,765479,160088,1985,49,,,9519696.00,
23/03/2017,7465.2840,8100.0000,-0.21,8117.0000,8117.0000,8120.0000,8015.0000,9519696,771095,564987,6995,100,,,9519696.00,
22/03/2017,7480.9519,8117.0000,-1.12,8078.0000,8209.0000,8178.0000,7988.0000,9519696,772714,734992,9073,113,,,9519696.00,
21/03/2017,7565.7428,8209.0000,1.22,8110.0000,8110.0000,8225.0000,8095.0000,9519696,781472,106968,1309,26,,,9519696.00,
20/03/2017,7474.5004,8110.0000,0.28,8128.0000,8087.0000,8142.0000,8079.0000,9519696,772047,576778,7105,64,,,9519696.00,
19/03/2017,7453.3027,8087.0000,-0.50,8117.0000,8128.0000,8117.0000,8079.0000,9519696,769858,449284,5554,84,,,9519696.00,
16/03/2017,7491.0899,8128.0000,-0.91,8203.0000,8203.0000,8256.0000,8117.0000,9519696,773761,259805,3191,50,,,9519696.00,
15/03/2017,7560.2129,8203.0000,0.90,8130.0000,8130.0000,8280.0000,8117.0000,9519696,780901,356319,4345,76,,,9519696.00,
14/03/2017,7492.9332,8130.0000,-0.25,8150.0000,8150.0000,8165.0000,8117.0000,9519696,773951,136813,1681,47,,,9519696.00,
13/03/2017,7511.3660,8150.0000,0.41,8117.0000,8117.0000,8199.0000,8117.0000,9519696,775855,106422,1307,28,,,9519696.00,
09/03/2017,7480.9519,8117.0000,-0.65,8170.0000,8170.0000,8148.0000,8105.0000,9519696,772714,109834,1352,40,,,9519696.00,
08/03/2017,7529.7988,8170.0000,-0.15,8090.0000,8182.0000,8201.0000,8090.0000,9519696,777759,312516,3842,53,,,9519696.00,
07/03/2017,7540.8585,8182.0000,-1.39,8297.0000,8297.0000,8338.0000,8116.0000,9519696,778902,118532,1446,49,,,9519696.00,
06/03/2017,7646.8471,8297.0000,-1.43,8417.0000,8417.0000,8417.0000,8245.0000,9519696,789849,404293,4861,77,,,9519696.00,
05/03/2017,7757.4439,8417.0000,-0.33,8445.0000,8445.0000,8491.0000,8361.0000,9519696,801273,674072,7976,84,,,9519696.00,
02/03/2017,7783.2498,8445.0000,3.49,8160.0000,8160.0000,8445.0000,8117.0000,9519696,803938,1308188,15620,136,,,9519696.00,
01/03/2017,7520.5824,8160.0000,0.88,8089.0000,8089.0000,8178.0000,8076.0000,9519696,776807,270260,3321,67,,,9519696.00,
28/02/2017,7455.1460,8089.0000,-0.05,8078.0000,8093.0000,8112.0000,8000.0000,9519696,770048,260588,3221,60,,,9519696.00,
27/02/2017,7458.8325,8093.0000,-0.19,8102.0000,8108.0000,8208.0000,8000.0000,9519696,770429,562962,6934,112,,,9519696.00,
26/02/2017,7472.6571,8108.0000,0.14,8097.0000,8097.0000,8168.0000,8073.0000,9519696,771857,155673,1925,42,,,9519696.00,
23/02/2017,7462.5191,8097.0000,-0.49,8097.0000,8137.0000,8129.0000,8050.0000,9519696,770810,172914,2136,36,,,9519696.00,
22/02/2017,7499.3847,8137.0000,-0.36,8166.0000,8166.0000,8170.0000,8075.0000,9519696,774618,354319,4368,85,,,9519696.00,
21/02/2017,7526.1122,8166.0000,1.16,8060.0000,8072.0000,8180.0000,7950.0000,9519696,777378,345026,4269,90,,,9519696.00,
20/02/2017,7439.4781,8072.0000,2.93,7980.0000,7842.0000,8090.0000,7832.0000,9519696,768430,423832,5308,90,,,9519696.00,
19/02/2017,7227.5009,7842.0000,0.69,7788.0000,7788.0000,7869.0000,7778.0000,9519696,746535,246432,3144,47,,,9519696.00,
16/02/2017,7177.7323,7788.0000,0.33,7740.0000,7762.0000,7808.0000,7740.0000,9519696,741394,140800,1808,56,,,9519696.00,
15/02/2017,7153.7697,7762.0000,-0.77,7822.0000,7822.0000,7845.0000,7742.0000,9519696,738919,719471,9258,134,,,9519696.00,
14/02/2017,7209.0681,7822.0000,0.26,7802.0000,7802.0000,7871.0000,7792.0000,9519696,744631,385814,4927,76,,,9519696.00,
13/02/2017,7190.6353,7802.0000,0.45,7720.0000,7767.0000,7808.0000,7720.0000,9519696,742727,182740,2348,58,,,9519696.00,
12/02/2017,7158.3779,7767.0000,-0.42,7805.0000,7800.0000,7827.0000,7725.0000,9519696,739395,300761,3861,83,,,9519696.00,
09/02/2017,7188.7920,7800.0000,0.03,7798.0000,7798.0000,7863.0000,7699.0000,9519696,742536,4153769,53325,210,,,10325640.00,
08/02/2017,7186.9487,7798.0000,-0.62,7847.0000,7847.0000,7877.0000,7744.0000,9519696,742346,536223,6869,117,,,10325640.00,
07/02/2017,7232.1091,7847.0000,-0.91,7919.0000,7919.0000,7969.0000,7815.0000,9519696,747011,880945,11158,159,,,10325640.00,
06/02/2017,7298.4672,7919.0000,-0.40,7951.0000,7951.0000,7950.0000,7718.0000,9519696,753865,778742,9861,142,,,10325640.00,
05/02/2017,7327.9596,7951.0000,0.49,8090.0000,7912.0000,8090.0000,7934.0000,9519696,756911,395949,4970,97,,,10325640.00,
02/02/2017,7292.0157,7912.0000,-0.88,7866.0000,7982.0000,7932.0000,7865.0000,9519696,753198,919671,11634,149,,,10325640.00,
01/02/2017,7356.5305,7982.0000,1.62,7855.0000,7855.0000,8012.0000,7856.0000,9519696,759862,836183,10571,148,,,10325640.00,
31/01/2017,7239.4822,7855.0000,0.29,7558.0000,7832.0000,7897.0000,7558.0000,9519696,747772,501882,6401,94,,,10325640.00,
30/01/2017,7218.2845,7832.0000,0.23,7980.0000,7814.0000,7980.0000,7791.0000,9519696,745583,243184,3107,71,,,10325640.00,
29/01/2017,7201.6950,7814.0000,-0.60,7861.0000,7861.0000,7816.0000,7607.0000,9519696,743869,685118,8853,113,,,10325640.00,
26/01/2017,7245.0120,7861.0000,1.93,7600.0000,7712.0000,7873.0000,7600.0000,9519696,748343,1328441,17148,169,,,10325640.00,
25/01/2017,7107.6877,7712.0000,2.08,7648.0000,7555.0000,7777.0000,7532.0000,9519696,734159,1116121,14631,159,,,10325640.00,
24/01/2017,6962.9902,7555.0000,2.39,7379.0000,7379.0000,7580.0000,7379.0000,9519696,719213,765389,10239,139,,,10325640.00,
23/01/2017,6800.7816,7379.0000,-0.31,7402.0000,7402.0000,7406.0000,7336.0000,9519696,702458,711300,9650,129,,,10325640.00,
22/01/2017,6821.9793,7402.0000,-1.19,7491.0000,7491.0000,7500.0000,7369.0000,9519696,704648,584002,7889,96,,,10325640.00,
19/01/2017,6904.0052,7491.0000,-0.54,7532.0000,7532.0000,7563.0000,7469.0000,9519696,713120,521367,6939,112,,,10325640.00,
18/01/2017,6941.7925,7532.0000,-0.03,7534.0000,7534.0000,7575.0000,7521.0000,9519696,717024,406918,5400,94,,,10325640.00,
17/01/2017,6943.6358,7534.0000,-1.35,7642.0000,7637.0000,7651.0000,7488.0000,9519696,717214,554428,7324,100,,,10325640.00,
16/01/2017,7038.5647,7637.0000,-0.33,7662.0000,7662.0000,7855.0000,7600.0000,9519696,727019,607174,7940,112,,,10325640.00,
15/01/2017,7061.6057,7662.0000,-1.14,7740.0000,7750.0000,7780.0000,7622.0000,9519696,729399,670127,8689,160,,,10325640.00,
12/01/2017,7142.7100,7750.0000,-0.50,7751.0000,7789.0000,7781.0000,7742.0000,9519696,737776,583293,7515,109,,,10325640.00,
11/01/2017,7178.6540,7789.0000,-0.31,7809.0000,7813.0000,7833.0000,7752.0000,9519696,741489,878850,11310,128,,,10325640.00,
10/01/2017,7200.7733,7813.0000,-0.09,7811.0000,7820.0000,7820.0000,7800.0000,9519696,743774,537455,6884,111,,,10325640.00,
09/01/2017,7207.2248,7820.0000,-0.86,7888.0000,7888.0000,7861.0000,7810.0000,9519696,744440,737862,9426,129,,,10325640.00,
08/01/2017,7269.8963,7888.0000,-0.16,7851.0000,7901.0000,7904.0000,7851.0000,9519696,750914,516183,6540,100,,,10325640.00,
05/01/2017,7281.8776,7901.0000,-0.83,7885.0000,7967.0000,7970.0000,7879.0000,9519696,752151,1049014,13224,151,,,10325640.00,
04/01/2017,7342.7059,7967.0000,0.48,7929.0000,7929.0000,8017.0000,7883.0000,9519696,758434,1280527,16123,172,,,10325640.00,
03/01/2017,7307.6836,7929.0000,0.27,7908.0000,7908.0000,7952.0000,7880.0000,9519696,754817,488983,6186,105,,,10325640.00,
02/01/2017,7288.3291,7908.0000,1.11,7821.0000,7821.0000,7987.0000,7774.0000,9519696,752818,460768,5861,96,,,10325640.00,
01/01/2017,7208.1464,7821.0000,0.05,7712.0000,7817.0000,7860.0000,7712.0000,9519696,744535,365073,4668,76,,,10325640.00,
