Historical Prices - MIZRAHI TEFAHOT - 00695437
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6307.0000,6307.0000,0.77,6278.0000,6259.0000,6314.0000,6220.0000,232291573,14650630,14263969,226567,594,,,232289968.00,
28/05/2017,6259.0000,6259.0000,-0.11,6290.0000,6266.0000,6290.0000,6218.0000,232291573,14539130,12429016,198548,694,,,232289968.00,
25/05/2017,6266.0000,6266.0000,0.18,6224.0000,6255.0000,6323.0000,6210.0000,232291573,14555390,43358292,695126,1025,,,232289968.00,
24/05/2017,6255.0000,6255.0000,-1.81,6398.0000,6370.0000,6398.0000,6198.0000,232291573,14529838,32350028,518016,1524,,,232289968.00,
23/05/2017,6370.0000,6370.0000,-0.62,6419.0000,6410.0000,6439.0000,6331.0000,232291573,14796973,57635444,899517,1248,,,232289968.00,
22/05/2017,6410.0000,6410.0000,-0.31,6431.0000,6430.0000,6437.0000,6384.0000,232291573,14889890,34534749,538566,1123,,,232289968.00,
21/05/2017,6430.0000,6430.0000,1.77,6340.0000,6318.0000,6478.0000,6337.0000,232291573,14936348,22659150,352106,991,,,232289968.00,
18/05/2017,6318.0000,6318.0000,1.58,6220.0000,6220.0000,6318.0000,6140.0000,232291573,14676182,38892101,624245,1750,,,232289968.00,
17/05/2017,6220.0000,6220.0000,0.06,6200.0000,6216.0000,6264.0000,6190.0000,232291573,14448536,11961331,192046,772,,,232289968.00,
16/05/2017,6216.0000,6216.0000,0.53,6183.0000,6183.0000,6256.0000,6183.0000,232291573,14439244,20410187,327673,1126,,,232289968.00,
15/05/2017,6183.0000,6183.0000,1.69,6120.0000,6080.0000,6245.0000,6098.0000,232291573,14362588,25446715,411298,1604,,,232289968.00,
14/05/2017,6080.0000,6080.0000,1.28,6033.0000,6003.0000,6085.0000,6022.0000,232291573,14123328,7273369,119938,513,,,232289968.00,
11/05/2017,6003.0000,6003.0000,-0.78,6050.0000,6050.0000,6072.0000,5999.0000,232291573,13944463,18471448,306444,1131,,,232289968.00,
10/05/2017,6050.0000,6050.0000,-0.30,6052.0000,6068.0000,6090.0000,6001.0000,232291573,14053640,22883020,378951,1116,,,232289968.00,
09/05/2017,6068.0000,6068.0000,0.30,6065.0000,6050.0000,6107.0000,6027.0000,232291573,14095453,15715645,258888,980,,,232289968.00,
08/05/2017,6050.0000,6050.0000,-1.31,6110.0000,6130.0000,6128.0000,6047.0000,232291573,14053640,32058779,526944,1370,,,232289968.00,
07/05/2017,6130.0000,6130.0000,2.84,5961.0000,5961.0000,6148.0000,5961.0000,232291573,14239473,16546767,273258,878,,,232289968.00,
04/05/2017,5961.0000,5961.0000,2.25,5858.0000,5830.0000,5961.0000,5848.0000,232291573,13846901,78265258,1318029,2058,,,232236541.00,
03/05/2017,5830.0000,5830.0000,0.14,5839.0000,5822.0000,5866.0000,5801.0000,232289968,13542505,22133406,379412,1554,,,232236541.00,
30/04/2017,5822.0000,5822.0000,-0.48,5860.0000,5850.0000,5899.0000,5822.0000,232289968,13523922,14574700,248476,584,,,232236541.00,
27/04/2017,5850.0000,5850.0000,-0.90,5880.0000,5903.0000,5903.0000,5822.0000,232289968,13588963,35601592,606845,1558,,,232236541.00,
26/04/2017,5903.0000,5903.0000,-1.34,5957.0000,5983.0000,5965.0000,5896.0000,232289968,13712077,19769417,333886,1457,,,232236541.00,
25/04/2017,5983.0000,5983.0000,0.55,5948.0000,5950.0000,6018.0000,5929.0000,232289968,13897909,21778841,364414,1647,,,232236541.00,
24/04/2017,5950.0000,5950.0000,0.85,6000.0000,5900.0000,6026.0000,5950.0000,232289968,13821253,35586475,593620,1875,,,232236541.00,
23/04/2017,5900.0000,5900.0000,-0.32,5901.0000,5919.0000,5942.0000,5874.0000,232289968,13705108,6153272,104147,445,,,232236541.00,
20/04/2017,5919.0000,5919.0000,0.71,5850.0000,5877.0000,5919.0000,5820.0000,232289968,13749243,16989316,289304,953,,,232236541.00,
19/04/2017,5877.0000,5877.0000,1.54,5798.0000,5788.0000,5880.0000,5783.0000,232289968,13651681,21055967,360182,1027,,,232236541.00,
18/04/2017,5788.0000,5788.0000,-0.46,5854.0000,5815.0000,5881.0000,5766.0000,232289968,13444943,33811151,582067,1928,,,232236541.00,
13/04/2017,5815.0000,5815.0000,-1.11,5910.0000,5880.0000,5913.0000,5782.0000,232289968,13507662,20706399,355138,1037,,,232236541.00,
12/04/2017,5880.0000,5880.0000,-2.15,5983.0000,6009.0000,6012.0000,5880.0000,232289968,13658650,39251836,662490,2327,,,232236541.00,
09/04/2017,6009.0000,6009.0000,-2.02,6105.0000,6133.0000,6116.0000,5983.0000,232289968,13958304,14906496,247423,1028,EX D,0.99724,232236541.00,
06/04/2017,6133.0260,6150.0000,-0.81,6181.0000,6200.0000,6220.0000,6070.0000,232289968,14285833,69363143,1128067,1918,,,232151066.00,
05/04/2017,6182.8880,6200.0000,0.00,6183.0000,6200.0000,6207.0000,6125.0000,232289968,14401978,23149783,375110,1433,,,232151066.00,
04/04/2017,6182.8880,6200.0000,-0.48,6210.0000,6230.0000,6269.0000,6141.0000,232289968,14401978,17131402,276319,1110,,,232151066.00,
03/04/2017,6212.8052,6230.0000,-0.10,6240.0000,6236.0000,6287.0000,6188.0000,232284939,14471352,13340984,213945,817,,,232151066.00,
02/04/2017,6218.7886,6236.0000,1.50,6123.0000,6144.0000,6239.0000,6123.0000,232284939,14485289,7310818,118175,362,,,232151066.00,
30/03/2017,6127.0426,6144.0000,-0.05,6125.0000,6147.0000,6189.0000,6125.0000,232284939,14271587,53841875,878250,1043,,,232151066.00,
29/03/2017,6130.0343,6147.0000,-1.43,6245.0000,6236.0000,6245.0000,6147.0000,232284939,14278555,17484346,282731,1119,,,232151066.00,
28/03/2017,6218.7886,6236.0000,0.14,6227.0000,6227.0000,6270.0000,6180.0000,232284939,14485289,24846784,398833,1446,,,232151066.00,
27/03/2017,6209.8135,6227.0000,-0.16,6207.0000,6237.0000,6287.0000,6179.0000,232236541,14461369,19247274,309408,1148,,,232151066.00,
26/03/2017,6219.7859,6237.0000,-1.09,6291.0000,6306.0000,6303.0000,6230.0000,232236541,14484593,10306515,164491,730,,,232151066.00,
23/03/2017,6288.5954,6306.0000,3.43,6097.0000,6097.0000,6323.0000,6097.0000,232236541,14644836,42583512,684893,2288,,,232151066.00,
22/03/2017,6080.1723,6097.0000,-0.70,6082.0000,6140.0000,6114.0000,6022.0000,232236541,14159462,46654954,768735,2178,,,232151066.00,
21/03/2017,6123.0536,6140.0000,-0.29,6115.0000,6158.0000,6233.0000,6111.0000,232236541,14259324,52906612,859554,2277,,,232151066.00,
20/03/2017,6141.0039,6158.0000,-0.28,6198.0000,6175.0000,6218.0000,6118.0000,232236541,14301126,22259437,361321,1222,,,232151066.00,
19/03/2017,6157.9570,6175.0000,-1.83,6295.0000,6290.0000,6326.0000,6171.0000,232236541,14340606,24140722,388716,1212,,,232151066.00,
16/03/2017,6272.6396,6290.0000,-1.72,6440.0000,6400.0000,6440.0000,6276.0000,232236541,14607678,30456316,480424,1404,,,232151066.00,
15/03/2017,6382.3360,6400.0000,-0.47,6439.0000,6430.0000,6458.0000,6370.0000,232236541,14863139,12661137,197678,670,,,232151066.00,
14/03/2017,6412.2532,6430.0000,0.00,6450.0000,6430.0000,6498.0000,6410.0000,232236541,14932810,36925049,573213,1702,,,232151066.00,
13/03/2017,6412.2532,6430.0000,2.39,6280.0000,6280.0000,6430.0000,6280.0000,232236541,14932810,31731230,497193,1157,,,232151066.00,
09/03/2017,6262.6672,6280.0000,0.77,6205.0000,6232.0000,6280.0000,6205.0000,232236541,14584455,26063957,417663,1225,,,232151066.00,
