Historical Prices - NAVIDEA BIO - 01136274
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,154.7000,154.7000,-4.74,162.5000,162.4000,162.5000,150.7000,155470164,240512,157563,99549,49,,,155470164.00,
28/05/2017,162.4000,162.4000,-3.28,167.9000,167.9000,163.4000,161.2000,155470164,252484,122929,75764,43,,,155470164.00,
25/05/2017,167.9000,167.9000,0.90,166.0000,166.4000,168.5000,166.0000,155470164,261034,203733,122331,30,,,155470164.00,
24/05/2017,166.4000,166.4000,0.42,167.0000,165.7000,171.0000,162.9000,155470164,258702,116567,69732,43,,,155470164.00,
23/05/2017,165.7000,165.7000,3.05,160.8000,160.8000,166.5000,160.8000,155470164,257614,125611,76462,51,,,155470164.00,
22/05/2017,160.8000,160.8000,-1.35,163.0000,163.0000,162.9000,159.0000,155470164,249996,129497,80677,34,,,155470164.00,
21/05/2017,163.0000,163.0000,-1.75,165.9000,165.9000,170.5000,159.0000,155470164,253416,112526,68824,39,,,155470164.00,
18/05/2017,165.9000,165.9000,-1.60,168.6000,168.6000,168.4000,163.0000,155470164,257925,69503,41829,23,,,155470164.00,
17/05/2017,168.6000,168.6000,1.75,165.7000,165.7000,179.9000,166.7000,155470164,262123,215592,126001,72,,,155470164.00,
16/05/2017,165.7000,165.7000,-2.82,170.5000,170.5000,166.3000,162.3000,155470164,257614,208720,126781,69,,,155470164.00,
15/05/2017,170.5000,170.5000,-1.22,174.0000,172.6000,174.0000,169.2000,155470164,265077,102740,59990,40,,,155470164.00,
14/05/2017,172.6000,172.6000,-3.25,171.5000,178.4000,174.0000,167.1000,155470164,268342,124564,72579,45,,,155470164.00,
11/05/2017,178.4000,178.4000,-2.62,183.2000,183.2000,184.1000,176.0000,155470164,277359,135506,75187,58,,,155470164.00,
10/05/2017,183.2000,183.2000,-0.70,184.5000,184.5000,193.0000,182.3000,155470164,284821,334399,180536,77,,,155470164.00,
09/05/2017,184.5000,184.5000,-3.91,192.0000,192.0000,201.3000,174.2000,155470164,286842,544175,289989,151,,,155470164.00,
08/05/2017,192.0000,192.0000,-0.16,192.3000,192.3000,193.8000,187.1000,155470164,298503,97974,51154,33,,,155470164.00,
07/05/2017,192.3000,192.3000,-3.85,200.0000,200.0000,197.0000,191.0000,155470164,298969,139045,71733,41,,,155470164.00,
04/05/2017,200.0000,200.0000,3.90,192.5000,192.5000,202.5000,189.5000,155470164,310940,4323829,2171254,194,,,155470164.00,
03/05/2017,192.5000,192.5000,3.61,185.8000,185.8000,196.9000,184.1000,155470164,299280,881440,460559,214,,,155470164.00,
30/04/2017,185.8000,185.8000,-3.23,175.0000,192.0000,190.0000,175.0000,155470164,288864,206238,112885,102,,,155470164.00,
27/04/2017,192.0000,192.0000,1.75,188.7000,188.7000,193.3000,175.2000,155470164,298503,205170,109116,68,,,155470164.00,
26/04/2017,188.7000,188.7000,2.83,194.0000,183.5000,195.7000,186.3000,155470164,293372,316320,165638,102,,,155470164.00,
25/04/2017,183.5000,183.5000,8.84,168.6000,168.6000,193.8000,166.9000,155470164,285288,1272888,686720,398,,,155470164.00,
24/04/2017,168.6000,168.6000,4.07,162.0000,162.0000,170.1000,163.2000,155470164,262123,132268,79145,38,,,155470164.00,
23/04/2017,162.0000,162.0000,-2.88,163.0000,166.8000,167.0000,161.0000,155470164,251862,122681,75240,53,,,155470164.00,
20/04/2017,166.8000,166.8000,0.12,169.9000,166.6000,169.9000,163.5000,155470164,259324,239366,143762,76,,,155470164.00,
