Historical Prices - NAWI - 00208017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2875.0000,2875.0000,0.95,2860.0000,2848.0000,2887.0000,2845.0000,32730484,941001,1098451,38430,224,,,32730484.00,
28/05/2017,2848.0000,2848.0000,2.26,2785.0000,2785.0000,2850.0000,2775.0000,32730484,932164,981303,34733,188,,,32730484.00,
25/05/2017,2785.0000,2785.0000,0.54,2747.0000,2770.0000,2801.0000,2747.0000,32730484,911544,895047,32132,154,,,32730484.00,
24/05/2017,2770.0000,2770.0000,2.06,2736.0000,2714.0000,2770.0000,2713.0000,32730484,906634,894166,32697,178,,,32730484.00,
23/05/2017,2714.0000,2714.0000,0.48,2715.0000,2701.0000,2730.0000,2665.0000,32730484,888305,918038,33830,174,,,32730484.00,
22/05/2017,2701.0000,2701.0000,0.71,2663.0000,2682.0000,2717.0000,2663.0000,32730484,884050,854432,31682,177,,,32730484.00,
21/05/2017,2682.0000,2682.0000,0.41,2679.0000,2671.0000,2745.0000,2658.0000,32730484,877832,938714,34692,152,,,32730484.00,
18/05/2017,2671.0000,2671.0000,-1.98,2725.0000,2725.0000,2724.0000,2671.0000,32730484,874231,1068891,39854,167,,,32730484.00,
17/05/2017,2725.0000,2725.0000,-3.13,2813.0000,2813.0000,2814.0000,2706.0000,32730484,891906,1405888,50671,185,,,32730484.00,
16/05/2017,2813.0000,2813.0000,1.01,2785.0000,2785.0000,2820.0000,2756.0000,32730484,920709,1005298,35950,149,,,32730484.00,
15/05/2017,2785.0000,2785.0000,1.05,2764.0000,2756.0000,2797.0000,2715.0000,32730484,911544,1174248,42689,200,,,32730484.00,
14/05/2017,2756.0000,2756.0000,0.33,2755.0000,2747.0000,2780.0000,2706.0000,32730484,902052,2367661,86573,224,,,32730484.00,
11/05/2017,2747.0000,2747.0000,-0.54,2762.0000,2762.0000,2764.0000,2721.0000,32730484,899106,911371,33211,155,,,32730484.00,
10/05/2017,2762.0000,2762.0000,0.36,2752.0000,2752.0000,2780.0000,2720.0000,32730484,904016,1143118,41700,177,,,32730484.00,
09/05/2017,2752.0000,2752.0000,-0.40,2763.0000,2763.0000,2776.0000,2648.0000,32730484,900743,2163416,79150,282,,,32730484.00,
08/05/2017,2763.0000,2763.0000,0.88,2750.0000,2739.0000,2790.0000,2709.0000,32730484,904343,2449285,89290,183,,,32730484.00,
07/05/2017,2739.0000,2739.0000,-0.36,2749.0000,2749.0000,2771.0000,2711.0000,32730484,896488,1395932,50711,202,,,32730484.00,
04/05/2017,2749.0000,2749.0000,-0.11,2752.0000,2752.0000,2756.0000,2720.0000,32730484,899761,1521127,55384,158,,,32730484.00,
03/05/2017,2752.0000,2752.0000,0.04,2760.0000,2751.0000,2768.0000,2724.0000,32730484,900743,1311690,47637,174,,,32730484.00,
30/04/2017,2751.0000,2751.0000,0.07,2749.0000,2749.0000,2757.0000,2676.0000,32730484,900416,839718,30742,104,,,32730484.00,
27/04/2017,2749.0000,2749.0000,1.29,2790.0000,2714.0000,2790.0000,2720.0000,32730484,899761,2370346,86285,241,,,32730484.00,
26/04/2017,2714.0000,2714.0000,0.56,2707.0000,2699.0000,2715.0000,2671.0000,32730484,888305,2388102,88518,151,,,32730484.00,
25/04/2017,2699.0000,2699.0000,-0.07,2700.0000,2701.0000,2707.0000,2683.0000,32730484,883396,1311093,48627,161,,,32730484.00,
24/04/2017,2701.0000,2701.0000,-0.11,2704.0000,2704.0000,2718.0000,2684.0000,32730484,884050,1040999,38561,193,,,32730484.00,
23/04/2017,2704.0000,2704.0000,-0.88,2728.0000,2728.0000,2731.0000,2700.0000,32730484,885032,837554,30906,104,,,32730484.00,
20/04/2017,2728.0000,2728.0000,-0.66,2746.0000,2746.0000,2746.0000,2711.0000,32730484,892888,1048339,38450,152,,,32730484.00,
19/04/2017,2746.0000,2746.0000,-0.11,2749.0000,2749.0000,2778.0000,2743.0000,32730484,898779,1359770,49412,180,,,32730484.00,
18/04/2017,2749.0000,2749.0000,0.07,2735.0000,2747.0000,2776.0000,2735.0000,32730484,899761,1664891,60612,190,,,32730484.00,
13/04/2017,2747.0000,2747.0000,-2.17,2827.0000,2808.0000,2827.0000,2737.0000,32730484,899106,1044781,37521,163,,,32730484.00,
12/04/2017,2808.0000,2808.0000,-0.67,2854.0000,2827.0000,2854.0000,2798.0000,32730484,919072,888723,31562,128,,,32730484.00,
09/04/2017,2827.0000,2827.0000,0.60,2802.0000,2810.0000,2866.0000,2798.0000,32730484,925291,799158,28201,100,,,32730484.00,
06/04/2017,2810.0000,2810.0000,-0.32,2800.0000,2819.0000,2819.0000,2776.0000,32730484,919727,2591241,92569,249,,,32730484.00,
05/04/2017,2819.0000,2819.0000,2.36,2756.0000,2754.0000,2900.0000,2752.0000,32730484,922672,6565309,233136,466,,,32730484.00,
04/04/2017,2754.0000,2754.0000,0.77,2725.0000,2733.0000,2761.0000,2693.0000,32730484,901398,1368958,49883,181,,,32730484.00,
03/04/2017,2733.0000,2733.0000,1.52,2676.0000,2692.0000,2749.0000,2644.0000,32730484,894524,2812330,104139,284,,,32730484.00,
02/04/2017,2692.0000,2692.0000,-0.22,2705.0000,2698.0000,2705.0000,2674.0000,32730484,881105,727095,26967,99,,,32730484.00,
30/03/2017,2698.0000,2698.0000,0.00,2698.0000,2698.0000,2706.0000,2611.0000,32730484,883068,2611762,97638,271,,,32730484.00,
29/03/2017,2698.0000,2698.0000,-2.88,2744.0000,2778.0000,2744.0000,2672.0000,32730484,883068,9077667,335492,518,,,32730484.00,
28/03/2017,2778.0000,2778.0000,2.97,2706.0000,2698.0000,2788.0000,2706.0000,32730484,909253,7990790,291202,369,,,32730484.00,
27/03/2017,2698.0000,2698.0000,0.33,2681.0000,2689.0000,2727.0000,2600.0000,32730484,883068,3772868,140606,315,EX D,0.99042,32730484.00,
26/03/2017,2688.9903,2715.0000,0.04,2714.0000,2714.0000,2729.0000,2697.0000,32730484,888633,1368387,50298,148,,,32730484.00,
23/03/2017,2687.9999,2714.0000,0.04,2705.0000,2713.0000,2725.0000,2686.0000,32730484,888305,2021968,74565,243,,,32730484.00,
22/03/2017,2687.0095,2713.0000,0.48,2680.0000,2700.0000,2720.0000,2673.0000,32730484,887978,3310564,122679,316,,,32730484.00,
21/03/2017,2674.1340,2700.0000,3.81,2609.0000,2601.0000,2709.0000,2609.0000,32730484,883723,3481372,130469,340,,,32730484.00,
20/03/2017,2576.0824,2601.0000,4.92,2500.0000,2479.0000,2640.0000,2477.0000,32730484,851320,13580148,534638,631,,,32730484.00,
19/03/2017,2455.2512,2479.0000,-0.64,2495.0000,2495.0000,2495.0000,2471.0000,32730484,811389,1508683,60866,198,,,32730484.00,
16/03/2017,2471.0979,2495.0000,-0.24,2500.0000,2501.0000,2536.0000,2481.0000,32730484,816626,2118279,84551,208,,,32730484.00,
15/03/2017,2477.0404,2501.0000,-0.08,2518.0000,2503.0000,2518.0000,2487.0000,32730484,818589,1929607,77054,169,,,32730484.00,
14/03/2017,2479.0213,2503.0000,0.56,2489.0000,2489.0000,2520.0000,2487.0000,32730484,819244,1646820,65818,230,,,32730484.00,
13/03/2017,2465.1554,2489.0000,0.08,2519.0000,2487.0000,2519.0000,2474.0000,32730484,814662,2402615,96478,173,,,32730484.00,
09/03/2017,2463.1745,2487.0000,-0.56,2498.0000,2501.0000,2498.0000,2475.0000,32730484,814007,730452,29369,170,,,32730484.00,
08/03/2017,2477.0404,2501.0000,0.16,2483.0000,2497.0000,2518.0000,2483.0000,32730484,818589,504930,20220,98,,,32730484.00,
07/03/2017,2473.0787,2497.0000,-0.28,2504.0000,2504.0000,2502.0000,2470.0000,32730484,817280,739164,29729,120,,,32730484.00,
06/03/2017,2480.0117,2504.0000,-0.79,2524.0000,2524.0000,2531.0000,2490.0000,32730484,819571,859266,34308,166,,,32730484.00,
