Historical Prices - NETO - 00168013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,42130.0000,42130.0000,0.12,42080.0000,42080.0000,42860.0000,41820.0000,3699256,1558497,775724,1833,122,,,3699256.00,
28/05/2017,42080.0000,42080.0000,-1.68,42300.0000,42800.0000,42590.0000,40510.0000,3699256,1556647,1940663,4682,246,,,3699256.00,
25/05/2017,42800.0000,42800.0000,-6.14,45550.0000,45600.0000,46500.0000,41300.0000,3699256,1583282,2717415,6248,278,,,3699256.00,
24/05/2017,45600.0000,45600.0000,1.09,45080.0000,45110.0000,46430.0000,45080.0000,3699256,1686861,2042542,4455,189,,,3699256.00,
23/05/2017,45110.0000,45110.0000,4.45,43190.0000,43190.0000,45700.0000,42920.0000,3699256,1668734,1019078,2267,162,,,3699256.00,
22/05/2017,43190.0000,43190.0000,2.39,42900.0000,42180.0000,43870.0000,42660.0000,3699256,1597709,1960248,4530,322,,,3699256.00,
21/05/2017,42180.0000,42180.0000,2.30,41330.0000,41230.0000,42990.0000,41330.0000,3699256,1560346,534846,1269,118,,,3699256.00,
18/05/2017,41230.0000,41230.0000,-0.48,42300.0000,41430.0000,42300.0000,40910.0000,3699256,1525203,1021644,2475,175,,,3699256.00,
17/05/2017,41430.0000,41430.0000,-2.52,42490.0000,42500.0000,42490.0000,41040.0000,3699256,1532602,4225755,10020,302,,,3699256.00,
16/05/2017,42500.0000,42500.0000,2.68,41930.0000,41390.0000,43000.0000,41440.0000,3699256,1572184,1410780,3360,230,,,3699256.00,
15/05/2017,41390.0000,41390.0000,0.15,41330.0000,41330.0000,41650.0000,41040.0000,3699256,1531122,1024963,2480,114,,,3699256.00,
14/05/2017,41330.0000,41330.0000,1.18,40850.0000,40850.0000,41700.0000,40910.0000,3699256,1528903,1996421,4831,131,,,3699256.00,
11/05/2017,40850.0000,40850.0000,1.49,40250.0000,40250.0000,41190.0000,40570.0000,3699256,1511146,800139,1957,123,,,3699256.00,
10/05/2017,40250.0000,40250.0000,-0.27,40360.0000,40360.0000,41000.0000,39550.0000,3699256,1488951,16011199,39983,186,,,3699256.00,
09/05/2017,40360.0000,40360.0000,-0.17,40430.0000,40430.0000,41050.0000,40050.0000,3699256,1493020,1260510,3114,145,,,3699256.00,
08/05/2017,40430.0000,40430.0000,-0.42,40600.0000,40600.0000,40720.0000,40070.0000,3699256,1495609,1237541,3052,108,,,3699256.00,
07/05/2017,40600.0000,40600.0000,1.86,39860.0000,39860.0000,40860.0000,39860.0000,3699256,1501898,523925,1295,81,,,3699256.00,
04/05/2017,39860.0000,39860.0000,-1.12,40400.0000,40310.0000,40400.0000,39260.0000,3699256,1474523,1607755,4035,149,,,3699256.00,
03/05/2017,40310.0000,40310.0000,1.03,39990.0000,39900.0000,40730.0000,39990.0000,3699256,1491170,922534,2286,100,,,3699256.00,
30/04/2017,39900.0000,39900.0000,0.05,39880.0000,39880.0000,40610.0000,39850.0000,3699256,1476003,1325791,3299,113,,,3699256.00,
27/04/2017,39880.0000,39880.0000,0.78,39590.0000,39570.0000,39960.0000,38750.0000,3699256,1475263,2427651,6105,155,,,3699256.00,
26/04/2017,39570.0000,39570.0000,3.45,38250.0000,38250.0000,39900.0000,38200.0000,3699256,1463796,722170,1840,85,,,3699256.00,
25/04/2017,38250.0000,38250.0000,2.03,37490.0000,37490.0000,38300.0000,37120.0000,3699256,1414965,341962,904,53,,,3699256.00,
24/04/2017,37490.0000,37490.0000,0.16,37430.0000,37430.0000,38000.0000,37020.0000,3699256,1386851,1375550,3657,153,,,3699256.00,
23/04/2017,37430.0000,37430.0000,-1.14,38240.0000,37860.0000,38240.0000,37400.0000,3699256,1384632,960775,2547,94,,,3699256.00,
20/04/2017,37860.0000,37860.0000,-0.21,37940.0000,37940.0000,38050.0000,37120.0000,3699256,1400538,1948604,5148,140,,,3699256.00,
19/04/2017,37940.0000,37940.0000,4.12,36440.0000,36440.0000,38090.0000,36370.0000,3699256,1403498,466593,1242,69,,,3699256.00,
18/04/2017,36440.0000,36440.0000,-2.17,37150.0000,37250.0000,37330.0000,36360.0000,3699256,1348009,598869,1635,96,,,3699256.00,
13/04/2017,37250.0000,37250.0000,-1.46,37800.0000,37800.0000,37800.0000,37150.0000,3699256,1377973,333988,892,69,,,3699256.00,
12/04/2017,37800.0000,37800.0000,0.80,37800.0000,37500.0000,37800.0000,37730.0000,3699256,1398319,393434,1041,39,,,3699256.00,
09/04/2017,37500.0000,37500.0000,-0.11,37540.0000,37540.0000,37950.0000,37030.0000,3699256,1387221,410339,1097,60,,,3699256.00,
06/04/2017,37540.0000,37540.0000,-1.11,38360.0000,37960.0000,38370.0000,37270.0000,3699256,1388701,1828305,4866,142,EX D,0.98931,3699256.00,
05/04/2017,37959.8247,38370.0000,1.70,37730.0000,37730.0000,38430.0000,36920.0000,3699256,1419405,1460134,3849,175,,,3699256.00,
04/04/2017,37326.6663,37730.0000,6.04,35580.0000,35580.0000,37990.0000,35750.0000,3699256,1395729,633527,1709,99,,,3699256.00,
03/04/2017,35199.6498,35580.0000,3.70,34310.0000,34310.0000,35810.0000,34400.0000,3699256,1316195,721741,2059,123,,,3699256.00,
02/04/2017,33943.2261,34310.0000,0.85,34020.0000,34020.0000,34500.0000,33820.0000,3699256,1269215,94943,277,28,,,3699256.00,
30/03/2017,33656.3262,34020.0000,-0.53,34260.0000,34200.0000,34400.0000,33840.0000,3699256,1258487,362070,1062,73,,,3699256.00,
29/03/2017,33834.4020,34200.0000,-0.32,34310.0000,34310.0000,35050.0000,33910.0000,3699256,1265146,364083,1056,91,,,3699256.00,
28/03/2017,33943.2261,34310.0000,3.06,33290.0000,33290.0000,34490.0000,33690.0000,3699256,1269215,655099,1929,104,,,3699256.00,
27/03/2017,32934.1299,33290.0000,-3.03,34200.0000,34330.0000,34200.0000,33140.0000,3699256,1231482,589758,1765,144,,,3699256.00,
26/03/2017,33963.0123,34330.0000,-0.15,34380.0000,34380.0000,34700.0000,34020.0000,3699256,1269955,205597,596,52,,,3699256.00,
23/03/2017,34012.4778,34380.0000,0.64,34160.0000,34160.0000,34740.0000,34160.0000,3699256,1271804,317948,924,77,,,3699256.00,
22/03/2017,33794.8296,34160.0000,-1.70,34730.0000,34750.0000,34730.0000,34040.0000,3699256,1263666,384308,1123,82,,,3699256.00,
21/03/2017,34378.5225,34750.0000,3.70,33510.0000,33510.0000,34870.0000,33620.0000,3699256,1285491,628873,1839,69,,,3699256.00,
20/03/2017,33151.7781,33510.0000,0.66,33290.0000,33290.0000,33700.0000,33300.0000,3699256,1239621,556985,1659,79,,,3699256.00,
19/03/2017,32934.1299,33290.0000,-1.22,33700.0000,33700.0000,33940.0000,33200.0000,3699256,1231482,404095,1202,54,,,3699256.00,
16/03/2017,33339.7470,33700.0000,0.27,33610.0000,33610.0000,34020.0000,33550.0000,3699256,1246649,841186,2482,78,,,3699256.00,
15/03/2017,33250.7091,33610.0000,-2.07,34320.0000,34320.0000,34240.0000,33470.0000,3699256,1243320,1429298,4227,157,,,3699256.00,
14/03/2017,33953.1192,34320.0000,-0.32,34010.0000,34430.0000,34690.0000,33900.0000,3699256,1269585,920791,2688,131,,,3699256.00,
13/03/2017,34061.9433,34430.0000,6.50,32500.0000,32330.0000,34920.0000,32500.0000,3699256,1273654,1858428,5468,226,,,3699256.00,
09/03/2017,31984.3923,32330.0000,3.22,31800.0000,31320.0000,32440.0000,31530.0000,3699256,1195969,226470,706,87,,,3699256.00,
08/03/2017,30985.1892,31320.0000,-0.19,31190.0000,31380.0000,31790.0000,31190.0000,3699256,1158607,238279,760,89,,,3699256.00,
07/03/2017,31044.5478,31380.0000,-0.38,31500.0000,31500.0000,31630.0000,31350.0000,3699256,1160827,233697,744,58,,,3699256.00,
06/03/2017,31163.2650,31500.0000,-2.30,32240.0000,32240.0000,32080.0000,31420.0000,3699256,1165266,374490,1182,91,,,3699256.00,
05/03/2017,31895.3544,32240.0000,-0.92,32540.0000,32540.0000,32900.0000,32010.0000,3699256,1192640,402408,1235,70,,,3699256.00,
02/03/2017,32192.1474,32540.0000,3.01,31700.0000,31590.0000,32540.0000,31320.0000,3699256,1203738,1273973,3936,116,,,3699256.00,
01/03/2017,31252.3029,31590.0000,0.38,31470.0000,31470.0000,32470.0000,31470.0000,3699256,1168595,843477,2652,130,,,3699256.00,
28/02/2017,31133.5857,31470.0000,-0.32,31570.0000,31570.0000,31940.0000,31210.0000,3699256,1164156,405373,1285,90,,,3699256.00,
27/02/2017,31232.5167,31570.0000,-0.54,31740.0000,31740.0000,31890.0000,31430.0000,3699256,1167855,472022,1486,91,,,3699256.00,
26/02/2017,31400.6994,31740.0000,0.38,31620.0000,31620.0000,31880.0000,31330.0000,3699256,1174144,216347,684,36,,,3699256.00,
23/02/2017,31281.9822,31620.0000,1.51,31100.0000,31150.0000,31700.0000,31100.0000,3699256,1169705,389775,1244,69,,,3699256.00,
22/02/2017,30817.0065,31150.0000,-0.38,31270.0000,31270.0000,31390.0000,31010.0000,3699256,1152318,369697,1187,68,,,3699256.00,
21/02/2017,30935.7237,31270.0000,2.19,30600.0000,30600.0000,31800.0000,30560.0000,3699256,1156757,391690,1255,79,,,3699256.00,
20/02/2017,30272.8860,30600.0000,1.66,30100.0000,30100.0000,30790.0000,30050.0000,3699256,1131972,135647,446,42,,,3699256.00,
19/02/2017,29778.2310,30100.0000,1.18,29750.0000,29750.0000,30140.0000,29800.0000,3699256,1113476,78563,262,19,,,3699256.00,
16/02/2017,29431.9725,29750.0000,0.40,29040.0000,29630.0000,29940.0000,29040.0000,3699256,1100529,183277,618,41,,,3699256.00,
15/02/2017,29313.2553,29630.0000,-1.04,29940.0000,29940.0000,30190.0000,29500.0000,3699256,1096090,912666,3078,130,,,3699256.00,
14/02/2017,29619.9414,29940.0000,-0.27,30020.0000,30020.0000,30200.0000,29720.0000,3699256,1107557,363697,1213,69,,,3699256.00,
13/02/2017,29699.0862,30020.0000,0.81,29610.0000,29780.0000,30120.0000,29610.0000,3699256,1110517,646001,2155,80,,,3699256.00,
12/02/2017,29461.6518,29780.0000,-0.23,30750.0000,29850.0000,30820.0000,29730.0000,3699256,1101638,488019,1611,90,,,3699256.00,
09/02/2017,29530.9035,29850.0000,-0.67,30050.0000,30050.0000,30090.0000,29650.0000,3699256,1104228,12161850,40743,189,,,3699256.00,
08/02/2017,29728.7655,30050.0000,2.45,29100.0000,29330.0000,30130.0000,29100.0000,3699256,1111626,3627202,12353,117,,,3699256.00,
07/02/2017,29016.4623,29330.0000,-0.48,29380.0000,29470.0000,30010.0000,29280.0000,3699256,1084992,1110468,3776,161,,,3699256.00,
06/02/2017,29154.9657,29470.0000,-0.20,29530.0000,29530.0000,29840.0000,29380.0000,3699256,1090171,858462,2898,140,,,3699256.00,
05/02/2017,29214.3243,29530.0000,0.41,29500.0000,29410.0000,30030.0000,29460.0000,3699256,1092390,394351,1332,102,,,3699256.00,
02/02/2017,29095.6071,29410.0000,-0.54,29570.0000,29570.0000,29600.0000,29260.0000,3699256,1087951,743151,2529,155,,,3699256.00,
01/02/2017,29253.8967,29570.0000,0.44,29440.0000,29440.0000,30140.0000,29440.0000,3699256,1093870,682259,2292,137,,,3699256.00,
31/01/2017,29125.2864,29440.0000,0.48,29990.0000,29300.0000,29990.0000,29280.0000,3699256,1089061,402477,1368,62,,,3699256.00,
30/01/2017,28986.7830,29300.0000,0.76,29170.0000,29080.0000,29810.0000,28940.0000,3699256,1083882,373066,1275,71,,,3699256.00,
29/01/2017,28769.1348,29080.0000,0.35,28980.0000,28980.0000,29160.0000,28870.0000,3699256,1075744,462077,1595,72,,,3699256.00,
26/01/2017,28670.2038,28980.0000,0.28,28730.0000,28900.0000,29100.0000,28720.0000,3699256,1072044,616028,2138,94,,,3699256.00,
25/01/2017,28591.0590,28900.0000,2.16,28290.0000,28290.0000,28930.0000,28300.0000,3699256,1069085,1181852,4125,92,,,3699256.00,
24/01/2017,27987.5799,28290.0000,1.07,27990.0000,27990.0000,28380.0000,27880.0000,3699256,1046520,735405,2613,118,,,3699256.00,
23/01/2017,27690.7869,27990.0000,-1.24,28200.0000,28340.0000,28310.0000,27860.0000,3699256,1035422,1151860,4099,139,,,3699256.00,
22/01/2017,28037.0454,28340.0000,0.82,28110.0000,28110.0000,28740.0000,28110.0000,3699256,1048369,936066,3294,87,,,3699256.00,
19/01/2017,27809.5041,28110.0000,-0.88,28360.0000,28360.0000,28450.0000,28060.0000,3699256,1039861,1926962,6812,116,,,3699256.00,
18/01/2017,28056.8316,28360.0000,0.42,28240.0000,28240.0000,28450.0000,28200.0000,3699256,1049109,3208674,11360,86,,,3699256.00,
17/01/2017,27938.1144,28240.0000,-0.11,28270.0000,28270.0000,28440.0000,28050.0000,3699256,1044670,413371,1468,72,,,3699256.00,
