Historical Prices - NISSAN - 00660019
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3229.0000,3229.0000,-1.94,3293.0000,3293.0000,3308.0000,3224.0000,9083524,293307,177151,5429,39,,,9083524.00,
28/05/2017,3293.0000,3293.0000,-1.64,3348.0000,3348.0000,3387.0000,3233.0000,9083524,299120,265828,7961,36,,,9083524.00,
25/05/2017,3348.0000,3348.0000,0.51,3331.0000,3331.0000,3377.0000,3310.0000,9083524,304116,124881,3743,16,,,9083524.00,
24/05/2017,3331.0000,3331.0000,-1.07,3360.0000,3367.0000,3366.0000,3306.0000,9083524,302572,227614,6825,30,,,9083524.00,
23/05/2017,3367.0000,3367.0000,0.15,3362.0000,3362.0000,3410.0000,3300.0000,9083524,305842,52369,1559,17,,,9083524.00,
22/05/2017,3362.0000,3362.0000,0.21,3355.0000,3355.0000,3384.0000,3354.0000,9083524,305388,34260,1019,12,,,9083524.00,
21/05/2017,3355.0000,3355.0000,0.09,3352.0000,3352.0000,3369.0000,3324.0000,9083524,304752,23116,689,12,,,9083524.00,
18/05/2017,3352.0000,3352.0000,-0.83,3380.0000,3380.0000,3374.0000,3335.0000,9083524,304480,77434,2307,14,,,9083524.00,
17/05/2017,3380.0000,3380.0000,-2.48,3466.0000,3466.0000,3464.0000,3356.0000,9083524,307023,49920,1474,20,,,9083524.00,
16/05/2017,3466.0000,3466.0000,1.79,3405.0000,3405.0000,3514.0000,3420.0000,9083524,314835,89601,2589,30,,,9083524.00,
15/05/2017,3405.0000,3405.0000,0.00,3405.0000,3405.0000,3405.0000,3405.0000,9083524,309294,783,23,1,,,9083524.00,
14/05/2017,3405.0000,3405.0000,0.38,3392.0000,3392.0000,3412.0000,3399.0000,9083524,309294,29182,857,11,,,9083524.00,
11/05/2017,3392.0000,3392.0000,0.27,3383.0000,3383.0000,3424.0000,3347.0000,9083524,308113,344372,10173,41,,,9083524.00,
10/05/2017,3383.0000,3383.0000,-0.27,3392.0000,3392.0000,3400.0000,3355.0000,9083524,307296,46960,1388,15,,,9083524.00,
09/05/2017,3392.0000,3392.0000,-0.35,3404.0000,3404.0000,3404.0000,3337.0000,9083524,308113,120175,3543,21,,,9083524.00,
08/05/2017,3404.0000,3404.0000,-0.06,3406.0000,3406.0000,3455.0000,3372.0000,9083524,309203,142765,4186,24,,,9083524.00,
07/05/2017,3406.0000,3406.0000,1.61,3352.0000,3352.0000,3412.0000,3354.0000,9083524,309385,52214,1533,12,,,9083524.00,
04/05/2017,3352.0000,3352.0000,-0.39,3365.0000,3365.0000,3365.0000,3298.0000,9083524,304480,295589,8822,21,,,9083524.00,
03/05/2017,3365.0000,3365.0000,0.78,3339.0000,3339.0000,3385.0000,3315.0000,9083524,305661,193800,5810,34,,,9083524.00,
30/04/2017,3339.0000,3339.0000,2.33,3263.0000,3263.0000,3410.0000,3261.0000,9083524,303299,42065,1260,15,,,9083524.00,
27/04/2017,3263.0000,3263.0000,-0.64,3284.0000,3284.0000,3300.0000,3207.0000,9083524,296395,50200,1543,14,,,9083524.00,
26/04/2017,3284.0000,3284.0000,-1.62,3338.0000,3338.0000,3332.0000,3215.0000,9083524,298303,223493,6849,50,,,9083524.00,
25/04/2017,3338.0000,3338.0000,-0.09,3341.0000,3341.0000,3346.0000,3327.0000,9083524,303208,4739,142,4,,,9083524.00,
24/04/2017,3341.0000,3341.0000,0.03,3340.0000,3340.0000,3373.0000,3290.0000,9083524,303481,103941,3111,15,,,9083524.00,
23/04/2017,3340.0000,3340.0000,0.36,3328.0000,3328.0000,3400.0000,3298.0000,9083524,303390,38279,1146,8,,,9083524.00,
20/04/2017,3328.0000,3328.0000,-0.95,3360.0000,3360.0000,3352.0000,3320.0000,9083524,302300,118241,3553,22,,,9083524.00,
19/04/2017,3360.0000,3360.0000,-0.50,3377.0000,3377.0000,3415.0000,3320.0000,9083524,305206,238830,7142,60,,,9083524.00,
18/04/2017,3377.0000,3377.0000,-2.03,3447.0000,3447.0000,3445.0000,3330.0000,9083524,306751,63716,1881,20,,,9083524.00,
13/04/2017,3447.0000,3447.0000,-1.43,3497.0000,3497.0000,3555.0000,3375.0000,9083524,313109,17547,509,9,,,9083524.00,
12/04/2017,3497.0000,3497.0000,0.14,3492.0000,3492.0000,3527.0000,3423.0000,9083524,317651,111928,3216,17,,,9083524.00,
09/04/2017,3492.0000,3492.0000,-1.77,3555.0000,3555.0000,3516.0000,3474.0000,9083524,317197,24337,697,9,,,9083524.00,
06/04/2017,3555.0000,3555.0000,1.95,3487.0000,3487.0000,3555.0000,3484.0000,9083524,322919,353527,10034,33,,,9083524.00,
05/04/2017,3487.0000,3487.0000,3.90,3356.0000,3356.0000,3591.0000,3420.0000,9083524,316742,45477,1306,15,,,9083524.00,
04/04/2017,3356.0000,3356.0000,1.08,3320.0000,3320.0000,3386.0000,3333.0000,9083524,304843,55657,1660,10,,,9083524.00,
03/04/2017,3320.0000,3320.0000,0.82,3293.0000,3293.0000,3320.0000,3320.0000,9083524,301573,3752,113,4,,,9083524.00,
