Historical Prices - NORSTAR - 00723007
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6951.0000,6951.0000,-1.00,7042.0000,7021.0000,7148.0000,6951.0000,26053708,1810993,1613187,22989,214,,,26053708.00,
28/05/2017,7021.0000,7021.0000,-0.40,7070.0000,7049.0000,7300.0000,7013.0000,26053708,1829231,1207961,17038,233,,,26053708.00,
25/05/2017,7049.0000,7049.0000,-1.26,7139.0000,7139.0000,7195.0000,7010.0000,26053708,1836526,1109309,15678,215,,,26053708.00,
24/05/2017,7139.0000,7139.0000,-0.85,7200.0000,7200.0000,7251.0000,7061.0000,26053708,1859974,645122,9025,158,,,26053708.00,
23/05/2017,7200.0000,7200.0000,-0.79,7257.0000,7257.0000,7374.0000,7091.0000,26053708,1875867,1949725,27183,363,,,26053708.00,
22/05/2017,7257.0000,7257.0000,0.79,7200.0000,7200.0000,7400.0000,7189.0000,26053708,1890718,1731756,23699,308,,,26053708.00,
21/05/2017,7200.0000,7200.0000,2.84,7100.0000,7001.0000,7266.0000,7100.0000,26053708,1875867,1153942,16031,202,,,26053708.00,
18/05/2017,7001.0000,7001.0000,-4.45,7300.0000,7327.0000,7324.0000,6958.0000,26053708,1824020,2164812,30421,357,,,26053708.00,
17/05/2017,7327.0000,7327.0000,-5.02,7600.0000,7714.0000,7600.0000,7300.0000,26053708,1908955,2841353,37856,310,,,26053708.00,
16/05/2017,7714.0000,7714.0000,-0.78,7775.0000,7775.0000,7868.0000,7700.0000,26053708,2009783,690022,8877,131,,,26053708.00,
15/05/2017,7775.0000,7775.0000,-0.68,7889.0000,7828.0000,7889.0000,7663.0000,26053708,2025676,2062081,26451,295,,,26053708.00,
14/05/2017,7828.0000,7828.0000,-0.85,7895.0000,7895.0000,7891.0000,7748.0000,26053708,2039484,781913,10001,120,,,26053708.00,
11/05/2017,7895.0000,7895.0000,0.25,7875.0000,7875.0000,7975.0000,7800.0000,26053708,2056940,1913550,24255,271,,,26053708.00,
10/05/2017,7875.0000,7875.0000,0.46,7839.0000,7839.0000,7910.0000,7750.0000,26053708,2051730,1217795,15530,176,,,26053708.00,
09/05/2017,7839.0000,7839.0000,-0.39,7846.0000,7870.0000,7887.0000,7700.0000,26053708,2042350,1901718,24302,247,,,26053708.00,
08/05/2017,7870.0000,7870.0000,2.00,7800.0000,7716.0000,7876.0000,7726.0000,26053708,2050427,3697770,47323,313,,,26053708.00,
07/05/2017,7716.0000,7716.0000,2.67,7511.0000,7515.0000,7716.0000,7511.0000,26053708,2010304,937612,12239,141,,,26053708.00,
