Historical Prices - O.R.T. - 01086230
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,5182.0000,5182.0000,-1.86,5370.0000,5280.0000,5370.0000,5125.0000,5704988,295632,705741,13636,104,,,5704988.00,
28/05/2017,5280.0000,5280.0000,0.53,5724.0000,5252.0000,5724.0000,5257.0000,5704988,301223,27034,512,21,,,5704988.00,
25/05/2017,5252.0000,5252.0000,-2.58,5150.0000,5391.0000,5499.0000,5150.0000,5704988,299626,474463,9070,67,,,5704988.00,
24/05/2017,5391.0000,5391.0000,0.52,5430.0000,5363.0000,5497.0000,5275.0000,5704988,307556,88933,1643,24,,,5704988.00,
23/05/2017,5363.0000,5363.0000,0.56,5400.0000,5333.0000,5400.0000,5325.0000,5704988,305959,54003,1007,12,,,5704988.00,
22/05/2017,5333.0000,5333.0000,-0.32,5350.0000,5350.0000,5691.0000,5268.0000,5704988,304247,329729,6160,44,,,5704988.00,
21/05/2017,5350.0000,5350.0000,-0.06,5353.0000,5353.0000,5421.0000,5228.0000,5704988,305217,304730,5674,34,,,5704988.00,
18/05/2017,5353.0000,5353.0000,-2.64,5500.0000,5498.0000,5700.0000,5230.0000,5704988,305388,3004411,56471,115,,,5704988.00,
17/05/2017,5498.0000,5498.0000,-7.41,5926.0000,5938.0000,7250.0000,5250.0000,5704988,313660,4916906,78169,464,,,5704988.00,
16/05/2017,5938.0000,5938.0000,1.04,5877.0000,5877.0000,5940.0000,5930.0000,5704988,338762,51955,875,10,,,5704988.00,
15/05/2017,5877.0000,5877.0000,0.50,5848.0000,5848.0000,5904.0000,5849.0000,5704988,335282,14223,242,6,,,5704988.00,
14/05/2017,5848.0000,5848.0000,0.83,5800.0000,5800.0000,5939.0000,5743.0000,5704988,333628,90807,1556,23,,,5704988.00,
11/05/2017,5800.0000,5800.0000,-0.46,5827.0000,5827.0000,5849.0000,5794.0000,5704988,330889,145290,2505,12,,,5704988.00,
10/05/2017,5827.0000,5827.0000,0.02,5830.0000,5826.0000,5906.0000,5750.0000,5704988,332430,115177,1970,28,,,5704988.00,
09/05/2017,5826.0000,5826.0000,1.45,5743.0000,5743.0000,5833.0000,5782.0000,5704988,332373,83442,1432,11,,,5704988.00,
08/05/2017,5743.0000,5743.0000,0.58,5710.0000,5710.0000,5750.0000,5691.0000,5704988,327637,45793,798,10,,,5704988.00,
07/05/2017,5710.0000,5710.0000,-0.56,5742.0000,5742.0000,5727.0000,5690.0000,5704988,325755,17758,311,7,,,5704988.00,
04/05/2017,5742.0000,5742.0000,-0.14,5750.0000,5750.0000,5750.0000,5685.0000,5704988,327580,374730,6529,32,,,5704988.00,
03/05/2017,5750.0000,5750.0000,-0.47,5777.0000,5777.0000,5750.0000,5689.0000,5704988,328037,59080,1029,8,,,5704988.00,
30/04/2017,5777.0000,5777.0000,3.31,5592.0000,5592.0000,5820.0000,5659.0000,5704988,329577,197988,3413,35,,,5704988.00,
27/04/2017,5592.0000,5592.0000,-0.43,5616.0000,5616.0000,5616.0000,5516.0000,5704988,319023,43393,776,9,,,5704988.00,
26/04/2017,5616.0000,5616.0000,7.32,5233.0000,5233.0000,5714.0000,5120.0000,5704988,320392,792270,14790,71,,,5704988.00,
25/04/2017,5233.0000,5233.0000,0.25,5220.0000,5220.0000,5242.0000,5206.0000,5704988,298542,31761,607,6,,,5704988.00,
24/04/2017,5220.0000,5220.0000,-0.50,5246.0000,5246.0000,5447.0000,5100.0000,5704988,297800,138065,2615,31,,,5704988.00,
23/04/2017,5246.0000,5246.0000,3.00,5093.0000,5093.0000,5250.0000,5079.0000,5704988,299284,509226,9959,45,,,5704988.00,
20/04/2017,5093.0000,5093.0000,-1.81,5187.0000,5187.0000,5152.0000,5080.0000,5704988,290555,82667,1623,17,,,5704988.00,
19/04/2017,5187.0000,5187.0000,-1.22,5251.0000,5251.0000,5247.0000,5107.0000,5704988,295918,104775,2033,22,,,5704988.00,
18/04/2017,5251.0000,5251.0000,-1.67,5336.0000,5340.0000,5336.0000,5229.0000,5704988,299569,84244,1601,18,,,5704988.00,
13/04/2017,5340.0000,5340.0000,0.91,5292.0000,5292.0000,5415.0000,5148.0000,5704988,304646,72856,1365,14,,,5704988.00,
12/04/2017,5292.0000,5292.0000,-0.90,5340.0000,5340.0000,5314.0000,5197.0000,5704988,301908,80851,1535,13,,,5704988.00,
09/04/2017,5340.0000,5340.0000,-0.74,5380.0000,5380.0000,5350.0000,5313.0000,5704988,304646,35831,671,7,,,5704988.00,
06/04/2017,5380.0000,5380.0000,2.24,5262.0000,5262.0000,5380.0000,5257.0000,5704988,306928,246259,4621,24,,,5704988.00,
05/04/2017,5262.0000,5262.0000,0.52,5006.0000,5235.0000,5275.0000,5000.0000,5704988,300196,122390,2347,24,,,5704988.00,
04/04/2017,5235.0000,5235.0000,-0.51,5262.0000,5262.0000,5283.0000,5203.0000,5704988,298656,50724,969,15,,,5704988.00,
03/04/2017,5262.0000,5262.0000,0.34,5244.0000,5244.0000,5268.0000,5256.0000,5704988,300196,4315,82,6,,,5704988.00,
02/04/2017,5244.0000,5244.0000,0.87,5258.0000,5199.0000,5282.0000,5200.0000,5704988,299170,76987,1468,14,,,5704988.00,
30/03/2017,5199.0000,5199.0000,2.30,5082.0000,5082.0000,5287.0000,5046.0000,5704988,296602,115423,2227,19,,,5704988.00,
29/03/2017,5082.0000,5082.0000,1.68,4998.0000,4998.0000,5100.0000,4998.0000,5704988,289927,224112,4464,23,,,5704988.00,
28/03/2017,4998.0000,4998.0000,0.24,4960.0000,4986.0000,5094.0000,4801.0000,5704988,285135,531187,10764,46,,,5704988.00,
27/03/2017,4986.0000,4986.0000,-0.32,5002.0000,5002.0000,5005.0000,4960.0000,5704988,284451,29317,588,12,,,5704988.00,
26/03/2017,5002.0000,5002.0000,-0.50,5027.0000,5027.0000,5271.0000,4985.0000,5704988,285364,115850,2300,33,,,5704988.00,
23/03/2017,5027.0000,5027.0000,1.15,4970.0000,4970.0000,5044.0000,4997.0000,5704988,286790,49181,979,16,,,5704988.00,
22/03/2017,4970.0000,4970.0000,-0.70,5005.0000,5005.0000,5005.0000,4960.0000,5704988,283538,66647,1341,17,,,5704988.00,
21/03/2017,5005.0000,5005.0000,-0.14,5005.0000,5012.0000,5016.0000,5005.0000,5704988,285535,79542,1589,17,,,5704988.00,
20/03/2017,5012.0000,5012.0000,0.26,4999.0000,4999.0000,5059.0000,4997.0000,5704988,285934,269257,5379,18,,,5704988.00,
19/03/2017,4999.0000,4999.0000,-0.70,5034.0000,5034.0000,5040.0000,4969.0000,5704988,285192,28647,573,12,,,5704988.00,
16/03/2017,5034.0000,5034.0000,-0.47,5058.0000,5058.0000,5073.0000,4981.0000,5704988,287189,100715,2008,23,,,5704988.00,
15/03/2017,5058.0000,5058.0000,-0.90,5104.0000,5104.0000,5118.0000,5000.0000,5704988,288558,60366,1192,17,,,5704988.00,
14/03/2017,5104.0000,5104.0000,-0.02,5105.0000,5105.0000,5134.0000,4988.0000,5704988,291183,77110,1511,19,,,5704988.00,
