Historical Prices - PALRAM - 00644013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2617.0000,2617.0000,-4.66,2745.0000,2745.0000,2752.0000,2575.0000,25725487,673236,728213,27220,126,,,25725487.00,
28/05/2017,2745.0000,2745.0000,-1.33,2782.0000,2782.0000,2789.0000,2741.0000,25725487,706165,184654,6676,53,,,25725487.00,
25/05/2017,2782.0000,2782.0000,-0.14,2732.0000,2786.0000,2795.0000,2732.0000,25725487,715683,139761,5030,49,,,25725487.00,
24/05/2017,2786.0000,2786.0000,2.09,2729.0000,2729.0000,2799.0000,2704.0000,25725487,716712,409795,14801,79,,,25725487.00,
23/05/2017,2729.0000,2729.0000,-0.44,2741.0000,2741.0000,2760.0000,2699.0000,25725487,702049,2219771,81829,64,,,25725487.00,
22/05/2017,2741.0000,2741.0000,1.07,2712.0000,2712.0000,2753.0000,2713.0000,25725487,705136,130684,4776,43,,,25725487.00,
21/05/2017,2712.0000,2712.0000,0.18,2707.0000,2707.0000,2751.0000,2652.0000,25725487,697675,261210,9650,78,,,25725487.00,
18/05/2017,2707.0000,2707.0000,-0.81,2729.0000,2729.0000,2736.0000,2668.0000,25725487,696389,294023,10869,76,,,25725487.00,
17/05/2017,2729.0000,2729.0000,-2.67,2804.0000,2804.0000,2818.0000,2717.0000,25725487,702049,284592,10359,99,,,25725487.00,
16/05/2017,2804.0000,2804.0000,0.54,2789.0000,2789.0000,2819.0000,2774.0000,25725487,721343,414806,14904,89,EX D,0.98343,25725487.00,
15/05/2017,2789.0075,2836.0000,-1.70,2887.0000,2885.0000,2900.0000,2811.0000,25725487,729575,273466,9598,85,,,25725487.00,
14/05/2017,2837.1956,2885.0000,0.56,2869.0000,2869.0000,2902.0000,2879.0000,25725487,742180,246145,8519,50,,,25725487.00,
11/05/2017,2821.4607,2869.0000,1.81,2808.0000,2818.0000,2876.0000,2796.0000,25725487,738064,387485,13610,102,,,25725487.00,
10/05/2017,2771.3057,2818.0000,1.00,2790.0000,2790.0000,2822.0000,2783.0000,25725487,724944,2805453,99890,96,,,25725487.00,
09/05/2017,2743.7697,2790.0000,-1.31,2827.0000,2827.0000,2830.0000,2772.0000,25725487,717741,4327095,153816,458,,,25725487.00,
08/05/2017,2780.1566,2827.0000,-1.94,2883.0000,2883.0000,2883.0000,2818.0000,25725487,727260,3471763,121927,134,,,25725487.00,
07/05/2017,2835.2287,2883.0000,-0.48,2897.0000,2897.0000,2897.0000,2852.0000,25725487,741666,615050,21324,114,,,25725487.00,
04/05/2017,2848.9967,2897.0000,0.56,2881.0000,2881.0000,2930.0000,2881.0000,25725487,745267,991629,34186,112,,,25725487.00,
