Historical Prices - PARTNER - 01083484
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1960.0000,1960.0000,2.40,1920.0000,1914.0000,2019.0000,1902.0000,159217213,3120657,19707134,998311,1190,,,159182830.00,
28/05/2017,1914.0000,1914.0000,1.32,1907.0000,1889.0000,1920.0000,1882.0000,159217213,3047417,3565431,187413,340,,,159182830.00,
25/05/2017,1889.0000,1889.0000,-2.33,1933.0000,1934.0000,1933.0000,1873.0000,159217213,3007613,16282597,854584,1148,,,159182830.00,
24/05/2017,1934.0000,1934.0000,-1.83,1952.0000,1970.0000,1964.0000,1910.0000,159215730,3079232,5395126,277491,615,,,159182830.00,
23/05/2017,1970.0000,1970.0000,2.07,1940.0000,1930.0000,1985.0000,1927.0000,159215730,3136550,11497593,586971,940,,,159182830.00,
22/05/2017,1930.0000,1930.0000,5.41,1862.0000,1831.0000,1968.0000,1862.0000,159215730,3072864,28691163,1487880,1544,,,159182830.00,
21/05/2017,1831.0000,1831.0000,3.27,1802.0000,1773.0000,1849.0000,1801.0000,159215730,2915240,2528248,138139,334,,,159182830.00,
18/05/2017,1773.0000,1773.0000,-2.85,1815.0000,1825.0000,1825.0000,1773.0000,159215730,2822895,10693300,594281,920,,,159182830.00,
17/05/2017,1825.0000,1825.0000,-2.67,1860.0000,1875.0000,1860.0000,1824.0000,159215730,2905687,7623635,414073,674,,,159182830.00,
16/05/2017,1875.0000,1875.0000,-0.32,1900.0000,1881.0000,1900.0000,1842.0000,159215730,2985295,2674291,143423,409,,,159182830.00,
15/05/2017,1881.0000,1881.0000,-0.27,1900.0000,1886.0000,1904.0000,1856.0000,159215730,2994848,3701574,197228,456,,,159182830.00,
14/05/2017,1886.0000,1886.0000,-3.53,1942.0000,1955.0000,1957.0000,1880.0000,159215730,3002809,6744149,352606,622,,,159182830.00,
11/05/2017,1955.0000,1955.0000,-0.36,1961.0000,1962.0000,1995.0000,1948.0000,159215730,3112668,5624609,284734,663,,,159182830.00,
10/05/2017,1962.0000,1962.0000,-0.20,1965.0000,1966.0000,1990.0000,1924.0000,159215730,3123813,4931447,252867,497,,,159182830.00,
09/05/2017,1966.0000,1966.0000,3.69,1896.0000,1896.0000,1982.0000,1896.0000,159215730,3130181,14109539,718363,1189,,,159182830.00,
08/05/2017,1896.0000,1896.0000,3.95,1815.0000,1824.0000,1913.0000,1805.0000,159215730,3018730,6690711,355934,626,,,159182830.00,
07/05/2017,1824.0000,1824.0000,1.33,1800.0000,1800.0000,1838.0000,1798.0000,159215730,2904095,2261484,124341,293,,,159182830.00,
04/05/2017,1800.0000,1800.0000,-1.59,1849.0000,1829.0000,1864.0000,1778.0000,159215730,2865883,10822754,591852,661,,,159182830.00,
03/05/2017,1829.0000,1829.0000,4.63,1748.0000,1748.0000,1830.0000,1740.0000,159215730,2912056,7138888,396942,764,,,159182830.00,
30/04/2017,1748.0000,1748.0000,-1.19,1743.0000,1769.0000,1775.0000,1741.0000,159215730,2783091,6219302,353650,486,,,159182830.00,
27/04/2017,1769.0000,1769.0000,-3.44,1817.0000,1832.0000,1823.0000,1769.0000,159215730,2816526,17502344,974370,1357,,,159182830.00,
26/04/2017,1832.0000,1832.0000,-1.08,1853.0000,1852.0000,1878.0000,1821.0000,159215730,2916832,5792063,314715,736,,,159182830.00,
25/04/2017,1852.0000,1852.0000,-0.86,1890.0000,1868.0000,1892.0000,1846.0000,159215730,2948675,9856510,529285,863,,,159182830.00,
24/04/2017,1868.0000,1868.0000,0.11,1898.0000,1866.0000,1898.0000,1844.0000,159215730,2974150,5270585,282050,650,,,159182830.00,
23/04/2017,1866.0000,1866.0000,-2.30,1925.0000,1910.0000,1925.0000,1850.0000,159215730,2970966,2413984,128865,294,,,159182830.00,
20/04/2017,1910.0000,1910.0000,-3.05,1970.0000,1970.0000,1993.0000,1910.0000,159182830,3040392,4174467,214885,483,,,159182830.00,
19/04/2017,1970.0000,1970.0000,2.60,1920.0000,1920.0000,1990.0000,1920.0000,159182830,3135902,9010038,455909,553,,,159182830.00,
18/04/2017,1920.0000,1920.0000,-0.52,1941.0000,1930.0000,1947.0000,1897.0000,159182830,3056310,1806893,94149,308,,,159182830.00,
13/04/2017,1930.0000,1930.0000,1.37,1888.0000,1904.0000,1969.0000,1884.0000,159182830,3072229,11867570,614143,779,,,159182830.00,
12/04/2017,1904.0000,1904.0000,-3.30,1969.0000,1969.0000,1969.0000,1893.0000,159182830,3030841,8547621,443233,797,,,159182830.00,
09/04/2017,1969.0000,1969.0000,-1.84,1975.0000,2006.0000,2007.0000,1956.0000,159182830,3134310,1134428,57397,217,,,159182830.00,
06/04/2017,2006.0000,2006.0000,0.50,1962.0000,1996.0000,2015.0000,1962.0000,159182830,3193208,10821126,540449,686,,,159181731.00,
05/04/2017,1996.0000,1996.0000,0.55,1970.0000,1985.0000,2010.0000,1963.0000,159182830,3177289,7061980,354484,762,,,159181731.00,
04/04/2017,1985.0000,1985.0000,0.00,1966.0000,1985.0000,1995.0000,1957.0000,159182830,3159779,3675012,185463,361,,,159181731.00,
03/04/2017,1985.0000,1985.0000,0.46,1996.0000,1976.0000,1996.0000,1943.0000,159182830,3159779,5183556,262551,487,,,159181731.00,
02/04/2017,1976.0000,1976.0000,3.73,1880.0000,1905.0000,1980.0000,1880.0000,159182830,3145453,3898849,200458,471,,,159181731.00,
30/03/2017,1905.0000,1905.0000,-3.05,1955.0000,1965.0000,1981.0000,1898.0000,159182830,3032433,16043593,823060,1005,,,159181731.00,
29/03/2017,1965.0000,1965.0000,0.51,1955.0000,1955.0000,1993.0000,1916.0000,159182830,3127943,9304695,473442,825,,,159181731.00,
28/03/2017,1955.0000,1955.0000,-0.71,1970.0000,1969.0000,1999.0000,1943.0000,159182830,3112024,8851221,450688,580,,,159181731.00,
27/03/2017,1969.0000,1969.0000,-1.84,1980.0000,2006.0000,2003.0000,1952.0000,159182830,3134310,25408296,1281584,831,,,159181731.00,
26/03/2017,2006.0000,2006.0000,-0.94,2011.0000,2025.0000,2039.0000,1998.0000,159182830,3193208,2825111,140236,310,,,159181731.00,
23/03/2017,2025.0000,2025.0000,0.65,2001.0000,2012.0000,2039.0000,1996.0000,159182830,3223452,11848561,589971,755,,,159181731.00,
22/03/2017,2012.0000,2012.0000,-1.08,2011.0000,2034.0000,2052.0000,2008.0000,159182830,3202759,13692210,677699,744,,,159181731.00,
21/03/2017,2034.0000,2034.0000,-4.42,2122.0000,2128.0000,2123.0000,2030.0000,159182830,3237779,11033390,533261,814,,,159181731.00,
20/03/2017,2128.0000,2128.0000,0.47,2102.0000,2118.0000,2139.0000,2100.0000,159182830,3387411,5957179,280244,401,,,159181731.00,
19/03/2017,2118.0000,2118.0000,-0.56,2130.0000,2130.0000,2130.0000,2100.0000,159182830,3371492,4032732,190943,401,,,159181731.00,
16/03/2017,2130.0000,2130.0000,-0.84,2170.0000,2148.0000,2178.0000,2107.0000,159182830,3390594,5900182,275192,568,,,159181731.00,
15/03/2017,2148.0000,2148.0000,-0.65,2164.0000,2162.0000,2180.0000,2112.0000,159182830,3419247,14038359,650793,977,,,159181731.00,
14/03/2017,2162.0000,2162.0000,3.00,2100.0000,2099.0000,2188.0000,2093.0000,159182830,3441533,16473771,764586,1155,,,159181731.00,
13/03/2017,2099.0000,2099.0000,-3.36,2138.0000,2172.0000,2201.0000,2071.0000,159182830,3341248,12187096,578213,1106,,,159181731.00,
09/03/2017,2172.0000,2172.0000,-3.89,2235.0000,2260.0000,2270.0000,2138.0000,159182830,3457451,34794072,1579367,2032,,,159181731.00,
08/03/2017,2260.0000,2260.0000,-1.35,2311.0000,2291.0000,2311.0000,2252.0000,159182830,3597532,2206413,96743,312,,,159181731.00,
07/03/2017,2291.0000,2291.0000,0.22,2300.0000,2286.0000,2310.0000,2246.0000,159182830,3646879,6210825,271815,587,,,159181731.00,
06/03/2017,2286.0000,2286.0000,-3.42,2360.0000,2367.0000,2361.0000,2277.0000,159182830,3638919,11173408,482629,626,,,159181731.00,
05/03/2017,2367.0000,2367.0000,0.77,2349.0000,2349.0000,2384.0000,2339.0000,159182503,3767850,2211117,93428,256,,,159181731.00,
02/03/2017,2349.0000,2349.0000,1.64,2350.0000,2311.0000,2350.0000,2290.0000,159182503,3739197,14537887,620764,630,,,159174994.00,
01/03/2017,2311.0000,2311.0000,0.65,2319.0000,2296.0000,2359.0000,2301.0000,159182503,3678708,9271480,398086,815,,,159174994.00,
28/02/2017,2296.0000,2296.0000,0.00,2300.0000,2296.0000,2344.0000,2277.0000,159181731,3654813,7247217,313892,714,,,159174994.00,
27/02/2017,2296.0000,2296.0000,-2.09,2345.0000,2345.0000,2365.0000,2283.0000,159181731,3654813,7784057,335794,899,,,159174994.00,
26/02/2017,2345.0000,2345.0000,0.43,2350.0000,2335.0000,2350.0000,2329.0000,159181731,3732812,1231712,52663,179,,,159174994.00,
23/02/2017,2335.0000,2335.0000,0.65,2297.0000,2320.0000,2358.0000,2293.0000,159181731,3716893,15692116,674760,1121,,,159174994.00,
22/02/2017,2320.0000,2320.0000,0.04,2318.0000,2319.0000,2360.0000,2306.0000,159181731,3693016,7010618,300080,760,,,159174994.00,
21/02/2017,2319.0000,2319.0000,-1.74,2358.0000,2360.0000,2365.0000,2302.0000,159181731,3691424,4242003,181725,515,,,159174994.00,
20/02/2017,2360.0000,2360.0000,2.97,2300.0000,2292.0000,2360.0000,2271.0000,159181731,3756689,15604519,670995,1075,,,159174994.00,
19/02/2017,2292.0000,2292.0000,3.34,2192.0000,2218.0000,2292.0000,2192.0000,159181731,3648445,9057650,404483,661,,,159174994.00,
16/02/2017,2218.0000,2218.0000,2.40,2176.0000,2166.0000,2243.0000,2168.0000,159181731,3530651,10525504,478005,1020,,,159174994.00,
15/02/2017,2166.0000,2166.0000,-0.69,2168.0000,2181.0000,2230.0000,2144.0000,159181731,3447876,10164485,463121,1065,,,159174994.00,
14/02/2017,2181.0000,2181.0000,-0.14,2174.0000,2184.0000,2209.0000,2166.0000,159181731,3471754,7324541,334992,622,,,159174994.00,
13/02/2017,2184.0000,2184.0000,-1.00,2180.0000,2206.0000,2246.0000,2172.0000,159181731,3476529,5751267,261053,486,,,159174994.00,
12/02/2017,2206.0000,2206.0000,1.61,2230.0000,2171.0000,2230.0000,2189.0000,159181731,3511549,7932541,358683,740,,,159174994.00,
09/02/2017,2171.0000,2171.0000,2.07,2127.0000,2127.0000,2171.0000,2072.0000,159181731,3455835,75429220,3486053,831,,,154855457.00,
08/02/2017,2127.0000,2127.0000,0.85,2110.0000,2109.0000,2134.0000,2086.0000,159181731,3385795,5855525,277836,517,,,154855457.00,
07/02/2017,2109.0000,2109.0000,0.67,2113.0000,2095.0000,2113.0000,2056.0000,159181731,3357143,7388904,355524,707,,,154855457.00,
06/02/2017,2095.0000,2095.0000,-1.18,2156.0000,2120.0000,2156.0000,2077.0000,159181731,3334857,8103695,384293,816,,,154855457.00,
