Historical Prices - PAZ OIL - 01100007
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,60840.0000,60840.0000,-0.46,61120.0000,61120.0000,61120.0000,60500.0000,10149996,6175258,4748575,7820,336,,,10149754.00,
28/05/2017,61120.0000,61120.0000,0.92,60500.0000,60560.0000,61180.0000,60270.0000,10149996,6203678,2320208,3828,278,,,10149754.00,
25/05/2017,60560.0000,60560.0000,-0.05,60400.0000,60590.0000,60700.0000,60290.0000,10149996,6146838,30181482,49914,546,,,10149754.00,
24/05/2017,60590.0000,60590.0000,-1.16,61590.0000,61300.0000,61920.0000,60200.0000,10149996,6149883,6265129,10297,464,,,10149754.00,
23/05/2017,61300.0000,61300.0000,1.31,61100.0000,60510.0000,61650.0000,60440.0000,10149996,6221948,19415683,31681,692,,,10149754.00,
22/05/2017,60510.0000,60510.0000,-0.26,61240.0000,60670.0000,61240.0000,60210.0000,10149996,6141763,4734135,7789,368,,,10149754.00,
21/05/2017,60670.0000,60670.0000,-0.54,61370.0000,61000.0000,61550.0000,60360.0000,10149996,6158003,5604312,9219,497,,,10149754.00,
18/05/2017,61000.0000,61000.0000,0.08,60880.0000,60950.0000,61300.0000,60700.0000,10149996,6191498,14475577,23752,739,,,10149754.00,
17/05/2017,60950.0000,60950.0000,0.25,60900.0000,60800.0000,61290.0000,60470.0000,10149996,6186423,3898347,6410,322,,,10149754.00,
16/05/2017,60800.0000,60800.0000,0.46,60370.0000,60520.0000,60990.0000,60370.0000,10149996,6171198,8584771,14132,426,,,10149754.00,
15/05/2017,60520.0000,60520.0000,0.50,60140.0000,60220.0000,60950.0000,60140.0000,10149996,6142778,7495450,12371,530,,,10149754.00,
14/05/2017,60220.0000,60220.0000,0.02,60000.0000,60210.0000,60820.0000,59780.0000,10149996,6112328,6510583,10831,315,,,10149754.00,
11/05/2017,60210.0000,60210.0000,-1.36,61040.0000,61040.0000,61040.0000,60110.0000,10149996,6111313,10077855,16657,709,,,10149754.00,
10/05/2017,61040.0000,61040.0000,-0.57,60940.0000,61390.0000,61190.0000,60770.0000,10149996,6195558,8683897,14228,471,,,10149754.00,
09/05/2017,61390.0000,61390.0000,1.14,60700.0000,60700.0000,61410.0000,60700.0000,10149996,6231083,23098476,37803,726,,,10149754.00,
08/05/2017,60700.0000,60700.0000,0.85,60200.0000,60190.0000,60820.0000,59230.0000,10149996,6161048,24199440,40174,459,,,10149754.00,
07/05/2017,60190.0000,60190.0000,0.75,60390.0000,59740.0000,60390.0000,60020.0000,10149996,6109283,7371146,12233,297,,,10149754.00,
04/05/2017,59740.0000,59740.0000,-0.93,60450.0000,60300.0000,60450.0000,59710.0000,10149996,6063608,14332287,23913,517,,,10149045.00,
03/05/2017,60300.0000,60300.0000,2.34,58820.0000,58920.0000,60300.0000,58520.0000,10149996,6120448,6538890,11054,588,,,10149045.00,
30/04/2017,58920.0000,58920.0000,-0.27,59380.0000,59080.0000,59380.0000,58740.0000,10149996,5980378,3039375,5147,272,,,10149045.00,
27/04/2017,59080.0000,59080.0000,-1.20,59800.0000,59800.0000,59800.0000,59080.0000,10149996,5996618,14366711,24155,636,,,10149045.00,
26/04/2017,59800.0000,59800.0000,-1.06,60440.0000,60440.0000,60440.0000,59800.0000,10149996,6069698,8183757,13661,557,,,10149045.00,
25/04/2017,60440.0000,60440.0000,-0.67,60850.0000,60850.0000,60690.0000,59760.0000,10149996,6134658,6793500,11297,447,,,10149045.00,
24/04/2017,60850.0000,60850.0000,1.11,60560.0000,60180.0000,61000.0000,60330.0000,10149996,6176273,6942037,11436,438,,,10149045.00,
23/04/2017,60180.0000,60180.0000,0.30,59620.0000,60000.0000,60290.0000,59620.0000,10149996,6108268,3704370,6169,255,,,10149045.00,
20/04/2017,60000.0000,60000.0000,0.99,59200.0000,59410.0000,60010.0000,58330.0000,10149996,6089998,10338625,17409,444,,,10149045.00,
19/04/2017,59410.0000,59410.0000,1.69,58850.0000,58420.0000,59410.0000,58390.0000,10149754,6029969,12459098,21186,508,,,10149045.00,
18/04/2017,58420.0000,58420.0000,-0.48,58900.0000,58700.0000,59440.0000,58420.0000,10149754,5929486,5910986,10064,490,,,10149045.00,
13/04/2017,58700.0000,58700.0000,-1.79,60130.0000,59770.0000,60130.0000,58360.0000,10149754,5957906,8750212,14797,408,,,10149045.00,
12/04/2017,59770.0000,59770.0000,-0.53,60090.0000,60090.0000,60200.0000,59490.0000,10149754,6066508,3459304,5776,272,,,10149045.00,
09/04/2017,60090.0000,60090.0000,0.87,59270.0000,59570.0000,60290.0000,59110.0000,10149754,6098987,6760622,11308,283,,,10149045.00,
06/04/2017,59570.0000,59570.0000,-0.20,58970.0000,59690.0000,59900.0000,58600.0000,10149754,6046208,15894486,26727,613,,,10149045.00,
05/04/2017,59690.0000,59690.0000,1.34,58600.0000,58900.0000,59690.0000,58600.0000,10149754,6058388,7095902,12016,553,,,10149045.00,
04/04/2017,58900.0000,58900.0000,-0.88,59120.0000,59420.0000,59520.0000,58900.0000,10149754,5978205,6374745,10763,489,,,10149045.00,
03/04/2017,59420.0000,59420.0000,-0.08,59470.0000,59470.0000,59930.0000,59350.0000,10149754,6030984,8516893,14282,419,,,10149045.00,
02/04/2017,59470.0000,59470.0000,-0.88,59700.0000,60000.0000,60090.0000,59420.0000,10149754,6036059,2984988,5010,205,,,10149045.00,
