Historical Prices - PENINSULA GROUP - 00333013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,255.7000,255.7000,-0.89,258.0000,258.0000,263.0000,252.9000,133592845,341597,1272400,494161,47,,,133592845.00,
28/05/2017,258.0000,258.0000,1.18,255.0000,255.0000,262.5000,252.8000,133592845,344670,176539,68608,27,,,133592845.00,
25/05/2017,255.0000,255.0000,-2.19,260.7000,260.7000,261.4000,252.8000,133592845,340662,409327,158744,34,,,133592845.00,
24/05/2017,260.7000,260.7000,-0.15,261.1000,261.1000,264.3000,259.5000,133592845,348277,251867,96356,43,,,133592845.00,
23/05/2017,261.1000,261.1000,2.31,255.2000,255.2000,262.9000,255.2000,133592845,348811,505252,193399,64,,,133592845.00,
22/05/2017,255.2000,255.2000,-0.51,259.7000,256.5000,264.3000,254.2000,133592845,340929,408431,157760,67,,,133592845.00,
21/05/2017,256.5000,256.5000,3.34,248.2000,248.2000,257.8000,251.0000,133592845,342666,286976,113096,45,,,133592845.00,
18/05/2017,248.2000,248.2000,-3.91,258.3000,258.3000,259.9000,241.3000,133592845,331577,427832,173250,59,,,133592845.00,
17/05/2017,258.3000,258.3000,-2.53,265.0000,265.0000,265.0000,257.0000,133592845,345070,370500,142279,65,,,133592845.00,
16/05/2017,265.0000,265.0000,-0.93,267.5000,267.5000,268.0000,262.3000,133592845,354021,369070,138834,46,,,133592845.00,
15/05/2017,267.5000,267.5000,-1.69,272.1000,272.1000,272.6000,264.4000,133592845,357361,196678,73226,34,,,133592845.00,
14/05/2017,272.1000,272.1000,-1.27,278.0000,275.6000,278.0000,270.0000,133592845,363506,146338,53775,30,,,133592845.00,
11/05/2017,275.6000,275.6000,-0.22,276.2000,276.2000,276.2000,274.2000,133592845,368182,80997,29376,18,,,133592845.00,
10/05/2017,276.2000,276.2000,-0.22,278.8000,276.8000,278.8000,275.0000,133592845,368983,158003,57136,25,,,133592845.00,
09/05/2017,276.8000,276.8000,0.91,274.3000,274.3000,279.0000,276.0000,133592845,369785,322541,116230,39,,,133592845.00,
08/05/2017,274.3000,274.3000,3.47,266.0000,265.1000,275.9000,265.9000,133592845,366445,161763,59640,33,,,133592845.00,
07/05/2017,265.1000,265.1000,0.38,264.1000,264.1000,267.8000,261.0000,133592845,354155,41615,15698,19,,,133592845.00,
04/05/2017,264.1000,264.1000,-1.31,267.6000,267.6000,278.0000,258.2000,133592845,352819,554703,208615,69,,,133592845.00,
03/05/2017,267.6000,267.6000,-1.25,271.0000,271.0000,279.2000,253.1000,133592845,357494,467276,171614,66,,,133592845.00,
