Historical Prices - PERION NETWORK - 01095819
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,627.6000,627.6000,-3.22,645.4000,648.5000,648.9000,620.1000,77550069,486704,1251972,197682,163,,,77109569.00,
28/05/2017,648.5000,648.5000,10.67,619.0000,586.0000,653.0000,617.4000,77550069,502912,2194360,341190,287,,,77109569.00,
25/05/2017,586.0000,586.0000,5.09,558.0000,557.6000,600.0000,545.3000,77550069,454443,665713,117020,149,,,77109569.00,
24/05/2017,557.6000,557.6000,-0.98,563.1000,563.1000,573.7000,554.5000,77550069,432419,288430,51056,68,,,77109569.00,
23/05/2017,563.1000,563.1000,2.59,548.9000,548.9000,575.0000,554.4000,77550069,436684,221127,38950,81,,,77109569.00,
22/05/2017,548.9000,548.9000,2.94,533.2000,533.2000,554.4000,533.9000,77550069,425672,367779,67852,70,,,77109569.00,
21/05/2017,533.2000,533.2000,0.60,530.0000,530.0000,537.5000,530.0000,77550069,413497,177656,33331,40,,,77109569.00,
18/05/2017,530.0000,530.0000,0.34,539.0000,528.2000,539.0000,527.0000,77550069,411015,319389,60228,111,,,77109569.00,
17/05/2017,528.2000,528.2000,-0.30,540.0000,529.8000,540.0000,518.6000,77550069,409619,384162,72728,91,,,77109569.00,
16/05/2017,529.8000,529.8000,4.87,518.0000,505.2000,532.1000,517.0000,77223069,409128,602288,115049,157,,,77109569.00,
15/05/2017,505.2000,505.2000,2.47,494.5000,493.0000,512.1000,493.0000,77223069,390131,729642,145141,202,,,77109569.00,
14/05/2017,493.0000,493.0000,-1.87,502.0000,502.4000,502.0000,491.0000,77223069,380710,361307,73300,87,,,77109569.00,
11/05/2017,502.4000,502.4000,-1.88,510.0000,512.0000,510.0000,497.0000,77223069,387969,532037,105729,132,,,77109569.00,
10/05/2017,512.0000,512.0000,-2.35,524.3000,524.3000,524.3000,508.7000,77223069,395382,474481,92710,105,,,77109569.00,
09/05/2017,524.3000,524.3000,-1.00,525.0000,529.6000,530.5000,520.1000,77223069,404881,479491,91399,109,,,77109569.00,
08/05/2017,529.6000,529.6000,-1.54,527.2000,537.9000,549.0000,525.3000,77223069,408973,309970,57695,100,,,77109569.00,
07/05/2017,537.9000,537.9000,-3.95,560.0000,560.0000,560.0000,535.0000,77223069,415383,575633,105995,132,,,77109569.00,
04/05/2017,560.0000,560.0000,-13.07,644.2000,644.2000,634.5000,548.4000,77223069,432449,2426194,424894,425,,,77109569.00,
03/05/2017,644.2000,644.2000,-0.62,648.2000,648.2000,660.5000,640.0000,77223069,497471,472982,72507,77,,,77109569.00,
30/04/2017,648.2000,648.2000,0.81,647.9000,643.0000,652.3000,645.1000,77223069,500560,145948,22500,56,,,77109569.00,
27/04/2017,643.0000,643.0000,2.45,627.6000,627.6000,645.8000,635.0000,77223069,496544,183556,28548,63,,,77109569.00,
26/04/2017,627.6000,627.6000,2.10,629.0000,614.7000,631.1000,627.0000,77223069,484652,194300,30902,47,,,77109569.00,
25/04/2017,614.7000,614.7000,2.66,612.0000,598.8000,616.6000,605.6000,77223069,474690,194116,31719,61,,,77109569.00,
24/04/2017,598.8000,598.8000,-1.76,609.5000,609.5000,613.0000,590.1000,77223069,462412,304391,50291,72,,,77109569.00,
23/04/2017,609.5000,609.5000,-5.72,623.9000,646.5000,623.9000,605.8000,77109569,469983,673922,109916,107,,,77109569.00,
20/04/2017,646.5000,646.5000,-2.77,664.9000,664.9000,655.6000,640.0000,77109569,498513,316757,49030,74,,,77109569.00,
19/04/2017,664.9000,664.9000,0.97,666.5000,658.5000,678.5000,662.0000,77109569,512702,372729,55777,83,,,77109569.00,
18/04/2017,658.5000,658.5000,-1.92,672.0000,671.4000,678.3000,650.0000,77109569,507767,199576,29901,52,,,77109569.00,
13/04/2017,671.4000,671.4000,-6.59,707.0000,718.8000,708.0000,661.3000,77109569,517714,673615,98340,111,,,77109569.00,
12/04/2017,718.8000,718.8000,-0.55,723.3000,722.8000,723.3000,712.4000,77109569,554264,219731,30482,37,,,77109569.00,
09/04/2017,722.8000,722.8000,1.09,715.0000,715.0000,730.0000,705.0000,77109569,557348,229627,31815,44,,,77109569.00,
06/04/2017,715.0000,715.0000,2.74,695.9000,695.9000,723.3000,696.8000,77109569,551333,3654546,512051,179,,,77109569.00,
05/04/2017,695.9000,695.9000,0.74,690.8000,690.8000,698.9000,657.0000,77109569,536605,581050,84793,153,,,77109569.00,
04/04/2017,690.8000,690.8000,4.52,660.0000,660.9000,695.0000,660.0000,77109569,532673,838243,122702,183,,,77109569.00,
03/04/2017,660.9000,660.9000,-1.48,669.0000,670.8000,669.0000,657.8000,77109569,509617,64518,9755,29,,,77109569.00,
02/04/2017,670.8000,670.8000,7.83,637.2000,622.1000,675.0000,637.2000,77109569,517251,704161,106619,138,,,77109569.00,
30/03/2017,622.1000,622.1000,-0.34,624.2000,624.2000,624.2000,589.9000,77109569,479699,475344,77870,161,,,77109569.00,
29/03/2017,624.2000,624.2000,-1.33,632.6000,632.6000,631.7000,619.7000,77109569,481318,426554,68521,78,,,77109569.00,
28/03/2017,632.6000,632.6000,0.49,629.5000,629.5000,644.0000,628.6000,77109569,487795,202237,31846,71,,,77109569.00,
27/03/2017,629.5000,629.5000,-1.82,631.1000,641.2000,632.8000,620.5000,77109569,485405,323314,51588,89,,,77109569.00,
26/03/2017,641.2000,641.2000,-1.22,649.1000,649.1000,643.7000,637.9000,77109569,494427,183364,28595,43,,,77109569.00,
23/03/2017,649.1000,649.1000,-3.41,671.5000,672.0000,671.5000,646.0000,77109569,500518,571528,87700,155,,,77109569.00,
22/03/2017,672.0000,672.0000,-2.38,688.4000,688.4000,688.4000,661.0000,77109569,518176,400138,59370,116,,,77109569.00,
21/03/2017,688.4000,688.4000,-0.46,690.0000,691.6000,696.0000,680.0000,77109569,530822,264659,38481,75,,,77109569.00,
20/03/2017,691.6000,691.6000,-0.12,692.4000,692.4000,695.0000,685.3000,77109569,533290,263313,38022,48,,,77109569.00,
19/03/2017,692.4000,692.4000,3.82,683.1000,666.9000,693.0000,683.1000,77109569,533907,632563,91809,125,,,77109569.00,
16/03/2017,666.9000,666.9000,-0.92,673.1000,673.1000,672.1000,660.8000,77109569,514244,565402,84951,123,,,77109569.00,
15/03/2017,673.1000,673.1000,2.89,676.5000,654.2000,679.2000,669.5000,77109569,519025,1039382,153785,230,,,77109569.00,
