Historical Prices - PHOENIX - 00767012
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1651.0000,1651.0000,-1.49,1676.0000,1676.0000,1686.0000,1650.0000,249906997,4125965,1906610,114594,268,,,249799220.00,
28/05/2017,1676.0000,1676.0000,2.13,1673.0000,1641.0000,1690.0000,1650.0000,249906997,4188441,1107525,66228,178,,,249799220.00,
25/05/2017,1641.0000,1641.0000,-1.32,1664.0000,1663.0000,1673.0000,1611.0000,249906997,4100974,1725962,105317,275,,,249799220.00,
24/05/2017,1663.0000,1663.0000,0.48,1654.0000,1655.0000,1689.0000,1650.0000,249886270,4155609,3681259,220439,370,,,249799220.00,
23/05/2017,1655.0000,1655.0000,1.16,1641.0000,1636.0000,1661.0000,1622.0000,249886270,4135618,3553028,215863,254,,,249799220.00,
22/05/2017,1636.0000,1636.0000,3.81,1577.0000,1576.0000,1640.0000,1577.0000,249886270,4088139,1521875,94480,232,,,249799220.00,
21/05/2017,1576.0000,1576.0000,2.94,1532.0000,1531.0000,1578.0000,1532.0000,249886270,3938208,1076500,68707,172,,,249799220.00,
18/05/2017,1531.0000,1531.0000,-2.79,1550.0000,1575.0000,1555.0000,1525.0000,249886270,3825759,2255970,146621,288,,,249799220.00,
17/05/2017,1575.0000,1575.0000,-0.94,1589.0000,1590.0000,1591.0000,1555.0000,249886270,3935709,5103800,324963,310,,,249799220.00,
16/05/2017,1590.0000,1590.0000,0.95,1575.0000,1575.0000,1590.0000,1560.0000,249886270,3973192,3740637,237010,274,,,249799220.00,
15/05/2017,1575.0000,1575.0000,-2.78,1625.0000,1620.0000,1637.0000,1555.0000,249886270,3935709,4334749,272040,350,,,249799220.00,
14/05/2017,1620.0000,1620.0000,0.62,1614.0000,1610.0000,1658.0000,1612.0000,249833171,4047297,2801360,171792,154,,,249799220.00,
11/05/2017,1610.0000,1610.0000,-1.23,1630.0000,1630.0000,1630.0000,1607.0000,249833171,4022314,3745208,231865,218,,,249799220.00,
10/05/2017,1630.0000,1630.0000,-2.92,1679.0000,1679.0000,1674.0000,1627.0000,249833171,4072281,2757312,167093,200,,,249799220.00,
09/05/2017,1679.0000,1679.0000,0.24,1680.0000,1675.0000,1685.0000,1662.0000,249833171,4194699,2881179,171620,331,,,249799220.00,
08/05/2017,1675.0000,1675.0000,1.21,1669.0000,1655.0000,1678.0000,1657.0000,249833171,4184706,11980322,719624,407,,,249799220.00,
07/05/2017,1655.0000,1655.0000,1.91,1629.0000,1624.0000,1665.0000,1626.0000,249833171,4134739,1943009,117199,236,,,249799220.00,
04/05/2017,1624.0000,1624.0000,1.18,1605.0000,1605.0000,1639.0000,1605.0000,249833171,4057291,4574291,281294,447,,,249795554.00,
03/05/2017,1605.0000,1605.0000,3.95,1556.0000,1544.0000,1615.0000,1556.0000,249833171,4009822,4272471,267594,424,,,249795554.00,
30/04/2017,1544.0000,1544.0000,-2.89,1580.0000,1590.0000,1580.0000,1539.0000,249799220,3856900,1600058,102782,191,,,249795554.00,
27/04/2017,1590.0000,1590.0000,2.98,1560.0000,1544.0000,1603.0000,1547.0000,249799220,3971808,5341446,336849,430,,,249795554.00,
26/04/2017,1544.0000,1544.0000,2.25,1515.0000,1510.0000,1550.0000,1515.0000,249799220,3856900,1933516,125554,237,,,249795554.00,
25/04/2017,1510.0000,1510.0000,1.68,1485.0000,1485.0000,1528.0000,1484.0000,249799220,3771968,1325293,87488,227,,,249795554.00,
24/04/2017,1485.0000,1485.0000,3.92,1430.0000,1429.0000,1495.0000,1430.0000,249799220,3709518,2678035,181036,294,,,249795554.00,
23/04/2017,1429.0000,1429.0000,-1.79,1444.0000,1455.0000,1454.0000,1422.0000,249799220,3569631,1688713,117301,202,,,249795554.00,
20/04/2017,1455.0000,1455.0000,-2.68,1500.0000,1495.0000,1511.0000,1453.0000,249799220,3634579,2914435,197868,427,,,249795554.00,
19/04/2017,1495.0000,1495.0000,-2.61,1529.0000,1535.0000,1535.0000,1485.0000,249799220,3734498,8159865,544578,285,,,249795554.00,
18/04/2017,1535.0000,1535.0000,2.27,1534.0000,1501.0000,1537.0000,1480.0000,249799220,3834418,1580596,103974,203,,,249795554.00,
13/04/2017,1501.0000,1501.0000,-1.64,1521.0000,1526.0000,1540.0000,1500.0000,249799220,3749486,1363218,89761,178,,,249795554.00,
12/04/2017,1526.0000,1526.0000,-0.39,1537.0000,1532.0000,1550.0000,1524.0000,249799220,3811936,672730,43889,115,,,249795554.00,
09/04/2017,1532.0000,1532.0000,-1.16,1555.0000,1550.0000,1580.0000,1512.0000,249799220,3826924,1029816,66382,175,,,249795554.00,
06/04/2017,1550.0000,1550.0000,1.11,1533.0000,1533.0000,1560.0000,1525.0000,249799220,3871888,1768439,114343,227,,,249753774.00,
05/04/2017,1533.0000,1533.0000,0.52,1525.0000,1525.0000,1554.0000,1499.0000,249799220,3829422,1506430,98525,216,,,249753774.00,
04/04/2017,1525.0000,1525.0000,1.80,1494.0000,1498.0000,1550.0000,1493.0000,249799220,3809438,2025281,133191,217,,,249753774.00,
03/04/2017,1498.0000,1498.0000,-0.47,1510.0000,1505.0000,1570.0000,1493.0000,249799220,3741992,3528100,231577,408,,,249753774.00,
02/04/2017,1505.0000,1505.0000,3.72,1451.0000,1451.0000,1520.0000,1451.0000,249799220,3759478,1308309,87516,183,,,249753774.00,
30/03/2017,1451.0000,1451.0000,0.48,1459.0000,1444.0000,1471.0000,1445.0000,249799220,3624587,1120614,77275,161,,,249753774.00,
29/03/2017,1444.0000,1444.0000,2.12,1450.0000,1414.0000,1472.0000,1437.0000,249799220,3607101,1297314,89360,244,,,249753774.00,
28/03/2017,1414.0000,1414.0000,0.21,1455.0000,1411.0000,1473.0000,1401.0000,249799220,3532161,1058872,74585,184,,,249753774.00,
27/03/2017,1411.0000,1411.0000,-2.96,1440.0000,1454.0000,1447.0000,1410.0000,249799220,3524667,3352131,235119,319,,,249753774.00,
26/03/2017,1454.0000,1454.0000,-3.45,1506.0000,1506.0000,1508.0000,1445.0000,249799220,3632081,3789961,256340,278,,,249753774.00,
23/03/2017,1506.0000,1506.0000,0.40,1505.0000,1500.0000,1539.0000,1500.0000,249799220,3761976,1113956,73427,176,,,249753774.00,
