Historical Prices - PLURISTEM - 01121730
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,499.6000,499.6000,0.40,497.6000,497.6000,509.0000,497.6000,95621033,477723,512894,101714,121,,,95621033.00,
28/05/2017,497.6000,497.6000,-0.52,500.2000,500.2000,506.0000,493.0000,95621033,475810,473666,95253,111,,,95621033.00,
25/05/2017,500.2000,500.2000,-0.24,500.0000,501.4000,509.0000,498.4000,95621033,478296,843463,167938,192,,,95621033.00,
24/05/2017,501.4000,501.4000,-1.10,507.0000,507.0000,507.0000,499.2000,95621033,479444,637848,126825,173,,,95621033.00,
23/05/2017,507.0000,507.0000,1.81,512.9000,498.0000,519.9000,501.0000,95621033,484799,2087766,405754,423,,,95621033.00,
22/05/2017,498.0000,498.0000,6.32,468.4000,468.4000,500.0000,472.0000,95621033,476193,1027024,212519,274,,,95621033.00,
21/05/2017,468.4000,468.4000,3.97,469.0000,450.5000,474.6000,463.8000,95621033,447889,656369,140195,141,,,95621033.00,
18/05/2017,450.5000,450.5000,-2.07,457.1000,460.0000,461.7000,448.5000,95621033,430773,853205,187713,185,,,95621033.00,
17/05/2017,460.0000,460.0000,-2.27,465.0000,470.7000,465.0000,457.0000,95621033,439857,1000621,217153,224,,,95621033.00,
16/05/2017,470.7000,470.7000,-1.71,476.2000,478.9000,483.1000,469.0000,95621033,450088,470930,98889,158,,,95621033.00,
15/05/2017,478.9000,478.9000,-0.83,485.0000,482.9000,488.9000,475.0000,95621033,457929,621188,128824,154,,,95621033.00,
14/05/2017,482.9000,482.9000,1.19,494.0000,477.2000,494.0000,480.0000,95621033,461754,997249,205815,198,,,95621033.00,
11/05/2017,477.2000,477.2000,-0.19,482.0000,478.1000,491.1000,472.7000,95621033,456304,820193,171522,186,,,95621033.00,
10/05/2017,478.1000,478.1000,-0.52,473.0000,480.6000,485.8000,470.0000,95621033,457164,1018752,213969,198,,,95621033.00,
09/05/2017,480.6000,480.6000,-1.92,485.0000,490.0000,485.0000,475.0000,95621033,459555,1279204,266497,310,,,95621033.00,
08/05/2017,490.0000,490.0000,-1.11,496.0000,495.5000,498.0000,489.1000,95621033,468543,666176,134863,189,,,95621033.00,
07/05/2017,495.5000,495.5000,-3.07,504.0000,511.2000,504.9000,495.0000,95621033,473802,1410325,282459,284,,,95621033.00,
04/05/2017,511.2000,511.2000,-5.10,524.0000,538.7000,525.0000,511.0000,95621033,488815,8919669,1734204,679,,,95621033.00,
03/05/2017,538.7000,538.7000,3.62,516.0000,519.9000,577.0000,503.0000,95621033,515111,4887504,883635,1020,,,95621033.00,
30/04/2017,519.9000,519.9000,-1.40,525.0000,527.3000,525.0000,517.0000,95621033,497134,395821,76018,95,,,95621033.00,
27/04/2017,527.3000,527.3000,0.42,528.5000,525.1000,529.0000,516.5000,95621033,504210,387760,74246,102,,,95621033.00,
26/04/2017,525.1000,525.1000,0.17,524.2000,524.2000,529.0000,519.9000,95621033,502106,408556,77860,102,,,95621033.00,
25/04/2017,524.2000,524.2000,-0.47,528.5000,526.7000,529.2000,520.6000,95621033,501245,819835,156091,149,,,95621033.00,
24/04/2017,526.7000,526.7000,0.96,521.7000,521.7000,534.4000,521.7000,95621033,503636,981568,184724,170,,,95621033.00,
23/04/2017,521.7000,521.7000,3.76,516.8000,502.8000,524.5000,514.0000,95621033,498855,1141778,219213,215,,,95621033.00,
20/04/2017,502.8000,502.8000,0.24,504.0000,501.6000,505.5000,500.4000,95621033,480783,591776,117734,147,,,95621033.00,
19/04/2017,501.6000,501.6000,-3.11,516.0000,517.7000,520.4000,500.1000,95621033,479635,1650571,324945,332,,,95621033.00,
18/04/2017,517.7000,517.7000,-2.19,534.4000,529.3000,534.4000,517.7000,95621033,495030,1594850,302601,258,,,95621033.00,
13/04/2017,529.3000,529.3000,-0.53,532.1000,532.1000,533.8000,523.1000,95621033,506122,507715,95864,116,,,95621033.00,
12/04/2017,532.1000,532.1000,0.66,535.0000,528.6000,535.0000,528.3000,95621033,508800,726495,136399,150,,,95621033.00,
09/04/2017,528.6000,528.6000,2.84,532.0000,514.0000,534.0000,525.0000,95621033,505453,1284782,242871,255,,,95621033.00,
06/04/2017,514.0000,514.0000,-3.13,521.1000,530.6000,522.0000,511.0000,95621033,491492,2157761,418000,381,,,80186628.00,
05/04/2017,530.6000,530.6000,4.65,535.0000,507.0000,558.0000,525.0000,95621033,507365,5951538,1099686,905,,,80186628.00,
04/04/2017,507.0000,507.0000,16.74,489.0000,434.3000,507.0000,481.5000,95621033,484799,6016607,1220141,1003,,,80186628.00,
03/04/2017,434.3000,434.3000,-1.52,440.0000,441.0000,441.0000,433.5000,95621033,415282,728255,166820,180,,,80186628.00,
02/04/2017,441.0000,441.0000,0.23,443.0000,440.0000,445.9000,438.0000,95621033,421689,445066,100845,154,,,80186628.00,
30/03/2017,440.0000,440.0000,2.49,433.0000,429.3000,442.9000,428.0000,95621033,420733,860554,197805,194,,,80186628.00,
29/03/2017,429.3000,429.3000,1.04,424.9000,424.9000,431.9000,424.9000,95621033,410501,537792,125296,120,,,80186628.00,
28/03/2017,424.9000,424.9000,0.57,422.7000,422.5000,428.7000,420.6000,95621033,406294,1124760,265112,268,,,80186628.00,
27/03/2017,422.5000,422.5000,-3.05,437.0000,435.8000,437.1000,420.5000,95621033,403999,816534,191997,197,,,80186628.00,
26/03/2017,435.8000,435.8000,0.16,439.0000,435.1000,441.0000,433.2000,95621033,416716,443238,101326,113,,,80186628.00,
23/03/2017,435.1000,435.1000,1.52,428.6000,428.6000,436.9000,427.5000,95621033,416047,501245,116120,115,,,80186628.00,
22/03/2017,428.6000,428.6000,-3.12,428.0000,442.4000,431.8000,421.0000,95621033,409832,1116600,261818,267,,,80186628.00,
21/03/2017,442.4000,442.4000,-4.80,460.6000,464.7000,460.6000,441.5000,95621033,423027,1581760,349745,339,,,80186628.00,
20/03/2017,464.7000,464.7000,1.15,464.4000,459.4000,468.0000,445.0000,95621033,444351,1695096,366888,412,,,80186628.00,
19/03/2017,459.4000,459.4000,9.54,449.8000,419.4000,470.0000,447.6000,95621033,439283,3659829,799158,665,,,80186628.00,
16/03/2017,419.4000,419.4000,0.53,420.2000,417.2000,421.0000,414.6000,95621033,401035,810625,193891,180,,,80186628.00,
15/03/2017,417.2000,417.2000,-0.93,421.6000,421.1000,422.6000,416.0000,95621033,398931,416569,99476,112,,,80186628.00,
