Historical Prices - POALIM IBI - 01084482
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2103.0000,2103.0000,3.29,2056.0000,2036.0000,2140.0000,2052.0000,19939528,419328,1228481,58652,146,,,19939528.00,
28/05/2017,2036.0000,2036.0000,2.57,1985.0000,1985.0000,2052.0000,2002.0000,19939528,405969,51121,2510,11,,,19939528.00,
25/05/2017,1985.0000,1985.0000,-1.10,2007.0000,2007.0000,2010.0000,1982.0000,19939528,395800,210784,10534,30,,,19939528.00,
24/05/2017,2007.0000,2007.0000,-0.55,2018.0000,2018.0000,2047.0000,2005.0000,19939528,400186,144090,7119,30,,,19939528.00,
23/05/2017,2018.0000,2018.0000,1.00,1998.0000,1998.0000,2055.0000,1980.0000,19939528,402380,115964,5782,31,,,19939528.00,
22/05/2017,1998.0000,1998.0000,-0.60,2010.0000,2010.0000,2011.0000,1991.0000,19939528,398392,125020,6241,17,,,19939528.00,
21/05/2017,2010.0000,2010.0000,3.08,1950.0000,1950.0000,2054.0000,1972.0000,19939528,400785,180512,9026,26,EX D,0.98985,19939528.00,
18/05/2017,1950.0045,1970.0000,-1.89,1995.0000,2008.0000,1997.0000,1904.0000,19939528,392809,208068,10643,41,,,19939528.00,
17/05/2017,1987.6188,2008.0000,-1.23,2033.0000,2033.0000,2066.0000,2000.0000,19939528,400386,275373,13553,43,,,19939528.00,
16/05/2017,2012.3651,2033.0000,0.25,2030.0000,2028.0000,2064.0000,2010.0000,19939528,405371,198073,9765,26,,,19939528.00,
15/05/2017,2007.4158,2028.0000,-0.20,2034.0000,2032.0000,2066.0000,2015.0000,19939528,404374,576084,28281,50,,,19939528.00,
14/05/2017,2011.3752,2032.0000,3.52,1990.0000,1963.0000,2034.0000,1990.0000,19939528,405171,834368,41409,59,,,19939528.00,
11/05/2017,1943.0756,1963.0000,-0.86,1980.0000,1980.0000,1990.0000,1961.0000,19939528,391413,81287,4136,13,,,19939528.00,
10/05/2017,1959.9030,1980.0000,0.61,2009.0000,1968.0000,2012.0000,1980.0000,19939528,394803,220841,11057,37,,,19939528.00,
09/05/2017,1948.0248,1968.0000,0.56,1995.0000,1957.0000,2015.0000,1962.0000,19939528,392410,202371,10194,39,,,19939528.00,
08/05/2017,1937.1365,1957.0000,0.72,1943.0000,1943.0000,1989.0000,1929.0000,19939528,390217,140482,7227,26,,,19939528.00,
07/05/2017,1923.2786,1943.0000,0.15,1950.0000,1940.0000,1960.0000,1940.0000,19939528,387425,302012,15474,32,,,19939528.00,
04/05/2017,1920.3090,1940.0000,2.81,1900.0000,1887.0000,1960.0000,1900.0000,19939528,386827,638838,33033,54,,,19939528.00,
03/05/2017,1867.8470,1887.0000,1.34,1862.0000,1862.0000,1908.0000,1862.0000,19939528,376259,411156,21797,66,,,19939528.00,
30/04/2017,1843.1007,1862.0000,0.76,1848.0000,1848.0000,1875.0000,1843.0000,19939528,371274,163332,8795,20,,,19939528.00,
27/04/2017,1829.2428,1848.0000,0.82,1830.0000,1833.0000,1850.0000,1830.0000,19939528,368482,159699,8699,16,,,19939528.00,
26/04/2017,1814.3951,1833.0000,1.16,1850.0000,1812.0000,1850.0000,1820.0000,19939528,365492,88941,4864,22,,,19939528.00,
25/04/2017,1793.6082,1812.0000,0.44,1850.0000,1804.0000,1850.0000,1807.0000,19939528,361304,237301,13075,17,,,19939528.00,
24/04/2017,1785.6894,1804.0000,3.80,1738.0000,1738.0000,1862.0000,1800.0000,19939528,359709,408525,22516,51,,,19939528.00,
23/04/2017,1720.3593,1738.0000,-1.64,1767.0000,1767.0000,1777.0000,1705.0000,19939528,346549,55136,3156,17,,,19939528.00,
20/04/2017,1749.0650,1767.0000,-1.83,1800.0000,1800.0000,1819.0000,1757.0000,19939528,352331,49755,2796,8,,,19939528.00,
19/04/2017,1781.7300,1800.0000,-1.04,1819.0000,1819.0000,1819.0000,1799.0000,19939528,358912,99050,5502,12,,,19939528.00,
18/04/2017,1800.5372,1819.0000,1.11,1814.0000,1799.0000,1840.0000,1804.0000,19939528,362700,46700,2569,13,,,19939528.00,
13/04/2017,1780.7402,1799.0000,1.30,1776.0000,1776.0000,1814.0000,1732.0000,19939528,358712,42099,2343,13,,,19939528.00,
12/04/2017,1757.9736,1776.0000,1.72,1746.0000,1746.0000,1800.0000,1753.0000,19939528,354126,42685,2403,11,,,19939528.00,
09/04/2017,1728.2781,1746.0000,0.29,1741.0000,1741.0000,1787.0000,1741.0000,19939528,348144,146278,8341,23,,,19939528.00,
06/04/2017,1723.3289,1741.0000,-3.28,1800.0000,1800.0000,1814.0000,1705.0000,19939528,347147,187377,10732,21,,,19939528.00,
05/04/2017,1781.7300,1800.0000,-0.39,1807.0000,1807.0000,1802.0000,1800.0000,19939528,358912,44774,2487,7,,,19939528.00,
04/04/2017,1788.6590,1807.0000,-0.06,1830.0000,1808.0000,1830.0000,1800.0000,19939528,360307,73409,4062,18,,,19939528.00,
03/04/2017,1789.6488,1808.0000,1.74,1777.0000,1777.0000,1820.0000,1790.0000,19939528,360507,158616,8775,21,,,19939528.00,
02/04/2017,1758.9635,1777.0000,2.24,1738.0000,1738.0000,1799.0000,1744.0000,19939528,354325,39494,2225,12,,,19939528.00,
30/03/2017,1720.3593,1738.0000,-1.19,1759.0000,1759.0000,1762.0000,1736.0000,19939528,346549,53536,3064,10,,,19939528.00,
29/03/2017,1741.1462,1759.0000,1.62,1731.0000,1731.0000,1778.0000,1737.0000,19939528,350736,57010,3241,10,,,19939528.00,
28/03/2017,1713.4304,1731.0000,-0.17,1780.0000,1734.0000,1780.0000,1720.0000,19939528,345153,12687,733,8,,,19939528.00,
27/03/2017,1716.3999,1734.0000,0.58,1790.0000,1724.0000,1790.0000,1720.0000,19939528,345751,98644,5667,30,,,19939528.00,
26/03/2017,1706.5014,1724.0000,-0.52,1700.0000,1733.0000,1740.0000,1700.0000,19939528,343757,82436,4792,15,,,19939528.00,
23/03/2017,1715.4101,1733.0000,1.70,1769.0000,1704.0000,1769.0000,1709.0000,19939528,345552,73085,4227,26,,,19939528.00,
22/03/2017,1686.7044,1704.0000,1.55,1650.0000,1678.0000,1730.0000,1650.0000,19939528,339770,154115,9181,30,,,19939528.00,
21/03/2017,1660.9683,1678.0000,4.42,1625.0000,1607.0000,1698.0000,1592.0000,19939528,334585,260155,15949,46,,,19939528.00,
20/03/2017,1590.6890,1607.0000,0.19,1600.0000,1604.0000,1615.0000,1568.0000,19939528,320428,363021,22680,62,,,19939528.00,
19/03/2017,1587.7194,1604.0000,-4.30,1676.0000,1676.0000,1676.0000,1601.0000,19939528,319830,92298,5695,19,,,19939528.00,
16/03/2017,1658.9886,1676.0000,-2.16,1713.0000,1713.0000,1713.0000,1665.0000,19939528,334186,305948,18211,36,,,19939528.00,
15/03/2017,1695.6131,1713.0000,-1.21,1734.0000,1734.0000,1740.0000,1700.0000,19939528,341564,178459,10411,35,,,19939528.00,
14/03/2017,1716.3999,1734.0000,-0.74,1745.0000,1747.0000,1767.0000,1721.0000,19939528,345751,105203,6041,24,,,19939528.00,
13/03/2017,1729.2680,1747.0000,-1.36,1773.0000,1771.0000,1797.0000,1745.0000,19939528,348344,203531,11584,31,,,19939528.00,
09/03/2017,1753.0244,1771.0000,-0.28,1809.0000,1776.0000,1810.0000,1755.0000,19939528,353129,187505,10617,36,,,19939528.00,
08/03/2017,1757.9736,1776.0000,-1.61,1805.0000,1805.0000,1805.0000,1766.0000,19939528,354126,278790,15680,50,,,19939528.00,
07/03/2017,1786.6793,1805.0000,-1.04,1838.0000,1824.0000,1838.0000,1717.0000,19939528,359908,184453,10251,35,,,19939528.00,
06/03/2017,1805.4864,1824.0000,-0.27,1829.0000,1829.0000,1839.0000,1800.0000,19939528,363697,107626,5918,20,,,19939528.00,
05/03/2017,1810.4357,1829.0000,-0.33,1856.0000,1835.0000,1860.0000,1820.0000,19939528,364694,109325,5926,16,,,19939528.00,
02/03/2017,1816.3748,1835.0000,0.82,1836.0000,1820.0000,1850.0000,1827.0000,19939528,365890,90664,4931,20,EX D,0.98645,19939528.00,
01/03/2017,1801.5273,1845.0000,1.15,1885.0000,1824.0000,1885.0000,1834.0000,19939528,367884,249679,13507,55,,,19939528.00,
28/02/2017,1781.0221,1824.0000,0.16,1837.0000,1821.0000,1844.0000,1800.0000,19939528,363697,155572,8534,18,,,19939528.00,
27/02/2017,1778.0928,1821.0000,0.39,1850.0000,1814.0000,1850.0000,1781.0000,19939528,363099,268491,14723,45,,,19939528.00,
26/02/2017,1771.2577,1814.0000,0.28,1810.0000,1809.0000,1855.0000,1810.0000,19939528,361703,404728,22288,35,,,19939528.00,
23/02/2017,1766.3755,1809.0000,-2.06,1801.0000,1847.0000,1900.0000,1786.0000,19939528,360706,315021,16962,39,,,19939528.00,
22/02/2017,1803.4802,1847.0000,0.65,1849.0000,1835.0000,1888.0000,1837.0000,19939528,368283,276386,14937,35,,,19939528.00,
21/02/2017,1791.7629,1835.0000,0.55,1889.0000,1825.0000,1890.0000,1812.0000,19939528,365890,203312,11115,31,,,19939528.00,
20/02/2017,1781.9985,1825.0000,1.90,1834.0000,1791.0000,1835.0000,1810.0000,19939528,363896,228130,12507,37,,,19939528.00,
19/02/2017,1748.7997,1791.0000,0.96,1809.0000,1774.0000,1849.0000,1740.0000,19939528,357117,259887,14408,35,,,19939528.00,
16/02/2017,1732.2002,1774.0000,-1.33,1800.0000,1798.0000,1899.0000,1762.0000,19939528,353727,453034,25199,52,,,19939528.00,
15/02/2017,1755.6347,1798.0000,0.17,1830.0000,1795.0000,1881.0000,1780.0000,19939528,358513,781001,43327,81,,,19939528.00,
14/02/2017,1752.7054,1795.0000,2.34,1754.0000,1754.0000,1800.0000,1780.0000,19939528,357915,374906,20963,60,,,19939528.00,
13/02/2017,1712.6714,1754.0000,3.79,1738.0000,1690.0000,1760.0000,1725.0000,19939528,349739,815104,46869,56,,,19939528.00,
12/02/2017,1650.1794,1690.0000,1.93,1658.0000,1658.0000,1700.0000,1640.0000,19939528,336978,559654,33280,54,,,19939528.00,
09/02/2017,1618.9334,1658.0000,4.28,1590.0000,1590.0000,1658.0000,1568.0000,19939528,330597,3264702,197515,68,,,18833900.00,
08/02/2017,1552.5357,1590.0000,1.60,1566.0000,1565.0000,1590.0000,1566.0000,19939528,317039,754057,47618,48,,,18833900.00,
07/02/2017,1528.1248,1565.0000,1.16,1547.0000,1547.0000,1575.0000,1540.0000,19939528,312054,676761,43419,40,,,18833900.00,
06/02/2017,1510.5489,1547.0000,-0.32,1552.0000,1552.0000,1552.0000,1528.0000,19939528,308465,201279,12980,12,,,18833900.00,
05/02/2017,1515.4311,1552.0000,-0.19,1550.0000,1555.0000,1553.0000,1550.0000,19939528,309461,350597,22616,22,,,18833900.00,
02/02/2017,1518.3604,1555.0000,0.13,1553.0000,1553.0000,1558.0000,1545.0000,19939528,310060,47939,3083,10,,,18833900.00,
01/02/2017,1516.4075,1553.0000,0.00,1553.0000,1553.0000,1555.0000,1543.0000,19939528,309661,452644,29142,24,,,18833900.00,
31/01/2017,1516.4075,1553.0000,-0.06,1554.0000,1554.0000,1560.0000,1546.0000,19939528,309661,30139,1941,10,,,18833900.00,
