Historical Prices - PRIORTECH - 00328013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2428.0000,2428.0000,-4.67,2547.0000,2547.0000,2598.0000,2350.0000,10874470,264032,505991,20323,84,,,10874470.00,
28/05/2017,2547.0000,2547.0000,5.99,2469.0000,2403.0000,2600.0000,2434.0000,10874470,276973,942317,37501,125,,,10874470.00,
25/05/2017,2403.0000,2403.0000,4.34,2303.0000,2303.0000,2432.0000,2303.0000,10874470,261314,1349264,56431,161,,,10874470.00,
24/05/2017,2303.0000,2303.0000,-0.39,2312.0000,2312.0000,2322.0000,2273.0000,10874470,250439,1465300,63462,82,,,10874470.00,
23/05/2017,2312.0000,2312.0000,5.23,2255.0000,2197.0000,2315.0000,2255.0000,10874470,251418,2022673,87691,135,,,10874470.00,
22/05/2017,2197.0000,2197.0000,-0.05,2198.0000,2198.0000,2225.0000,2181.0000,10874470,238912,287865,13088,45,,,10874470.00,
21/05/2017,2198.0000,2198.0000,3.29,2128.0000,2128.0000,2203.0000,2115.0000,10874470,239021,1174299,54744,143,,,10874470.00,
18/05/2017,2128.0000,2128.0000,-1.25,2155.0000,2155.0000,2180.0000,2072.0000,10874470,231409,80838,3786,27,,,10874470.00,
17/05/2017,2155.0000,2155.0000,-0.74,2171.0000,2171.0000,2164.0000,2104.0000,10874470,234345,170405,7943,33,,,10874470.00,
16/05/2017,2171.0000,2171.0000,-1.23,2198.0000,2198.0000,2200.0000,2163.0000,10874470,236085,407523,18683,63,,,10874470.00,
15/05/2017,2198.0000,2198.0000,-0.09,2255.0000,2200.0000,2255.0000,2185.0000,10874470,239021,360395,16304,41,,,10874470.00,
14/05/2017,2200.0000,2200.0000,1.38,2255.0000,2170.0000,2255.0000,2171.0000,10874470,239238,305572,13916,50,,,10874470.00,
11/05/2017,2170.0000,2170.0000,1.35,2141.0000,2141.0000,2201.0000,2116.0000,10874470,235976,364277,16993,56,,,10874470.00,
10/05/2017,2141.0000,2141.0000,-1.79,2180.0000,2180.0000,2170.0000,2100.0000,10874470,232822,278677,13069,58,,,10874470.00,
09/05/2017,2180.0000,2180.0000,11.11,1962.0000,1962.0000,2248.0000,1958.0000,10874470,237063,3685629,170750,270,,,10874470.00,
08/05/2017,1962.0000,1962.0000,0.87,1945.0000,1945.0000,1999.0000,1948.0000,10874470,213357,216098,11032,34,,,10874470.00,
07/05/2017,1945.0000,1945.0000,1.25,1921.0000,1921.0000,1954.0000,1917.0000,10874470,211508,257209,13356,30,,,10874470.00,
04/05/2017,1921.0000,1921.0000,4.92,1831.0000,1831.0000,1969.0000,1833.0000,10874470,208899,566011,29465,44,,,10874470.00,
03/05/2017,1831.0000,1831.0000,2.12,1793.0000,1793.0000,1884.0000,1757.0000,10874470,199112,209923,11620,26,,,10874470.00,
30/04/2017,1793.0000,1793.0000,1.47,1767.0000,1767.0000,1810.0000,1753.0000,10874470,194979,121275,6807,28,,,10874470.00,
27/04/2017,1767.0000,1767.0000,1.67,1738.0000,1738.0000,1793.0000,1738.0000,10874470,192152,68486,3875,15,,,10874470.00,
26/04/2017,1738.0000,1738.0000,0.06,1737.0000,1737.0000,1742.0000,1726.0000,10874470,188998,137619,7923,26,,,10874470.00,
25/04/2017,1737.0000,1737.0000,-0.06,1723.0000,1738.0000,1745.0000,1723.0000,10874470,188890,252389,14514,32,,,10874470.00,
24/04/2017,1738.0000,1738.0000,-2.96,1809.0000,1791.0000,1809.0000,1720.0000,10874470,188998,405361,23126,51,,,10874470.00,
23/04/2017,1791.0000,1791.0000,-0.78,1805.0000,1805.0000,1840.0000,1740.0000,10874470,194762,120694,6731,28,,,10874470.00,
20/04/2017,1805.0000,1805.0000,-1.74,1837.0000,1837.0000,1814.0000,1800.0000,10874470,196284,66586,3689,18,,,10874470.00,
19/04/2017,1837.0000,1837.0000,-2.60,1886.0000,1886.0000,1875.0000,1805.0000,10874470,199764,392371,21442,64,,,10874470.00,
