Historical Prices - PROPERT & BUIL - 00699017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,35660.0000,35660.0000,-2.30,36500.0000,36500.0000,36510.0000,35660.0000,6297932,2245843,1645811,4586,228,,,6297932.00,
28/05/2017,36500.0000,36500.0000,-1.24,37860.0000,36960.0000,37860.0000,36480.0000,6297932,2298745,624264,1700,114,,,6297932.00,
25/05/2017,36960.0000,36960.0000,-1.99,37710.0000,37710.0000,38250.0000,36600.0000,6297932,2327716,2663372,7066,381,,,6297932.00,
24/05/2017,37710.0000,37710.0000,1.40,37190.0000,37190.0000,37840.0000,37190.0000,6297932,2374950,838777,2239,146,,,6297932.00,
23/05/2017,37190.0000,37190.0000,0.95,36840.0000,36840.0000,37250.0000,36680.0000,6297932,2342201,2577232,6952,244,,,6297932.00,
22/05/2017,36840.0000,36840.0000,2.79,35840.0000,35840.0000,36880.0000,36050.0000,6297932,2320158,1466803,4023,222,,,6297932.00,
21/05/2017,35840.0000,35840.0000,0.65,35630.0000,35610.0000,36910.0000,35630.0000,6297932,2257179,695099,1922,115,,,6297932.00,
18/05/2017,35610.0000,35610.0000,-0.22,35690.0000,35690.0000,36010.0000,34920.0000,6297932,2242694,2391742,6733,246,,,6297932.00,
17/05/2017,35690.0000,35690.0000,-4.03,37340.0000,37190.0000,37340.0000,35280.0000,6297932,2247732,2379152,6540,331,,,6297932.00,
16/05/2017,37190.0000,37190.0000,-0.29,37300.0000,37300.0000,37640.0000,37000.0000,6297932,2342201,2489421,6646,252,,,6297932.00,
15/05/2017,37300.0000,37300.0000,0.05,37230.0000,37280.0000,37680.0000,36900.0000,6297932,2349129,1885036,5051,256,,,6297932.00,
14/05/2017,37280.0000,37280.0000,0.27,37180.0000,37180.0000,37430.0000,37020.0000,6297932,2347869,1145198,3078,118,,,6297932.00,
11/05/2017,37180.0000,37180.0000,0.05,37160.0000,37160.0000,37220.0000,36600.0000,6297932,2341571,9259134,24897,211,,,6297932.00,
10/05/2017,37160.0000,37160.0000,-0.16,37220.0000,37220.0000,37580.0000,36850.0000,6297932,2340312,2495808,6722,266,,,6297932.00,
09/05/2017,37220.0000,37220.0000,1.50,36670.0000,36670.0000,37390.0000,36610.0000,6297932,2344090,4434942,11980,346,,,6297932.00,
08/05/2017,36670.0000,36670.0000,-0.87,36900.0000,36990.0000,37240.0000,36310.0000,6297932,2309452,3662399,9955,277,,,6297932.00,
07/05/2017,36990.0000,36990.0000,0.54,36790.0000,36790.0000,37050.0000,36640.0000,6297932,2329605,1950308,5293,190,,,6297932.00,
04/05/2017,36790.0000,36790.0000,3.60,35510.0000,35510.0000,37100.0000,35000.0000,6297932,2317009,3795961,10442,332,,,6297932.00,
03/05/2017,35510.0000,35510.0000,1.40,35100.0000,35020.0000,35610.0000,34730.0000,6297932,2236396,1970792,5598,197,,,6297932.00,
30/04/2017,35020.0000,35020.0000,-0.34,35140.0000,35140.0000,35200.0000,34700.0000,6297932,2205536,1479431,4236,163,,,6297932.00,
27/04/2017,35140.0000,35140.0000,0.69,35200.0000,34900.0000,35200.0000,34840.0000,6297932,2213093,2786112,7955,245,,,6297932.00,
26/04/2017,34900.0000,34900.0000,1.28,34460.0000,34460.0000,34980.0000,34360.0000,6297932,2197978,1922431,5542,155,,,6297932.00,
25/04/2017,34460.0000,34460.0000,-0.40,34600.0000,34600.0000,34930.0000,34310.0000,6297932,2170267,1511016,4379,209,,,6297932.00,
24/04/2017,34600.0000,34600.0000,2.10,33890.0000,33890.0000,34830.0000,34110.0000,6297932,2179084,1702907,4938,204,,,6297932.00,
23/04/2017,33890.0000,33890.0000,-0.32,33550.0000,34000.0000,34060.0000,33550.0000,6297932,2134369,1326242,3921,266,,,6297932.00,
20/04/2017,34000.0000,34000.0000,0.12,33960.0000,33960.0000,34640.0000,33730.0000,6297932,2141297,4390518,12900,240,,,6297932.00,
19/04/2017,33960.0000,33960.0000,0.74,33500.0000,33710.0000,34460.0000,33270.0000,6297932,2138778,1787573,5309,225,,,6297932.00,
18/04/2017,33710.0000,33710.0000,0.03,33700.0000,33700.0000,34530.0000,33390.0000,6297932,2123033,8460364,25062,256,,,6297932.00,
13/04/2017,33700.0000,33700.0000,-0.71,33940.0000,33940.0000,34060.0000,33600.0000,6297932,2122403,2026320,5995,159,,,6297932.00,
12/04/2017,33940.0000,33940.0000,-1.39,34750.0000,34420.0000,34750.0000,33900.0000,6297932,2137518,1940811,5681,165,EX D,0.93533,6297932.00,
09/04/2017,34420.1440,36800.0000,0.19,36730.0000,36730.0000,37210.0000,36400.0000,6297932,2317639,7229159,19680,579,,,6297932.00,
06/04/2017,34354.6709,36730.0000,4.38,35480.0000,35190.0000,36980.0000,35300.0000,6297932,2313230,7313319,20134,880,,,6297932.00,
05/04/2017,32914.2627,35190.0000,6.70,33760.0000,32980.0000,35290.0000,33040.0000,6297932,2216242,14590818,41987,809,,,6297932.00,
04/04/2017,30847.1834,32980.0000,-0.48,33140.0000,33140.0000,33490.0000,32820.0000,6297932,2077058,1019795,3072,134,,,6297932.00,
03/04/2017,30996.8362,33140.0000,-0.51,33310.0000,33310.0000,33390.0000,33000.0000,6297932,2087135,1475851,4444,166,,,6297932.00,
02/04/2017,31155.8423,33310.0000,1.68,32410.0000,32760.0000,33540.0000,32410.0000,6297932,2097841,1195374,3597,123,,,6297932.00,
30/03/2017,30641.4108,32760.0000,0.71,32530.0000,32530.0000,32940.0000,32380.0000,6297932,2063203,1597912,4876,156,,,6297932.00,
