Historical Prices - PROTALIX - 01120609
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,328.7000,328.7000,-2.90,338.0000,338.5000,340.4000,327.1000,123654975,406454,716799,214070,207,,,123654975.00,
28/05/2017,338.5000,338.5000,-1.02,330.0000,342.0000,349.8000,330.0000,123654975,418572,2911937,854480,679,,,123654975.00,
25/05/2017,342.0000,342.0000,3.35,330.0000,330.9000,355.4000,327.0000,123654975,422900,4702509,1365917,986,,,123654975.00,
24/05/2017,330.9000,330.9000,10.15,314.0000,300.4000,340.0000,307.9000,123654975,409174,6148533,1899313,1211,,,123654975.00,
23/05/2017,300.4000,300.4000,5.81,280.0000,283.9000,320.1000,277.1000,123654975,371460,5362297,1801818,1097,,,123654975.00,
22/05/2017,283.9000,283.9000,-2.20,289.0000,290.3000,289.0000,280.2000,123654975,351056,512780,180463,169,,,123654975.00,
21/05/2017,290.3000,290.3000,0.76,291.0000,288.1000,291.7000,288.6000,123654975,358970,222633,76673,68,,,123654975.00,
18/05/2017,288.1000,288.1000,-2.24,293.0000,294.7000,296.6000,280.0000,123654975,356250,1351202,470595,331,,,123654975.00,
17/05/2017,294.7000,294.7000,-0.87,301.0000,297.3000,301.1000,292.0000,123654975,364411,774145,261204,207,,,123654975.00,
16/05/2017,297.3000,297.3000,0.78,291.0000,295.0000,301.0000,286.2000,123654975,367626,2143541,729835,483,,,123654975.00,
15/05/2017,295.0000,295.0000,-2.06,301.2000,301.2000,311.8000,293.8000,123654975,364782,1079579,357348,252,,,123654975.00,
14/05/2017,301.2000,301.2000,-2.74,305.0000,309.7000,309.7000,301.0000,123654975,372449,1124537,371517,256,,,123654975.00,
11/05/2017,309.7000,309.7000,-8.21,320.0000,337.4000,325.0000,305.0000,123654975,382959,2570912,807230,622,,,123654975.00,
10/05/2017,337.4000,337.4000,0.66,329.9000,335.2000,358.0000,329.9000,123654975,417212,2365498,683971,456,,,123654975.00,
09/05/2017,335.2000,335.2000,2.20,328.0000,328.0000,359.9000,325.2000,123654975,414491,3152880,921428,613,,,123654975.00,
08/05/2017,328.0000,328.0000,-1.94,336.9000,334.5000,348.0000,328.0000,123654975,405588,1091231,322390,219,,,123654975.00,
07/05/2017,334.5000,334.5000,-2.05,332.1000,341.5000,341.0000,332.0000,123654975,413626,468399,139982,132,,,123654975.00,
