Historical Prices - RAM ON - 01090943
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1548.0000,1548.0000,5.02,1541.0000,1474.0000,1570.0000,1526.0000,16796835,260015,768419,49622,106,,,16796835.00,
28/05/2017,1474.0000,1474.0000,-0.67,1484.0000,1484.0000,1539.0000,1460.0000,16796835,247585,269446,18111,53,,,16796835.00,
25/05/2017,1484.0000,1484.0000,-0.74,1491.0000,1495.0000,1498.0000,1477.0000,16796835,249265,183199,12298,22,,,16796835.00,
24/05/2017,1495.0000,1495.0000,-1.32,1515.0000,1515.0000,1512.0000,1490.0000,16796835,251113,72288,4826,27,,,16796835.00,
23/05/2017,1515.0000,1515.0000,-0.13,1517.0000,1517.0000,1521.0000,1506.0000,16796835,254472,80769,5331,27,,,16796835.00,
22/05/2017,1517.0000,1517.0000,-0.52,1525.0000,1525.0000,1521.0000,1510.0000,16796835,254808,71737,4727,24,,,16796835.00,
21/05/2017,1525.0000,1525.0000,0.07,1524.0000,1524.0000,1555.0000,1520.0000,16796835,256152,56669,3716,25,,,16796835.00,
18/05/2017,1524.0000,1524.0000,-1.93,1559.0000,1554.0000,1559.0000,1513.0000,16796835,255984,118298,7738,47,,,16796835.00,
17/05/2017,1554.0000,1554.0000,-0.89,1571.0000,1568.0000,1571.0000,1520.0000,16796835,261023,158862,10289,44,,,16796835.00,
16/05/2017,1568.0000,1568.0000,0.51,1560.0000,1560.0000,1577.0000,1560.0000,16796835,263374,138479,8817,29,,,16796835.00,
15/05/2017,1560.0000,1560.0000,1.30,1549.0000,1540.0000,1568.0000,1549.0000,16796835,262031,73026,4677,23,,,16796835.00,
14/05/2017,1540.0000,1540.0000,0.26,1536.0000,1536.0000,1542.0000,1538.0000,16796835,258671,265124,17209,41,,,16796835.00,
11/05/2017,1536.0000,1536.0000,1.79,1500.0000,1509.0000,1538.0000,1500.0000,16796835,257999,90390,5905,31,,,16796835.00,
10/05/2017,1509.0000,1509.0000,3.07,1464.0000,1464.0000,1531.0000,1474.0000,16796835,253464,73949,4919,29,,,16796835.00,
09/05/2017,1464.0000,1464.0000,1.67,1440.0000,1440.0000,1477.0000,1441.0000,16796835,245906,103694,7114,29,,,16796835.00,
08/05/2017,1440.0000,1440.0000,4.05,1384.0000,1384.0000,1494.0000,1380.0000,16796835,241874,227084,16121,41,,,16796835.00,
07/05/2017,1384.0000,1384.0000,-0.43,1400.0000,1390.0000,1400.0000,1382.0000,16796835,232468,125371,9047,26,,,16796835.00,
04/05/2017,1390.0000,1390.0000,-0.14,1392.0000,1392.0000,1400.0000,1384.0000,16796835,233476,466775,33570,42,,,16796835.00,
03/05/2017,1392.0000,1392.0000,-1.21,1409.0000,1409.0000,1412.0000,1392.0000,16796835,233812,119696,8564,24,,,16796835.00,
30/04/2017,1409.0000,1409.0000,0.36,1404.0000,1404.0000,1425.0000,1403.0000,16796835,236667,97162,6904,26,,,16796835.00,
27/04/2017,1404.0000,1404.0000,-0.07,1405.0000,1405.0000,1411.0000,1400.0000,16796835,235828,38851,2767,14,,,16796835.00,
26/04/2017,1405.0000,1405.0000,-1.13,1421.0000,1421.0000,1414.0000,1402.0000,16796835,235996,33458,2381,12,,,16796835.00,
25/04/2017,1421.0000,1421.0000,0.07,1421.0000,1420.0000,1431.0000,1410.0000,16796835,238683,84303,5943,30,,,16796835.00,
24/04/2017,1420.0000,1420.0000,0.57,1412.0000,1412.0000,1432.0000,1416.0000,16796835,238515,125542,8846,26,,,16796835.00,
23/04/2017,1412.0000,1412.0000,0.00,1412.0000,1412.0000,1421.0000,1406.0000,16796835,237171,77177,5456,21,,,16796835.00,
20/04/2017,1412.0000,1412.0000,-1.26,1430.0000,1430.0000,1449.0000,1400.0000,16796835,237171,76873,5432,21,,,16796835.00,
19/04/2017,1430.0000,1430.0000,-1.58,1453.0000,1453.0000,1465.0000,1421.0000,16796835,240195,109714,7636,27,,,16796835.00,
18/04/2017,1453.0000,1453.0000,-3.84,1511.0000,1511.0000,1523.0000,1400.0000,16796835,244058,132539,9069,40,,,16796835.00,
13/04/2017,1511.0000,1511.0000,-3.70,1543.0000,1569.0000,1543.0000,1489.0000,16796835,253800,51986,3439,21,,,16796835.00,
12/04/2017,1569.0000,1569.0000,2.21,1549.0000,1535.0000,1618.0000,1543.0000,16796835,263542,102035,6479,25,,,16796835.00,
09/04/2017,1535.0000,1535.0000,-0.52,1543.0000,1543.0000,1548.0000,1525.0000,16796835,257831,94222,6110,15,,,16796835.00,
06/04/2017,1543.0000,1543.0000,3.07,1497.0000,1497.0000,1543.0000,1501.0000,16796835,259175,511776,33576,56,,,16796835.00,
05/04/2017,1497.0000,1497.0000,-0.40,1529.0000,1503.0000,1549.0000,1491.0000,16796835,251449,125593,8297,30,,,16796835.00,
04/04/2017,1503.0000,1503.0000,0.54,1495.0000,1495.0000,1511.0000,1490.0000,16796835,252456,41872,2788,17,,,16796835.00,
03/04/2017,1495.0000,1495.0000,-3.67,1564.0000,1552.0000,1564.0000,1470.0000,16796835,251113,367753,23796,66,,,16796835.00,
02/04/2017,1552.0000,1552.0000,4.44,1521.0000,1486.0000,1569.0000,1501.0000,16796835,260687,570373,36987,88,EX D,0.97251,16796835.00,
30/03/2017,1485.9953,1528.0000,5.89,1443.0000,1443.0000,1573.0000,1443.0000,16796835,256656,242003,16160,55,,,16796835.00,
29/03/2017,1403.3319,1443.0000,0.35,1434.0000,1438.0000,1489.0000,1425.0000,16796835,242378,278434,19111,52,,,16796835.00,
