Historical Prices - RAMI LEVI - 01104249
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,18000.0000,18000.0000,-2.70,18310.0000,18500.0000,18400.0000,17800.0000,13478769,2426178,10591435,58741,687,,,13478769.00,
28/05/2017,18500.0000,18500.0000,-0.16,18530.0000,18530.0000,18690.0000,18400.0000,13478769,2493572,1640243,8859,217,,,13478769.00,
25/05/2017,18530.0000,18530.0000,0.16,18500.0000,18500.0000,18590.0000,18300.0000,13478769,2497616,3616688,19606,309,,,13478769.00,
24/05/2017,18500.0000,18500.0000,1.09,18300.0000,18300.0000,18550.0000,18200.0000,13478769,2493572,4656344,25295,360,,,13478769.00,
23/05/2017,18300.0000,18300.0000,1.22,18080.0000,18080.0000,18300.0000,17990.0000,13478769,2466615,3599410,19824,401,,,13478769.00,
22/05/2017,18080.0000,18080.0000,2.44,17900.0000,17650.0000,18140.0000,17800.0000,13478769,2436961,2757657,15346,268,,,13478769.00,
21/05/2017,17650.0000,17650.0000,0.46,17570.0000,17570.0000,17900.0000,17570.0000,13478769,2379003,1390648,7816,206,,,13478769.00,
18/05/2017,17570.0000,17570.0000,-2.01,17710.0000,17930.0000,17910.0000,17570.0000,13478769,2368220,10202959,57703,441,,,13478769.00,
17/05/2017,17930.0000,17930.0000,-0.94,18000.0000,18100.0000,18080.0000,17820.0000,13478769,2416743,2788232,15495,313,,,13478769.00,
16/05/2017,18100.0000,18100.0000,1.29,17870.0000,17870.0000,18100.0000,17870.0000,13478769,2439657,3321182,18431,307,,,13478769.00,
15/05/2017,17870.0000,17870.0000,1.13,17710.0000,17670.0000,17900.0000,17560.0000,13478769,2408656,2540227,14340,287,,,13478769.00,
14/05/2017,17670.0000,17670.0000,0.11,17650.0000,17650.0000,17710.0000,17420.0000,13478769,2381698,3142225,17907,250,,,13478769.00,
11/05/2017,17650.0000,17650.0000,-1.94,17920.0000,18000.0000,18050.0000,17520.0000,13478769,2379003,11216273,63463,640,,,13478769.00,
10/05/2017,18000.0000,18000.0000,0.33,17810.0000,17940.0000,18110.0000,17810.0000,13478769,2426178,5638044,31355,441,,,13478769.00,
09/05/2017,17940.0000,17940.0000,1.53,17650.0000,17670.0000,18020.0000,17640.0000,13478769,2418091,5315666,29681,463,,,13478769.00,
08/05/2017,17670.0000,17670.0000,0.45,17680.0000,17590.0000,17890.0000,17420.0000,13478769,2381698,3764818,21318,386,,,13478769.00,
07/05/2017,17590.0000,17590.0000,1.38,17300.0000,17350.0000,17590.0000,17300.0000,13478769,2370915,1897473,10831,196,,,13478769.00,
04/05/2017,17350.0000,17350.0000,0.29,17300.0000,17300.0000,17350.0000,17260.0000,13478769,2338566,3450076,19934,299,,,13478769.00,
03/05/2017,17300.0000,17300.0000,0.00,17300.0000,17300.0000,17350.0000,17120.0000,13478769,2331827,28835269,166806,514,,,13478769.00,
30/04/2017,17300.0000,17300.0000,0.00,17300.0000,17300.0000,17390.0000,17130.0000,13478769,2331827,1608635,9310,146,,,13478769.00,
27/04/2017,17300.0000,17300.0000,0.29,17450.0000,17250.0000,17450.0000,17250.0000,13478769,2331827,8861389,51200,392,,,13478769.00,
26/04/2017,17250.0000,17250.0000,-0.06,17270.0000,17260.0000,17300.0000,17080.0000,13478769,2325088,3685829,21481,346,,,13478769.00,
25/04/2017,17260.0000,17260.0000,-0.86,17410.0000,17410.0000,17410.0000,17160.0000,13478769,2326436,3730415,21653,383,,,13478769.00,
24/04/2017,17410.0000,17410.0000,2.41,17000.0000,17000.0000,17470.0000,17000.0000,13478769,2346654,9923811,57326,615,,,13478769.00,
23/04/2017,17000.0000,17000.0000,-1.51,17010.0000,17260.0000,17120.0000,16930.0000,13478769,2291391,2241996,13159,250,,,13478769.00,
20/04/2017,17260.0000,17260.0000,-0.06,17270.0000,17270.0000,17300.0000,17180.0000,13478769,2326436,11710853,67827,534,,,13478769.00,
19/04/2017,17270.0000,17270.0000,2.55,16850.0000,16840.0000,17300.0000,16510.0000,13478769,2327783,63692030,376418,1038,,,13478769.00,
18/04/2017,16840.0000,16840.0000,1.88,16530.0000,16530.0000,16860.0000,16480.0000,13478769,2269825,9098741,54339,826,,,13478769.00,
