Historical Prices - RATIO PETROLE L - 01139864
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,92.9000,92.9000,-0.21,93.0000,93.1000,93.8000,91.4000,114682236,106540,130012,139800,34,,,114682236.00,
28/05/2017,93.1000,93.1000,0.43,92.7000,92.7000,93.5000,92.7000,114682236,106769,64900,69708,11,,,114682236.00,
25/05/2017,92.7000,92.7000,3.11,89.9000,89.9000,94.0000,90.5000,114682236,106310,268413,290202,57,,,114682236.00,
24/05/2017,89.9000,89.9000,3.21,89.2000,87.1000,90.5000,88.4000,114682236,103099,187508,209547,38,,,114682236.00,
23/05/2017,87.1000,87.1000,0.00,87.1000,87.1000,87.4000,86.3000,114682236,99888,158596,182041,16,,,114682236.00,
22/05/2017,87.1000,87.1000,-0.80,87.8000,87.8000,88.9000,87.1000,114682236,99888,367602,419264,33,,,114682236.00,
21/05/2017,87.8000,87.8000,0.46,87.8000,87.4000,87.9000,87.0000,114682236,100691,83808,95463,8,,,114682236.00,
18/05/2017,87.4000,87.4000,-0.68,88.0000,88.0000,89.3000,86.7000,114682236,100232,110032,126164,25,,,114682236.00,
17/05/2017,88.0000,88.0000,1.38,87.0000,86.8000,88.6000,86.5000,114682236,100920,184485,211628,41,,,114682236.00,
16/05/2017,86.8000,86.8000,2.97,84.3000,84.3000,90.1000,85.4000,114682236,99544,1165849,1341520,143,,,114682236.00,
15/05/2017,84.3000,84.3000,-1.17,85.3000,85.3000,87.0000,84.1000,114682236,96677,445144,524153,42,,,114682236.00,
14/05/2017,85.3000,85.3000,0.12,83.2000,85.2000,85.8000,83.2000,114682236,97824,170860,200716,27,,,114682236.00,
11/05/2017,85.2000,85.2000,0.12,85.1000,85.1000,85.8000,84.0000,114682236,97709,134161,158060,23,,,114682236.00,
10/05/2017,85.1000,85.1000,1.67,83.7000,83.7000,85.3000,82.3000,114682236,97595,381448,458128,41,,,114682236.00,
09/05/2017,83.7000,83.7000,0.36,83.4000,83.4000,85.4000,82.5000,114682236,95989,765979,913835,85,,,114682236.00,
08/05/2017,83.4000,83.4000,-0.48,83.8000,83.8000,83.7000,83.4000,114682236,95645,14336,17181,4,,,114682236.00,
