Historical Prices - REDHILL - 01122381
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,346.7000,346.7000,-0.66,349.0000,349.0000,349.3000,346.1000,171640344,595077,218665,62928,99,,,170581594.00,
28/05/2017,349.0000,349.0000,-1.25,353.4000,353.4000,353.4000,348.0000,171640344,599025,201865,57598,87,,,170581594.00,
25/05/2017,353.4000,353.4000,-0.70,352.1000,355.9000,355.1000,348.4000,171640344,606577,589262,167457,149,,,170581594.00,
24/05/2017,355.9000,355.9000,-2.57,367.2000,365.3000,375.0000,351.4000,171640344,610868,739794,203036,215,,,170581594.00,
23/05/2017,365.3000,365.3000,2.27,362.5000,357.2000,368.9000,362.5000,171640344,627002,785795,214761,171,,,170581594.00,
22/05/2017,357.2000,357.2000,2.00,350.2000,350.2000,361.5000,347.0000,171640344,613099,754132,213721,190,,,170581594.00,
21/05/2017,350.2000,350.2000,-1.32,354.9000,354.9000,355.7000,348.2000,171640344,601084,319122,90804,114,,,170581594.00,
18/05/2017,354.9000,354.9000,0.11,350.1000,354.5000,357.3000,350.1000,171640344,609152,589702,167061,176,,,170581594.00,
17/05/2017,354.5000,354.5000,-1.64,364.9000,360.4000,364.9000,352.3000,171640344,608465,784714,220289,216,,,170581594.00,
16/05/2017,360.4000,360.4000,2.07,353.2000,353.1000,360.9000,353.2000,171640344,618592,506477,141278,147,,,170581594.00,
15/05/2017,353.1000,353.1000,0.09,352.8000,352.8000,359.9000,351.0000,171640344,606062,464045,130678,154,,,170581594.00,
14/05/2017,352.8000,352.8000,-2.03,350.0000,360.1000,354.9000,350.0000,171640344,605547,276131,78343,100,,,170581594.00,
11/05/2017,360.1000,360.1000,5.76,345.0000,340.5000,360.9000,344.4000,170617697,614394,807464,229449,205,,,170581594.00,
10/05/2017,340.5000,340.5000,-1.62,346.6000,346.1000,346.8000,340.0000,170617697,580953,540091,157564,105,,,170581594.00,
09/05/2017,346.1000,346.1000,-0.06,345.0000,346.3000,346.5000,343.1000,170617697,590508,437887,126979,143,,,170581594.00,
08/05/2017,346.3000,346.3000,0.14,345.0000,345.8000,348.9000,345.0000,170581594,590724,279505,80535,95,,,170581594.00,
07/05/2017,345.8000,345.8000,-0.49,348.0000,347.5000,348.1000,344.8000,170581594,589871,318998,92059,105,,,170581594.00,
04/05/2017,347.5000,347.5000,-2.55,353.8000,356.6000,370.5000,347.5000,170581594,592771,1838596,520591,360,,,170581594.00,
03/05/2017,356.6000,356.6000,-1.16,360.5000,360.8000,360.5000,355.4000,170581594,608294,326346,91373,105,,,170581594.00,
30/04/2017,360.8000,360.8000,-3.35,367.9000,373.3000,367.9000,360.0000,170581594,615458,320211,88329,95,,,170581594.00,
27/04/2017,373.3000,373.3000,1.55,378.0000,367.6000,378.0000,371.2000,170581594,636781,926904,246788,172,,,170581594.00,
26/04/2017,367.6000,367.6000,-1.66,372.0000,373.8000,375.7000,367.6000,170581594,627058,1066502,288798,170,,,170581594.00,
25/04/2017,373.8000,373.8000,-1.45,379.0000,379.3000,379.0000,370.6000,170581594,637634,608655,163025,148,,,170581594.00,
24/04/2017,379.3000,379.3000,1.23,375.0000,374.7000,383.2000,373.0000,170581594,647016,1440385,382271,226,,,170581594.00,
23/04/2017,374.7000,374.7000,3.25,377.9000,362.9000,384.0000,373.3000,170581594,639169,972908,258419,202,,,170581594.00,
20/04/2017,362.9000,362.9000,0.47,366.5000,361.2000,376.6000,357.8000,170581594,619041,875187,238775,173,,,170581594.00,
19/04/2017,361.2000,361.2000,-1.04,365.0000,365.0000,365.0000,359.0000,170581594,616141,229420,63480,81,,,170581594.00,
18/04/2017,365.0000,365.0000,0.27,364.0000,364.0000,372.0000,361.4000,170581594,622623,652184,177614,172,,,170581594.00,
13/04/2017,364.0000,364.0000,0.66,364.0000,361.6000,378.0000,358.6000,170581594,620917,1057857,285996,174,,,170581594.00,
12/04/2017,361.6000,361.6000,1.49,361.5000,356.3000,366.8000,358.5000,170581594,616823,165545,45771,60,,,170581594.00,
09/04/2017,356.3000,356.3000,-1.30,361.0000,361.0000,361.0000,354.3000,170581594,607782,355952,99943,102,,,170581594.00,
06/04/2017,361.0000,361.0000,-1.85,360.0000,367.8000,361.0000,353.8000,170581594,615800,1285463,359006,168,,,170581594.00,
05/04/2017,367.8000,367.8000,-0.14,368.0000,368.3000,373.0000,356.2000,170581594,627399,1938024,527244,370,,,170581594.00,
04/04/2017,368.3000,368.3000,5.17,353.9000,350.2000,376.0000,349.0000,170581594,628252,3277584,896052,628,,,170581594.00,
03/04/2017,350.2000,350.2000,0.72,347.7000,347.7000,354.6000,344.0000,170581594,597377,943468,271153,261,,,170581594.00,
02/04/2017,347.7000,347.7000,-0.69,346.0000,350.1000,354.7000,345.5000,170581594,593112,233528,67017,99,,,170581594.00,
