Historical Prices - SAPIENS - 01087659
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4533.0000,4533.0000,0.20,4524.0000,4524.0000,4551.0000,4524.0000,49035951,2222800,4068004,89665,353,,,49035951.00,
28/05/2017,4524.0000,4524.0000,-0.64,4553.0000,4553.0000,4553.0000,4477.0000,49035951,2218386,2427146,53912,276,,,49035951.00,
25/05/2017,4553.0000,4553.0000,1.58,4463.0000,4482.0000,4576.0000,4463.0000,49035951,2232607,4156128,92452,536,,,49035951.00,
24/05/2017,4482.0000,4482.0000,-1.34,4457.0000,4543.0000,4497.0000,4457.0000,49035951,2197791,5728873,128059,539,,,49035951.00,
23/05/2017,4543.0000,4543.0000,0.31,4529.0000,4529.0000,4563.0000,4500.0000,49035951,2227703,2648147,58326,361,,,49035951.00,
22/05/2017,4529.0000,4529.0000,-1.18,4583.0000,4583.0000,4585.0000,4510.0000,49035951,2220838,2220410,48764,365,,,49035951.00,
21/05/2017,4583.0000,4583.0000,-1.50,4625.0000,4653.0000,4625.0000,4570.0000,49035951,2247318,1166918,25462,181,,,49035951.00,
18/05/2017,4653.0000,4653.0000,-0.94,4683.0000,4697.0000,4724.0000,4653.0000,49035951,2281643,6480076,138095,669,,,49035951.00,
17/05/2017,4697.0000,4697.0000,-2.25,4701.0000,4805.0000,4787.0000,4629.0000,49035951,2303219,7356426,156223,901,,,49035951.00,
16/05/2017,4805.0000,4805.0000,-0.85,4803.0000,4846.0000,4878.0000,4801.0000,49035951,2356177,3267822,67585,429,,,49035951.00,
15/05/2017,4846.0000,4846.0000,4.76,4625.0000,4626.0000,4846.0000,4512.0000,49035951,2376282,5929939,127957,627,,,49035951.00,
14/05/2017,4626.0000,4626.0000,-1.13,4540.0000,4679.0000,4679.0000,4540.0000,49035951,2268403,3342973,73052,307,,,49035951.00,
11/05/2017,4679.0000,4679.0000,-0.89,4721.0000,4721.0000,4705.0000,4599.0000,49035951,2294392,2169365,46597,338,,,49035951.00,
10/05/2017,4721.0000,4721.0000,1.83,4622.0000,4636.0000,4744.0000,4595.0000,49035951,2314987,4561431,97665,545,,,49035951.00,
09/05/2017,4636.0000,4636.0000,1.93,4548.0000,4548.0000,4668.0000,4511.0000,49035951,2273307,4508207,98275,445,,,49035951.00,
08/05/2017,4548.0000,4548.0000,1.56,4478.0000,4478.0000,4559.0000,4458.0000,49035951,2230155,3688375,81886,448,,,49035951.00,
07/05/2017,4478.0000,4478.0000,-1.26,4462.0000,4535.0000,4482.0000,4453.0000,49035951,2195830,3337174,74625,339,,,49035951.00,
04/05/2017,4535.0000,4535.0000,1.18,4425.0000,4482.0000,4575.0000,4421.0000,49035951,2223780,6856739,152465,825,,,49035951.00,
03/05/2017,4482.0000,4482.0000,1.40,4385.0000,4420.0000,4564.0000,4367.0000,49035951,2197791,13657750,304366,996,,,49035951.00,
30/04/2017,4420.0000,4420.0000,-1.67,4405.0000,4495.0000,4430.0000,4359.0000,49035951,2167389,11466885,260045,878,,,49035951.00,
27/04/2017,4495.0000,4495.0000,-8.49,4980.0000,4912.0000,4980.0000,4260.0000,49035951,2204166,21691586,486552,1469,,,49035951.00,
26/04/2017,4912.0000,4912.0000,1.72,4895.0000,4829.0000,4930.0000,4846.0000,49035951,2408646,970673,19873,156,,,49035951.00,
25/04/2017,4829.0000,4829.0000,1.30,4784.0000,4767.0000,4847.0000,4720.0000,49035951,2367946,1908458,39894,275,,,49035951.00,
24/04/2017,4767.0000,4767.0000,2.30,4740.0000,4660.0000,4778.0000,4713.0000,49035951,2337544,2640830,55602,303,,,49035951.00,
23/04/2017,4660.0000,4660.0000,-3.12,4700.0000,4810.0000,4750.0000,4637.0000,49035951,2285075,1175695,25021,174,,,49035951.00,
20/04/2017,4810.0000,4810.0000,1.05,4795.0000,4760.0000,4840.0000,4695.0000,49035951,2358629,2035981,42508,238,,,49035951.00,
19/04/2017,4760.0000,4760.0000,0.21,4686.0000,4750.0000,4790.0000,4641.0000,49035951,2334111,1835927,38927,235,,,49035951.00,
18/04/2017,4750.0000,4750.0000,-1.76,4800.0000,4835.0000,4801.0000,4744.0000,49035951,2329208,1662984,34942,239,,,49035951.00,
13/04/2017,4835.0000,4835.0000,-1.19,4871.0000,4893.0000,4883.0000,4830.0000,49035951,2370888,711884,14673,109,,,49035951.00,
12/04/2017,4893.0000,4893.0000,-3.01,4929.0000,5045.0000,4929.0000,4877.0000,49035951,2399329,1170923,23912,212,,,49035951.00,
09/04/2017,5045.0000,5045.0000,0.10,5040.0000,5040.0000,5064.0000,5005.0000,49035951,2473864,903225,17972,149,,,49035951.00,
06/04/2017,5040.0000,5040.0000,3.92,4850.0000,4850.0000,5138.0000,4816.0000,49035951,2471412,12582508,248970,864,,,49035951.00,
05/04/2017,4850.0000,4850.0000,2.17,4761.0000,4747.0000,4866.0000,4751.0000,49035951,2378244,1227133,25387,190,,,49035951.00,
04/04/2017,4747.0000,4747.0000,0.27,4734.0000,4734.0000,4790.0000,4665.0000,49035951,2327737,676658,14249,117,,,49035951.00,
03/04/2017,4734.0000,4734.0000,1.50,4664.0000,4664.0000,4752.0000,4649.0000,49035951,2321362,1763724,37646,238,,,49035951.00,
02/04/2017,4664.0000,4664.0000,-1.83,4721.0000,4751.0000,4721.0000,4630.0000,49035951,2287037,809838,17343,104,,,49035951.00,
30/03/2017,4751.0000,4751.0000,-0.38,4825.0000,4769.0000,4825.0000,4723.0000,49035951,2329698,1284135,27027,176,,,49035951.00,
29/03/2017,4769.0000,4769.0000,1.02,4721.0000,4721.0000,4830.0000,4703.0000,49035951,2338525,1883801,39398,231,,,49035951.00,
28/03/2017,4721.0000,4721.0000,1.53,4650.0000,4650.0000,4726.0000,4629.0000,49035951,2314987,1077575,22982,159,,,49035951.00,
27/03/2017,4650.0000,4650.0000,-1.25,4700.0000,4709.0000,4701.0000,4599.0000,49035951,2280172,1439752,31014,232,,,49035951.00,
26/03/2017,4709.0000,4709.0000,-2.00,4791.0000,4805.0000,4791.0000,4705.0000,49035951,2309103,845863,17858,130,,,49035951.00,
23/03/2017,4805.0000,4805.0000,0.29,4771.0000,4791.0000,4830.0000,4746.0000,49035951,2356177,1130217,23595,216,,,49035951.00,
22/03/2017,4791.0000,4791.0000,-2.14,4788.0000,4896.0000,4867.0000,4779.0000,49035951,2349312,1588625,32989,255,,,49035951.00,
21/03/2017,4896.0000,4896.0000,-0.26,4920.0000,4909.0000,4962.0000,4860.0000,49035951,2400800,1291951,26142,207,,,49035951.00,
20/03/2017,4909.0000,4909.0000,1.13,4848.0000,4854.0000,4930.0000,4821.0000,49035951,2407175,1258088,25926,237,,,49035951.00,
19/03/2017,4854.0000,4854.0000,0.75,4832.0000,4818.0000,4862.0000,4824.0000,49035951,2380205,706498,14590,146,,,49035951.00,
16/03/2017,4818.0000,4818.0000,0.61,4789.0000,4789.0000,4850.0000,4776.0000,49035951,2362552,1341757,27919,216,,,49035951.00,
15/03/2017,4789.0000,4789.0000,-0.29,4803.0000,4803.0000,4831.0000,4777.0000,49035951,2348332,1990098,41423,252,,,49035951.00,
14/03/2017,4803.0000,4803.0000,-0.74,4801.0000,4839.0000,4871.0000,4775.0000,49035951,2355197,3703608,76766,306,,,49035951.00,
13/03/2017,4839.0000,4839.0000,-2.12,4870.0000,4944.0000,4872.0000,4833.0000,49035951,2372850,2479938,51098,272,,,49035951.00,
09/03/2017,4944.0000,4944.0000,-2.77,5020.0000,5085.0000,5034.0000,4944.0000,49035951,2424337,2922054,58405,399,,,49035951.00,
08/03/2017,5085.0000,5085.0000,-0.43,5098.0000,5107.0000,5099.0000,5060.0000,49035951,2493478,1541607,30365,246,,,49035951.00,
07/03/2017,5107.0000,5107.0000,-0.83,5105.0000,5150.0000,5200.0000,5100.0000,49035951,2504266,1965912,38364,304,,,49035951.00,
06/03/2017,5150.0000,5150.0000,-1.49,5228.0000,5228.0000,5233.0000,5150.0000,49035951,2525351,1524189,29463,186,,,49035951.00,
05/03/2017,5228.0000,5228.0000,-2.28,5258.0000,5350.0000,5265.0000,5211.0000,49035951,2563600,888029,16941,156,,,49035951.00,
02/03/2017,5350.0000,5350.0000,3.36,5250.0000,5176.0000,5390.0000,5250.0000,49035951,2623423,19794767,372565,663,,,48984522.00,
01/03/2017,5176.0000,5176.0000,0.12,5186.0000,5170.0000,5289.0000,5151.0000,49035951,2538101,14759653,283927,751,,,48984522.00,
28/02/2017,5170.0000,5170.0000,-6.71,5542.0000,5542.0000,5597.0000,5079.0000,49035951,2535159,7022062,133677,734,,,48984522.00,
27/02/2017,5542.0000,5542.0000,-0.73,5567.0000,5583.0000,5574.0000,5466.0000,49035951,2717572,1836728,33172,250,,,48984522.00,
26/02/2017,5583.0000,5583.0000,-0.62,5590.0000,5618.0000,5615.0000,5567.0000,49035951,2737677,1242486,22244,150,,,48984522.00,
23/02/2017,5618.0000,5618.0000,-1.00,5658.0000,5675.0000,5658.0000,5605.0000,49035951,2754840,1159475,20604,135,,,48984522.00,
22/02/2017,5675.0000,5675.0000,0.25,5710.0000,5661.0000,5725.0000,5641.0000,49035951,2782790,1525016,26833,202,,,48984522.00,
21/02/2017,5661.0000,5661.0000,-0.21,5670.0000,5673.0000,5690.0000,5620.0000,49035951,2775925,1995643,35199,240,,,48984522.00,
20/02/2017,5673.0000,5673.0000,-0.35,5693.0000,5693.0000,5699.0000,5613.0000,49035951,2781810,1426778,25145,181,,,48984522.00,
19/02/2017,5693.0000,5693.0000,1.84,5590.0000,5590.0000,5700.0000,5602.0000,49035951,2791617,911916,16146,134,,,48984522.00,
16/02/2017,5590.0000,5590.0000,2.76,5511.0000,5440.0000,5633.0000,5501.0000,49035951,2741110,3898218,69869,519,,,48984522.00,
15/02/2017,5440.0000,5440.0000,5.28,5167.0000,5167.0000,5570.0000,5171.0000,49035951,2667556,4474249,83230,650,,,48984522.00,
14/02/2017,5167.0000,5167.0000,0.17,5132.0000,5158.0000,5173.0000,5119.0000,49035951,2533688,2083717,40552,236,,,48984522.00,
13/02/2017,5158.0000,5158.0000,0.70,5100.0000,5122.0000,5170.0000,5100.0000,49035951,2529274,1214289,23615,203,,,48984522.00,
12/02/2017,5122.0000,5122.0000,-0.16,5115.0000,5130.0000,5156.0000,5090.0000,49035951,2511621,2062582,40300,225,,,48984522.00,
09/02/2017,5130.0000,5130.0000,-0.48,5155.0000,5155.0000,5167.0000,5100.0000,49035951,2515544,14727800,287180,309,,,45690631.00,
08/02/2017,5155.0000,5155.0000,-0.21,5237.0000,5166.0000,5237.0000,5155.0000,49035951,2527803,6213426,119917,368,,,45690631.00,
07/02/2017,5166.0000,5166.0000,-0.69,5215.0000,5202.0000,5260.0000,5160.0000,49035951,2533197,2323466,44664,373,,,45690631.00,
06/02/2017,5202.0000,5202.0000,-0.42,5224.0000,5224.0000,5274.0000,5180.0000,49035951,2550850,3093205,59183,379,,,45690631.00,
05/02/2017,5224.0000,5224.0000,2.09,5132.0000,5117.0000,5229.0000,5132.0000,49035951,2561638,1645099,31690,323,,,45690631.00,
02/02/2017,5117.0000,5117.0000,-0.60,5100.0000,5148.0000,5119.0000,5094.0000,49035951,2509170,2769746,54267,400,,,45690631.00,
01/02/2017,5148.0000,5148.0000,2.71,5027.0000,5012.0000,5157.0000,5027.0000,49035951,2524371,2939099,57340,445,,,45690631.00,
