Historical Prices - SHALAG - 01090547
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1803.0000,1803.0000,-1.96,1839.0000,1839.0000,1839.0000,1794.0000,36755000,662693,725490,39938,103,,,36755000.00,
28/05/2017,1839.0000,1839.0000,-1.55,1841.0000,1868.0000,1866.0000,1831.0000,36755000,675924,111568,6049,61,,,36755000.00,
25/05/2017,1868.0000,1868.0000,-4.60,1940.0000,1958.0000,1942.0000,1867.0000,36755000,686583,908947,48292,144,,,36755000.00,
24/05/2017,1958.0000,1958.0000,0.20,1960.0000,1954.0000,1960.0000,1945.0000,36755000,719663,180750,9248,57,,,36755000.00,
23/05/2017,1954.0000,1954.0000,0.51,1944.0000,1944.0000,1960.0000,1899.0000,36755000,718193,224953,11647,84,,,36755000.00,
22/05/2017,1944.0000,1944.0000,2.91,1884.0000,1889.0000,1958.0000,1884.0000,36755000,714517,161070,8334,57,,,36755000.00,
21/05/2017,1889.0000,1889.0000,0.27,1885.0000,1884.0000,1895.0000,1885.0000,36755000,694302,131723,6974,71,,,36755000.00,
18/05/2017,1884.0000,1884.0000,-1.10,1905.0000,1905.0000,1902.0000,1848.0000,36755000,692464,205688,10978,63,,,36755000.00,
17/05/2017,1905.0000,1905.0000,-2.26,1949.0000,1949.0000,1959.0000,1874.0000,36755000,700183,461339,24225,132,,,36755000.00,
16/05/2017,1949.0000,1949.0000,-0.61,1933.0000,1961.0000,1972.0000,1925.0000,36755000,716355,351432,18022,75,,,36755000.00,
15/05/2017,1961.0000,1961.0000,-0.25,1976.0000,1966.0000,1987.0000,1931.0000,36755000,720766,739415,37835,109,,,36755000.00,
14/05/2017,1966.0000,1966.0000,0.05,1965.0000,1965.0000,1998.0000,1952.0000,36755000,722603,555133,28116,75,,,36755000.00,
11/05/2017,1965.0000,1965.0000,0.51,1955.0000,1955.0000,1970.0000,1958.0000,36755000,722236,120339,6123,42,,,36755000.00,
10/05/2017,1955.0000,1955.0000,0.77,1940.0000,1940.0000,1969.0000,1934.0000,36755000,718560,143748,7369,46,,,36755000.00,
09/05/2017,1940.0000,1940.0000,-0.10,1942.0000,1942.0000,1958.0000,1931.0000,36755000,713047,302572,15598,77,,,36755000.00,
08/05/2017,1942.0000,1942.0000,-0.51,1981.0000,1952.0000,1981.0000,1935.0000,36755000,713782,210871,10851,76,,,36755000.00,
07/05/2017,1952.0000,1952.0000,2.47,1905.0000,1905.0000,1959.0000,1905.0000,36755000,717458,281087,14455,65,,,36755000.00,
04/05/2017,1905.0000,1905.0000,-0.47,1914.0000,1914.0000,1911.0000,1888.0000,36755000,700183,525360,27610,99,,,36755000.00,
03/05/2017,1914.0000,1914.0000,1.43,1887.0000,1887.0000,1922.0000,1887.0000,36755000,703491,191380,10001,55,,,36755000.00,
30/04/2017,1887.0000,1887.0000,-0.42,1895.0000,1895.0000,1899.0000,1880.0000,36755000,693567,66252,3509,33,,,36755000.00,
27/04/2017,1895.0000,1895.0000,0.58,1918.0000,1884.0000,1918.0000,1879.0000,36755000,696507,553483,29212,84,,,36755000.00,
26/04/2017,1884.0000,1884.0000,1.07,1891.0000,1864.0000,1907.0000,1868.0000,36755000,692464,152507,8071,39,,,36755000.00,
25/04/2017,1864.0000,1864.0000,1.86,1830.0000,1830.0000,1886.0000,1838.0000,36755000,685113,132116,7094,57,,,36755000.00,
