Historical Prices - SODASTREAM - 01121300
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,18970.0000,18970.0000,-0.26,19020.0000,19020.0000,19060.0000,18890.0000,21775116,4130740,6405406,33690,328,,,21775116.00,
28/05/2017,19020.0000,19020.0000,1.93,18720.0000,18660.0000,19070.0000,18720.0000,21775116,4141627,1286392,6814,153,,,21775116.00,
25/05/2017,18660.0000,18660.0000,0.16,18690.0000,18630.0000,18770.0000,18610.0000,21775116,4063237,12257751,65588,371,,,21775116.00,
24/05/2017,18630.0000,18630.0000,-1.69,18890.0000,18950.0000,18890.0000,18610.0000,21775116,4056704,3452971,18454,294,,,21775116.00,
23/05/2017,18950.0000,18950.0000,0.21,19050.0000,18910.0000,19170.0000,18910.0000,21775116,4126384,2182877,11448,265,,,21775116.00,
22/05/2017,18910.0000,18910.0000,-1.51,19200.0000,19200.0000,19200.0000,18910.0000,21775116,4117674,2641133,13897,325,,,21775116.00,
21/05/2017,19200.0000,19200.0000,2.18,18870.0000,18790.0000,19200.0000,18870.0000,21775116,4180822,2005501,10548,205,,,21775116.00,
18/05/2017,18790.0000,18790.0000,-2.14,18880.0000,19200.0000,18920.0000,18610.0000,21775116,4091544,21324712,113462,1019,,,21775116.00,
17/05/2017,19200.0000,19200.0000,-0.36,19000.0000,19270.0000,19230.0000,18990.0000,21775116,4180822,8118513,42556,442,,,21775116.00,
16/05/2017,19270.0000,19270.0000,-0.93,19000.0000,19450.0000,19380.0000,18970.0000,21775116,4196065,20285286,105751,980,,,21775116.00,
15/05/2017,19450.0000,19450.0000,0.00,19340.0000,19450.0000,19490.0000,19160.0000,21775116,4235260,10751132,55434,775,,,21775116.00,
14/05/2017,19450.0000,19450.0000,-0.15,19480.0000,19480.0000,19550.0000,19260.0000,21775116,4235260,2650432,13619,240,,,21775116.00,
11/05/2017,19480.0000,19480.0000,2.80,19020.0000,18950.0000,19670.0000,19020.0000,21775116,4241793,20969646,108355,1407,,,21775116.00,
10/05/2017,18950.0000,18950.0000,-7.52,20620.0000,20490.0000,21000.0000,17790.0000,21775116,4126384,42204140,224191,1934,,,21775116.00,
09/05/2017,20490.0000,20490.0000,-0.97,20530.0000,20690.0000,20530.0000,20350.0000,21775116,4461721,7484805,36654,419,,,21775116.00,
08/05/2017,20690.0000,20690.0000,2.22,20280.0000,20240.0000,20750.0000,20130.0000,21775116,4505272,5212534,25626,364,,,21775116.00,
07/05/2017,20240.0000,20240.0000,1.30,20240.0000,19980.0000,20330.0000,20190.0000,21775116,4407283,2336788,11545,185,,,21775116.00,
04/05/2017,19980.0000,19980.0000,1.58,20050.0000,19670.0000,20150.0000,19900.0000,21775116,4350668,6351933,31716,434,,,21367842.00,
03/05/2017,19670.0000,19670.0000,0.82,19600.0000,19510.0000,19960.0000,19410.0000,21775116,4283165,11767673,59430,646,,,21367842.00,
30/04/2017,19510.0000,19510.0000,-2.35,19800.0000,19980.0000,19800.0000,19350.0000,21775116,4248325,2598114,13294,210,,,21367842.00,
27/04/2017,19980.0000,19980.0000,-0.89,20050.0000,20160.0000,20150.0000,19950.0000,21775116,4350668,9404459,46931,452,,,21367842.00,
26/04/2017,20160.0000,20160.0000,-0.74,20250.0000,20310.0000,20330.0000,19950.0000,21775116,4389863,4308885,21441,463,,,21367842.00,
25/04/2017,20310.0000,20310.0000,1.55,20060.0000,20000.0000,20360.0000,19810.0000,21775116,4422526,6149852,30683,372,,,21367842.00,
24/04/2017,20000.0000,20000.0000,0.60,20060.0000,19880.0000,20200.0000,19930.0000,21775116,4355023,7261882,36124,527,,,21367842.00,
23/04/2017,19880.0000,19880.0000,-0.25,19750.0000,19930.0000,20060.0000,19750.0000,21775116,4328893,2475042,12421,233,,,21367842.00,
20/04/2017,19930.0000,19930.0000,3.80,19600.0000,19200.0000,20130.0000,19550.0000,21775116,4339781,17995826,90966,662,,,21367842.00,
19/04/2017,19200.0000,19200.0000,2.78,18740.0000,18680.0000,19350.0000,18740.0000,21775116,4180822,3985786,20850,304,,,21367842.00,
18/04/2017,18680.0000,18680.0000,2.36,18420.0000,18250.0000,18740.0000,18420.0000,21775116,4067592,5078906,27335,432,,,21367842.00,
13/04/2017,18250.0000,18250.0000,-3.64,18440.0000,18940.0000,18450.0000,18190.0000,21775116,3973959,5111687,27858,350,,,21367842.00,
12/04/2017,18940.0000,18940.0000,2.21,18700.0000,18530.0000,18940.0000,18690.0000,21775116,4124207,3353168,17797,230,,,21367842.00,
09/04/2017,18530.0000,18530.0000,0.11,18300.0000,18510.0000,18610.0000,18300.0000,21775116,4034929,4933122,26684,313,,,21367842.00,
06/04/2017,18510.0000,18510.0000,-0.54,18310.0000,18610.0000,18510.0000,18270.0000,21367842,3955188,10247657,55654,466,,,21367842.00,
05/04/2017,18610.0000,18610.0000,-0.11,18570.0000,18630.0000,18660.0000,18360.0000,21367842,3976555,4851995,26232,426,,,21367842.00,
04/04/2017,18630.0000,18630.0000,3.67,18500.0000,17970.0000,18670.0000,18430.0000,21367842,3980829,6399327,34464,544,,,21367842.00,
03/04/2017,17970.0000,17970.0000,1.30,17780.0000,17740.0000,18000.0000,17620.0000,21367842,3839801,4305349,24211,346,,,21367842.00,
02/04/2017,17740.0000,17740.0000,3.86,17460.0000,17080.0000,17750.0000,17460.0000,21367842,3790655,1284106,7271,136,,,21367842.00,
30/03/2017,17080.0000,17080.0000,0.29,17030.0000,17030.0000,17180.0000,16960.0000,21367842,3649627,12457576,73095,388,,,21367842.00,
29/03/2017,17030.0000,17030.0000,1.31,16860.0000,16810.0000,17120.0000,16860.0000,21367842,3638943,2613751,15369,275,,,21367842.00,
28/03/2017,16810.0000,16810.0000,0.48,16780.0000,16730.0000,16980.0000,16690.0000,21367842,3591934,2873330,17034,272,,,21367842.00,
27/03/2017,16730.0000,16730.0000,-1.06,16770.0000,16910.0000,16810.0000,16520.0000,21367842,3574840,2523081,15107,257,,,21367842.00,
26/03/2017,16910.0000,16910.0000,-2.42,17090.0000,17330.0000,17090.0000,16800.0000,21367842,3613302,1863021,10985,205,,,21367842.00,
23/03/2017,17330.0000,17330.0000,-1.03,17220.0000,17510.0000,17370.0000,17050.0000,21367842,3703047,7322637,42623,510,,,21367842.00,
22/03/2017,17510.0000,17510.0000,0.52,17300.0000,17420.0000,17730.0000,17300.0000,21367842,3741509,5250782,29982,385,,,21367842.00,
21/03/2017,17420.0000,17420.0000,-1.97,17720.0000,17770.0000,17860.0000,17420.0000,21367842,3722278,5986060,33896,579,,,21367842.00,
20/03/2017,17770.0000,17770.0000,0.06,17760.0000,17760.0000,17810.0000,17600.0000,21367842,3797066,1774653,10027,169,,,21367842.00,
19/03/2017,17760.0000,17760.0000,-0.06,17770.0000,17770.0000,17990.0000,17640.0000,21367842,3794929,1533834,8624,183,,,21367842.00,
16/03/2017,17770.0000,17770.0000,-0.22,17900.0000,17810.0000,17980.0000,17660.0000,21367842,3797066,7864410,43992,530,,,21367842.00,
15/03/2017,17810.0000,17810.0000,2.30,17460.0000,17410.0000,17870.0000,17460.0000,21367842,3805613,4347846,24562,310,,,21367842.00,
14/03/2017,17410.0000,17410.0000,-1.08,17510.0000,17600.0000,17630.0000,17250.0000,21367842,3720141,7052539,40293,468,,,21367842.00,
13/03/2017,17600.0000,17600.0000,0.34,17680.0000,17540.0000,17700.0000,17510.0000,21367842,3760740,2426577,13776,193,,,21367842.00,
09/03/2017,17540.0000,17540.0000,-0.45,17470.0000,17620.0000,17620.0000,17290.0000,21367842,3747919,5523692,31567,382,,,21367842.00,
