Historical Prices - SOMOTO - 01129451
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,332.2000,332.2000,-1.25,337.9000,336.4000,346.0000,331.0000,74465414,247374,2544096,745405,443,,,71864652.00,
28/05/2017,336.4000,336.4000,4.15,322.0000,323.0000,337.4000,316.0000,74465414,250502,2309330,696229,495,,,71864652.00,
25/05/2017,323.0000,323.0000,-0.28,324.9000,323.9000,326.7000,321.0000,74465414,240523,1660607,511859,293,,,71864652.00,
24/05/2017,323.9000,323.9000,2.37,318.8000,316.4000,324.0000,314.0000,74465414,241193,1767090,554081,321,,,71864652.00,
23/05/2017,316.4000,316.4000,4.11,304.0000,303.9000,319.0000,304.0000,74465414,235609,2688337,854438,471,,,71864652.00,
22/05/2017,303.9000,303.9000,4.65,289.0000,290.4000,306.0000,289.0000,74465414,226300,1848576,613328,385,,,71864652.00,
21/05/2017,290.4000,290.4000,2.94,282.1000,282.1000,292.9000,282.1000,74367164,215962,779251,269584,129,,,71864652.00,
18/05/2017,282.1000,282.1000,-0.88,284.5000,284.6000,289.0000,276.3000,74367164,209790,911787,323801,180,,,71864652.00,
17/05/2017,284.6000,284.6000,2.60,277.0000,277.4000,296.0000,266.2000,74367164,211649,3920872,1386019,625,,,71864652.00,
16/05/2017,277.4000,277.4000,-3.34,285.3000,287.0000,286.3000,272.0000,74367164,206295,2352679,839993,413,,,71864652.00,
15/05/2017,287.0000,287.0000,-1.20,290.5000,290.5000,292.8000,285.4000,74367164,213434,958959,332300,129,,,71864652.00,
14/05/2017,290.5000,290.5000,-0.75,292.7000,292.7000,296.3000,288.0000,74367164,216037,941394,324363,148,,,71864652.00,
11/05/2017,292.7000,292.7000,-1.98,298.6000,298.6000,306.8000,291.9000,74367164,217673,1457928,491485,221,,,71864652.00,
10/05/2017,298.6000,298.6000,2.89,295.8000,290.2000,299.4000,291.0000,74367164,222060,2200842,741667,223,,,71864652.00,
09/05/2017,290.2000,290.2000,0.35,289.2000,289.2000,295.0000,281.0000,74367164,215814,2602859,905687,436,,,71864652.00,
08/05/2017,289.2000,289.2000,-1.40,294.9000,293.3000,297.7000,287.0000,74367164,215070,981857,334511,143,,,71864652.00,
07/05/2017,293.3000,293.3000,-0.58,295.0000,295.0000,298.0000,292.1000,74367164,218119,1027122,347466,167,,,71864652.00,
04/05/2017,295.0000,295.0000,-0.77,297.3000,297.3000,302.8000,286.0000,74367164,219383,1293439,436013,213,EX D,0.98869,71786581.00,
03/05/2017,297.2991,300.7000,0.70,303.5000,298.6000,303.5000,298.0000,74367164,223622,825802,275080,139,,,71786581.00,
30/04/2017,295.2228,298.6000,-1.91,304.4000,304.4000,307.5000,296.4000,71805332,214411,1937709,645025,212,,,71786581.00,
27/04/2017,300.9572,304.4000,-2.53,312.0000,312.3000,312.0000,300.3000,71805332,218575,2095057,685869,352,,,71786581.00,
26/04/2017,308.7679,312.3000,0.35,318.8000,311.2000,318.9000,311.0000,71805332,224248,1146105,364877,182,,,71786581.00,
25/04/2017,307.6803,311.2000,-1.71,316.9000,316.6000,323.5000,309.1000,71805332,223458,1128832,358226,210,,,71786581.00,
24/04/2017,313.0193,316.6000,1.18,315.0000,312.9000,319.9000,314.2000,71805332,227336,372564,117800,70,,,71786581.00,
23/04/2017,309.3611,312.9000,-2.55,321.1000,321.1000,321.8000,311.0000,71805332,224679,577105,183235,120,,,71786581.00,
20/04/2017,317.4684,321.1000,-0.83,324.0000,323.8000,324.0000,317.0000,71864652,230757,1067210,333517,118,,,71786581.00,
19/04/2017,320.1378,323.8000,-0.25,324.6000,324.6000,329.9000,322.0000,71864652,232698,1454607,445228,235,,,71786581.00,
18/04/2017,320.9288,324.6000,2.11,325.4000,317.9000,333.4000,320.0000,71864652,233273,4203559,1284733,508,,,71786581.00,
13/04/2017,314.3046,317.9000,-3.08,328.0000,328.0000,328.0000,316.3000,71864652,228458,556036,174010,73,,,71786581.00,
12/04/2017,324.2903,328.0000,1.27,325.0000,323.9000,328.1000,325.0000,71864652,235716,683262,209319,76,,,71786581.00,
09/04/2017,320.2367,323.9000,0.97,322.1000,320.8000,325.0000,319.5000,71864652,232770,748691,232199,130,,,71786581.00,
06/04/2017,317.1718,320.8000,1.94,314.7000,314.7000,324.7000,313.0000,71864652,230542,1337310,419193,204,,,71771081.00,
05/04/2017,311.1407,314.7000,1.75,309.3000,309.3000,315.0000,309.0000,71864652,226158,760581,243607,130,,,71771081.00,
04/04/2017,305.8018,309.3000,1.61,304.4000,304.4000,312.9000,304.5000,71864652,222277,587112,189680,126,,,71771081.00,
03/04/2017,300.9572,304.4000,1.40,300.0000,300.2000,306.8000,300.0000,71864652,218756,351034,115128,67,,,71771081.00,
