Historical Prices - SPUNTECH - 01090117
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1070.0000,1070.0000,-3.60,1110.0000,1110.0000,1121.0000,1060.0000,66262182,709005,731572,66719,167,,,66262182.00,
28/05/2017,1110.0000,1110.0000,-3.98,1167.0000,1156.0000,1167.0000,1080.0000,66262182,735510,712447,63031,150,,,66262182.00,
25/05/2017,1156.0000,1156.0000,-0.26,1146.0000,1159.0000,1169.0000,1140.0000,66262182,765991,280303,24268,102,,,66262182.00,
24/05/2017,1159.0000,1159.0000,0.52,1153.0000,1153.0000,1162.0000,1154.0000,66262182,767979,107780,9299,57,,,66262182.00,
23/05/2017,1153.0000,1153.0000,1.32,1140.0000,1138.0000,1162.0000,1132.0000,66262182,764003,247253,21472,89,,,66262182.00,
22/05/2017,1138.0000,1138.0000,1.07,1125.0000,1126.0000,1149.0000,1119.0000,66262182,754064,176443,15545,68,,,66262182.00,
21/05/2017,1126.0000,1126.0000,1.44,1120.0000,1110.0000,1159.0000,1110.0000,66262182,746112,261919,23131,109,,,66262182.00,
18/05/2017,1110.0000,1110.0000,-0.09,1100.0000,1111.0000,1130.0000,1097.0000,66262182,735510,601592,54078,160,,,66262182.00,
17/05/2017,1111.0000,1111.0000,-4.39,1161.0000,1162.0000,1161.0000,1106.0000,66262182,736173,458011,41047,149,,,66262182.00,
16/05/2017,1162.0000,1162.0000,0.52,1156.0000,1156.0000,1175.0000,1151.0000,66262182,769967,290162,25003,94,,,66262182.00,
15/05/2017,1156.0000,1156.0000,0.61,1150.0000,1149.0000,1163.0000,1150.0000,66262182,765991,541895,46769,124,,,66262182.00,
14/05/2017,1149.0000,1149.0000,-0.52,1155.0000,1155.0000,1164.0000,1146.0000,66262182,761352,177173,15381,60,,,66262182.00,
11/05/2017,1155.0000,1155.0000,-1.03,1167.0000,1167.0000,1204.0000,1142.0000,66262182,765328,636169,54640,143,,,66262182.00,
10/05/2017,1167.0000,1167.0000,-0.60,1174.0000,1174.0000,1186.0000,1158.0000,66262182,773280,392680,33383,72,,,66262182.00,
09/05/2017,1174.0000,1174.0000,0.26,1171.0000,1171.0000,1178.0000,1162.0000,66262182,777918,316713,27031,113,,,66262182.00,
08/05/2017,1171.0000,1171.0000,0.60,1164.0000,1164.0000,1180.0000,1164.0000,66262182,775930,242068,20642,94,,,66262182.00,
07/05/2017,1164.0000,1164.0000,1.04,1151.0000,1152.0000,1180.0000,1146.0000,66262182,771292,296225,25536,94,,,66262182.00,
04/05/2017,1152.0000,1152.0000,0.26,1150.0000,1149.0000,1170.0000,1150.0000,66262182,763340,405561,35059,121,,,66262182.00,
03/05/2017,1149.0000,1149.0000,0.52,1144.0000,1143.0000,1167.0000,1128.0000,66262182,761352,434082,37982,99,,,66262182.00,
30/04/2017,1143.0000,1143.0000,0.88,1133.0000,1133.0000,1148.0000,1122.0000,66262182,757377,218653,19236,75,,,66262182.00,
27/04/2017,1133.0000,1133.0000,1.25,1141.0000,1119.0000,1141.0000,1114.0000,66262182,750751,295341,26058,78,,,66262182.00,
26/04/2017,1119.0000,1119.0000,0.81,1120.0000,1110.0000,1124.0000,1101.0000,66262182,741474,537198,48184,102,,,66262182.00,
25/04/2017,1110.0000,1110.0000,0.00,1109.0000,1110.0000,1127.0000,1100.0000,66262182,735510,791628,71123,99,,,66262182.00,
24/04/2017,1110.0000,1110.0000,-0.27,1113.0000,1113.0000,1113.0000,1096.0000,66262182,735510,527934,47659,126,,,66262182.00,
23/04/2017,1113.0000,1113.0000,-2.02,1136.0000,1136.0000,1144.0000,1106.0000,66262182,737498,1076979,96054,158,,,66262182.00,
20/04/2017,1136.0000,1136.0000,-0.53,1153.0000,1142.0000,1153.0000,1125.0000,66262182,752738,811860,71276,139,,,66262182.00,
19/04/2017,1142.0000,1142.0000,-1.04,1155.0000,1154.0000,1190.0000,1140.0000,66262182,756714,2033347,175466,213,,,66262182.00,
18/04/2017,1154.0000,1154.0000,-0.69,1171.0000,1162.0000,1171.0000,1145.0000,66262182,764666,536638,46350,118,,,66262182.00,
13/04/2017,1162.0000,1162.0000,-1.02,1175.0000,1174.0000,1180.0000,1154.0000,66262182,769967,299988,25758,74,,,66262182.00,
12/04/2017,1174.0000,1174.0000,0.60,1178.0000,1167.0000,1178.0000,1155.0000,66262182,777918,335000,28636,81,,,66262182.00,
09/04/2017,1167.0000,1167.0000,0.60,1171.0000,1160.0000,1171.0000,1157.0000,66262182,773280,418771,35896,78,,,66262182.00,
06/04/2017,1160.0000,1160.0000,1.31,1145.0000,1145.0000,1179.0000,1145.0000,66262182,768641,4361101,373464,262,,,66262182.00,
05/04/2017,1145.0000,1145.0000,5.63,1094.0000,1084.0000,1148.0000,1079.0000,66262182,758702,2418538,216632,301,,,66262182.00,
04/04/2017,1084.0000,1084.0000,-0.64,1091.0000,1091.0000,1098.0000,1080.0000,66262182,718282,799676,73293,130,,,66262182.00,
03/04/2017,1091.0000,1091.0000,0.83,1092.0000,1082.0000,1115.0000,1080.0000,66262182,722920,678645,61952,190,,,66262182.00,
02/04/2017,1082.0000,1082.0000,-1.28,1080.0000,1096.0000,1140.0000,1075.0000,66262182,716957,4573994,420262,338,,,66262182.00,
30/03/2017,1096.0000,1096.0000,-3.94,1125.0000,1141.0000,1148.0000,1086.0000,66262182,726234,9730497,884819,322,,,66262182.00,
29/03/2017,1141.0000,1141.0000,-5.15,1200.0000,1203.0000,1220.0000,1133.0000,66262182,756052,4946455,424737,443,,,66262182.00,
28/03/2017,1203.0000,1203.0000,-3.53,1247.0000,1247.0000,1245.0000,1199.0000,66262182,797134,8100116,668677,326,,,66262182.00,
27/03/2017,1247.0000,1247.0000,-2.20,1200.0000,1275.0000,1273.0000,1200.0000,66262182,826289,2776221,222969,393,,,66262182.00,
26/03/2017,1275.0000,1275.0000,0.79,1265.0000,1265.0000,1289.0000,1252.0000,66262182,844843,426974,33498,88,,,66262182.00,
23/03/2017,1265.0000,1265.0000,0.72,1256.0000,1256.0000,1273.0000,1247.0000,66262182,838217,196933,15608,94,,,66262182.00,
22/03/2017,1256.0000,1256.0000,-0.95,1249.0000,1268.0000,1273.0000,1240.0000,66262182,832253,1377470,109381,121,,,66262182.00,
21/03/2017,1268.0000,1268.0000,0.63,1275.0000,1260.0000,1290.0000,1249.0000,66262182,840204,331640,26076,84,,,66262182.00,
20/03/2017,1260.0000,1260.0000,1.61,1240.0000,1240.0000,1277.0000,1218.0000,66262182,834903,379293,30597,102,,,66262182.00,
19/03/2017,1240.0000,1240.0000,-1.51,1270.0000,1259.0000,1270.0000,1239.0000,66262182,821651,647565,51878,119,,,66262182.00,
16/03/2017,1259.0000,1259.0000,0.24,1256.0000,1256.0000,1276.0000,1248.0000,66262182,834241,434936,34539,90,,,66262182.00,
