Historical Prices - STRAUSS GROUP - 00746016
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6459.0000,6459.0000,0.11,6500.0000,6452.0000,6522.0000,6459.0000,111458835,7199126,6033304,92880,316,,,111458835.00,
28/05/2017,6452.0000,6452.0000,0.91,6398.0000,6394.0000,6515.0000,6390.0000,111458835,7191324,8515124,131631,317,,,111458835.00,
25/05/2017,6394.0000,6394.0000,0.60,6422.0000,6356.0000,6428.0000,6374.0000,111458835,7126678,13370796,208371,380,,,111458835.00,
24/05/2017,6356.0000,6356.0000,-1.07,6398.0000,6425.0000,6403.0000,6303.0000,111458835,7084324,4411922,69356,366,,,111458835.00,
23/05/2017,6425.0000,6425.0000,0.86,6360.0000,6370.0000,6430.0000,6351.0000,111458835,7161230,2670021,41692,284,,,111458835.00,
22/05/2017,6370.0000,6370.0000,0.20,6448.0000,6357.0000,6448.0000,6346.0000,111458835,7099928,1889338,29631,248,,,111458835.00,
21/05/2017,6357.0000,6357.0000,-0.81,6458.0000,6409.0000,6458.0000,6319.0000,111458835,7085438,3513231,55105,436,,,111458835.00,
18/05/2017,6409.0000,6409.0000,0.30,6421.0000,6390.0000,6449.0000,6282.0000,111458835,7143397,9047875,141831,743,,,111458835.00,
17/05/2017,6390.0000,6390.0000,0.36,6380.0000,6367.0000,6415.0000,6349.0000,111458835,7122220,2590604,40544,304,,,111458835.00,
16/05/2017,6367.0000,6367.0000,0.03,6365.0000,6365.0000,6404.0000,6346.0000,111458835,7096584,2345384,36765,303,,,111458835.00,
15/05/2017,6365.0000,6365.0000,-0.84,6419.0000,6419.0000,6455.0000,6360.0000,111458835,7094355,6938974,107981,281,,,111458835.00,
14/05/2017,6419.0000,6419.0000,-0.17,6400.0000,6430.0000,6480.0000,6380.0000,111458835,7154543,3475062,53812,252,,,111458835.00,
11/05/2017,6430.0000,6430.0000,0.16,6381.0000,6420.0000,6444.0000,6379.0000,111458835,7166803,6769815,105450,542,,,111458835.00,
10/05/2017,6420.0000,6420.0000,0.02,6419.0000,6419.0000,6445.0000,6354.0000,111458835,7155657,2484519,38809,264,,,111458835.00,
09/05/2017,6419.0000,6419.0000,0.38,6395.0000,6395.0000,6441.0000,6395.0000,111458835,7154543,1665227,25929,202,,,111458835.00,
08/05/2017,6395.0000,6395.0000,1.40,6280.0000,6307.0000,6424.0000,6280.0000,111458835,7127793,5847188,92255,418,,,111458835.00,
07/05/2017,6307.0000,6307.0000,-1.33,6420.0000,6392.0000,6450.0000,6300.0000,111458835,7029709,4174390,65503,258,,,111458835.00,
04/05/2017,6392.0000,6392.0000,-0.59,6450.0000,6430.0000,6463.0000,6338.0000,111458835,7124449,7805198,121869,436,,,107367420.00,
03/05/2017,6430.0000,6430.0000,1.84,6299.0000,6314.0000,6430.0000,6299.0000,111458835,7166803,5020421,78505,448,,,107367420.00,
30/04/2017,6314.0000,6314.0000,-0.69,6358.0000,6358.0000,6389.0000,6281.0000,111458835,7037511,1356855,21381,138,,,107367420.00,
27/04/2017,6358.0000,6358.0000,-0.30,6326.0000,6377.0000,6387.0000,6310.0000,111458835,7086553,6944639,109483,544,,,107367420.00,
26/04/2017,6377.0000,6377.0000,-0.05,6330.0000,6380.0000,6410.0000,6322.0000,111458835,7107730,2534583,39879,357,,,107367420.00,
25/04/2017,6380.0000,6380.0000,-0.25,6396.0000,6396.0000,6396.0000,6322.0000,111458835,7111074,4885547,76677,322,,,107367420.00,
24/04/2017,6396.0000,6396.0000,0.98,6430.0000,6334.0000,6430.0000,6371.0000,111458835,7128907,8662837,135476,518,,,107367420.00,
23/04/2017,6334.0000,6334.0000,-1.45,6368.0000,6427.0000,6378.0000,6311.0000,111458835,7059803,1239107,19499,145,,,107367420.00,
