Historical Prices - SYNEL - 01084953
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4043.0000,4043.0000,1.08,3960.0000,4000.0000,4160.0000,3960.0000,5659456,228812,802047,19766,89,,,5659456.00,
28/05/2017,4000.0000,4000.0000,0.28,3989.0000,3989.0000,4091.0000,3989.0000,5659456,226378,109544,2736,23,,,5659456.00,
25/05/2017,3989.0000,3989.0000,0.81,3970.0000,3957.0000,4100.0000,3901.0000,5659456,225756,597663,14924,78,,,5659456.00,
24/05/2017,3957.0000,3957.0000,-0.88,3992.0000,3992.0000,4049.0000,3933.0000,5659456,223945,219034,5512,34,,,5659456.00,
23/05/2017,3992.0000,3992.0000,1.76,3972.0000,3923.0000,4028.0000,3824.0000,5659456,225925,376800,9522,55,,,5659456.00,
22/05/2017,3923.0000,3923.0000,2.13,3841.0000,3841.0000,3956.0000,3822.0000,5659456,222020,117631,3003,34,,,5659456.00,
21/05/2017,3841.0000,3841.0000,1.48,3785.0000,3785.0000,3933.0000,3800.0000,5659456,217380,64222,1672,18,,,5659456.00,
18/05/2017,3785.0000,3785.0000,-4.10,3947.0000,3947.0000,3937.0000,3711.0000,5659456,214210,198887,5202,58,,,5659456.00,
17/05/2017,3947.0000,3947.0000,-0.40,3987.0000,3963.0000,3998.0000,3855.0000,5659456,223379,164116,4142,30,,,5659456.00,
16/05/2017,3963.0000,3963.0000,0.56,3975.0000,3941.0000,3990.0000,3948.0000,5659456,224284,91842,2316,20,,,5659456.00,
15/05/2017,3941.0000,3941.0000,0.64,3916.0000,3916.0000,4072.0000,3924.0000,5659456,223039,310303,7780,60,,,5659456.00,
14/05/2017,3916.0000,3916.0000,1.01,3877.0000,3877.0000,3920.0000,3851.0000,5659456,221624,155902,3987,31,,,5659456.00,
11/05/2017,3877.0000,3877.0000,1.95,3974.0000,3803.0000,4000.0000,3810.0000,5659456,219417,448612,11477,102,,,5659456.00,
10/05/2017,3803.0000,3803.0000,1.12,3761.0000,3761.0000,3870.0000,3775.0000,5659456,215229,52182,1372,10,,,5659456.00,
09/05/2017,3761.0000,3761.0000,0.70,3735.0000,3735.0000,3850.0000,3715.0000,5659456,212852,301678,7952,53,,,5659456.00,
08/05/2017,3735.0000,3735.0000,-0.05,3737.0000,3737.0000,3785.0000,3601.0000,5659456,211381,173285,4648,48,,,5659456.00,
07/05/2017,3737.0000,3737.0000,0.75,3709.0000,3709.0000,3812.0000,3695.0000,5659456,211494,89739,2397,26,,,5659456.00,
04/05/2017,3709.0000,3709.0000,1.26,3663.0000,3663.0000,3748.0000,3689.0000,5659456,209909,107382,2895,25,,,5659456.00,
03/05/2017,3663.0000,3663.0000,0.16,3657.0000,3657.0000,3690.0000,3660.0000,5659456,207306,130492,3561,16,,,5659456.00,
30/04/2017,3657.0000,3657.0000,0.41,3642.0000,3642.0000,3734.0000,3640.0000,5659456,206966,142188,3868,34,,,5659456.00,
27/04/2017,3642.0000,3642.0000,0.80,3613.0000,3613.0000,3722.0000,3468.0000,5659456,206117,179147,4936,59,,,5659456.00,
26/04/2017,3613.0000,3613.0000,1.80,3549.0000,3549.0000,3734.0000,3584.0000,5659456,204476,75464,2071,18,,,5659456.00,
25/04/2017,3549.0000,3549.0000,-0.59,3663.0000,3570.0000,3663.0000,3530.0000,5659456,200854,44509,1253,14,,,5659456.00,
24/04/2017,3570.0000,3570.0000,1.68,3529.0000,3511.0000,3750.0000,3511.0000,5659456,202043,729802,20687,49,,,5659456.00,
23/04/2017,3511.0000,3511.0000,-0.51,3529.0000,3529.0000,3534.0000,3480.0000,5659456,198704,28962,825,12,,,5659456.00,
20/04/2017,3529.0000,3529.0000,-1.81,3594.0000,3594.0000,3750.0000,3500.0000,5659456,199722,96955,2698,41,,,5659456.00,
19/04/2017,3594.0000,3594.0000,-3.31,3717.0000,3717.0000,3750.0000,3494.0000,5659456,203401,148575,4074,36,,,5659456.00,
