Historical Prices - TAT TECHNO - 01082726
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4261.0000,4261.0000,-1.57,4405.0000,4329.0000,4405.0000,4251.0000,8828444,376180,600705,13986,84,,,8828444.00,
28/05/2017,4329.0000,4329.0000,0.74,4313.0000,4297.0000,4400.0000,4313.0000,8828444,382183,835906,19284,81,,,8828444.00,
25/05/2017,4297.0000,4297.0000,0.37,4282.0000,4281.0000,4300.0000,4275.0000,8828444,379358,366442,8543,34,,,8828444.00,
24/05/2017,4281.0000,4281.0000,-0.40,4298.0000,4298.0000,4298.0000,4276.0000,8828444,377946,247452,5777,27,,,8828444.00,
23/05/2017,4298.0000,4298.0000,-0.62,4340.0000,4325.0000,4433.0000,4290.0000,8828444,379447,707586,16376,94,,,8828444.00,
22/05/2017,4325.0000,4325.0000,0.14,4300.0000,4319.0000,4450.0000,4200.0000,8828444,381830,1214433,28226,119,,,8828444.00,
21/05/2017,4319.0000,4319.0000,3.72,4250.0000,4164.0000,4324.0000,4250.0000,8828444,381301,2239922,52172,163,,,8828444.00,
18/05/2017,4164.0000,4164.0000,1.19,4177.0000,4115.0000,4222.0000,4041.0000,8828444,367616,1059977,25546,129,,,8828444.00,
17/05/2017,4115.0000,4115.0000,-0.58,4222.0000,4139.0000,4222.0000,4089.0000,8828444,363290,497814,12067,82,,,8828444.00,
16/05/2017,4139.0000,4139.0000,1.90,4191.0000,4062.0000,4191.0000,4070.0000,8828444,365409,314873,7638,48,,,8828444.00,
15/05/2017,4062.0000,4062.0000,1.27,4011.0000,4011.0000,4140.0000,4011.0000,8828444,358611,316873,7775,48,,,8828444.00,
14/05/2017,4011.0000,4011.0000,1.42,4000.0000,3955.0000,4038.0000,3983.0000,8828444,354109,190255,4752,34,,,8828444.00,
11/05/2017,3955.0000,3955.0000,-0.35,4000.0000,3969.0000,4000.0000,3926.0000,8828444,349165,1281392,32228,64,,,8828444.00,
10/05/2017,3969.0000,3969.0000,1.22,3921.0000,3921.0000,3979.0000,3921.0000,8828444,350401,129694,3273,27,,,8828444.00,
09/05/2017,3921.0000,3921.0000,1.29,3930.0000,3871.0000,3950.0000,3900.0000,8828444,346163,606064,15477,57,,,8828444.00,
08/05/2017,3871.0000,3871.0000,0.39,3856.0000,3856.0000,3916.0000,3856.0000,8828444,341749,210251,5428,41,,,8828444.00,
07/05/2017,3856.0000,3856.0000,4.19,3780.0000,3701.0000,3879.0000,3780.0000,8828444,340425,865787,22645,118,,,8828444.00,
04/05/2017,3701.0000,3701.0000,3.81,3565.0000,3565.0000,3779.0000,3524.0000,8828444,326741,4246451,117328,168,,,8828444.00,
03/05/2017,3565.0000,3565.0000,-0.20,3572.0000,3572.0000,3616.0000,3500.0000,8828444,314734,370788,10428,56,,,8828444.00,
30/04/2017,3572.0000,3572.0000,-0.75,3599.0000,3599.0000,3599.0000,3529.0000,8828444,315352,68777,1925,13,,,8828444.00,
27/04/2017,3599.0000,3599.0000,1.07,3561.0000,3561.0000,3600.0000,3541.0000,8828444,317736,133773,3741,38,,,8828444.00,
26/04/2017,3561.0000,3561.0000,-0.31,3572.0000,3572.0000,3599.0000,3527.0000,8828444,314381,44779,1257,13,,,8828444.00,
25/04/2017,3572.0000,3572.0000,3.03,3480.0000,3467.0000,3599.0000,3480.0000,8828444,315352,161693,4571,56,,,8828444.00,
24/04/2017,3467.0000,3467.0000,0.23,3459.0000,3459.0000,3522.0000,3450.0000,8828444,306082,70127,2019,27,,,8828444.00,
23/04/2017,3459.0000,3459.0000,-1.23,3565.0000,3502.0000,3600.0000,3391.0000,8828444,305376,163473,4702,45,,,8828444.00,
20/04/2017,3502.0000,3502.0000,1.57,3480.0000,3448.0000,3511.0000,3461.0000,8828444,309172,321859,9241,59,,,8828444.00,
19/04/2017,3448.0000,3448.0000,-0.69,3472.0000,3472.0000,3480.0000,3424.0000,8828444,304405,184590,5353,48,,,8828444.00,
18/04/2017,3472.0000,3472.0000,0.52,3511.0000,3454.0000,3511.0000,3414.0000,8828444,306524,108395,3126,36,,,8828444.00,
13/04/2017,3454.0000,3454.0000,-3.49,3579.0000,3579.0000,3552.0000,3418.0000,8828444,304934,104796,3013,27,,,8828444.00,
12/04/2017,3579.0000,3579.0000,-0.89,3663.0000,3611.0000,3663.0000,3549.0000,8828444,315970,84549,2358,25,,,8828444.00,
09/04/2017,3611.0000,3611.0000,-1.98,3684.0000,3684.0000,3684.0000,3554.0000,8828444,318795,128341,3518,34,,,8828444.00,
06/04/2017,3684.0000,3684.0000,0.44,3630.0000,3668.0000,3690.0000,3625.0000,8828444,325240,307490,8369,46,,,8828444.00,
05/04/2017,3668.0000,3668.0000,1.30,3635.0000,3621.0000,3673.0000,3635.0000,8828444,323827,230347,6284,42,,,8828444.00,
04/04/2017,3621.0000,3621.0000,-0.28,3631.0000,3631.0000,3789.0000,3460.0000,8828444,319678,619258,16723,112,,,8828444.00,
03/04/2017,3631.0000,3631.0000,-1.14,3673.0000,3673.0000,3702.0000,3616.0000,8828444,320561,523655,14304,89,,,8828444.00,
02/04/2017,3673.0000,3673.0000,3.29,3556.0000,3556.0000,3879.0000,3616.0000,8828444,324269,918817,25198,114,,,8828444.00,
30/03/2017,3556.0000,3556.0000,3.98,3420.0000,3420.0000,3556.0000,3418.0000,8828444,313939,499368,14301,66,,,8828444.00,
29/03/2017,3420.0000,3420.0000,1.27,3377.0000,3377.0000,3512.0000,3399.0000,8828444,301933,511868,14915,87,,,8828444.00,
28/03/2017,3377.0000,3377.0000,0.33,3366.0000,3366.0000,3425.0000,3359.0000,8828444,298137,134360,3969,17,,,8828444.00,
27/03/2017,3366.0000,3366.0000,-2.24,3443.0000,3443.0000,3407.0000,3353.0000,8828444,297165,236492,6998,38,,,8828444.00,
26/03/2017,3443.0000,3443.0000,1.74,3410.0000,3384.0000,3490.0000,3390.0000,8828444,303963,681716,19818,70,,,8828444.00,
23/03/2017,3384.0000,3384.0000,2.67,3296.0000,3296.0000,3416.0000,3274.0000,8828444,298755,427539,12875,61,,,8828444.00,
22/03/2017,3296.0000,3296.0000,-0.33,3307.0000,3307.0000,3310.0000,3269.0000,8828444,290986,198968,6036,41,,,8828444.00,
21/03/2017,3307.0000,3307.0000,1.26,3266.0000,3266.0000,3325.0000,3286.0000,8828444,291957,484125,14656,60,,,8828444.00,
20/03/2017,3266.0000,3266.0000,1.21,3227.0000,3227.0000,3358.0000,3196.0000,8828444,288337,140903,4340,39,,,8828444.00,
19/03/2017,3227.0000,3227.0000,-0.03,3228.0000,3228.0000,3244.0000,3191.0000,8828444,284894,137011,4258,20,,,8828444.00,
16/03/2017,3228.0000,3228.0000,0.16,3279.0000,3223.0000,3279.0000,3211.0000,8828444,284982,217774,6745,38,,,8828444.00,
15/03/2017,3223.0000,3223.0000,-1.47,3271.0000,3271.0000,3317.0000,3183.0000,8828444,284541,376879,11539,49,,,8828444.00,
14/03/2017,3271.0000,3271.0000,0.34,3300.0000,3260.0000,3300.0000,3252.0000,8828444,288778,250548,7647,55,,,8828444.00,
13/03/2017,3260.0000,3260.0000,-0.24,3268.0000,3268.0000,3320.0000,3231.0000,8828444,287807,359090,10977,55,,,8828444.00,
09/03/2017,3268.0000,3268.0000,-1.21,3308.0000,3308.0000,3308.0000,3210.0000,8828444,288514,115522,3526,28,,,8828444.00,
08/03/2017,3308.0000,3308.0000,3.12,3260.0000,3208.0000,3334.0000,3257.0000,8828444,292045,536962,16206,74,,,8828444.00,
07/03/2017,3208.0000,3208.0000,8.27,2963.0000,2963.0000,3280.0000,2968.0000,8828444,283216,416531,13423,85,,,8828444.00,
06/03/2017,2963.0000,2963.0000,0.14,2959.0000,2959.0000,2971.0000,2941.0000,8828444,261587,48895,1650,16,,,8828444.00,
05/03/2017,2959.0000,2959.0000,1.34,2920.0000,2920.0000,2973.0000,2953.0000,8828444,261234,86831,2933,31,,,8828444.00,
02/03/2017,2920.0000,2920.0000,-1.45,2963.0000,2963.0000,3050.0000,2920.0000,8828444,257791,339728,11532,49,,,8828444.00,
01/03/2017,2963.0000,2963.0000,1.89,2908.0000,2908.0000,2966.0000,2938.0000,8828444,261587,122299,4137,23,,,8828444.00,
28/02/2017,2908.0000,2908.0000,1.43,2919.0000,2867.0000,2999.0000,2902.0000,8828444,256731,191157,6536,50,,,8828444.00,
