Historical Prices - TEVA - 00629014
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,10150.0000,10150.0000,0.20,10150.0000,10130.0000,10250.0000,10140.0000,1014360883,102957630,27014755,265045,1122,,,1014360883.00,
28/05/2017,10130.0000,10130.0000,-1.94,10210.0000,10330.0000,10210.0000,10110.0000,1014360883,102754757,26366478,259524,1353,,,1014360883.00,
25/05/2017,10330.0000,10330.0000,1.18,10400.0000,10210.0000,10420.0000,10250.0000,1014360883,104783479,93943613,907052,2027,,,1014360883.00,
24/05/2017,10210.0000,10210.0000,-1.26,10350.0000,10340.0000,10390.0000,10060.0000,1014360883,103566246,113036377,1107215,3803,,,1014360883.00,
23/05/2017,10340.0000,10340.0000,-3.36,10580.0000,10700.0000,10580.0000,10340.0000,1014360883,104884915,104665320,1001081,3225,,,1014360883.00,
22/05/2017,10700.0000,10700.0000,-0.37,10760.0000,10740.0000,10800.0000,10680.0000,1014360883,108536614,31681386,294531,1722,,,1014360883.00,
21/05/2017,10740.0000,10740.0000,0.09,10730.0000,10730.0000,10800.0000,10700.0000,1014360883,108942359,32079313,298319,1266,,,1014360883.00,
18/05/2017,10730.0000,10730.0000,-4.28,11130.0000,11210.0000,11150.0000,10730.0000,1014360883,108840923,98383130,894564,4278,,,1014360883.00,
17/05/2017,11210.0000,11210.0000,-3.86,11380.0000,11660.0000,11450.0000,11210.0000,1014360883,113709855,54114854,476443,2424,,,1014360883.00,
16/05/2017,11660.0000,11660.0000,0.60,11600.0000,11590.0000,11700.0000,11590.0000,1014360883,118274479,36819852,316019,2054,,,1014360883.00,
15/05/2017,11590.0000,11590.0000,1.31,11470.0000,11440.0000,11590.0000,11400.0000,1014360883,117564426,66519687,579552,2454,,,1014360883.00,
14/05/2017,11440.0000,11440.0000,3.53,11450.0000,11050.0000,11480.0000,11420.0000,1014360883,116042885,34232521,298863,1259,,,1014360883.00,
