Historical Prices - Googl
From 03/01/2007 To 26/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
1/3/2007,982.8924,,,,,,,,550238.4741,,,,,,,
1/4/2007,1010.749656,,,,,,,,567535.9582,,,,,,,
1/5/2007,1025.553186,,,,,,,,576263.3858,,,,,,,
1/8/2007,1024.003544,,,,,,,,575012.4159,,,,,,,
1/9/2007,1032.37037,,,,,,,,579915.4052,,,,,,,
1/10/2007,1036.700344,,,,,,,,582766.783,,,,,,,
1/11/2007,1063.908898,,,,,,,,599144.7496,,,,,,,
1/12/2007,1073.15527,,,,,,,,604895.7657,,,,,,,
1/16/2007,1063.773322,,,,,,,,599536.0785,,,,,,,
1/17/2007,1050.27782,,,,,,,,591217.6319,,,,,,,
1/18/2007,1030.805522,,,,,,,,579282.8044,,,,,,,
1/19/2007,1035.622711,,,,,,,,582191.7474,,,,,,,
1/22/2007,1015.796313,,,,,,,,576642.8154,,,,,,,
1/23/2007,1011.77454,,,,,,,,574169.2488,,,,,,,
1/24/2007,1054.108895,,,,,,,,600335.0273,,,,,,,
1/25/2007,1031.842944,,,,,,,,586526.9419,,,,,,,
1/26/2007,1049.46864,,,,,,,,597360.8963,,,,,,,
1/29/2007,1042.58502,,,,,,,,593091.9839,,,,,,,
1/30/2007,1049.961356,,,,,,,,597483.9598,,,,,,,
1/31/2007,1067.548527,,,,,,,,608241.1398,,,,,,,
2/1/2007,1026.878972,,,,,,,,583033.1436,,,,,,,
2/2/2007,1027.310529,,,,,,,,583251.0053,,,,,,,
2/5/2007,992.50647,,,,,,,,561955.6457,,,,,,,
2/6/2007,1001.566176,,,,,,,,567562.2225,,,,,,,
2/7/2007,1000.916415,,,,,,,,567031.1601,,,,,,,
2/8/2007,1001.624858,,,,,,,,567545.694,,,,,,,
2/9/2007,980.4570797,,,,,,,,554550.8042,,,,,,,
2/12/2007,970.1994733,,,,,,,,548349.2067,,,,,,,
2/13/2007,972.6938076,,,,,,,,549850.8081,,,,,,,
2/14/2007,987.797076,,,,,,,,559152.2919,,,,,,,
2/15/2007,979.497119,,,,,,,,553960.515,,,,,,,
2/16/2007,994.652342,,,,,,,,563474.7558,,,,,,,
2/20/2007,996.8847289,,,,,,,,564975.083,,,,,,,
2/21/2007,1000.2762,,,,,,,,567303.0665,,,,,,,
2/22/2007,995.9922076,,,,,,,,564872.3367,,,,,,,
2/23/2007,985.8207452,,,,,,,,558545.9652,,,,,,,
2/26/2007,973.80765,,,,,,,,551125.5556,,,,,,,
2/27/2007,939.5550864,,,,,,,,529974.6308,,,,,,,
2/28/2007,942.736113,,,,,,,,531844.5025,,,,,,,
3/1/2007,941.745736,,,,,,,,531148.333,,,,,,,
3/2/2007,924.31813,,,,,,,,523150.8679,,,,,,,
3/5/2007,929.08806,,,,,,,,526116.0471,,,,,,,
3/6/2007,966.0009448,,,,,,,,548947.2528,,,,,,,
3/7/2007,961.3068355,,,,,,,,546066.1668,,,,,,,
3/8/2007,964.02888,,,,,,,,547509.8522,,,,,,,
3/9/2007,958.256673,,,,,,,,544033.2152,,,,,,,
3/12/2007,960.4509,,,,,,,,545481.1934,,,,,,,
3/13/2007,931.576422,,,,,,,,527765.2803,,,,,,,
3/14/2007,941.038749,,,,,,,,533698.8519,,,,,,,
3/15/2007,941.032554,,,,,,,,533488.8295,,,,,,,
3/16/2007,926.4190332,,,,,,,,524592.3667,,,,,,,
3/19/2007,943.004216,,,,,,,,534724.6956,,,,,,,
3/20/2007,938.3574736,,,,,,,,531866.9142,,,,,,,
3/21/2007,961.6711152,,,,,,,,546376.2505,,,,,,,
3/22/2007,973.768484,,,,,,,,553863.6681,,,,,,,
3/23/2007,973.326329,,,,,,,,553588.6856,,,,,,,
3/26/2007,975.86247,,,,,,,,555382.0338,,,,,,,
3/27/2007,972.041022,,,,,,,,553054.567,,,,,,,
3/28/2007,968.923906,,,,,,,,551090.335,,,,,,,
3/29/2007,969.329966,,,,,,,,551216.4783,,,,,,,
3/30/2007,959.858172,,,,,,,,543699.2559,,,,,,,
4/2/2007,958.108225,,,,,,,,542750.8705,,,,,,,
4/3/2007,986.0420952,,,,,,,,560184.0687,,,,,,,
4/4/2007,979.962866,,,,,,,,556556.0536,,,,,,,
4/5/2007,981.6420834,,,,,,,,557564.7536,,,,,,,
4/9/2007,975.055452,,,,,,,,553455.7509,,,,,,,
4/10/2007,966.123688,,,,,,,,548196.1878,,,,,,,
4/11/2007,960.602182,,,,,,,,544843.7392,,,,,,,
4/12/2007,965.0410855,,,,,,,,547681.946,,,,,,,
4/13/2007,962.3053185,,,,,,,,546005.9803,,,,,,,
4/16/2007,979.462936,,,,,,,,556629.3861,,,,,,,
4/17/2007,970.3445403,,,,,,,,551288.1339,,,,,,,
4/18/2007,967.0713948,,,,,,,,549774.3006,,,,,,,
4/19/2007,960.503726,,,,,,,,545571.3857,,,,,,,
4/20/2007,978.694122,,,,,,,,557075.2582,,,,,,,
4/23/2007,975.752154,,,,,,,,555040.6469,,,,,,,
4/24/2007,973.191712,,,,,,,,553418.9857,,,,,,,
4/25/2007,974.610798,,,,,,,,554273.5486,,,,,,,
4/26/2007,982.076194,,,,,,,,558862.9407,,,,,,,
4/27/2007,975.3220371,,,,,,,,554788.4238,,,,,,,
4/30/2007,960.658096,,,,,,,,545631.7466,,,,,,,
5/1/2007,946.2549551,,,,,,,,537194.6322,,,,,,,
5/2/2007,937.12632,,,,,,,,531663.6858,,,,,,,
5/3/2007,950.691816,,,,,,,,540169.1151,,,,,,,
5/4/2007,950.22564,,,,,,,,539678.0932,,,,,,,
5/7/2007,942.2961273,,,,,,,,534760.5342,,,,,,,
5/8/2007,951.0650748,,,,,,,,539686.0417,,,,,,,
5/9/2007,949.5770916,,,,,,,,539108.0267,,,,,,,
5/10/2007,932.381483,,,,,,,,529601.2432,,,,,,,
5/11/2007,936.019172,,,,,,,,532244.5528,,,,,,,
5/14/2007,921.798189,,,,,,,,523623.8904,,,,,,,
5/15/2007,910.240562,,,,,,,,516649.9841,,,,,,,
5/16/2007,936.911174,,,,,,,,533378.2462,,,,,,,
5/17/2007,938.7778224,,,,,,,,534266.4072,,,,,,,
5/18/2007,932.4660232,,,,,,,,530605.8729,,,,,,,
5/21/2007,935.0226072,,,,,,,,532090.7046,,,,,,,
5/22/2007,936.7348452,,,,,,,,533617.2491,,,,,,,
5/23/2007,940.842133,,,,,,,,535758.9622,,,,,,,
5/24/2007,949.10521,,,,,,,,540502.9477,,,,,,,
5/25/2007,968.0001994,,,,,,,,552239.6264,,,,,,,
5/29/2007,967.5089626,,,,,,,,552329.5506,,,,,,,
5/30/2007,990.182656,,,,,,,,566450.2195,,,,,,,
5/31/2007,998.2044172,,,,,,,,570969.7233,,,,,,,
6/1/2007,1013.033845,,,,,,,,579706.9199,,,,,,,
6/4/2007,1019.818949,,,,,,,,584263.3739,,,,,,,
6/5/2007,1045.695117,,,,,,,,600265.8813,,,,,,,
6/6/2007,1051.899368,,,,,,,,603768.6462,,,,,,,
6/7/2007,1041.379644,,,,,,,,597416.3844,,,,,,,
6/8/2007,1049.704257,,,,,,,,602235.2584,,,,,,,
6/11/2007,1041.330342,,,,,,,,597018.7634,,,,,,,
6/12/2007,1027.143054,,,,,,,,588227.0949,,,,,,,
6/13/2007,1040.337183,,,,,,,,595831.8855,,,,,,,
6/14/2007,1048.256059,,,,,,,,600117.9009,,,,,,,
6/15/2007,1059.34696,,,,,,,,606787.8338,,,,,,,
6/18/2007,1079.10225,,,,,,,,619071.4826,,,,,,,
6/19/2007,1077.493144,,,,,,,,618058.7266,,,,,,,
6/20/2007,1073.505792,,,,,,,,615324.7059,,,,,,,
6/21/2007,1074.450043,,,,,,,,616292.5147,,,,,,,
6/22/2007,1091.359753,,,,,,,,627097.4427,,,,,,,
6/25/2007,1093.663931,,,,,,,,628661.7848,,,,,,,
6/26/2007,1109.31766,,,,,,,,637944.0162,,,,,,,
6/27/2007,1103.1192,,,,,,,,633985.0607,,,,,,,
6/28/2007,1112.180019,,,,,,,,639063.8872,,,,,,,
6/29/2007,1105.455797,,,,,,,,632792.8492,,,,,,,
7/2/2007,1127.406498,,,,,,,,646174.5735,,,,,,,
7/3/2007,1140.049827,,,,,,,,653837.7896,,,,,,,
7/5/2007,1162.351068,,,,,,,,667395.4263,,,,,,,
7/6/2007,1151.464653,,,,,,,,660914.5003,,,,,,,
7/9/2007,1155.062459,,,,,,,,663304.7892,,,,,,,
7/10/2007,1149.732724,,,,,,,,660324.6687,,,,,,,
7/11/2007,1138.500822,,,,,,,,653986.5798,,,,,,,
7/12/2007,1143.053945,,,,,,,,656689.6645,,,,,,,
7/13/2007,1166.437273,,,,,,,,670814.1939,,,,,,,
7/16/2007,1175.772253,,,,,,,,676267.3331,,,,,,,
7/17/2007,1174.907316,,,,,,,,675971.1484,,,,,,,
7/18/2007,1164.362741,,,,,,,,669355.7307,,,,,,,
7/19/2007,1170.728104,,,,,,,,672921.4139,,,,,,,
7/20/2007,1107.887872,,,,,,,,633909.2092,,,,,,,
7/23/2007,1095.473012,,,,,,,,625988.053,,,,,,,
7/24/2007,1103.804009,,,,,,,,630911.5137,,,,,,,
7/25/2007,1092.964068,,,,,,,,624252.4882,,,,,,,
7/26/2007,1089.698356,,,,,,,,622193.8077,,,,,,,
7/27/2007,1084.669923,,,,,,,,619747.0183,,,,,,,
7/30/2007,1092.449337,,,,,,,,624648.6945,,,,,,,
7/31/2007,1082.961972,,,,,,,,618566.1797,,,,,,,
8/1/2007,1076.499783,,,,,,,,615190.3289,,,,,,,
8/2/2007,1079.558988,,,,,,,,616730.7178,,,,,,,
8/3/2007,1081.366352,,,,,,,,616881.6502,,,,,,,
8/6/2007,1105.21951,,,,,,,,631279.2396,,,,,,,
8/7/2007,1119.376318,,,,,,,,640035.1941,,,,,,,
8/8/2007,1133.260257,,,,,,,,649039.8992,,,,,,,
8/9/2007,1114.644255,,,,,,,,638497.6153,,,,,,,
8/10/2007,1117.035938,,,,,,,,639978.6933,,,,,,,
8/13/2007,1111.851,,,,,,,,636980.4502,,,,,,,
8/14/2007,1096.15144,,,,,,,,627232.8437,,,,,,,
8/15/2007,1069.598425,,,,,,,,610815.7489,,,,,,,
8/16/2007,1050.583659,,,,,,,,599279.2853,,,,,,,
8/17/2007,1069.694867,,,,,,,,611151.488,,,,,,,
8/20/2007,1063.465268,,,,,,,,607355.2866,,,,,,,
8/21/2007,1068.4597,,,,,,,,611171.3928,,,,,,,
8/22/2007,1079.946571,,,,,,,,618409.9505,,,,,,,
8/23/2007,1085.868948,,,,,,,,621740.0327,,,,,,,
8/24/2007,1091.0042,,,,,,,,624982.9403,,,,,,,
8/27/2007,1088.088068,,,,,,,,623125.37,,,,,,,
8/28/2007,1064.012799,,,,,,,,608604.6773,,,,,,,
8/29/2007,1076.113102,,,,,,,,616228.863,,,,,,,
8/30/2007,1067.815056,,,,,,,,611317.6555,,,,,,,
8/31/2007,1072.785788,,,,,,,,614573.2416,,,,,,,
9/4/2007,1096.943114,,,,,,,,629464.6037,,,,,,,
9/5/2007,1096.300231,,,,,,,,629368.2754,,,,,,,
9/6/2007,1082.851459,,,,,,,,621208.4384,,,,,,,
9/7/2007,1072.094904,,,,,,,,614607.287,,,,,,,
9/10/2007,1060.62294,,,,,,,,607526.2938,,,,,,,
9/11/2007,1075.295262,,,,,,,,616647.6682,,,,,,,
9/12/2007,1081.101874,,,,,,,,620116.1532,,,,,,,
9/13/2007,1088.186621,,,,,,,,624401.1611,,,,,,,
9/14/2007,1091.841043,,,,,,,,626906.6829,,,,,,,
9/17/2007,1088.95251,,,,,,,,624892.6043,,,,,,,
9/18/2007,1107.071955,,,,,,,,636319.6544,,,,,,,
9/19/2007,1130.3397,,,,,,,,650862.6963,,,,,,,
9/20/2007,1133.238231,,,,,,,,653118.0771,,,,,,,
9/21/2007,1147.634174,,,,,,,,662121.2465,,,,,,,
9/24/2007,1163.720648,,,,,,,,672159.9672,,,,,,,
