Historical Prices - LHA GR
From 02/01/2007 To 29/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
1/2/2007,117.40506,,,,,,,,53623.48567,,,,,,,
1/3/2007,119.59658,,,,,,,,54196.07284,,,,,,,
1/4/2007,120.521604,,,,,,,,54128.85771,,,,,,,
1/5/2007,123.60992,,,,,,,,55181.49713,,,,,,,
1/8/2007,121.165,,,,,,,,54638.84601,,,,,,,
1/9/2007,122.816606,,,,,,,,54887.69977,,,,,,,
1/10/2007,121.33674,,,,,,,,54421.67613,,,,,,,
1/11/2007,121.856346,,,,,,,,54532.07136,,,,,,,
1/12/2007,122.748392,,,,,,,,54721.06524,,,,,,,
1/15/2007,121.18685,,,,,,,,54231.21615,,,,,,,
1/16/2007,121.561993,,,,,,,,54190.04533,,,,,,,
1/17/2007,122.387052,,,,,,,,54535.90287,,,,,,,
1/18/2007,122.639088,,,,,,,,54554.62838,,,,,,,
1/19/2007,123.77664,,,,,,,,54845.02647,,,,,,,
1/22/2007,119.74482,,,,,,,,53633.35451,,,,,,,
1/23/2007,120.549076,,,,,,,,53853.92211,,,,,,,
1/24/2007,120.346236,,,,,,,,53919.82626,,,,,,,
1/25/2007,113.883132,,,,,,,,52057.47793,,,,,,,
1/26/2007,115.655232,,,,,,,,52596.59108,,,,,,,
1/29/2007,117.337505,,,,,,,,52953.09077,,,,,,,
1/30/2007,119.922222,,,,,,,,53642.35998,,,,,,,
1/31/2007,118.33344,,,,,,,,53330.08942,,,,,,,
2/1/2007,121.172688,,,,,,,,54169.28834,,,,,,,
2/2/2007,120.928572,,,,,,,,54111.41469,,,,,,,
2/5/2007,119.554114,,,,,,,,53701.77096,,,,,,,
2/6/2007,119.53673,,,,,,,,53809.13345,,,,,,,
2/7/2007,120.6139,,,,,,,,54211.109,,,,,,,
2/8/2007,122.159813,,,,,,,,54575.53638,,,,,,,
2/9/2007,121.118184,,,,,,,,53943.975,,,,,,,
2/12/2007,120.299088,,,,,,,,53667.19289,,,,,,,
2/13/2007,121.16034,,,,,,,,53905.37772,,,,,,,
2/14/2007,123.098125,,,,,,,,54444.37153,,,,,,,
2/15/2007,122.636369,,,,,,,,54314.23955,,,,,,,
2/16/2007,123.316556,,,,,,,,54709.95567,,,,,,,
2/19/2007,123.138876,,,,,,,,54578.79956,,,,,,,
2/20/2007,122.03512,,,,,,,,54160.49762,,,,,,,
2/21/2007,121.919481,,,,,,,,54132.83951,,,,,,,
2/22/2007,122.304432,,,,,,,,54154.83658,,,,,,,
2/23/2007,120.068236,,,,,,,,53563.51586,,,,,,,
2/26/2007,117.592842,,,,,,,,53035.13382,,,,,,,
2/27/2007,109.468467,,,,,,,,50838.14336,,,,,,,
2/28/2007,114.237897,,,,,,,,52619.762,,,,,,,
3/1/2007,115.177374,,,,,,,,52907.77652,,,,,,,
3/2/2007,113.75108,,,,,,,,52497.15076,,,,,,,
3/5/2007,111.257601,,,,,,,,51972.39392,,,,,,,
3/6/2007,113.57607,,,,,,,,52791.75682,,,,,,,
3/7/2007,112.850925,,,,,,,,52310.22345,,,,,,,
3/8/2007,113.71427,,,,,,,,52688.70181,,,,,,,
3/9/2007,114.680664,,,,,,,,52576.79319,,,,,,,
3/12/2007,113.184856,,,,,,,,51853.09464,,,,,,,
3/13/2007,110.563968,,,,,,,,51338.48903,,,,,,,
3/14/2007,110.477969,,,,,,,,51663.97285,,,,,,,
3/15/2007,110.83106,,,,,,,,51769.04174,,,,,,,
3/16/2007,110.434807,,,,,,,,51578.62206,,,,,,,
3/19/2007,112.500378,,,,,,,,52397.78952,,,,,,,
3/20/2007,114.513056,,,,,,,,52806.15146,,,,,,,
3/21/2007,115.745315,,,,,,,,53102.04431,,,,,,,
3/22/2007,115.230015,,,,,,,,52760.06569,,,,,,,
3/23/2007,114.35008,,,,,,,,52495.46717,,,,,,,
3/26/2007,113.189661,,,,,,,,52051.28734,,,,,,,
3/27/2007,112.796442,,,,,,,,52043.40229,,,,,,,
3/28/2007,112.78134,,,,,,,,52001.11677,,,,,,,
3/29/2007,112.994685,,,,,,,,52031.60707,,,,,,,
3/30/2007,113.04425,,,,,,,,51651.81696,,,,,,,
4/2/2007,114.638475,,,,,,,,52126.25688,,,,,,,
4/3/2007,115.050883,,,,,,,,52228.58289,,,,,,,
4/4/2007,118.454022,,,,,,,,52919.24955,,,,,,,
4/5/2007,118.850988,,,,,,,,52917.14821,,,,,,,
4/10/2007,119.818634,,,,,,,,53318.23707,,,,,,,
4/11/2007,117.741316,,,,,,,,52497.7281,,,,,,,
4/12/2007,120.252473,,,,,,,,52970.96252,,,,,,,
4/13/2007,122.420352,,,,,,,,53878.2117,,,,,,,
4/16/2007,124.091956,,,,,,,,54120.20656,,,,,,,
4/17/2007,123.360762,,,,,,,,53765.29774,,,,,,,
4/18/2007,123.149087,,,,,,,,53664.86439,,,,,,,
4/19/2007,119.269988,,,,,,,,52552.48345,,,,,,,
4/20/2007,120.955384,,,,,,,,53305.06513,,,,,,,
4/23/2007,121.571148,,,,,,,,53434.88618,,,,,,,
4/24/2007,121.199765,,,,,,,,53410.65878,,,,,,,
4/25/2007,123.072384,,,,,,,,53778.40304,,,,,,,
4/26/2007,121.676096,,,,,,,,53383.18179,,,,,,,
4/27/2007,123.24552,,,,,,,,54002.28827,,,,,,,
4/30/2007,121.059354,,,,,,,,52888.60311,,,,,,,
5/2/2007,122.33156,,,,,,,,53308.25247,,,,,,,
5/3/2007,121.219812,,,,,,,,53022.15221,,,,,,,
5/4/2007,121.109625,,,,,,,,52983.6238,,,,,,,
5/7/2007,123.383986,,,,,,,,53380.40764,,,,,,,
5/8/2007,121.28001,,,,,,,,52996.36649,,,,,,,
5/9/2007,120.454911,,,,,,,,52623.03673,,,,,,,
5/10/2007,116.39224,,,,,,,,51658.61335,,,,,,,
5/11/2007,117.633516,,,,,,,,51748.07031,,,,,,,
5/14/2007,116.2419,,,,,,,,51072.7441,,,,,,,
5/15/2007,114.58974,,,,,,,,50526.40693,,,,,,,
5/16/2007,113.42848,,,,,,,,50417.76562,,,,,,,
5/17/2007,114.59187,,,,,,,,50638.27351,,,,,,,
5/18/2007,113.127928,,,,,,,,50203.41344,,,,,,,
5/21/2007,112.770369,,,,,,,,49905.7273,,,,,,,
5/22/2007,112.004739,,,,,,,,49570.57205,,,,,,,
5/23/2007,114.109101,,,,,,,,50264.73415,,,,,,,
5/24/2007,115.455942,,,,,,,,50786.19107,,,,,,,
5/25/2007,114.2995,,,,,,,,50451.94783,,,,,,,
5/29/2007,114.002592,,,,,,,,50228.20537,,,,,,,
5/30/2007,113.481984,,,,,,,,50080.91222,,,,,,,
5/31/2007,115.16624,,,,,,,,51155.27887,,,,,,,
6/1/2007,117.459298,,,,,,,,51661.66509,,,,,,,
6/4/2007,115.76439,,,,,,,,51082.43865,,,,,,,
6/5/2007,112.741664,,,,,,,,50244.50881,,,,,,,
6/6/2007,108.198111,,,,,,,,49181.13529,,,,,,,
6/7/2007,106.660206,,,,,,,,48978.53591,,,,,,,
6/8/2007,107.827497,,,,,,,,48976.02054,,,,,,,
6/11/2007,111.605601,,,,,,,,50157.99662,,,,,,,
6/12/2007,110.101023,,,,,,,,49978.89646,,,,,,,
6/13/2007,111.009477,,,,,,,,50591.69431,,,,,,,
6/14/2007,114.123672,,,,,,,,51393.08623,,,,,,,
6/15/2007,116.728388,,,,,,,,51979.79419,,,,,,,
6/18/2007,115.90549,,,,,,,,51695.73663,,,,,,,
6/19/2007,114.406182,,,,,,,,51280.13059,,,,,,,
6/20/2007,115.846752,,,,,,,,51414.91655,,,,,,,
6/21/2007,114.51952,,,,,,,,50859.53334,,,,,,,
6/22/2007,112.9425,,,,,,,,50751.73852,,,,,,,
6/25/2007,113.482584,,,,,,,,50563.80961,,,,,,,
6/26/2007,114.446817,,,,,,,,50947.51882,,,,,,,
6/27/2007,114.118875,,,,,,,,51263.32797,,,,,,,
