Historical Prices - NESN VX
From 03/01/2007 To 29/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
1/3/2007,150.66614,,,,,,,,681153.5981,,,,,,,
1/4/2007,150.323965,,,,,,,,679739.908,,,,,,,
1/5/2007,146.1831375,,,,,,,,662113.3798,,,,,,,
1/8/2007,146.22126,,,,,,,,662599.2247,,,,,,,
1/9/2007,146.83824,,,,,,,,665125.3333,,,,,,,
1/10/2007,147.3911,,,,,,,,667271.5433,,,,,,,
1/11/2007,148.39044,,,,,,,,670996.8303,,,,,,,
1/12/2007,149.50254,,,,,,,,675410.9393,,,,,,,
1/15/2007,149.1663,,,,,,,,673632.0733,,,,,,,
1/16/2007,147.956655,,,,,,,,668556.5836,,,,,,,
1/17/2007,148.3520075,,,,,,,,670169.9621,,,,,,,
1/18/2007,148.9576,,,,,,,,672603.4937,,,,,,,
1/19/2007,151.0824,,,,,,,,681122.7962,,,,,,,
1/22/2007,150.69035,,,,,,,,679567.3598,,,,,,,
1/23/2007,150.254335,,,,,,,,677685.9682,,,,,,,
1/24/2007,149.925375,,,,,,,,676329.7062,,,,,,,
1/25/2007,149.31707,,,,,,,,674399.4468,,,,,,,
1/26/2007,148.93514,,,,,,,,672674.4372,,,,,,,
1/29/2007,151.25198,,,,,,,,681929.7817,,,,,,,
1/30/2007,152.507765,,,,,,,,686828.0364,,,,,,,
1/31/2007,154.833,,,,,,,,696331.621,,,,,,,
2/1/2007,156.53736,,,,,,,,703537.1472,,,,,,,
2/2/2007,157.149,,,,,,,,706202.8052,,,,,,,
2/5/2007,157.39695,,,,,,,,707026.5387,,,,,,,
2/6/2007,155.8645725,,,,,,,,700637.626,,,,,,,
2/7/2007,156.1761825,,,,,,,,702038.3657,,,,,,,
2/8/2007,155.16358,,,,,,,,698195.1044,,,,,,,
2/9/2007,159.9156,,,,,,,,717222.4966,,,,,,,
