Historical Prices - VOW GR
From 02/01/2007 To 29/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
1/2/2007,470.667306,,,,,,,,566981.9215,,,,,,,
1/3/2007,472.958218,,,,,,,,568213.4944,,,,,,,
1/4/2007,458.8689315,,,,,,,,558341.211,,,,,,,
1/5/2007,473.966787,,,,,,,,564292.6772,,,,,,,
1/8/2007,466.9775,,,,,,,,560508.9446,,,,,,,
1/9/2007,458.8543368,,,,,,,,559660.2476,,,,,,,
1/10/2007,452.1705788,,,,,,,,555618.329,,,,,,,
1/11/2007,454.7267141,,,,,,,,556584.0153,,,,,,,
1/12/2007,451.6933148,,,,,,,,552722.8162,,,,,,,
1/15/2007,458.167992,,,,,,,,553883.9462,,,,,,,
1/16/2007,459.0511443,,,,,,,,556083.4919,,,,,,,
1/17/2007,457.5846168,,,,,,,,554511.7321,,,,,,,
1/18/2007,460.9841548,,,,,,,,556311.0386,,,,,,,
1/19/2007,462.591936,,,,,,,,557413.9301,,,,,,,
1/22/2007,457.9938636,,,,,,,,555301.9408,,,,,,,
1/23/2007,461.2559568,,,,,,,,555998.1216,,,,,,,
1/24/2007,463.7704812,,,,,,,,559779.8919,,,,,,,
1/25/2007,459.7674884,,,,,,,,557180.4919,,,,,,,
1/26/2007,460.485249,,,,,,,,556946.7045,,,,,,,
1/29/2007,464.450453,,,,,,,,558699.2242,,,,,,,
1/30/2007,474.2794428,,,,,,,,564499.168,,,,,,,
1/31/2007,470.9781504,,,,,,,,564642.3749,,,,,,,
2/1/2007,472.7288328,,,,,,,,566565.626,,,,,,,
2/2/2007,468.9353574,,,,,,,,563790.0618,,,,,,,
2/5/2007,464.8910964,,,,,,,,560630.1778,,,,,,,
2/6/2007,463.453749,,,,,,,,560134.5826,,,,,,,
2/7/2007,463.01081,,,,,,,,560683.231,,,,,,,
2/8/2007,462.4850182,,,,,,,,561208.3292,,,,,,,
2/9/2007,469.4377556,,,,,,,,563440.7667,,,,,,,
2/12/2007,467.4038192,,,,,,,,562188.0027,,,,,,,
2/13/2007,471.1845948,,,,,,,,562885.2916,,,,,,,
2/14/2007,485.5266675,,,,,,,,570750.7393,,,,,,,
2/15/2007,489.2507649,,,,,,,,573834.001,,,,,,,
2/16/2007,484.5030898,,,,,,,,571774.7515,,,,,,,
2/19/2007,483.716464,,,,,,,,569728.96,,,,,,,
2/20/2007,519.370677,,,,,,,,581130.8383,,,,,,,
2/21/2007,519.7883367,,,,,,,,581138.4879,,,,,,,
2/22/2007,517.8250866,,,,,,,,580529.4377,,,,,,,
2/23/2007,519.3747634,,,,,,,,580903.3206,,,,,,,
2/26/2007,520.0406862,,,,,,,,583254.0455,,,,,,,
2/27/2007,502.1706732,,,,,,,,577698.1369,,,,,,,
2/28/2007,527.4735577,,,,,,,,590045.8443,,,,,,,
3/1/2007,518.5935096,,,,,,,,586646.9615,,,,,,,
3/2/2007,515.968224,,,,,,,,585183.598,,,,,,,
3/5/2007,498.7798907,,,,,,,,578468.749,,,,,,,
3/6/2007,520.670619,,,,,,,,585194.3783,,,,,,,
3/7/2007,533.25528,,,,,,,,590208.9968,,,,,,,
3/8/2007,552.7292006,,,,,,,,598777.1425,,,,,,,
3/9/2007,564.9264432,,,,,,,,600455.0968,,,,,,,
3/12/2007,567.8455599,,,,,,,,601885.7969,,,,,,,
3/13/2007,558.6699616,,,,,,,,601666.4199,,,,,,,
3/14/2007,562.9664614,,,,,,,,603178.6361,,,,,,,
3/15/2007,568.886363,,,,,,,,607072.9925,,,,,,,
3/16/2007,578.7374805,,,,,,,,611153.886,,,,,,,
3/19/2007,584.1555502,,,,,,,,615186.5788,,,,,,,
3/20/2007,589.2996488,,,,,,,,617016.6488,,,,,,,
3/21/2007,606.303667,,,,,,,,622924.1982,,,,,,,
3/22/2007,619.4216091,,,,,,,,627776.9616,,,,,,,
3/23/2007,654.6486245,,,,,,,,639301.5992,,,,,,,
3/26/2007,630.4903761,,,,,,,,627108.2529,,,,,,,
3/27/2007,632.8592028,,,,,,,,630058.8768,,,,,,,
3/28/2007,616.124628,,,,,,,,623209.2082,,,,,,,
3/29/2007,626.583624,,,,,,,,625670.4283,,,,,,,
3/30/2007,621.81559,,,,,,,,624623.6125,,,,,,,
4/2/2007,617.504448,,,,,,,,623058.0148,,,,,,,
4/3/2007,620.240478,,,,,,,,624749.1175,,,,,,,
4/4/2007,615.066817,,,,,,,,622132.2451,,,,,,,
4/5/2007,610.0685398,,,,,,,,618528.4372,,,,,,,
4/10/2007,608.8707703,,,,,,,,619601.8438,,,,,,,
4/11/2007,609.0492338,,,,,,,,616421.8016,,,,,,,
4/12/2007,609.4686719,,,,,,,,616919.1967,,,,,,,
4/13/2007,614.402686,,,,,,,,620565.9608,,,,,,,
4/16/2007,614.839274,,,,,,,,617659.5629,,,,,,,
4/17/2007,623.6316338,,,,,,,,618065.6428,,,,,,,
4/18/2007,631.7212352,,,,,,,,623014.4026,,,,,,,
4/19/2007,628.3509446,,,,,,,,620200.0111,,,,,,,
4/20/2007,627.9181328,,,,,,,,622912.9073,,,,,,,
4/23/2007,625.0575308,,,,,,,,623397.8352,,,,,,,
4/24/2007,619.366854,,,,,,,,621626.7787,,,,,,,
4/25/2007,627.1919616,,,,,,,,624323.3519,,,,,,,
4/26/2007,615.7870912,,,,,,,,618381.6348,,,,,,,
4/27/2007,615.4170664,,,,,,,,621295.3453,,,,,,,
4/30/2007,608.5129245,,,,,,,,614873.533,,,,,,,
5/2/2007,607.953933,,,,,,,,612699.0834,,,,,,,
5/3/2007,600.7888431,,,,,,,,611088.1184,,,,,,,
5/4/2007,603.62575,,,,,,,,612965.8023,,,,,,,
5/7/2007,598.1922001,,,,,,,,611762.0149,,,,,,,
5/8/2007,591.3812652,,,,,,,,611117.3418,,,,,,,
5/9/2007,581.3638461,,,,,,,,604100.1533,,,,,,,
5/10/2007,569.0372692,,,,,,,,599493.8347,,,,,,,
5/11/2007,572.4485559,,,,,,,,598383.191,,,,,,,
5/14/2007,568.4931768,,,,,,,,593351.1097,,,,,,,
5/15/2007,569.6831614,,,,,,,,591822.6217,,,,,,,
5/16/2007,578.859776,,,,,,,,592737.7644,,,,,,,
5/17/2007,581.943783,,,,,,,,596105.2308,,,,,,,
5/18/2007,581.6267414,,,,,,,,594960.6301,,,,,,,
5/21/2007,578.0167068,,,,,,,,594468.3479,,,,,,,
5/22/2007,588.5611578,,,,,,,,595045.8288,,,,,,,
5/23/2007,621.1215688,,,,,,,,607183.5043,,,,,,,
5/24/2007,605.3944716,,,,,,,,604723.8413,,,,,,,
5/25/2007,598.0795296,,,,,,,,601230.6442,,,,,,,
5/29/2007,606.1351296,,,,,,,,600724.4321,,,,,,,
5/30/2007,599.0735872,,,,,,,,599191.8835,,,,,,,
5/31/2007,601.6574984,,,,,,,,602565.0035,,,,,,,
6/1/2007,612.9017477,,,,,,,,610368.1007,,,,,,,
6/4/2007,619.1016885,,,,,,,,610517.3131,,,,,,,
