,date,value
1221,31/05/2012,1.00710722402
1220,03/06/2012,1.01426496067
1219,04/06/2012,1.02147356896
1218,05/06/2012,1.02873341045
1217,06/06/2012,1.03604484925
1216,07/06/2012,1.04340825209
1215,10/06/2012,1.05082398828
1214,11/06/2012,1.05829242977
1213,12/06/2012,1.06581395115
1212,13/06/2012,1.07338892966
1211,14/06/2012,1.08101774525
1210,17/06/2012,1.08870078053
1209,18/06/2012,1.09643842087
1208,19/06/2012,1.10423105435
1207,20/06/2012,1.11207907182
1206,21/06/2012,1.11998286691
1205,24/06/2012,1.12794283605
1204,25/06/2012,1.13595937846
1203,26/06/2012,1.14403289624
1202,27/06/2012,1.15216379432
1201,28/06/2012,1.16035248052
1200,01/07/2012,1.16859936554
1199,02/07/2012,1.17690486302
1198,03/07/2012,1.18526938953
1197,04/07/2012,1.1936933646
1196,05/07/2012,1.20217721076
1195,08/07/2012,1.20553932854
1194,09/07/2012,1.20891084913
1193,10/07/2012,1.21229179882
1192,11/07/2012,1.21568220398
1191,12/07/2012,1.21908209105
1190,15/07/2012,1.22249148655
1189,16/07/2012,1.22591041708
1188,17/07/2012,1.2293389093
1187,18/07/2012,1.23277698996
1186,19/07/2012,1.23622468586
1185,22/07/2012,1.2396820239
1184,23/07/2012,1.24314903104
1183,24/07/2012,1.24662573434
1182,25/07/2012,1.25011216089
1181,26/07/2012,1.2536083379
1180,30/07/2012,1.25711429264
1179,31/07/2012,1.26063005245
1178,01/08/2012,1.26415564475
1177,02/08/2012,1.26769109704
1176,05/08/2012,1.2712364369
1175,06/08/2012,1.27479169198
1174,07/08/2012,1.27835689001
1173,08/08/2012,1.28193205879
1172,09/08/2012,1.28551722621
1171,12/08/2012,1.28911242024
1170,13/08/2012,1.29271766891
1169,14/08/2012,1.29633300035
1168,15/08/2012,1.29995844275
1167,16/08/2012,1.3035940244
1166,19/08/2012,1.30723977364
1165,20/08/2012,1.31089571891
1164,21/08/2012,1.31456188873
1163,22/08/2012,1.3182383117
1162,23/08/2012,1.32192501648
1161,26/08/2012,1.32562203183
1160,27/08/2012,1.3293293866
1159,28/08/2012,1.33304710968
1158,29/08/2012,1.33677523009
1157,30/08/2012,1.3405137769
1156,02/09/2012,1.33659130848
1155,03/09/2012,1.33268031757
1154,04/09/2012,1.32878077059
1153,05/09/2012,1.32489263404
1152,06/09/2012,1.32101587454
1151,09/09/2012,1.31715045881
1150,10/09/2012,1.31329635364
1149,11/09/2012,1.30945352594
1148,12/09/2012,1.30562194271
1147,13/09/2012,1.30180157106
1146,19/09/2012,1.29799237817
1145,20/09/2012,1.29419433133
1144,23/09/2012,1.29040739793
1143,24/09/2012,1.28663154545
1142,27/09/2012,1.28286674147
1141,02/10/2012,1.27911295366
1140,03/10/2012,1.27537014978
1139,04/10/2012,1.27163829769
1138,09/10/2012,1.26791736536
1137,10/10/2012,1.26420732081
1136,11/10/2012,1.26050813221
1135,14/10/2012,1.25681976777
1134,15/10/2012,1.25314219583
1133,16/10/2012,1.24947538482
1132,17/10/2012,1.24581930323
1131,18/10/2012,1.24217391968
1130,21/10/2012,1.23853920286
1129,22/10/2012,1.23491512156
1128,23/10/2012,1.23130164466
1127,24/10/2012,1.22769874114
1126,25/10/2012,1.22410638004
1125,28/10/2012,1.22052453053
1124,29/10/2012,1.21695316184
1123,30/10/2012,1.21339224332
1122,31/10/2012,1.20984174437
1121,01/11/2012,1.20630163451
1120,04/11/2012,1.20277188335
1119,05/11/2012,1.19925246057
1118,06/11/2012,1.19574333594
1117,07/11/2012,1.19224447935
1116,08/11/2012,1.18875586073
1115,11/11/2012,1.18527745014
1114,12/11/2012,1.1818092177
1113,13/11/2012,1.17835113363
1112,14/11/2012,1.17490316824
1111,15/11/2012,1.17146529192
1110,18/11/2012,1.16803747515
1109,19/11/2012,1.16461968848
1108,20/11/2012,1.16121190258
1107,21/11/2012,1.15781408818
1106,22/11/2012,1.1544262161
1105,25/11/2012,1.15104825725
1104,26/11/2012,1.14768018263
1103,27/11/2012,1.1443219633
1102,28/11/2012,1.14097357044
1101,29/11/2012,1.13763497529
1100,02/12/2012,1.13430614918
1099,03/12/2012,1.13098706352
1098,04/12/2012,1.12767768982
1097,05/12/2012,1.12437799966
1096,06/12/2012,1.1210879647
1095,09/12/2012,1.11780755668
1094,10/12/2012,1.11453674745
1093,11/12/2012,1.11127550891
1092,12/12/2012,1.10802381306
1091,13/12/2012,1.10478163197
1090,16/12/2012,1.10154893781
1089,17/12/2012,1.09832570281
1088,18/12/2012,1.0951118993
1087,19/12/2012,1.09190749968
1086,20/12/2012,1.08871247643
1085,23/12/2012,1.08552680212
1084,24/12/2012,1.08235044938
1083,25/12/2012,1.07918339095
1082,26/12/2012,1.07602559963
1081,27/12/2012,1.07287704831
1080,30/12/2012,1.06973770993
1079,31/12/2012,1.06660755756
1078,01/01/2013,1.10270958869
1077,02/01/2013,1.14003358439
1076,03/01/2013,1.17862090516
