Historical Prices - ABILITY - 01137256
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,232.9000,232.9000,-0.94,235.1000,235.1000,238.9000,229.7000,25774141,60028,73283,31475,37,,,25774141.00,
28/05/2017,235.1000,235.1000,-4.28,234.5000,245.6000,237.7000,232.0000,25774141,60595,133796,57205,73,,,25774141.00,
25/05/2017,245.6000,245.6000,-4.73,245.0000,257.8000,251.3000,243.2000,25774141,63301,280891,113812,97,,,25774141.00,
24/05/2017,257.8000,257.8000,2.06,252.6000,252.6000,261.2000,251.0000,25774141,66446,144812,56631,55,,,25774141.00,
23/05/2017,252.6000,252.6000,-4.61,260.0000,264.8000,260.1000,244.5000,25774141,65105,279998,111038,114,,,25774141.00,
22/05/2017,264.8000,264.8000,7.12,247.2000,247.2000,289.0000,250.8000,25774141,68250,659299,247892,228,,,25774141.00,
21/05/2017,247.2000,247.2000,2.45,241.3000,241.3000,254.0000,234.2000,25774141,63714,640942,263521,185,,,25774141.00,
18/05/2017,241.3000,241.3000,-8.18,249.0000,262.8000,255.0000,236.0000,25774141,62193,534684,220349,204,,,25774141.00,
17/05/2017,262.8000,262.8000,-20.48,330.5000,330.5000,330.5000,258.0000,25774141,67734,1192394,414932,356,,,25774141.00,
16/05/2017,330.5000,330.5000,27.66,279.8000,258.9000,370.0000,269.9000,25774141,85184,3205916,1055106,782,,,25774141.00,
15/05/2017,258.9000,258.9000,-0.80,255.1000,261.0000,264.6000,255.1000,25774141,66729,112981,43180,42,,,25774141.00,
14/05/2017,261.0000,261.0000,-3.15,269.5000,269.5000,268.1000,259.0000,25774141,67271,223530,84960,73,,,25774141.00,
11/05/2017,269.5000,269.5000,-0.66,271.3000,271.3000,276.0000,264.7000,25774141,69461,715879,263669,189,,,25774141.00,
10/05/2017,271.3000,271.3000,0.33,270.6000,270.4000,272.0000,269.9000,25774141,69925,146102,53947,51,,,25774141.00,
09/05/2017,270.4000,270.4000,-5.65,286.6000,286.6000,282.7000,270.0000,25774141,69693,190919,69297,63,,,25774141.00,
08/05/2017,286.6000,286.6000,1.27,283.0000,283.0000,290.0000,282.0000,25774141,73869,53356,18643,23,,,25774141.00,
07/05/2017,283.0000,283.0000,1.73,278.2000,278.2000,289.9000,278.4000,25774141,72941,39479,13963,17,,,25774141.00,
04/05/2017,278.2000,278.2000,-5.37,294.0000,294.0000,297.8000,275.8000,25774141,71704,138984,49470,43,,,25774141.00,
03/05/2017,294.0000,294.0000,2.80,281.0000,286.0000,305.0000,281.0000,25774141,75776,197646,66780,76,,,25774141.00,
30/04/2017,286.0000,286.0000,1.35,282.2000,282.2000,286.9000,282.2000,25774141,73714,52995,18527,26,,,25774141.00,
27/04/2017,282.2000,282.2000,-8.73,299.0000,309.2000,299.0000,279.0000,25774141,72735,397261,138256,146,,,25774141.00,
26/04/2017,309.2000,309.2000,-7.06,332.7000,332.7000,340.0000,305.0000,25774141,79694,243871,76284,109,,,25774141.00,
25/04/2017,332.7000,332.7000,-7.71,341.0000,360.5000,345.4000,327.1000,25774141,85751,257699,76899,91,,,25774141.00,
24/04/2017,360.5000,360.5000,-3.04,371.8000,371.8000,384.0000,353.0000,25774141,92916,139259,38052,63,,,25774141.00,
