Historical Prices - AFCON HOLD - 00578013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,17870.0000,17870.0000,-1.43,18250.0000,18130.0000,18350.0000,17820.0000,4580037,818453,1165093,6456,110,,,4580037.00,
28/05/2017,18130.0000,18130.0000,1.63,17900.0000,17840.0000,18280.0000,17900.0000,4580037,830361,402987,2229,76,,,4580037.00,
25/05/2017,17840.0000,17840.0000,-0.17,17900.0000,17870.0000,17900.0000,17820.0000,4580037,817079,884469,4955,83,,,4580037.00,
24/05/2017,17870.0000,17870.0000,0.22,17830.0000,17830.0000,17900.0000,17560.0000,4580037,818453,288768,1621,59,,,4580037.00,
23/05/2017,17830.0000,17830.0000,0.22,17790.0000,17790.0000,17870.0000,17740.0000,4580037,816621,228531,1282,56,,,4580037.00,
22/05/2017,17790.0000,17790.0000,0.06,17820.0000,17780.0000,17880.0000,17710.0000,4580037,814789,253887,1424,46,,,4580037.00,
21/05/2017,17780.0000,17780.0000,1.25,17840.0000,17560.0000,17840.0000,17660.0000,4580037,814331,254859,1436,65,,,4580037.00,
18/05/2017,17560.0000,17560.0000,-0.23,17600.0000,17600.0000,17840.0000,17240.0000,4580037,804255,529271,3018,88,,,4580037.00,
17/05/2017,17600.0000,17600.0000,-0.90,17760.0000,17760.0000,17800.0000,17320.0000,4580037,806087,622450,3519,117,,,4580037.00,
16/05/2017,17760.0000,17760.0000,1.89,17430.0000,17430.0000,17780.0000,17260.0000,4580037,813415,642224,3655,98,,,4580037.00,
15/05/2017,17430.0000,17430.0000,-0.97,17600.0000,17600.0000,17700.0000,16850.0000,4580037,798300,1224851,7096,151,,,4580037.00,
14/05/2017,17600.0000,17600.0000,0.57,17500.0000,17500.0000,17700.0000,17570.0000,4580037,806087,356829,2025,47,,,4580037.00,
11/05/2017,17500.0000,17500.0000,0.40,17430.0000,17430.0000,17700.0000,17340.0000,4580037,801506,1149968,6547,92,,,4580037.00,
10/05/2017,17430.0000,17430.0000,1.75,17130.0000,17130.0000,17500.0000,17030.0000,4580037,798300,492554,2833,68,,,4580037.00,
09/05/2017,17130.0000,17130.0000,-1.21,17340.0000,17340.0000,17500.0000,16970.0000,4580037,784560,960704,5576,144,,,4580037.00,
08/05/2017,17340.0000,17340.0000,0.23,17320.0000,17300.0000,17400.0000,17260.0000,4580037,794178,509965,2938,74,,,4580037.00,
07/05/2017,17300.0000,17300.0000,1.76,17000.0000,17000.0000,17320.0000,16990.0000,4580037,792346,524947,3059,63,,,4580037.00,
04/05/2017,17000.0000,17000.0000,0.59,16900.0000,16900.0000,17000.0000,16820.0000,4580037,778606,446915,2633,73,,,4580037.00,
03/05/2017,16900.0000,16900.0000,1.68,16620.0000,16620.0000,16940.0000,16590.0000,4580037,774026,422741,2506,88,,,4580037.00,
30/04/2017,16620.0000,16620.0000,-0.42,16750.0000,16690.0000,16880.0000,16270.0000,4580037,761202,771457,4655,83,,,4580037.00,
27/04/2017,16690.0000,16690.0000,-0.12,17000.0000,16710.0000,17000.0000,16530.0000,4580037,764408,723317,4317,73,,,4580037.00,
26/04/2017,16710.0000,16710.0000,0.78,16580.0000,16580.0000,16730.0000,16560.0000,4580037,765324,148891,893,34,,,4580037.00,
