Historical Prices - AFRICA PROERT. - 01091354
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7787.0000,7787.0000,-2.54,7990.0000,7990.0000,8010.0000,7787.0000,28494034,2218830,1048293,13312,194,,,28494034.00,
28/05/2017,7990.0000,7990.0000,0.95,8100.0000,7915.0000,8101.0000,7806.0000,28494034,2276673,1595878,20004,332,,,28494034.00,
25/05/2017,7915.0000,7915.0000,-1.06,8006.0000,8000.0000,8118.0000,7856.0000,28494034,2255303,3060167,37995,402,,,28494034.00,
24/05/2017,8000.0000,8000.0000,2.88,7989.0000,7776.0000,8120.0000,7988.0000,28494034,2279523,9052815,113009,748,,,28494034.00,
23/05/2017,7776.0000,7776.0000,3.27,7530.0000,7530.0000,7833.0000,7470.0000,28494034,2215696,1084963,14161,210,,,28494034.00,
22/05/2017,7530.0000,7530.0000,-0.25,7549.0000,7549.0000,7612.0000,7461.0000,28494034,2145601,1346003,17937,229,,,28494034.00,
21/05/2017,7549.0000,7549.0000,-1.09,7637.0000,7632.0000,7842.0000,7222.0000,28494034,2151015,2519662,33585,245,,,28494034.00,
18/05/2017,7632.0000,7632.0000,-1.33,7735.0000,7735.0000,7735.0000,7570.0000,28494034,2174665,1062990,13911,194,,,28494034.00,
17/05/2017,7735.0000,7735.0000,-0.36,7763.0000,7763.0000,7869.0000,7685.0000,28494034,2204014,3598322,46273,291,,,28494034.00,
16/05/2017,7763.0000,7763.0000,-1.27,7863.0000,7863.0000,7880.0000,7727.0000,28494034,2211992,830500,10660,207,,,28494034.00,
15/05/2017,7863.0000,7863.0000,0.54,7821.0000,7821.0000,8017.0000,7701.0000,28494034,2240486,1125494,14389,232,,,28494034.00,
14/05/2017,7821.0000,7821.0000,-0.71,7877.0000,7877.0000,7877.0000,7755.0000,28494034,2228518,778604,9927,117,,,28494034.00,
