Historical Prices - AFRICA RESIDENC - 01097948
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7513.0000,7513.0000,-1.01,7590.0000,7590.0000,7598.0000,7342.0000,12643536,949909,294721,3917,74,EX D,0.92302,12641334.00,
28/05/2017,7589.9935,8223.0000,0.86,8276.0000,8153.0000,8290.0000,8189.0000,12643536,1039678,11609792,141117,154,,,12641334.00,
25/05/2017,7525.3821,8153.0000,0.11,8144.0000,8144.0000,8250.0000,8144.0000,12643536,1030827,691874,8424,125,,,12641334.00,
24/05/2017,7517.0749,8144.0000,1.51,8060.0000,8023.0000,8176.0000,8060.0000,12643536,1029690,605890,7439,89,,,12641334.00,
23/05/2017,7405.3895,8023.0000,0.19,8008.0000,8008.0000,8051.0000,7930.0000,12643536,1014391,945310,11794,107,,,12641334.00,
22/05/2017,7391.5442,8008.0000,1.37,7900.0000,7900.0000,8150.0000,7962.0000,12643536,1012494,326403,4049,83,,,12641334.00,
21/05/2017,7291.8580,7900.0000,1.96,7748.0000,7748.0000,7999.0000,7753.0000,12643536,998839,259349,3281,72,,,12641334.00,
18/05/2017,7151.5590,7748.0000,-0.97,7824.0000,7824.0000,7861.0000,7550.0000,12643536,979621,212767,2751,67,,,12641334.00,
17/05/2017,7221.7085,7824.0000,-2.22,8002.0000,8002.0000,8002.0000,7762.0000,12641334,989058,636275,8103,131,,,12641334.00,
16/05/2017,7386.0060,8002.0000,-1.74,8144.0000,8144.0000,8222.0000,7977.0000,12641334,1011560,14945737,186642,160,,,12641334.00,
15/05/2017,7517.0749,8144.0000,-2.20,8327.0000,8327.0000,8473.0000,8095.0000,12641334,1029510,701626,8470,118,,,12641334.00,
14/05/2017,7685.9875,8327.0000,-0.02,8329.0000,8329.0000,8479.0000,8314.0000,12641334,1052644,232830,2785,55,,,12641334.00,
11/05/2017,7687.8336,8329.0000,-0.83,8399.0000,8399.0000,8550.0000,8289.0000,12641334,1052897,529322,6282,95,,,12641334.00,
10/05/2017,7752.4450,8399.0000,2.25,8214.0000,8214.0000,8409.0000,8180.0000,12641334,1061746,168544,2021,48,,,12641334.00,
09/05/2017,7581.6863,8214.0000,4.76,7841.0000,7841.0000,8261.0000,7841.0000,12641334,1038359,526045,6480,130,,,12641334.00,
08/05/2017,7237.3998,7841.0000,0.38,7811.0000,7811.0000,8034.0000,7800.0000,12641334,991207,4364111,55729,172,,,12641334.00,
07/05/2017,7209.7092,7811.0000,0.24,7787.0000,7792.0000,7897.0000,7787.0000,12641334,987415,611061,7814,87,,,12641334.00,
04/05/2017,7192.1718,7792.0000,-0.62,7841.0000,7841.0000,7985.0000,7792.0000,12641334,985013,610063,7785,100,,,12641334.00,
