Historical Prices - AFRICA - 00611012
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,37.0000,37.0000,-2.63,37.9000,38.0000,38.1000,36.1000,205542733,76051,1100518,2964453,294,,,205542733.00,
28/05/2017,38.0000,38.0000,4.40,37.7000,36.4000,42.8000,37.6000,205542733,78106,3861139,9857182,837,,,205542733.00,
25/05/2017,36.4000,36.4000,-2.67,37.1000,37.4000,37.7000,36.1000,205542733,74818,217970,596092,102,,,205542733.00,
24/05/2017,37.4000,37.4000,-1.32,37.7000,37.9000,39.0000,36.5000,205542733,76873,299368,796726,91,,,205542733.00,
23/05/2017,37.9000,37.9000,-0.79,39.0000,38.2000,39.0000,37.7000,205542733,77901,177172,464476,60,,,205542733.00,
22/05/2017,38.2000,38.2000,-1.29,38.2000,38.7000,39.2000,38.0000,205542733,78517,197760,516316,69,,,205542733.00,
21/05/2017,38.7000,38.7000,-0.26,39.0000,38.8000,40.6000,38.0000,205542733,79545,242649,625186,89,,,205542733.00,
18/05/2017,38.8000,38.8000,-1.77,39.0000,39.5000,39.8000,38.4000,205542733,79751,56610,145379,43,,,205542733.00,
17/05/2017,39.5000,39.5000,-1.74,40.3000,40.2000,40.8000,39.2000,205542733,81189,158601,398085,70,,,205542733.00,
16/05/2017,40.2000,40.2000,-1.23,40.5000,40.7000,41.5000,39.5000,205542733,82628,369478,916521,118,,,205542733.00,
15/05/2017,40.7000,40.7000,5.44,38.8000,38.6000,44.0000,37.7000,205542733,83656,1418142,3414520,375,,,205542733.00,
14/05/2017,38.6000,38.6000,0.78,39.0000,38.3000,39.0000,36.9000,205542733,79339,491065,1304084,173,,,205542733.00,
11/05/2017,38.3000,38.3000,-3.77,39.4000,39.8000,40.3000,38.0000,205542733,78723,592303,1517102,137,,,205542733.00,
10/05/2017,39.8000,39.8000,0.51,39.2000,39.6000,40.5000,39.2000,205542733,81806,249734,626349,91,,,205542733.00,
09/05/2017,39.6000,39.6000,-2.46,41.0000,40.6000,41.0000,39.4000,205542733,81395,502144,1255409,171,,,205542733.00,
08/05/2017,40.6000,40.6000,-0.49,43.0000,40.8000,43.0000,40.2000,205542733,83450,745498,1792225,242,,,205542733.00,
07/05/2017,40.8000,40.8000,-8.93,43.0000,44.8000,43.0000,39.7000,205542733,83861,1436187,3484930,416,,,205542733.00,
04/05/2017,44.8000,44.8000,-0.67,45.8000,45.1000,45.8000,43.9000,205542733,92083,219962,493441,82,,,205542733.00,
03/05/2017,45.1000,45.1000,0.22,44.0000,45.0000,46.2000,44.0000,205542733,92700,95486,210521,46,,,205542733.00,
30/04/2017,45.0000,45.0000,0.00,46.4000,45.0000,46.4000,44.9000,205542733,92494,164890,364184,61,,,205542733.00,
27/04/2017,45.0000,45.0000,2.04,45.4000,44.1000,48.0000,44.7000,205542733,92494,1184211,2539301,339,,,205542733.00,
26/04/2017,44.1000,44.1000,-5.36,46.6000,46.6000,46.6000,44.0000,205542733,90644,719282,1604377,221,,,205542733.00,
25/04/2017,46.6000,46.6000,-1.89,48.7000,47.5000,48.7000,46.4000,205542733,95783,249991,528878,111,,,205542733.00,
24/04/2017,47.5000,47.5000,-3.06,49.5000,49.0000,49.5000,47.2000,205542733,97633,343848,721511,105,,,205542733.00,
23/04/2017,49.0000,49.0000,1.24,48.3000,48.4000,50.0000,48.3000,205542733,100716,199434,406119,95,,,205542733.00,
20/04/2017,48.4000,48.4000,-2.62,49.6000,49.7000,49.7000,46.0000,205542733,99483,338152,700007,103,,,205542733.00,
19/04/2017,49.7000,49.7000,-0.40,49.1000,49.9000,50.0000,49.1000,205542733,102155,190185,383598,67,,,205542733.00,
18/04/2017,49.9000,49.9000,-0.60,50.0000,50.2000,51.6000,48.5000,205542733,102566,288479,579164,94,,,205542733.00,
13/04/2017,50.2000,50.2000,-4.02,52.3000,52.3000,52.3000,49.6000,205542733,103182,507366,1003498,165,,,205542733.00,
12/04/2017,52.3000,52.3000,0.19,52.5000,52.2000,53.0000,52.0000,205542733,107499,93709,179018,34,,,205542733.00,
09/04/2017,52.2000,52.2000,-2.25,53.0000,53.4000,53.3000,52.1000,205542733,107293,210763,402448,89,,,205542733.00,
