Historical Prices - AIRPORT CITY - 01095835
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4784.0000,4784.0000,-2.47,4905.0000,4905.0000,4922.0000,4782.0000,107887337,5161330,4795581,99643,388,,,107887337.00,
28/05/2017,4905.0000,4905.0000,-1.90,4950.0000,5000.0000,5000.0000,4885.0000,107887337,5291874,1505889,30555,210,,,107887337.00,
25/05/2017,5000.0000,5000.0000,-3.61,5187.0000,5187.0000,5187.0000,4980.0000,107887337,5394367,13277898,260055,624,,,107887337.00,
24/05/2017,5187.0000,5187.0000,-0.63,5167.0000,5220.0000,5247.0000,5135.0000,107887337,5596116,4150549,80109,467,,,107887337.00,
23/05/2017,5220.0000,5220.0000,0.38,5220.0000,5200.0000,5252.0000,5192.0000,107887337,5631719,4627178,88357,358,,,107887337.00,
22/05/2017,5200.0000,5200.0000,2.69,5105.0000,5064.0000,5200.0000,5102.0000,107887337,5610142,6595504,128015,525,,,107887337.00,
21/05/2017,5064.0000,5064.0000,1.28,5069.0000,5000.0000,5112.0000,5034.0000,107887337,5463415,2269713,44814,276,,,107887337.00,
18/05/2017,5000.0000,5000.0000,-1.15,5094.0000,5058.0000,5115.0000,4943.0000,107887337,5394367,6560034,130184,759,,,107887337.00,
17/05/2017,5058.0000,5058.0000,0.48,5020.0000,5034.0000,5110.0000,4987.0000,107887337,5456942,4566887,90117,325,,,107887337.00,
16/05/2017,5034.0000,5034.0000,-1.14,5092.0000,5092.0000,5150.0000,5034.0000,107887337,5431049,3684364,72372,475,,,107887337.00,
15/05/2017,5092.0000,5092.0000,0.16,5145.0000,5084.0000,5145.0000,5080.0000,107887337,5493623,2402814,47071,299,,,107887337.00,
