Historical Prices - ALBAAD - 00625012
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6375.0000,6375.0000,-3.54,6446.0000,6609.0000,6486.0000,6360.0000,10530744,671335,1340022,20926,157,,,10530744.00,
28/05/2017,6609.0000,6609.0000,-4.43,6930.0000,6915.0000,6940.0000,6578.0000,10530744,695977,880479,13056,134,,,10530744.00,
25/05/2017,6915.0000,6915.0000,4.90,6730.0000,6592.0000,6980.0000,6730.0000,10530744,728201,2160786,31321,227,,,10530744.00,
24/05/2017,6592.0000,6592.0000,4.78,6368.0000,6291.0000,6730.0000,6293.0000,10530744,694187,1334599,20528,192,,,10530744.00,
23/05/2017,6291.0000,6291.0000,0.93,6233.0000,6233.0000,6316.0000,6217.0000,10530744,662489,311298,4963,62,,,10530744.00,
22/05/2017,6233.0000,6233.0000,0.87,6270.0000,6179.0000,6270.0000,6191.0000,10530744,656381,258002,4149,50,,,10530744.00,
21/05/2017,6179.0000,6179.0000,3.92,5925.0000,5946.0000,6240.0000,5925.0000,10530744,650695,724275,11790,122,,,10530744.00,
18/05/2017,5946.0000,5946.0000,-3.44,5980.0000,6158.0000,6129.0000,5881.0000,10530744,626158,495846,8312,121,,,10530744.00,
17/05/2017,6158.0000,6158.0000,-1.82,6261.0000,6272.0000,6272.0000,6058.0000,10530744,648483,617124,9958,103,,,10530744.00,
16/05/2017,6272.0000,6272.0000,-0.95,6260.0000,6332.0000,6336.0000,6260.0000,10530744,660488,576407,9183,144,,,10530744.00,
15/05/2017,6332.0000,6332.0000,-1.02,6330.0000,6397.0000,6381.0000,6304.0000,10530744,666807,159968,2521,46,,,10530744.00,
14/05/2017,6397.0000,6397.0000,-0.08,6402.0000,6402.0000,6407.0000,6381.0000,10530744,673652,354764,5544,48,,,10530744.00,
11/05/2017,6402.0000,6402.0000,0.33,6380.0000,6381.0000,6437.0000,6339.0000,10530744,674178,436066,6809,69,,,10530744.00,
10/05/2017,6381.0000,6381.0000,-0.27,6400.0000,6398.0000,6400.0000,6366.0000,10530744,671967,401441,6285,58,,,10530744.00,
09/05/2017,6398.0000,6398.0000,1.86,6281.0000,6281.0000,6425.0000,6261.0000,10530744,673757,690420,10892,88,,,10530744.00,
08/05/2017,6281.0000,6281.0000,0.82,6230.0000,6230.0000,6355.0000,6200.0000,10530744,661436,575275,9115,68,,,10530744.00,
07/05/2017,6230.0000,6230.0000,-1.21,6310.0000,6306.0000,6315.0000,6121.0000,10530744,656065,380637,6090,66,,,10530744.00,
04/05/2017,6306.0000,6306.0000,-0.41,6332.0000,6332.0000,6444.0000,6306.0000,10530744,664069,2221773,35155,80,,,10530744.00,
03/05/2017,6332.0000,6332.0000,1.74,6224.0000,6224.0000,6368.0000,6143.0000,10530744,666807,1133084,18142,169,,,10530744.00,
30/04/2017,6224.0000,6224.0000,-0.40,6323.0000,6249.0000,6374.0000,6200.0000,10530744,655434,955281,15202,112,,,10530744.00,
27/04/2017,6249.0000,6249.0000,0.45,6221.0000,6221.0000,6324.0000,6091.0000,10530744,658066,899790,14564,132,,,10530744.00,
