Historical Prices - ALROV PROPERT - 00387019
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,9843.0000,9843.0000,-1.47,10230.0000,9990.0000,10230.0000,9813.0000,24464969,2408087,571652,5740,151,,,24731030.00,
28/05/2017,9990.0000,9990.0000,-1.38,10130.0000,10130.0000,10350.0000,9931.0000,24464969,2444050,632863,6311,118,,,24731030.00,
25/05/2017,10130.0000,10130.0000,-2.22,10360.0000,10360.0000,10400.0000,10040.0000,24464969,2478301,555078,5426,111,,,24731030.00,
24/05/2017,10360.0000,10360.0000,-0.38,10400.0000,10400.0000,10520.0000,10290.0000,24464969,2534571,358143,3441,84,,,24731030.00,
23/05/2017,10400.0000,10400.0000,1.76,10220.0000,10220.0000,10450.0000,10030.0000,24464969,2544357,709060,6937,141,,,24731030.00,
22/05/2017,10220.0000,10220.0000,0.89,10230.0000,10130.0000,10300.0000,10030.0000,24464969,2500320,779554,7653,116,,,24731030.00,
21/05/2017,10130.0000,10130.0000,0.20,10350.0000,10110.0000,10370.0000,10030.0000,24464969,2478301,362007,3544,83,,,24731030.00,
18/05/2017,10110.0000,10110.0000,1.25,9985.0000,9985.0000,10440.0000,9821.0000,24464969,2473408,946851,9442,191,,,24731030.00,
17/05/2017,9985.0000,9985.0000,-2.49,10240.0000,10240.0000,10290.0000,9910.0000,24464969,2442827,1164228,11601,228,,,24731030.00,
16/05/2017,10240.0000,10240.0000,0.20,10140.0000,10220.0000,10380.0000,10010.0000,24464969,2505213,899947,8844,177,,,24731030.00,
15/05/2017,10220.0000,10220.0000,-2.57,10490.0000,10490.0000,10670.0000,10200.0000,24464969,2500320,666792,6425,138,,,24731030.00,
14/05/2017,10490.0000,10490.0000,-0.38,10530.0000,10530.0000,10660.0000,10360.0000,24464969,2566375,579612,5495,95,,,24731030.00,
11/05/2017,10530.0000,10530.0000,1.74,10440.0000,10350.0000,10540.0000,10350.0000,24464969,2576161,3618161,34552,205,,,24731030.00,
10/05/2017,10350.0000,10350.0000,2.07,10130.0000,10140.0000,10430.0000,10080.0000,24464969,2532124,652471,6366,104,,,24731030.00,
09/05/2017,10140.0000,10140.0000,0.50,10180.0000,10090.0000,10320.0000,10040.0000,24464969,2480748,1644004,16162,172,,,24731030.00,
08/05/2017,10090.0000,10090.0000,-0.30,10120.0000,10120.0000,10140.0000,9900.0000,24464969,2468515,1825266,18067,136,,,24731030.00,
07/05/2017,10120.0000,10120.0000,1.91,9923.0000,9930.0000,10140.0000,9890.0000,24464969,2475855,944818,9385,133,,,24731030.00,
04/05/2017,9930.0000,9930.0000,0.54,9900.0000,9877.0000,10120.0000,9850.0000,24464969,2429371,2215151,22290,211,,,24757769.00,
03/05/2017,9877.0000,9877.0000,0.71,9807.0000,9807.0000,9963.0000,9734.0000,24464969,2416405,987514,10036,154,,,24757769.00,
30/04/2017,9807.0000,9807.0000,-0.96,9990.0000,9902.0000,9990.0000,9750.0000,24464969,2399280,205560,2094,56,,,24757769.00,
27/04/2017,9902.0000,9902.0000,0.04,9990.0000,9898.0000,9990.0000,9780.0000,24464969,2422521,1626272,16408,176,,,24757769.00,
26/04/2017,9898.0000,9898.0000,0.10,9900.0000,9888.0000,9900.0000,9750.0000,24465395,2421585,498976,5062,93,,,24757769.00,
25/04/2017,9888.0000,9888.0000,0.77,9812.0000,9812.0000,9890.0000,9622.0000,24465395,2419138,1842148,18728,185,,,24757769.00,
24/04/2017,9812.0000,9812.0000,1.34,9700.0000,9682.0000,9838.0000,9698.0000,24484238,2402393,3356961,34312,303,,,24757769.00,
23/04/2017,9682.0000,9682.0000,-1.62,9648.0000,9841.0000,9728.0000,9479.0000,24484238,2370564,482603,4988,112,,,24757769.00,
20/04/2017,9841.0000,9841.0000,0.05,9850.0000,9836.0000,9933.0000,9747.0000,24490591,2410119,1915504,19458,252,,,24757769.00,
19/04/2017,9836.0000,9836.0000,0.11,9855.0000,9825.0000,9888.0000,9719.0000,24511490,2410950,2975670,30309,158,,,24757769.00,
18/04/2017,9825.0000,9825.0000,3.23,9518.0000,9518.0000,9848.0000,9400.0000,24731030,2429824,23531051,240498,375,,,24757769.00,
13/04/2017,9518.0000,9518.0000,-2.46,9811.0000,9758.0000,9875.0000,9406.0000,24731030,2353899,890913,9210,138,,,24757769.00,
12/04/2017,9758.0000,9758.0000,2.77,9495.0000,9495.0000,9854.0000,9495.0000,24731030,2413254,1294709,13350,204,,,24757769.00,
09/04/2017,9495.0000,9495.0000,4.34,9181.0000,9100.0000,9540.0000,9147.0000,24753232,2350319,3116681,33518,134,,,24757769.00,
06/04/2017,9100.0000,9100.0000,2.37,8970.0000,8889.0000,9100.0000,8831.0000,24757769,2252957,1486625,16532,162,EX D,0.99086,24828916.00,
05/04/2017,8889.0051,8971.0000,2.13,8784.0000,8784.0000,8986.0000,8732.0000,24757769,2221019,1313637,14816,262,,,24828916.00,
04/04/2017,8703.7142,8784.0000,1.26,8675.0000,8675.0000,8799.0000,8651.0000,24757769,2174722,796592,9106,122,,,24828916.00,
03/04/2017,8595.7105,8675.0000,-0.05,8760.0000,8679.0000,8760.0000,8581.0000,24757769,2147736,1029442,11844,161,,,24828916.00,
02/04/2017,8599.6739,8679.0000,1.37,8568.0000,8562.0000,8722.0000,8568.0000,24757769,2148727,651070,7510,91,,,24828916.00,
30/03/2017,8483.7433,8562.0000,0.15,8640.0000,8549.0000,8640.0000,8462.0000,24757769,2119760,900760,10564,128,,,24828916.00,
29/03/2017,8470.8621,8549.0000,7.35,8100.0000,7964.0000,8645.0000,7908.0000,24757769,2116542,2374082,28164,274,,,24828916.00,
28/03/2017,7891.2090,7964.0000,0.47,7927.0000,7927.0000,8071.0000,7912.0000,24757769,1971709,516395,6475,114,,,24828916.00,
27/03/2017,7854.5472,7927.0000,-3.26,8070.0000,8194.0000,8130.0000,7828.0000,24757769,1962548,590976,7356,141,,,24828916.00,
26/03/2017,8119.1068,8194.0000,-0.82,8262.0000,8262.0000,8359.0000,8154.0000,24757769,2028652,235092,2850,69,,,24828916.00,
23/03/2017,8186.4853,8262.0000,0.28,8364.0000,8239.0000,8364.0000,8118.0000,24757769,2045487,591417,7143,105,,,24828916.00,
22/03/2017,8163.6955,8239.0000,-0.69,8150.0000,8296.0000,8259.0000,8150.0000,24757769,2039793,641407,7805,123,,,24828916.00,
21/03/2017,8220.1746,8296.0000,2.03,8280.0000,8131.0000,8364.0000,8082.0000,24757769,2053905,373784,4527,72,,,24828916.00,
20/03/2017,8056.6827,8131.0000,0.57,8085.0000,8085.0000,8152.0000,8082.0000,24757769,2013054,306668,3773,77,,,24828916.00,
19/03/2017,8011.1031,8085.0000,-0.02,8009.0000,8087.0000,8151.0000,8009.0000,24757769,2001666,296269,3665,65,,,24828916.00,
16/03/2017,8013.0848,8087.0000,-0.48,8300.0000,8126.0000,8300.0000,8050.0000,24757769,2002161,338725,4185,84,,,24828916.00,
15/03/2017,8051.7284,8126.0000,-0.06,8300.0000,8131.0000,8300.0000,8100.0000,24757769,2011816,624328,7683,114,,,24828916.00,
14/03/2017,8056.6827,8131.0000,-0.56,8177.0000,8177.0000,8245.0000,8073.0000,24757769,2013054,361815,4428,88,,,24828916.00,
13/03/2017,8102.2622,8177.0000,-0.20,8363.0000,8193.0000,8363.0000,8153.0000,24757769,2024443,244519,2987,62,,,24828916.00,
09/03/2017,8118.1160,8193.0000,-1.06,8240.0000,8281.0000,8272.0000,8167.0000,24757769,2028404,392098,4764,93,,,24828916.00,
08/03/2017,8205.3117,8281.0000,-0.23,8337.0000,8300.0000,8337.0000,8259.0000,24757769,2050191,295670,3565,81,,,24828916.00,
07/03/2017,8224.1380,8300.0000,-1.20,8401.0000,8401.0000,8482.0000,8245.0000,24757769,2054895,422260,5034,93,,,24828916.00,
06/03/2017,8324.2149,8401.0000,-2.03,8501.0000,8575.0000,8520.0000,8380.0000,24757769,2079900,523759,6196,106,,,24828916.00,
05/03/2017,8496.6245,8575.0000,-0.51,8619.0000,8619.0000,8664.0000,8444.0000,24757769,2122979,276996,3229,63,,,24828916.00,
02/03/2017,8540.2223,8619.0000,0.56,8600.0000,8571.0000,8657.0000,8480.0000,24757769,2133872,1229658,14300,126,,,25143987.00,
