Historical Prices - AMOT - 01097278
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1781.0000,1781.0000,-0.84,1800.0000,1796.0000,1809.0000,1778.0000,311528493,5548322,5811575,325033,429,,,310309499.00,
28/05/2017,1796.0000,1796.0000,-2.23,1830.0000,1837.0000,1840.0000,1793.0000,311308445,5591100,7512975,415984,358,,,310309499.00,
25/05/2017,1837.0000,1837.0000,-1.76,1860.0000,1870.0000,1865.0000,1826.0000,311308445,5718736,21093496,1142022,653,,,310309499.00,
24/05/2017,1870.0000,1870.0000,0.75,1836.0000,1856.0000,1874.0000,1836.0000,311308445,5821468,4304177,230932,360,EX D,0.98934,310309499.00,
23/05/2017,1856.0018,1876.0000,0.86,1861.0000,1860.0000,1878.0000,1861.0000,311308445,5840146,6549042,349621,487,,,310309499.00,
22/05/2017,1840.1724,1860.0000,0.81,1850.0000,1845.0000,1870.0000,1846.0000,310843064,5781681,9837804,528982,558,,,310309499.00,
21/05/2017,1825.3323,1845.0000,0.65,1858.0000,1833.0000,1858.0000,1834.0000,310843064,5735055,4082117,220942,380,,,310309499.00,
18/05/2017,1813.4602,1833.0000,0.05,1865.0000,1832.0000,1865.0000,1802.0000,310843064,5697753,8571295,467772,810,,,310309499.00,
17/05/2017,1812.4709,1832.0000,-1.19,1860.0000,1854.0000,1870.0000,1823.0000,310843064,5694645,3972254,214990,390,,,310309499.00,
16/05/2017,1834.2364,1854.0000,0.87,1846.0000,1838.0000,1864.0000,1845.0000,310843064,5763030,3115802,168079,379,,,310309499.00,
15/05/2017,1818.4069,1838.0000,-0.22,1843.0000,1842.0000,1860.0000,1825.0000,310843064,5713296,2445409,132614,369,,,310309499.00,
14/05/2017,1822.3643,1842.0000,0.93,1825.0000,1825.0000,1855.0000,1825.0000,310843064,5725729,3686924,200215,397,,,310309499.00,
11/05/2017,1805.5455,1825.0000,0.00,1820.0000,1825.0000,1834.0000,1800.0000,310843064,5672886,3703409,203306,480,,,310309499.00,
10/05/2017,1805.5455,1825.0000,-0.11,1818.0000,1827.0000,1825.0000,1794.0000,310823064,5672521,3301934,182469,352,,,310309499.00,
09/05/2017,1807.5242,1827.0000,0.66,1820.0000,1815.0000,1834.0000,1802.0000,310823064,5678737,5011605,274643,430,,,310309499.00,
08/05/2017,1795.6521,1815.0000,0.39,1808.0000,1808.0000,1819.0000,1793.0000,310823064,5641439,3822897,211596,292,,,310309499.00,
07/05/2017,1788.7267,1808.0000,2.15,1795.0000,1770.0000,1812.0000,1780.0000,310823064,5619681,5302721,294201,366,,,310309499.00,
04/05/2017,1751.1318,1770.0000,0.63,1768.0000,1759.0000,1799.0000,1764.0000,310823064,5501568,6668131,375440,460,,,308911133.00,
03/05/2017,1740.2491,1759.0000,1.85,1727.0000,1727.0000,1786.0000,1727.0000,310823064,5467378,4286309,243814,467,,,308911133.00,
30/04/2017,1708.5902,1727.0000,0.06,1703.0000,1726.0000,1734.0000,1703.0000,310823064,5367914,2622463,152079,257,,,308911133.00,
27/04/2017,1707.6008,1726.0000,-0.52,1736.0000,1735.0000,1749.0000,1726.0000,310823064,5364806,5756438,331802,428,,,308911133.00,
26/04/2017,1716.5049,1735.0000,-1.53,1750.0000,1762.0000,1772.0000,1728.0000,310823064,5392780,7529980,433004,603,,,308911133.00,
25/04/2017,1743.2171,1762.0000,-0.73,1770.0000,1775.0000,1775.0000,1760.0000,310660323,5473835,2708907,153485,313,,,308911133.00,
24/04/2017,1756.0785,1775.0000,0.68,1770.0000,1763.0000,1777.0000,1765.0000,310660323,5514221,3780327,213250,409,,,308911133.00,
23/04/2017,1744.2064,1763.0000,-0.40,1770.0000,1770.0000,1771.0000,1740.0000,310478994,5473745,3544484,201767,323,,,308911133.00,
20/04/2017,1751.1318,1770.0000,-0.28,1763.0000,1775.0000,1774.0000,1756.0000,310478994,5495478,8155049,460980,311,,,308911133.00,
19/04/2017,1756.0785,1775.0000,0.97,1763.0000,1758.0000,1777.0000,1758.0000,310478994,5511002,6216732,351124,449,,,308911133.00,
18/04/2017,1739.2597,1758.0000,0.69,1789.0000,1746.0000,1789.0000,1746.0000,310478994,5458221,3551132,201772,372,,,308911133.00,
13/04/2017,1727.3876,1746.0000,-1.52,1773.0000,1773.0000,1775.0000,1730.0000,310309499,5418004,2922398,166331,329,,,308911133.00,
12/04/2017,1754.0998,1773.0000,0.23,1769.0000,1769.0000,1775.0000,1769.0000,310309499,5501787,2011330,113532,200,,,308911133.00,
09/04/2017,1750.1425,1769.0000,-0.06,1770.0000,1770.0000,1778.0000,1762.0000,310309499,5489375,1367512,77349,217,,,308911133.00,
06/04/2017,1751.1318,1770.0000,-0.56,1776.0000,1780.0000,1777.0000,1765.0000,309829038,5483974,7209794,406910,509,,,308911133.00,
05/04/2017,1761.0252,1780.0000,0.68,1787.0000,1768.0000,1787.0000,1752.0000,309829038,5514957,4200353,238033,415,,,308911133.00,
04/04/2017,1749.1531,1768.0000,-0.17,1772.0000,1771.0000,1775.0000,1760.0000,309829038,5477777,6161131,348416,457,,,308911133.00,
03/04/2017,1752.1211,1771.0000,-0.23,1779.0000,1775.0000,1796.0000,1762.0000,309829038,5487072,4930096,278111,431,,,308911133.00,
02/04/2017,1756.0785,1775.0000,1.49,1760.0000,1749.0000,1777.0000,1755.0000,309829038,5499465,5266523,297954,426,,,308911133.00,
30/03/2017,1730.3557,1749.0000,1.86,1730.0000,1717.0000,1757.0000,1710.0000,309829038,5418910,10596413,611691,527,,,308911133.00,
29/03/2017,1698.6968,1717.0000,-1.32,1741.0000,1740.0000,1745.0000,1714.0000,309576301,5315425,3851967,222809,372,,,308911133.00,
28/03/2017,1721.4516,1740.0000,0.23,1758.0000,1736.0000,1758.0000,1725.0000,309576301,5386628,3766269,216663,360,,,308911133.00,
27/03/2017,1717.4942,1736.0000,-1.36,1756.0000,1760.0000,1764.0000,1736.0000,309576301,5374245,3859220,220850,343,,,308911133.00,
26/03/2017,1741.2384,1760.0000,-1.12,1787.0000,1780.0000,1787.0000,1755.0000,309576301,5448543,3842321,216696,264,,,308911133.00,
