Historical Prices - ANALYST - 01080613
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2692.0000,2692.0000,0.49,2679.0000,2679.0000,2746.0000,2612.0000,10934892,294367,298637,11142,49,,,10934892.00,
28/05/2017,2679.0000,2679.0000,2.88,2604.0000,2604.0000,2739.0000,2605.0000,10934892,292946,116936,4383,25,,,10934892.00,
25/05/2017,2604.0000,2604.0000,1.60,2608.0000,2563.0000,2746.0000,2572.0000,10934892,284745,386544,14713,53,,,10934892.00,
24/05/2017,2563.0000,2563.0000,1.18,2608.0000,2533.0000,2608.0000,2560.0000,10934892,280261,130134,5063,19,,,10934892.00,
23/05/2017,2533.0000,2533.0000,0.68,2516.0000,2516.0000,2543.0000,2515.0000,10934892,276981,46435,1834,13,,,10934892.00,
22/05/2017,2516.0000,2516.0000,-1.22,2547.0000,2547.0000,2591.0000,2496.0000,10934892,275122,137047,5394,22,,,10934892.00,
21/05/2017,2547.0000,2547.0000,0.99,2522.0000,2522.0000,2608.0000,2536.0000,10934892,278512,324374,12644,39,,,10934892.00,
18/05/2017,2522.0000,2522.0000,-0.59,2537.0000,2537.0000,2528.0000,2470.0000,10934892,275778,188335,7475,16,,,10934892.00,
17/05/2017,2537.0000,2537.0000,1.04,2511.0000,2511.0000,2582.0000,2515.0000,10934892,277418,689470,27023,75,,,10934892.00,
16/05/2017,2511.0000,2511.0000,2.03,2461.0000,2461.0000,2570.0000,2497.0000,10934892,274575,304559,12124,39,,,10934892.00,
15/05/2017,2461.0000,2461.0000,-1.48,2485.0000,2498.0000,2485.0000,2455.0000,10934892,269108,37808,1536,10,,,10934892.00,
14/05/2017,2498.0000,2498.0000,0.32,2490.0000,2490.0000,2529.0000,2485.0000,10934892,273154,54922,2199,11,,,10934892.00,
11/05/2017,2490.0000,2490.0000,-0.04,2491.0000,2491.0000,2490.0000,2459.0000,10934892,272279,66905,2692,10,,,10934892.00,
10/05/2017,2491.0000,2491.0000,-0.24,2497.0000,2497.0000,2560.0000,2470.0000,10934892,272388,130464,5205,25,,,10934892.00,
09/05/2017,2497.0000,2497.0000,0.08,2495.0000,2495.0000,2573.0000,2487.0000,10934892,273044,181222,7183,25,,,10934892.00,
08/05/2017,2495.0000,2495.0000,0.77,2476.0000,2476.0000,2570.0000,2467.0000,10934892,272826,181689,7195,32,,,10934892.00,
07/05/2017,2476.0000,2476.0000,1.31,2450.0000,2444.0000,2549.0000,2445.0000,10934892,270748,693778,28081,61,,,10934892.00,
04/05/2017,2444.0000,2444.0000,0.21,2439.0000,2439.0000,2450.0000,2428.0000,10934892,267249,96466,3947,16,,,10914892.00,
03/05/2017,2439.0000,2439.0000,-1.45,2475.0000,2475.0000,2470.0000,2439.0000,10934892,266702,89059,3641,7,,,10914892.00,
