Historical Prices - ARAD - 01091651
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3724.0000,3724.0000,1.94,3653.0000,3653.0000,3731.0000,3657.0000,24730728,920972,456375,12388,101,EX D,0.96666,24730728.00,
28/05/2017,3653.0081,3779.0000,0.27,3730.0000,3769.0000,3860.0000,3730.0000,24730728,934574,302442,7988,70,,,24730728.00,
25/05/2017,3643.3415,3769.0000,-1.44,3825.0000,3824.0000,3827.0000,3750.0000,24730728,932101,1573815,41694,139,,,24730728.00,
24/05/2017,3696.5078,3824.0000,-1.29,3930.0000,3874.0000,3930.0000,3801.0000,24730728,945703,477477,12412,95,,,24730728.00,
23/05/2017,3744.8408,3874.0000,-1.17,3920.0000,3920.0000,3940.0000,3857.0000,24730728,958068,356831,9195,83,,,24730728.00,
22/05/2017,3789.3072,3920.0000,-1.11,3940.0000,3964.0000,3989.0000,3892.0000,24730728,969445,1556417,39569,155,,,24730728.00,
21/05/2017,3831.8402,3964.0000,0.63,3939.0000,3939.0000,3978.0000,3940.0000,24730728,980326,170515,4299,72,,,24730728.00,
18/05/2017,3807.6737,3939.0000,-1.45,3997.0000,3997.0000,3999.0000,3923.0000,24730728,974143,269254,6814,72,,,24730728.00,
17/05/2017,3863.7400,3997.0000,-2.32,4092.0000,4092.0000,4117.0000,3993.0000,24730728,988487,912736,22671,138,,,24730728.00,
16/05/2017,3955.5727,4092.0000,0.22,4083.0000,4083.0000,4101.0000,4028.0000,24730728,1011981,136184,3339,55,,,24730728.00,
15/05/2017,3946.8728,4083.0000,-2.09,4188.0000,4170.0000,4188.0000,4066.0000,24730728,1009756,900456,21886,113,,,24730728.00,
14/05/2017,4030.9722,4170.0000,1.29,4155.0000,4117.0000,4186.0000,4153.0000,24730728,1031271,283689,6810,73,,,24730728.00,
11/05/2017,3979.7392,4117.0000,1.43,4059.0000,4059.0000,4165.0000,4099.0000,24730728,1018164,142758,3465,46,,,24730728.00,
10/05/2017,3923.6729,4059.0000,0.79,4027.0000,4027.0000,4086.0000,4047.0000,24730728,1003820,146648,3610,46,,,24730728.00,
09/05/2017,3892.7398,4027.0000,0.20,4019.0000,4019.0000,4070.0000,3998.0000,24730728,995906,223756,5548,78,,,24730728.00,
08/05/2017,3885.0065,4019.0000,-3.09,4147.0000,4147.0000,4147.0000,3988.0000,24730728,993928,1647279,40995,190,,,24730728.00,
07/05/2017,4008.7390,4147.0000,1.69,4099.0000,4078.0000,4164.0000,4099.0000,24730728,1025583,232407,5631,63,,,24730728.00,
04/05/2017,3942.0395,4078.0000,-0.71,4107.0000,4107.0000,4104.0000,4071.0000,24730728,1008519,258133,6329,76,,,24730728.00,
03/05/2017,3970.0726,4107.0000,2.60,4000.0000,4003.0000,4138.0000,3996.0000,24730728,1015691,255876,6280,49,,,24730728.00,
30/04/2017,3869.5400,4003.0000,-1.98,4150.0000,4084.0000,4150.0000,3960.0000,24730728,989971,410150,10183,63,,,24730728.00,
27/04/2017,3947.8394,4084.0000,0.32,4120.0000,4071.0000,4120.0000,4059.0000,24730728,1010003,448141,10926,77,,,24730728.00,
26/04/2017,3935.2729,4071.0000,-0.20,4140.0000,4079.0000,4140.0000,4042.0000,24730728,1006788,172356,4207,47,,,24730728.00,
25/04/2017,3943.0061,4079.0000,0.49,4059.0000,4059.0000,4105.0000,4051.0000,24730728,1008766,428419,10480,74,,,24730728.00,
24/04/2017,3923.6729,4059.0000,0.35,4000.0000,4045.0000,4080.0000,4000.0000,24730728,1003820,612736,15128,119,,,24730728.00,
23/04/2017,3910.1397,4045.0000,0.27,4034.0000,4034.0000,4065.0000,3992.0000,24730728,1000358,163539,4036,56,,,24730728.00,
20/04/2017,3899.5064,4034.0000,2.57,3939.0000,3933.0000,4067.0000,3865.0000,24730728,997638,409348,10312,73,,,24730728.00,
19/04/2017,3801.8738,3933.0000,1.03,3896.0000,3893.0000,3939.0000,3877.0000,24730728,972660,159814,4073,55,,,24730728.00,
18/04/2017,3763.2074,3893.0000,-0.08,3896.0000,3896.0000,3941.0000,3868.0000,24730728,962767,317334,8134,74,,,24730728.00,
13/04/2017,3766.1074,3896.0000,-1.17,3942.0000,3942.0000,3942.0000,3892.0000,24730728,963509,151844,3895,43,,,24730728.00,
12/04/2017,3810.5737,3942.0000,1.23,3894.0000,3894.0000,3980.0000,3914.0000,24730728,974885,77647,1971,28,,,24730728.00,
09/04/2017,3764.1740,3894.0000,-0.21,3902.0000,3902.0000,3899.0000,3878.0000,24730728,963015,71109,1826,34,,,24730728.00,
06/04/2017,3771.9073,3902.0000,0.28,3888.0000,3891.0000,3910.0000,3850.0000,24730728,964993,528188,13623,88,,,24730728.00,
05/04/2017,3761.2741,3891.0000,-0.15,3897.0000,3897.0000,3904.0000,3870.0000,24730728,962273,226054,5809,41,,,24730728.00,
04/04/2017,3767.0740,3897.0000,0.72,3869.0000,3869.0000,3965.0000,3864.0000,24730728,963756,112848,2888,40,,,24730728.00,
03/04/2017,3740.0075,3869.0000,-1.65,3934.0000,3934.0000,3934.0000,3857.0000,24730728,956832,557680,14334,103,,,24730728.00,
02/04/2017,3802.8404,3934.0000,1.05,3841.0000,3893.0000,3940.0000,3841.0000,24730728,972907,202482,5160,53,,,24730728.00,
30/03/2017,3763.2074,3893.0000,-0.87,3931.0000,3927.0000,3931.0000,3871.0000,24730728,962767,209493,5375,66,,,24730728.00,
29/03/2017,3796.0738,3927.0000,-0.36,3904.0000,3941.0000,4003.0000,3904.0000,24730728,971176,194926,4954,69,,,24730728.00,
28/03/2017,3809.6071,3941.0000,-1.10,3985.0000,3985.0000,4019.0000,3933.0000,24730728,974638,287204,7262,73,,,24730728.00,
27/03/2017,3852.1401,3985.0000,-2.45,4110.0000,4085.0000,4110.0000,3901.0000,24730728,985520,290634,7291,100,EX D,0.99561,24730728.00,
26/03/2017,3948.7943,4103.0000,-0.39,4119.0000,4119.0000,4160.0000,4073.0000,24730728,1014702,146809,3578,48,,,24730728.00,
23/03/2017,3964.1930,4119.0000,0.59,4095.0000,4095.0000,4130.0000,4045.0000,24730728,1018659,390201,9493,96,,,24730728.00,
22/03/2017,3941.0951,4095.0000,-1.30,4100.0000,4149.0000,4131.0000,4043.0000,24730728,1012723,328013,7979,87,,,24730728.00,
21/03/2017,3993.0655,4149.0000,2.70,4101.0000,4040.0000,4182.0000,4048.0000,24730728,1026078,304950,7408,65,,,24730728.00,
20/03/2017,3888.1621,4040.0000,1.46,3982.0000,3982.0000,4047.0000,3962.0000,24730728,999121,432237,10772,98,,,24730728.00,
19/03/2017,3832.3419,3982.0000,-0.33,3995.0000,3995.0000,4002.0000,3960.0000,24730728,984778,154480,3879,55,,,24730728.00,
16/03/2017,3844.8534,3995.0000,-0.94,4050.0000,4033.0000,4050.0000,3983.0000,24730728,987993,170209,4240,54,,,24730728.00,
15/03/2017,3881.4252,4033.0000,0.15,4027.0000,4027.0000,4110.0000,4009.0000,24730728,997390,282622,6950,81,,,24730728.00,
14/03/2017,3875.6507,4027.0000,0.07,4024.0000,4024.0000,4050.0000,3968.0000,24730728,995906,327286,8181,73,,,24730728.00,
13/03/2017,3872.7634,4024.0000,1.90,3950.0000,3949.0000,4095.0000,3927.0000,24730728,995164,283826,7157,60,,,24730728.00,
09/03/2017,3800.5822,3949.0000,0.46,3931.0000,3931.0000,4025.0000,3927.0000,24730728,976616,86799,2191,41,,,24730728.00,
08/03/2017,3783.2587,3931.0000,-0.20,3902.0000,3939.0000,3951.0000,3902.0000,24730728,972165,162625,4137,46,,,24730728.00,
07/03/2017,3790.9581,3939.0000,0.46,3921.0000,3921.0000,3958.0000,3907.0000,24730728,974143,251479,6393,52,,,24730728.00,
06/03/2017,3773.6345,3921.0000,-0.76,3905.0000,3951.0000,3929.0000,3905.0000,24730728,969692,2338126,59626,152,,,24730728.00,
05/03/2017,3802.5070,3951.0000,-0.60,3975.0000,3975.0000,4025.0000,3947.0000,24730728,977111,543833,13696,68,,,24730728.00,
02/03/2017,3825.6051,3975.0000,0.00,3975.0000,3975.0000,4000.0000,3924.0000,24730728,983046,1067089,26854,116,,,24730728.00,
01/03/2017,3825.6051,3975.0000,0.91,3902.0000,3939.0000,3990.0000,3902.0000,24730728,983046,260706,6589,69,,,24730728.00,
28/02/2017,3790.9581,3939.0000,-0.10,3943.0000,3943.0000,3959.0000,3935.0000,24730728,974143,108939,2764,44,,,24730728.00,
27/02/2017,3794.8077,3943.0000,-1.18,3990.0000,3990.0000,3997.0000,3930.0000,24730728,975133,423480,10670,65,,,24730728.00,
26/02/2017,3840.0413,3990.0000,-0.30,4002.0000,4002.0000,4011.0000,3971.0000,24730728,986756,170372,4272,39,,,24730728.00,
23/02/2017,3851.5903,4002.0000,-0.02,4003.0000,4003.0000,4018.0000,3960.0000,24730728,989724,431330,10804,66,,,24730728.00,
22/02/2017,3852.5527,4003.0000,-1.98,4084.0000,4084.0000,4050.0000,3970.0000,24730728,989971,1211304,30289,158,,,24730728.00,
21/02/2017,3930.5084,4084.0000,-0.24,4094.0000,4094.0000,4099.0000,4016.0000,24730728,1010003,523590,12832,77,,,24730728.00,
20/02/2017,3940.1325,4094.0000,-0.20,4102.0000,4102.0000,4118.0000,4050.0000,24730728,1012476,629722,15390,82,,,24730728.00,
19/02/2017,3947.8319,4102.0000,0.74,4099.0000,4072.0000,4114.0000,4032.0000,24730728,1014454,355600,8677,55,,,24730728.00,
16/02/2017,3918.9594,4072.0000,1.22,4040.0000,4023.0000,4105.0000,4014.0000,24730728,1007035,467326,11499,80,,,24730728.00,
15/02/2017,3871.8010,4023.0000,-1.76,4092.0000,4095.0000,4094.0000,3994.0000,24730728,994917,1223549,30481,128,,,24730728.00,
14/02/2017,3941.0951,4095.0000,2.58,3992.0000,3992.0000,4110.0000,3942.0000,24730728,1012723,827008,20300,100,,,24730728.00,
13/02/2017,3841.9661,3992.0000,2.20,3944.0000,3906.0000,4043.0000,3900.0000,24730728,987251,282048,7087,65,,,24730728.00,
12/02/2017,3759.1984,3906.0000,0.15,3913.0000,3900.0000,3937.0000,3901.0000,24730728,965982,619773,15844,80,,,24730728.00,
09/02/2017,3753.4238,3900.0000,-2.28,3991.0000,3991.0000,4031.0000,3857.0000,24730728,964498,19586255,501730,194,,,24155045.00,
08/02/2017,3841.0037,3991.0000,-1.21,4040.0000,4040.0000,4070.0000,3985.0000,24730728,987003,1555812,38718,148,,,24155045.00,
07/02/2017,3888.1621,4040.0000,0.17,4033.0000,4033.0000,4119.0000,3990.0000,24730728,999121,1860154,46390,173,,,24155045.00,
06/02/2017,3881.4252,4033.0000,-0.05,4035.0000,4035.0000,4079.0000,4002.0000,24730728,997390,1018480,25163,116,,,24155045.00,
