Historical Prices - ARAN - 01085265
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2522.0000,2522.0000,1.45,2486.0000,2486.0000,2534.0000,2511.0000,4885641,123216,4010,159,4,,,4885641.00,
28/05/2017,2486.0000,2486.0000,-0.84,2507.0000,2507.0000,2500.0000,2469.0000,4885641,121457,40867,1644,8,,,4885641.00,
25/05/2017,2507.0000,2507.0000,0.68,2490.0000,2490.0000,2507.0000,2507.0000,4885641,122483,3410,136,2,,,4885641.00,
24/05/2017,2490.0000,2490.0000,0.61,2475.0000,2475.0000,2494.0000,2494.0000,4885641,121652,1721,69,1,,,4885641.00,
23/05/2017,2475.0000,2475.0000,1.56,2437.0000,2437.0000,2475.0000,2475.0000,4885641,120920,7450,301,4,,,4885641.00,
22/05/2017,2437.0000,2437.0000,0.66,2421.0000,2421.0000,2437.0000,2437.0000,4885641,119063,5142,211,1,,,4885641.00,
21/05/2017,2421.0000,2421.0000,0.54,2408.0000,2408.0000,2421.0000,2421.0000,4885641,118281,7626,315,2,,,4885641.00,
18/05/2017,2408.0000,2408.0000,1.01,2384.0000,2384.0000,2444.0000,2381.0000,4885641,117646,16564,688,6,,,4885641.00,
17/05/2017,2384.0000,2384.0000,-1.41,2418.0000,2418.0000,2400.0000,2358.0000,4885641,116474,5675,238,3,,,4885641.00,
16/05/2017,2418.0000,2418.0000,2.11,2368.0000,2368.0000,2460.0000,2399.0000,4885641,118135,48261,1997,11,,,4885641.00,
15/05/2017,2368.0000,2368.0000,1.89,2324.0000,2324.0000,2368.0000,2368.0000,4885641,115692,9614,406,4,,,4885641.00,
14/05/2017,2324.0000,2324.0000,-0.77,2342.0000,2342.0000,2395.0000,2300.0000,4885641,113542,66228,2838,17,,,4885641.00,
11/05/2017,2342.0000,2342.0000,1.87,2299.0000,2299.0000,2388.0000,2284.0000,4885641,114422,339606,14522,27,,,4885641.00,
10/05/2017,2299.0000,2299.0000,0.00,2299.0000,2299.0000,2299.0000,2299.0000,4885641,112321,368,16,1,,,4885641.00,
09/05/2017,2299.0000,2299.0000,1.23,2271.0000,2271.0000,2299.0000,2299.0000,4885641,112321,8024,349,5,,,4885641.00,
08/05/2017,2271.0000,2271.0000,-0.26,2277.0000,2277.0000,2298.0000,2210.0000,4885641,110953,6655,293,4,,,4885641.00,
07/05/2017,2277.0000,2277.0000,-0.96,2299.0000,2299.0000,2295.0000,2231.0000,4885641,111246,8628,379,4,,,4885641.00,
04/05/2017,2299.0000,2299.0000,0.00,2299.0000,2299.0000,2299.0000,2299.0000,4885641,112321,81592,3549,10,,,4885641.00,
03/05/2017,2299.0000,2299.0000,1.14,2273.0000,2273.0000,2299.0000,2299.0000,4885641,112321,2828,123,2,,,4885641.00,
30/04/2017,2273.0000,2273.0000,0.00,2273.0000,2273.0000,2274.0000,2274.0000,4885641,111051,841,37,1,,,4885641.00,
27/04/2017,2273.0000,2273.0000,0.13,2270.0000,2270.0000,2273.0000,2273.0000,4885641,111051,1727,76,2,,,4885641.00,
26/04/2017,2270.0000,2270.0000,0.89,2250.0000,2250.0000,2270.0000,2250.0000,4885641,110904,6083,268,5,,,4885641.00,
25/04/2017,2250.0000,2250.0000,0.04,2249.0000,2249.0000,2250.0000,2250.0000,4885641,109927,3173,141,2,,,4885641.00,
24/04/2017,2249.0000,2249.0000,0.45,2249.0000,2239.0000,2249.0000,2249.0000,4885641,109878,6410,285,3,,,4885641.00,
