Historical Prices - ARKO HOLDINGS - 00310011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,194.5000,194.5000,-1.07,196.6000,196.6000,198.2000,190.0000,749660766,1458090,1440804,737448,266,,,740436795.00,
28/05/2017,196.6000,196.6000,-0.20,197.0000,197.0000,197.0000,193.0000,749660766,1473833,815159,416181,195,,,740436795.00,
25/05/2017,197.0000,197.0000,-0.91,198.0000,198.8000,199.6000,192.0000,749660766,1476832,806141,408466,182,,,740436795.00,
24/05/2017,198.8000,198.8000,-1.05,200.3000,200.9000,200.3000,197.0000,749639566,1490283,809002,407584,168,,,740436795.00,
23/05/2017,200.9000,200.9000,0.05,201.4000,200.8000,203.1000,198.5000,749639566,1506026,1320934,656839,216,,,740436795.00,
22/05/2017,200.8000,200.8000,-0.05,200.9000,200.9000,200.9000,197.2000,749639566,1505276,908321,453311,196,,,740436795.00,
21/05/2017,200.9000,200.9000,3.18,196.0000,194.7000,204.8000,196.0000,749272054,1505288,1649266,823806,293,,,740436795.00,
18/05/2017,194.7000,194.7000,-4.09,200.0000,203.0000,203.0000,194.2000,749092054,1458482,1715471,866939,277,,,740436795.00,
17/05/2017,203.0000,203.0000,-2.17,207.7000,207.5000,207.7000,197.0000,749052363,1520576,2392005,1177769,333,,,740436795.00,
16/05/2017,207.5000,207.5000,4.27,199.0000,199.0000,208.8000,199.2000,748884196,1553935,6140530,2979597,511,,,740436795.00,
15/05/2017,199.0000,199.0000,0.81,198.0000,197.4000,199.1000,193.0000,748884196,1490280,1244846,634315,213,,,740436795.00,
14/05/2017,197.4000,197.4000,-0.50,198.0000,198.4000,199.0000,194.6000,748884196,1478297,2142108,1085557,220,,,740436795.00,
11/05/2017,198.4000,198.4000,-0.30,200.0000,199.0000,200.4000,197.6000,748884196,1485786,1034062,519842,177,,,740436795.00,
10/05/2017,199.0000,199.0000,0.25,197.9000,198.5000,199.5000,192.9000,748884196,1490280,1084058,552317,157,,,740436795.00,
09/05/2017,198.5000,198.5000,0.25,199.0000,198.0000,203.0000,193.8000,748867079,1486501,2567298,1290510,359,,,740436795.00,
08/05/2017,198.0000,198.0000,4.76,189.6000,189.0000,198.3000,189.6000,748839517,1482702,13722530,7154631,408,,,740436795.00,
07/05/2017,189.0000,189.0000,1.07,187.0000,187.0000,190.1000,180.2000,748839517,1415307,3235629,1723413,207,,,740436795.00,
04/05/2017,187.0000,187.0000,-2.25,196.5000,191.3000,196.5000,187.0000,748693286,1400056,3449337,1820280,322,,,726077330.00,
03/05/2017,191.3000,191.3000,1.76,196.0000,188.0000,196.4000,188.6000,748693286,1432250,2442401,1261453,350,,,726077330.00,
30/04/2017,188.0000,188.0000,4.10,181.5000,180.6000,191.7000,181.5000,748693286,1407543,2989668,1585195,322,,,726077330.00,
27/04/2017,180.6000,180.6000,3.38,178.0000,174.7000,181.3000,175.3000,747628915,1350218,1008084,565718,177,,,726077330.00,
26/04/2017,174.7000,174.7000,-1.47,172.2000,177.3000,175.3000,172.2000,747628915,1306108,807555,463957,182,,,726077330.00,
25/04/2017,177.3000,177.3000,-2.21,181.0000,181.3000,182.4000,175.2000,746333986,1323250,1818425,1029588,262,,,726077330.00,
24/04/2017,181.3000,181.3000,-4.18,189.2000,189.2000,191.3000,179.1000,746214555,1352887,3050996,1656681,328,,,726077330.00,
23/04/2017,189.2000,189.2000,-0.42,190.0000,190.0000,190.1000,186.0000,743767164,1407207,1279395,679760,163,,,726077330.00,
20/04/2017,190.0000,190.0000,0.48,189.7000,189.1000,190.9000,187.9000,743584642,1412811,1265430,668994,175,,,726077330.00,
19/04/2017,189.1000,189.1000,-0.68,190.4000,190.4000,190.7000,187.4000,741225143,1401657,714630,377860,117,,,726077330.00,
18/04/2017,190.4000,190.4000,-0.31,191.0000,191.0000,191.4000,187.1000,740497401,1409907,659006,347097,111,,,726077330.00,
13/04/2017,191.0000,191.0000,0.16,191.3000,190.7000,191.3000,187.2000,740436795,1414234,506250,266013,117,,,726077330.00,
12/04/2017,190.7000,190.7000,0.85,189.7000,189.1000,192.4000,189.0000,740401482,1411946,259749,136345,61,,,726077330.00,
09/04/2017,189.1000,189.1000,0.59,188.1000,188.0000,190.0000,187.0000,740385629,1400069,994204,527284,146,,,726077330.00,
06/04/2017,188.0000,188.0000,-0.69,192.0000,189.3000,192.0000,188.0000,740383001,1391920,12225469,6483793,546,,,722490963.00,
05/04/2017,189.3000,189.3000,-0.84,191.0000,190.9000,194.9000,187.9000,740307669,1401402,25639373,13586007,511,,,722490963.00,
04/04/2017,190.9000,190.9000,-0.26,191.4000,191.4000,191.4000,189.0000,740277149,1413189,1358483,712887,170,,,722490963.00,
03/04/2017,191.4000,191.4000,0.16,193.0000,191.1000,193.0000,189.4000,739346486,1415109,1213655,636694,237,,,722490963.00,
