Historical Prices - ATREYU CAP - 01096106
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,5354.0000,5354.0000,1.11,5356.0000,5295.0000,5449.0000,5334.0000,14723520,788297,1404332,26106,95,,,14723520.00,
28/05/2017,5295.0000,5295.0000,0.32,5278.0000,5278.0000,5300.0000,5245.0000,14723520,779610,220752,4177,30,,,14723520.00,
25/05/2017,5278.0000,5278.0000,1.00,5226.0000,5226.0000,5300.0000,5226.0000,14723520,777107,253206,4829,19,,,14723520.00,
24/05/2017,5226.0000,5226.0000,2.77,5085.0000,5085.0000,5277.0000,5098.0000,14723520,769451,452909,8851,28,,,14723520.00,
23/05/2017,5085.0000,5085.0000,-0.14,5100.0000,5092.0000,5100.0000,5010.0000,14723520,748691,245854,4851,35,,,14723520.00,
22/05/2017,5092.0000,5092.0000,-0.31,5108.0000,5108.0000,5100.0000,5040.0000,14723520,749722,162688,3209,31,,,14723520.00,
21/05/2017,5108.0000,5108.0000,-0.18,5117.0000,5117.0000,5200.0000,5042.0000,14723520,752077,64152,1256,14,,,14723520.00,
18/05/2017,5117.0000,5117.0000,-2.20,5232.0000,5232.0000,5174.0000,5106.0000,14723520,753403,150318,2922,24,,,14723520.00,
17/05/2017,5232.0000,5232.0000,-1.00,5285.0000,5285.0000,5357.0000,5206.0000,14723520,770335,307392,5820,53,,,14723520.00,
16/05/2017,5285.0000,5285.0000,0.08,5300.0000,5281.0000,5332.0000,5210.0000,14723520,778138,442354,8320,51,,,14723520.00,
15/05/2017,5281.0000,5281.0000,0.34,5263.0000,5263.0000,5320.0000,5263.0000,14723520,777549,256128,4833,37,,,14723520.00,
14/05/2017,5263.0000,5263.0000,1.25,5199.0000,5198.0000,5300.0000,5199.0000,14723520,774899,564600,10700,43,,,14723520.00,
11/05/2017,5198.0000,5198.0000,0.85,5154.0000,5154.0000,5200.0000,5170.0000,14723520,765329,284866,5480,19,,,14723520.00,
10/05/2017,5154.0000,5154.0000,0.66,5160.0000,5120.0000,5200.0000,5150.0000,14723520,758850,489962,9477,48,,,14723520.00,
09/05/2017,5120.0000,5120.0000,0.65,5087.0000,5087.0000,5135.0000,5110.0000,14723520,753844,429829,8394,33,,,14723520.00,
08/05/2017,5087.0000,5087.0000,0.73,5058.0000,5050.0000,5097.0000,5058.0000,14723520,748985,117122,2303,25,,,14723520.00,
07/05/2017,5050.0000,5050.0000,1.51,4978.0000,4975.0000,5055.0000,4978.0000,14723520,743538,1252926,24818,32,,,14723520.00,
04/05/2017,4975.0000,4975.0000,0.34,4960.0000,4958.0000,5018.0000,4933.0000,14723520,732495,6502951,130336,83,,,14723520.00,
03/05/2017,4958.0000,4958.0000,1.14,4902.0000,4902.0000,5000.0000,4848.0000,14723520,729992,356707,7239,40,,,14723520.00,
30/04/2017,4902.0000,4902.0000,1.22,4850.0000,4843.0000,4908.0000,4843.0000,14723520,721747,314823,6454,35,,,14723520.00,
27/04/2017,4843.0000,4843.0000,1.49,4772.0000,4772.0000,4850.0000,4770.0000,14723520,713060,1258731,26121,66,,,14723520.00,
26/04/2017,4772.0000,4772.0000,1.53,4700.0000,4700.0000,4778.0000,4739.0000,14723520,702606,220316,4629,27,,,14723520.00,
25/04/2017,4700.0000,4700.0000,1.01,4653.0000,4653.0000,4738.0000,4631.0000,14723520,692005,106573,2268,29,,,14723520.00,
24/04/2017,4653.0000,4653.0000,-0.70,4708.0000,4686.0000,4729.0000,4611.0000,14723520,685085,216926,4625,33,,,14723520.00,
23/04/2017,4686.0000,4686.0000,-0.47,4736.0000,4708.0000,4736.0000,4666.0000,14723520,689944,57133,1217,16,,,14723520.00,
20/04/2017,4708.0000,4708.0000,1.12,4656.0000,4656.0000,4748.0000,4600.0000,14723520,693183,295497,6338,34,EX D,0.98707,14723520.00,
19/04/2017,4656.0092,4717.0000,0.55,4691.0000,4691.0000,4776.0000,4678.0000,14723520,694508,364597,7736,61,,,14723520.00,
18/04/2017,4630.3454,4691.0000,2.09,4595.0000,4595.0000,4748.0000,4560.0000,14723520,690680,434295,9274,61,,,14723520.00,
13/04/2017,4535.5867,4595.0000,-0.43,4615.0000,4615.0000,4612.0000,4534.0000,14723520,676546,66264,1442,16,,,14723520.00,
12/04/2017,4555.3281,4615.0000,0.11,4610.0000,4610.0000,4666.0000,4601.0000,14723520,679490,127239,2747,18,,,14723520.00,
09/04/2017,4550.3927,4610.0000,-0.86,4650.0000,4650.0000,4656.0000,4533.0000,14723520,678754,272017,5946,38,,,14723520.00,
06/04/2017,4589.8755,4650.0000,-2.17,4753.0000,4753.0000,4771.0000,4601.0000,14723520,684644,2933510,62838,93,,,14723520.00,
05/04/2017,4691.5437,4753.0000,1.32,4691.0000,4691.0000,4785.0000,4648.0000,14723520,699809,310179,6565,42,,,14723520.00,
04/04/2017,4630.3454,4691.0000,-0.17,4699.0000,4699.0000,4704.0000,4645.0000,14723520,690680,173002,3694,23,,,14723520.00,
03/04/2017,4638.2419,4699.0000,1.25,4730.0000,4641.0000,4730.0000,4619.0000,14723520,691858,178644,3803,26,,,14723520.00,
02/04/2017,4580.9919,4641.0000,-1.53,4713.0000,4713.0000,4866.0000,4500.0000,14723520,683319,136426,2891,30,,,14723520.00,
30/03/2017,4652.0609,4713.0000,4.25,4500.0000,4521.0000,4860.0000,4500.0000,14723520,693920,491254,10508,62,,,14723520.00,
29/03/2017,4462.5435,4521.0000,-0.72,4554.0000,4554.0000,4560.0000,4440.0000,14723520,665650,53523,1182,14,,,14723520.00,
28/03/2017,4495.1168,4554.0000,-0.46,4636.0000,4575.0000,4636.0000,4532.0000,14723520,670509,297044,6525,34,,,14723520.00,
27/03/2017,4515.8453,4575.0000,-1.36,4657.0000,4638.0000,4657.0000,4467.0000,14723520,673601,85817,1874,21,,,14723520.00,
26/03/2017,4578.0307,4638.0000,-0.41,4657.0000,4657.0000,4680.0000,4551.0000,14723520,682877,271910,5841,43,,,14723520.00,
23/03/2017,4596.7850,4657.0000,0.06,4654.0000,4654.0000,4739.0000,4597.0000,14723520,685674,157878,3368,31,,,14723520.00,
22/03/2017,4593.8238,4654.0000,-0.98,4700.0000,4700.0000,4700.0000,4515.0000,14723520,685233,373330,8016,44,,,14723520.00,
21/03/2017,4639.2290,4700.0000,1.16,4646.0000,4646.0000,4738.0000,4607.0000,14723520,692005,295666,6308,43,,,14723520.00,
20/03/2017,4585.9272,4646.0000,-0.49,4669.0000,4669.0000,4710.0000,4570.0000,14723520,684055,318119,6831,37,,,14723520.00,
19/03/2017,4608.6298,4669.0000,-0.30,4683.0000,4683.0000,4740.0000,4610.0000,14723520,687441,215260,4586,38,,,14723520.00,
16/03/2017,4622.4488,4683.0000,1.06,4634.0000,4634.0000,4703.0000,4573.0000,14723520,689502,264892,5680,58,,,14723520.00,
15/03/2017,4574.0824,4634.0000,1.25,4577.0000,4577.0000,4673.0000,4575.0000,14723520,682288,840462,18204,100,,,14723520.00,
14/03/2017,4517.8194,4577.0000,0.44,4557.0000,4557.0000,4600.0000,4543.0000,14723520,673896,247083,5414,37,,,14723520.00,
