Historical Prices - AVGOL - 01100957
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,452.0000,452.0000,0.62,449.2000,449.2000,456.4000,445.0000,293853976,1328220,863706,191241,156,,,293746084.00,
28/05/2017,449.2000,449.2000,0.45,453.7000,447.2000,453.7000,446.7000,293853976,1319992,233683,51936,82,,,293746084.00,
25/05/2017,447.2000,447.2000,-2.82,455.9000,460.2000,458.0000,446.0000,293853976,1314115,1036848,230738,229,,,293746084.00,
24/05/2017,460.2000,460.2000,0.46,464.8000,458.1000,465.0000,457.4000,293771913,1351938,675352,146487,127,,,293746084.00,
23/05/2017,458.1000,458.1000,0.81,454.4000,454.4000,464.9000,452.1000,293746084,1345651,735085,160118,169,,,293746084.00,
22/05/2017,454.4000,454.4000,1.20,449.0000,449.0000,455.0000,448.0000,293746084,1334782,507262,111987,134,,,293746084.00,
21/05/2017,449.0000,449.0000,0.54,446.3000,446.6000,453.9000,445.3000,293746084,1318920,216521,48130,91,,,293746084.00,
18/05/2017,446.6000,446.6000,-0.53,442.0000,449.0000,447.4000,438.6000,293746084,1311870,435212,98167,116,,,293746084.00,
17/05/2017,449.0000,449.0000,-0.22,438.0000,450.0000,453.4000,429.7000,293746084,1318920,2774447,622210,419,,,293746084.00,
16/05/2017,450.0000,450.0000,-0.09,450.4000,450.4000,450.1000,448.5000,293746084,1321857,770558,171264,104,,,293746084.00,
15/05/2017,450.4000,450.4000,-1.68,458.1000,458.1000,458.5000,448.0000,293746084,1323032,1182156,261963,175,,,293746084.00,
14/05/2017,458.1000,458.1000,-0.11,458.4000,458.6000,458.9000,456.4000,293746084,1345651,211032,46058,66,,,293746084.00,
11/05/2017,458.6000,458.6000,0.07,458.0000,458.3000,460.0000,454.3000,293746084,1347120,593721,129959,103,,,293746084.00,
10/05/2017,458.3000,458.3000,-0.59,461.0000,461.0000,462.9000,456.2000,293746084,1346238,422184,91783,109,,,293746084.00,
09/05/2017,461.0000,461.0000,0.63,458.1000,458.1000,462.0000,452.4000,293746084,1354169,497368,108789,129,,,293746084.00,
08/05/2017,458.1000,458.1000,-0.52,460.5000,460.5000,460.5000,448.1000,293746084,1345651,389817,85013,99,,,293746084.00,
07/05/2017,460.5000,460.5000,1.39,454.2000,454.2000,461.5000,454.2000,293746084,1352701,255313,55496,82,,,293746084.00,
04/05/2017,454.2000,454.2000,0.40,454.0000,452.4000,458.4000,448.6000,293746084,1334195,620405,137011,134,,,293590033.00,
03/05/2017,452.4000,452.4000,1.57,447.6000,445.4000,455.0000,447.6000,293746084,1328907,379660,83960,103,,,293590033.00,
30/04/2017,445.4000,445.4000,-2.84,456.9000,458.4000,461.0000,444.2000,293746084,1308345,1191970,264305,127,,,293590033.00,
27/04/2017,458.4000,458.4000,-0.35,460.0000,460.0000,460.0000,456.6000,293746084,1346532,373904,81457,81,,,293590033.00,
26/04/2017,460.0000,460.0000,-0.09,463.4000,460.4000,464.9000,457.0000,293746084,1351232,336345,73146,111,,,293590033.00,
25/04/2017,460.4000,460.4000,0.94,456.4000,456.1000,464.0000,455.8000,293746084,1352407,411540,89391,83,,,293590033.00,
24/04/2017,456.1000,456.1000,0.64,453.2000,453.2000,460.5000,453.5000,293746084,1339776,3197681,695673,174,,,293590033.00,
23/04/2017,453.2000,453.2000,-1.41,459.7000,459.7000,456.3000,451.3000,293746084,1331257,486764,107141,76,,,293590033.00,
20/04/2017,459.7000,459.7000,1.03,461.8000,455.0000,462.0000,453.9000,293746084,1350351,976300,212145,126,,,293590033.00,
19/04/2017,455.0000,455.0000,-1.66,455.9000,462.7000,459.9000,452.7000,293746084,1336545,789831,173330,104,,,293590033.00,
18/04/2017,462.7000,462.7000,-0.09,456.3000,463.1000,463.1000,456.3000,293746084,1359163,354402,76556,90,,,293590033.00,
13/04/2017,463.1000,463.1000,-0.22,469.0000,464.1000,469.0000,458.9000,293746083,1360338,308344,66615,79,,,293590033.00,
12/04/2017,464.1000,464.1000,-0.56,466.7000,466.7000,466.7000,463.7000,293735095,1363225,222246,47861,70,,,293590033.00,
09/04/2017,466.7000,466.7000,1.46,466.8000,460.0000,469.0000,460.0000,293735095,1370862,291250,62620,78,,,293590033.00,
06/04/2017,460.0000,460.0000,0.00,466.8000,460.0000,466.8000,459.3000,293735095,1351181,1211705,263355,143,,,293339409.00,
05/04/2017,460.0000,460.0000,0.26,458.5000,458.8000,461.9000,458.5000,293735095,1351181,452997,98448,95,,,293339409.00,
