Historical Prices - BABYLON - 01101666
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,184.1000,184.1000,-0.38,184.8000,184.8000,185.0000,183.0000,51452271,94724,45257,24570,25,,,51452271.00,
28/05/2017,184.8000,184.8000,-0.48,185.0000,185.7000,185.4000,184.0000,51452271,95084,89253,48266,32,,,51452271.00,
25/05/2017,185.7000,185.7000,-0.91,187.4000,187.4000,187.4000,185.2000,51452271,95547,75958,40839,30,,,51452271.00,
24/05/2017,187.4000,187.4000,-2.29,191.8000,191.8000,189.8000,186.6000,51452271,96422,132492,70521,50,,,51452271.00,
23/05/2017,191.8000,191.8000,0.74,191.0000,190.4000,193.6000,189.7000,51452271,98685,66206,34601,34,,,51452271.00,
22/05/2017,190.4000,190.4000,0.32,189.8000,189.8000,192.4000,189.8000,51452271,97965,81292,42676,23,,,51452271.00,
21/05/2017,189.8000,189.8000,2.32,185.0000,185.5000,191.0000,185.0000,51452271,97656,54433,28813,20,,,51452271.00,
18/05/2017,185.5000,185.5000,-0.16,185.2000,185.8000,186.6000,181.9000,51452271,95444,39594,21348,16,,,51452271.00,
17/05/2017,185.8000,185.8000,-0.38,186.5000,186.5000,187.0000,185.0000,51452271,95598,69040,37151,21,,,51452271.00,
16/05/2017,186.5000,186.5000,-1.37,189.1000,189.1000,188.7000,186.0000,51452271,95958,65305,34876,20,,,51452271.00,
15/05/2017,189.1000,189.1000,-1.05,191.1000,191.1000,191.1000,188.1000,51452271,97296,54724,28869,18,,,51452271.00,
14/05/2017,191.1000,191.1000,-0.26,191.6000,191.6000,191.7000,189.1000,51452271,98325,74288,38979,22,,,51452271.00,
11/05/2017,191.6000,191.6000,-1.08,191.0000,193.7000,196.0000,189.2000,51452271,98583,94895,49141,32,,,51452271.00,
10/05/2017,193.7000,193.7000,-0.67,195.0000,195.0000,194.2000,192.2000,51452271,99663,59440,30659,14,,,51452271.00,
09/05/2017,195.0000,195.0000,-0.41,195.8000,195.8000,196.6000,194.4000,51452271,100332,74850,38335,23,,,51452271.00,
08/05/2017,195.8000,195.8000,-0.05,195.9000,195.9000,196.3000,194.2000,51452271,100744,66336,33873,20,,,51452271.00,
07/05/2017,195.9000,195.9000,0.05,195.0000,195.8000,197.4000,195.0000,51452271,100795,35440,18090,14,,,51452271.00,
04/05/2017,195.8000,195.8000,0.51,194.8000,194.8000,197.8000,194.6000,51452271,100744,141591,72198,30,,,51385604.00,
03/05/2017,194.8000,194.8000,0.52,193.8000,193.8000,195.8000,190.9000,51452271,100229,16786,8616,11,,,51385604.00,
30/04/2017,193.8000,193.8000,0.52,192.8000,192.8000,194.4000,192.9000,51452271,99715,32918,16986,12,,,51385604.00,
27/04/2017,192.8000,192.8000,0.21,192.4000,192.4000,193.5000,192.3000,51452271,99200,20908,10845,9,,,51385604.00,
26/04/2017,192.4000,192.4000,0.52,191.4000,191.4000,193.5000,192.0000,51452271,98994,48336,25122,13,,,51385604.00,
25/04/2017,191.4000,191.4000,-0.42,190.0000,192.2000,192.2000,189.0000,51452271,98480,140161,73611,36,,,51385604.00,
24/04/2017,192.2000,192.2000,-0.10,192.4000,192.4000,193.0000,192.0000,51452271,98891,15868,8256,6,,,51385604.00,
23/04/2017,192.4000,192.4000,-0.31,193.0000,193.0000,192.9000,191.1000,51452271,98994,55458,28843,16,,,51385604.00,
20/04/2017,193.0000,193.0000,-0.26,193.5000,193.5000,196.5000,191.0000,51452271,99303,70511,36350,22,,,51385604.00,
19/04/2017,193.5000,193.5000,3.20,190.0000,187.5000,195.0000,190.0000,51452271,99560,75293,39031,25,,,51385604.00,
18/04/2017,187.5000,187.5000,-0.11,186.0000,187.7000,189.5000,186.0000,51452271,96473,34161,18216,19,,,51385604.00,
13/04/2017,187.7000,187.7000,1.62,184.7000,184.7000,189.7000,186.4000,51452271,96576,33855,18039,11,,,51385604.00,
12/04/2017,184.7000,184.7000,0.22,184.3000,184.3000,184.9000,184.9000,51452271,95032,1481,801,2,,,51385604.00,
09/04/2017,184.3000,184.3000,1.26,182.0000,182.0000,185.8000,184.0000,51452271,94827,23061,12516,9,,,51385604.00,
06/04/2017,182.0000,182.0000,-2.15,186.0000,186.0000,185.0000,181.9000,51452271,93643,89990,49380,14,,,51385604.00,
05/04/2017,186.0000,186.0000,-0.43,186.8000,186.8000,186.0000,186.0000,51452271,95701,11398,6128,3,,,51385604.00,
04/04/2017,186.8000,186.8000,0.43,186.0000,186.0000,186.9000,186.0000,51452271,96113,20916,11197,6,,,51385604.00,
03/04/2017,186.0000,186.0000,0.16,185.7000,185.7000,186.6000,185.5000,51452271,95701,2130,1145,5,,,51385604.00,
02/04/2017,185.7000,185.7000,0.05,185.6000,185.6000,185.9000,185.0000,51452271,95547,58180,31355,15,,,51385604.00,
30/03/2017,185.6000,185.6000,1.37,183.1000,183.1000,185.8000,183.1000,51452271,95495,37339,20142,19,,,51385604.00,
29/03/2017,183.1000,183.1000,-2.61,188.0000,188.0000,191.8000,180.0000,51452271,94209,101403,55185,35,,,51385604.00,
28/03/2017,188.0000,188.0000,-0.11,188.2000,188.2000,188.5000,188.0000,51452271,96730,76387,40613,11,,,51385604.00,
27/03/2017,188.2000,188.2000,-1.00,190.1000,190.1000,188.4000,188.0000,51452271,96833,4243,2255,4,,,51385604.00,
26/03/2017,190.1000,190.1000,0.21,185.0000,189.7000,190.7000,185.0000,51452271,97811,91078,47933,17,,,51385604.00,
23/03/2017,189.7000,189.7000,-0.11,189.9000,189.9000,190.4000,189.1000,51452271,97605,51602,27184,14,,,51385604.00,
22/03/2017,189.9000,189.9000,-1.40,192.6000,192.6000,191.6000,185.1000,51452271,97708,47883,25234,21,,,51385604.00,
21/03/2017,192.6000,192.6000,-0.77,194.1000,194.1000,194.1000,192.2000,51452271,99097,54697,28336,17,,,51385604.00,
20/03/2017,194.1000,194.1000,1.09,192.0000,192.0000,196.1000,190.7000,51385604,99739,125150,65099,34,,,51385604.00,
19/03/2017,192.0000,192.0000,-1.13,191.9000,194.2000,193.0000,190.0000,51385604,98660,169000,88257,28,,,51385604.00,
16/03/2017,194.2000,194.2000,-1.32,195.9000,196.8000,197.3000,193.3000,51385604,99791,165651,84659,32,,,51385604.00,
15/03/2017,196.8000,196.8000,-1.55,199.9000,199.9000,200.4000,195.9000,51385604,101127,77129,38909,26,,,51385604.00,
14/03/2017,199.9000,199.9000,-0.40,200.7000,200.7000,200.6000,199.4000,51385604,102720,48944,24486,12,,,51385604.00,
13/03/2017,200.7000,200.7000,-0.84,199.4000,202.4000,203.0000,199.4000,51385604,103131,40465,20172,18,,,51385604.00,
09/03/2017,202.4000,202.4000,-0.20,202.8000,202.8000,202.5000,200.1000,51385604,104004,64988,32198,17,,,51385604.00,
08/03/2017,202.8000,202.8000,1.55,199.7000,199.7000,205.7000,199.5000,51385604,104210,73058,36104,30,,,51385604.00,
07/03/2017,199.7000,199.7000,-0.75,201.2000,201.2000,201.5000,199.0000,51385604,102617,62643,31372,22,,,51385604.00,
06/03/2017,201.2000,201.2000,-1.08,202.0000,203.4000,203.9000,199.5000,51385604,103388,22393,11128,15,,,51385604.00,
05/03/2017,203.4000,203.4000,-1.07,203.3000,205.6000,203.9000,201.0000,51385604,104518,70022,34427,25,,,51385604.00,
02/03/2017,205.6000,205.6000,-3.16,212.3000,212.3000,211.9000,203.6000,51385604,105649,153170,73681,50,,,51385604.00,
01/03/2017,212.3000,212.3000,-1.53,215.6000,215.6000,213.7000,210.6000,51385604,109092,186784,88012,48,,,51385604.00,
28/02/2017,215.6000,215.6000,1.17,213.1000,213.1000,216.1000,211.6000,51385604,110787,130543,60784,25,,,51385604.00,
27/02/2017,213.1000,213.1000,-2.20,212.1000,217.9000,218.0000,212.1000,51385604,109503,123570,57934,31,,,51385604.00,
26/02/2017,217.9000,217.9000,2.35,211.0000,212.9000,219.0000,211.0000,51385604,111969,165431,76831,42,,,51385604.00,
23/02/2017,212.9000,212.9000,-2.11,217.5000,217.5000,214.6000,211.2000,51385604,109400,85695,40305,25,,,51385604.00,
22/02/2017,217.5000,217.5000,-1.67,221.0000,221.2000,221.0000,214.8000,51385604,111764,150705,69322,34,,,51385604.00,
21/02/2017,221.2000,221.2000,-2.43,220.0000,226.7000,229.0000,220.0000,51385604,113665,184451,82183,49,,,51385604.00,
20/02/2017,226.7000,226.7000,0.71,220.1000,225.1000,228.3000,220.1000,51385604,116491,144372,63703,32,,,51385604.00,
19/02/2017,225.1000,225.1000,1.21,222.4000,222.4000,226.9000,220.0000,51385604,115669,104690,46602,29,,,51385604.00,
16/02/2017,222.4000,222.4000,3.88,214.1000,214.1000,226.9000,209.5000,51385604,114282,645444,292350,114,,,51385604.00,
15/02/2017,214.1000,214.1000,-0.42,215.0000,215.0000,217.1000,210.4000,51385604,110017,155694,72709,34,,,51385604.00,
14/02/2017,215.0000,215.0000,5.86,203.1000,203.1000,218.0000,203.9000,51385604,110479,455294,215988,100,,,51385604.00,
13/02/2017,203.1000,203.1000,-0.54,200.1000,204.2000,205.0000,200.0000,51385604,104364,113541,56044,36,,,51385604.00,
12/02/2017,204.2000,204.2000,-2.76,210.0000,210.0000,210.0000,202.2000,51385604,104929,37835,18532,10,,,51385604.00,
09/02/2017,210.0000,210.0000,4.69,200.6000,200.6000,210.0000,200.0000,51385604,107910,1142639,545928,63,,,47170668.00,
08/02/2017,200.6000,200.6000,0.40,199.8000,199.8000,202.7000,196.0000,51385604,103080,241209,121031,43,,,47170668.00,
07/02/2017,199.8000,199.8000,0.05,200.0000,199.7000,200.0000,198.6000,51385604,102668,17568,8793,9,,,47170668.00,
06/02/2017,199.7000,199.7000,1.06,197.6000,197.6000,201.0000,194.6000,51385604,102617,220851,110669,48,,,47170668.00,
05/02/2017,197.6000,197.6000,3.84,190.3000,190.3000,198.0000,190.2000,51385604,101538,115067,58690,37,,,47170668.00,
02/02/2017,190.3000,190.3000,1.33,187.8000,187.8000,192.9000,187.8000,51385604,97787,189939,99954,46,,,47170668.00,
01/02/2017,187.8000,187.8000,-0.58,188.9000,188.9000,188.1000,187.5000,51385604,96502,66075,35179,29,,,47170668.00,
31/01/2017,188.9000,188.9000,-0.63,190.1000,190.1000,190.1000,187.5000,51385604,97067,21288,11272,13,,,47170668.00,
30/01/2017,190.1000,190.1000,-0.99,190.2000,192.0000,191.1000,188.3000,51385604,97684,165093,86894,39,,,47170668.00,
29/01/2017,192.0000,192.0000,0.21,191.6000,191.6000,193.4000,190.1000,51385604,98660,13468,7013,5,,,47170668.00,
26/01/2017,191.6000,191.6000,-0.67,192.1000,192.9000,193.9000,190.5000,51385604,98455,43442,22684,22,,,47170668.00,
25/01/2017,192.9000,192.9000,-1.23,193.0000,195.3000,194.9000,192.2000,51385604,99123,61798,32006,24,,,47170668.00,
24/01/2017,195.3000,195.3000,0.00,195.2000,195.3000,197.2000,191.9000,51385604,100356,51361,26292,8,,,47170668.00,
