Historical Prices - BET SHEMESH - 01081561
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7693.0000,7693.0000,-8.24,8400.0000,8384.0000,8445.0000,7599.0000,6750000,519278,4114913,52474,397,,,6750000.00,
28/05/2017,8384.0000,8384.0000,1.37,8350.0000,8271.0000,8450.0000,8271.0000,6750000,565920,854868,10192,170,,,6750000.00,
25/05/2017,8271.0000,8271.0000,0.71,8213.0000,8213.0000,8356.0000,8200.0000,6750000,558293,855048,10355,128,,,6750000.00,
24/05/2017,8213.0000,8213.0000,0.91,8149.0000,8139.0000,8216.0000,8148.0000,6750000,554378,1419825,17336,136,,,6750000.00,
23/05/2017,8139.0000,8139.0000,1.74,8055.0000,8000.0000,8149.0000,8055.0000,6750000,549383,1827662,22539,171,,,6750000.00,
22/05/2017,8000.0000,8000.0000,2.81,7781.0000,7781.0000,8049.0000,7781.0000,6750000,540000,783953,9864,102,,,6750000.00,
21/05/2017,7781.0000,7781.0000,2.49,7592.0000,7592.0000,7887.0000,7630.0000,6750000,525218,1551397,19934,163,,,6750000.00,
18/05/2017,7592.0000,7592.0000,-0.78,7600.0000,7652.0000,7600.0000,7409.0000,6750000,512460,389167,5162,66,,,6750000.00,
17/05/2017,7652.0000,7652.0000,-0.77,7711.0000,7711.0000,7750.0000,7606.0000,6750000,516510,678169,8846,82,,,6750000.00,
16/05/2017,7711.0000,7711.0000,-0.08,7717.0000,7717.0000,7750.0000,7699.0000,6750000,520493,656432,8494,73,,,6750000.00,
15/05/2017,7717.0000,7717.0000,1.42,7610.0000,7609.0000,7720.0000,7609.0000,6750000,520898,739761,9614,74,,,6750000.00,
14/05/2017,7609.0000,7609.0000,1.48,7500.0000,7498.0000,7628.0000,7500.0000,6750000,513608,659943,8728,94,,,6750000.00,
11/05/2017,7498.0000,7498.0000,-0.42,7530.0000,7530.0000,7530.0000,7479.0000,6750000,506115,375361,5008,60,,,6750000.00,
10/05/2017,7530.0000,7530.0000,0.23,7518.0000,7513.0000,7587.0000,7513.0000,6750000,508275,364094,4822,65,,,6750000.00,
09/05/2017,7513.0000,7513.0000,1.60,7432.0000,7395.0000,7554.0000,7351.0000,6750000,507128,720531,9652,92,,,6750000.00,
08/05/2017,7395.0000,7395.0000,-1.11,7550.0000,7478.0000,7550.0000,7300.0000,6750000,499163,997271,13517,101,,,6750000.00,
07/05/2017,7478.0000,7478.0000,-0.29,7505.0000,7500.0000,7595.0000,7462.0000,6750000,504765,362737,4830,51,,,6750000.00,
04/05/2017,7500.0000,7500.0000,-0.39,7529.0000,7529.0000,7790.0000,7475.0000,6750000,506250,1937088,25634,130,,,6750000.00,
03/05/2017,7529.0000,7529.0000,3.19,7296.0000,7296.0000,7540.0000,7318.0000,6750000,508208,3671043,50005,94,,,6750000.00,
30/04/2017,7296.0000,7296.0000,-0.03,7298.0000,7298.0000,7302.0000,7277.0000,6750000,492480,189651,2599,20,,,6750000.00,
27/04/2017,7298.0000,7298.0000,0.00,7298.0000,7298.0000,7300.0000,7289.0000,6750000,492615,169261,2320,26,,,6750000.00,
26/04/2017,7298.0000,7298.0000,0.83,7238.0000,7238.0000,7300.0000,7248.0000,6750000,492615,240012,3294,33,,,6750000.00,
25/04/2017,7238.0000,7238.0000,-0.55,7300.0000,7278.0000,7300.0000,7105.0000,6750000,488565,297536,4112,45,,,6750000.00,
24/04/2017,7278.0000,7278.0000,0.32,7255.0000,7255.0000,7299.0000,7257.0000,6750000,491265,275096,3780,39,,,6750000.00,
23/04/2017,7255.0000,7255.0000,0.99,7184.0000,7184.0000,7266.0000,7093.0000,6750000,489713,408402,5664,43,,,6750000.00,
20/04/2017,7184.0000,7184.0000,2.18,7031.0000,7031.0000,7200.0000,7088.0000,6750000,484920,618301,8621,62,,,6750000.00,
19/04/2017,7031.0000,7031.0000,-1.71,7153.0000,7153.0000,7102.0000,7017.0000,6750000,474593,251515,3574,36,,,6750000.00,
18/04/2017,7153.0000,7153.0000,-0.71,7266.0000,7204.0000,7266.0000,7075.0000,6750000,482828,192053,2671,38,,,6750000.00,
13/04/2017,7204.0000,7204.0000,-0.28,7224.0000,7224.0000,7282.0000,7120.0000,6750000,486270,256370,3566,37,,,6750000.00,
12/04/2017,7224.0000,7224.0000,-0.10,7231.0000,7231.0000,7240.0000,7200.0000,6750000,487620,92936,1287,23,,,6750000.00,
09/04/2017,7231.0000,7231.0000,-0.17,7243.0000,7243.0000,7245.0000,7210.0000,6750000,488093,124981,1729,12,,,6750000.00,
06/04/2017,7243.0000,7243.0000,0.03,7241.0000,7241.0000,7243.0000,7150.0000,6750000,488903,570350,7912,40,,,6750000.00,
05/04/2017,7241.0000,7241.0000,-0.06,7245.0000,7245.0000,7245.0000,7207.0000,6750000,488768,534977,7390,46,,,6750000.00,
04/04/2017,7245.0000,7245.0000,0.79,7188.0000,7188.0000,7258.0000,7203.0000,6750000,489038,339252,4687,57,,,6750000.00,
03/04/2017,7188.0000,7188.0000,-0.11,7196.0000,7196.0000,7225.0000,7158.0000,6750000,485190,121228,1685,19,,,6750000.00,
02/04/2017,7196.0000,7196.0000,1.80,7069.0000,7069.0000,7199.0000,7113.0000,6750000,485730,358137,4995,44,,,6750000.00,
30/03/2017,7069.0000,7069.0000,1.20,6985.0000,6985.0000,7092.0000,6899.0000,6750000,477158,499149,7129,68,,,6750000.00,
29/03/2017,6985.0000,6985.0000,0.16,6974.0000,6974.0000,7012.0000,6951.0000,6750000,471488,182455,2612,31,,,6750000.00,
28/03/2017,6974.0000,6974.0000,1.80,7042.0000,6851.0000,7042.0000,6886.0000,6750000,470745,523125,7501,66,,,6750000.00,
27/03/2017,6851.0000,6851.0000,-0.51,6886.0000,6886.0000,7100.0000,6805.0000,6750000,462443,720586,10387,77,,,6750000.00,
