Historical Prices - BEZEQ - 00230011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,614.3000,614.3000,0.05,615.0000,614.0000,624.8000,609.0000,2765485753,16988379,112190725,18254015,2647,,,2765485753.00,
28/05/2017,614.0000,614.0000,-0.97,619.0000,620.0000,624.4000,614.0000,2765485753,16980083,16423754,2657427,962,,,2765485753.00,
25/05/2017,620.0000,620.0000,1.36,614.7000,611.7000,620.8000,611.1000,2765485753,17146012,56357905,9151362,2038,,,2765485753.00,
24/05/2017,611.7000,611.7000,1.06,606.0000,605.3000,611.7000,602.6000,2765485753,16916476,31540716,5198174,1689,,,2765485753.00,
23/05/2017,605.3000,605.3000,-1.55,614.8000,614.8000,619.7000,602.1000,2765485753,16739485,27085248,4447400,1969,,,2765485753.00,
22/05/2017,614.8000,614.8000,-1.22,622.0000,622.4000,624.9000,611.1000,2765485753,17002206,27614149,4484533,1862,,,2765485753.00,
21/05/2017,622.4000,622.4000,1.87,617.0000,611.0000,622.8000,614.0000,2765485753,17212383,14708887,2372380,1095,,,2765485753.00,
18/05/2017,611.0000,611.0000,-0.65,620.0000,615.0000,621.0000,596.4000,2765485753,16897118,89049615,14668985,4503,,,2765485753.00,
17/05/2017,615.0000,615.0000,2.33,603.0000,601.0000,616.2000,600.0000,2765485753,17007737,48621385,7993742,2358,,,2765485753.00,
16/05/2017,601.0000,601.0000,0.15,600.0000,600.1000,608.0000,596.6000,2765485753,16620569,57646044,9574065,3346,EX D,0.96634,2765485753.00,
15/05/2017,600.0971,621.0000,0.00,621.0000,621.0000,621.7000,615.0000,2765485753,17173667,36144548,5847678,1934,,,2765485753.00,
14/05/2017,600.0971,621.0000,-0.10,620.1000,621.6000,623.2000,619.2000,2765485753,17173667,10523438,1693316,809,,,2765485753.00,
11/05/2017,600.6769,621.6000,-0.30,623.1000,623.5000,625.0000,620.1000,2765485753,17190259,26244517,4222311,1731,,,2765485753.00,
10/05/2017,602.5130,623.5000,0.29,620.0000,621.7000,629.8000,620.0000,2765485753,17242804,34983075,5586524,2108,,,2765485753.00,
09/05/2017,600.7736,621.7000,-1.00,628.0000,628.0000,633.5000,620.6000,2765485753,17193025,32511191,5178799,2310,,,2765485753.00,
08/05/2017,606.8615,628.0000,-0.16,629.0000,629.0000,633.4000,627.0000,2765485753,17367251,58212063,9245210,2135,,,2765485753.00,
07/05/2017,607.8279,629.0000,0.95,628.1000,623.1000,632.5000,626.0000,2765485753,17394905,35295437,5607741,1490,,,2765485753.00,
04/05/2017,602.1265,623.1000,0.45,620.0000,620.3000,628.7000,619.5000,2765485753,17231742,74394666,11926991,3002,,,2765485753.00,
03/05/2017,599.4207,620.3000,2.17,610.0000,607.1000,620.3000,605.2000,2765485753,17154308,82005015,13359699,4325,,,2765485753.00,
