Historical Prices - BIG - 01097260
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,27240.0000,27240.0000,1.11,27020.0000,26940.0000,27610.0000,27020.0000,13618027,3709551,4100050,14941,296,,,13612664.00,
28/05/2017,26940.0000,26940.0000,-1.39,27210.0000,27320.0000,27310.0000,26640.0000,13618027,3668696,4366098,16088,269,,,13612664.00,
25/05/2017,27320.0000,27320.0000,-2.43,28000.0000,28000.0000,28040.0000,27310.0000,13618027,3720445,11560566,41787,485,,,13612664.00,
24/05/2017,28000.0000,28000.0000,-0.11,28110.0000,28030.0000,28110.0000,27770.0000,13618027,3813048,2897697,10365,217,,,13612664.00,
23/05/2017,28030.0000,28030.0000,0.29,27900.0000,27950.0000,28200.0000,27800.0000,13618027,3817133,7894284,28185,265,,,13612664.00,
22/05/2017,27950.0000,27950.0000,-0.29,28140.0000,28030.0000,28290.0000,27710.0000,13618027,3806239,1916369,6834,233,,,13612664.00,
21/05/2017,28030.0000,28030.0000,1.41,27900.0000,27640.0000,28310.0000,27780.0000,13618027,3817133,1509328,5395,164,,,13612664.00,
18/05/2017,27640.0000,27640.0000,-0.65,27960.0000,27820.0000,28280.0000,27400.0000,13618027,3764023,13264233,48130,374,,,13612664.00,
17/05/2017,27820.0000,27820.0000,0.36,27740.0000,27720.0000,27930.0000,27690.0000,13618027,3788535,3223353,11593,203,,,13612664.00,
16/05/2017,27720.0000,27720.0000,-0.07,27740.0000,27740.0000,27740.0000,27500.0000,13618027,3774917,1270590,4604,188,,,13612664.00,
15/05/2017,27740.0000,27740.0000,-1.81,28250.0000,28250.0000,28310.0000,27500.0000,13618027,3777641,2051479,7370,290,,,13612664.00,
14/05/2017,28250.0000,28250.0000,0.04,28090.0000,28240.0000,28310.0000,28040.0000,13618027,3847093,2335932,8281,181,,,13612664.00,
11/05/2017,28240.0000,28240.0000,0.89,27900.0000,27990.0000,28300.0000,27700.0000,13618027,3845731,1885729,6735,294,,,13612664.00,
10/05/2017,27990.0000,27990.0000,0.54,27830.0000,27840.0000,28000.0000,27700.0000,13618027,3811686,5114284,18340,478,,,13612664.00,
